fragment_smiles,occurences,example_ligands
C1CCNCC1,422879,64:06400:0:Z1421286956;64:06400:0:Z4346028422;64:06400:0:Z4335232012;
c1ccsc1,126581,64:06400:0:Z1421286956;64:06400:0:Z3797271487;64:06400:0:Z3406251774;
Cc1ccccn1,29197,64:06400:0:Z4489854906;64:06400:0:Z1461258484;64:06400:0:Z1314891865;
Cc1cccc(C)c1,24680,64:06400:0:Z4489854906;64:06400:0:Z2406763058;64:06400:0:Z3366441614;
Cc1c[nH]nn1,1014,64:06400:0:Z3337791246;64:06400:1:Z4471691367;64:06400:2:Z4241177305;
c1cnoc1,82826,64:06400:0:Z3337791246;64:06400:0:Z3092970491;64:06400:0:Z4004997841;
Fc1ccc2c(c1)NCCN2,242,64:06400:0:Z4132169778;64:06400:5:Z4284247030;64:06400:7:Z2907333771;
FC1(F)CCC1,14191,64:06400:0:Z4132169778;64:06400:0:Z4279464524;64:06400:0:Z3804505374;
Fc1ccccc1,250077,64:06400:0:Z3797271487;64:06400:0:Z51123481;64:06400:0:Z4914502604;
c1ccncc1,371275,64:06400:0:Z2474702305;64:06400:0:Z3702976446;64:06400:0:Z4869980322;
c1ccccc1,996812,64:06400:0:Z3135188205;64:06400:0:Z4025925197;64:06400:0:Z3177403662;
C1CC2CCC1N2,5361,64:06400:0:Z3135188205;64:06400:0:Z4001852513;64:06400:0:Z3891783970;
C1CCOC1,140193,64:06400:0:Z4025925197;64:06400:0:Z3807548124;64:06400:0:Z3828581322;
c1ncon1,135069,64:06400:0:Z51123481;64:06400:0:Z3367513086;64:06400:0:Z4005956870;
Oc1ccccn1,4323,64:06400:0:Z51123481;64:06400:0:Z4295792723;64:06400:0:Z875597814;
c1nncs1,31727,64:06400:0:Z3406251774;64:06400:0:Z4389813851;64:06400:0:Z4152410958;
C1CC2(CCS1)CNC2,538,64:06400:0:Z3406251774;64:06400:3:Z3057080035;64:06400:7:Z3610864813;
c1c[nH]nn1,81150,64:06400:0:Z4914502604;64:06400:0:Z4914505114;64:06400:0:Z1032180842;
Cc1cncc(C)c1,3372,64:06400:0:Z4384697921;64:06400:0:Z3499927525;64:06400:0:Z1607631450;
O=C1CCCCN1,25601,64:06400:0:Z4384697921;64:06400:0:Z4097591999;64:06400:0:Z3860297254;
c1cn2c(n1)CCCC2,9739,64:06400:0:Z4141915818;64:06400:0:Z5004647067;64:06400:0:Z3542159002;
c1ncn2c1CCCC2,2882,64:06400:0:Z4141915818;64:06400:0:Z4138765793;64:06400:0:Z3625608478;
FC1CCNC1,12284,64:06400:0:Z3697810449;64:06400:0:Z5050043739;64:06400:0:Z5050043735;
CC1CC1(F)F,3097,64:06400:0:Z3367513086;64:06400:0:Z4228757010;64:06400:0:Z2849969632;
c1nc[nH]n1,46975,64:06400:0:Z3367513086;64:06400:0:Z3173648909;64:06400:0:Z4525092798;
