fragment_smiles,occurences,example_ligands
C1CNCCN1,114508,42:04200:0:Z3047116227;42:04200:0:Z4122870228;42:04200:0:Z3773662270;
CC1(N)CCCCC1,455,42:04200:0:Z3047116227;42:04200:0:Z4055154929;42:04200:2:Z2434285767;
CC1Cc2cc(O)ccc2C(C)N1,56,42:04200:0:Z4253331688;42:04202:4:Z4253338170;42:04203:7:Z5034971588;
c1ccncc1,371408,42:04200:0:Z4195896096;42:04200:0:Z4965496909;42:04200:0:Z1649133160;
c1c[nH]cn1,71066,42:04200:0:Z4195896096;42:04200:0:Z2358999420;42:04200:0:Z1649133160;
Cc1ccno1,13708,42:04200:0:Z4195896096;42:04200:0:Z4082087563;42:04200:0:Z3365594928;
c1nncs1,31658,42:04200:0:Z4314085589;42:04200:0:Z5013000914;42:04200:0:Z2500798681;
Cn1cccn1,141846,42:04200:0:Z4314085589;42:04200:0:Z1815714245;42:04200:0:Z4514368053;
C1CCNCC1,423382,42:04200:0:Z2701456563;42:04200:0:Z4635499014;42:04200:0:Z3512144418;
C1COCCN1,117290,42:04200:0:Z2701456563;42:04200:0:Z4635499014;42:04200:0:Z2963312500;
Clc1ccccc1,176740,42:04200:0:Z1870823942;42:04200:0:Z2860592621;42:04200:0:Z3347603314;
Cc1ccnnc1C,909,42:04200:0:Z1870823942;42:04200:0:Z4471694126;42:04200:1:Z4887840943;
Cc1ccccc1F,12301,42:04200:0:Z4109506174;42:04200:0:Z1750921222;42:04200:0:Z4471809398;
c1cncnc1,85483,42:04200:0:Z4109506174;42:04200:0:Z3077565984;42:04200:0:Z3019614422;
OC1CCCNC1,9880,42:04200:0:Z3077565984;42:04200:0:Z2630759833;42:04200:0:Z3646720394;
c1cc[nH]c1,27899,42:04200:0:Z1894926072;42:04200:0:Z2212344958;42:04200:0:Z1169988040;
Fc1ccccc1,249812,42:04200:0:Z1894926072;42:04200:0:Z3642243305;42:04200:0:Z3512144418;
CC1CCCCC1,17521,42:04200:0:Z3642243305;42:04200:0:Z1856031774;42:04200:0:Z1264998332;
c1cn[nH]c1,244929,42:04200:0:Z3642243305;42:04200:0:Z2906479668;42:04200:0:Z4635499014;
C1CNCC2(C1)OCCO2,448,42:04200:0:Z2906479668;42:04200:6:Z2834711581;42:04200:8:Z1530111330;
Cc1nn2cccnc2c1Cl,136,42:04200:0:Z2654845238;42:04201:0:Z2581348931;42:04201:0:Z1462929987;
CC1CCNCC1,17777,42:04200:0:Z2654845238;42:04200:0:Z2447725382;42:04200:0:Z1668760996;
C1CCCC1,131425,42:04200:0:Z4320282290;42:04200:0:Z2306035818;42:04200:0:Z1420951561;
c1ccccc1,996966,42:04200:0:Z4320282290;42:04200:0:Z2723294351;42:04200:0:Z4280207464;
c1nc[nH]n1,47258,42:04200:0:Z4320282290;42:04200:0:Z1435987547;42:04200:0:Z1994148211;
c1n[nH]c2c1CCCC2,6882,42:04200:0:Z4639629307;42:04200:0:Z5018234053;42:04200:1:Z3440468333;
O=S1(=O)CCCCC1,8885,42:04200:0:Z4639629307;42:04200:0:Z4630136030;42:04200:0:Z4008863358;
C1OCC2CC12,2669,42:04200:0:Z2884317288;42:04200:0:Z4313323790;42:04200:0:Z3353828779;
Clc1cn[nH]c1,8119,42:04200:0:Z4338921254;42:04200:0:Z2932431488;42:04200:0:Z4406643741;
Cn1cnc2ncncc21,166,42:04200:0:Z4338921254;42:04201:0:Z3828199506;42:04201:0:Z4338917954;
Cc1cn[nH]c1,11994,42:04200:0:Z2723294351;42:04200:0:Z3134426556;42:04200:0:Z1963018698;
C1CCOCC1,151452,42:04200:0:Z4400700682;42:04200:0:Z3054246641;42:04200:0:Z3697702151;
c1nn[nH]n1,30485,42:04200:0:Z4400700682;42:04200:0:Z1323918761;42:04200:0:Z4462017365;
CN1CCc2ccsc2C1,245,42:04200:0:Z4122870228;42:04200:7:Z4122969011;42:04201:2:Z4084435026;
CC1CNCC2(CCOC2C)O1,286,42:04200:0:Z4291248812;42:04200:5:Z1934721929;42:04200:8:Z1930349333;
c1cc2nc[nH]c2cn1,359,42:04200:0:Z4291248812;42:04200:0:Z4294647245;42:04201:5:Z2669376236;
c1nnc[nH]1,41962,42:04200:0:Z4280207464;42:04200:0:Z2114683365;42:04200:0:Z1169988040;
c1ccoc1,85241,42:04200:0:Z2980208860;42:04200:0:Z3550010946;42:04200:0:Z1378027432;
c1cscn1,161084,42:04200:0:Z1444297790;42:04200:0:Z3673006681;42:04200:0:Z2999177092;
Fc1ccc(F)c2c1CCNC2,252,42:04200:0:Z1444297790;42:04200:2:Z3998361272;42:04200:5:Z1367144648;
Fc1ccc2c(c1)CCCN2,550,42:04200:0:Z1815714245;42:04200:3:Z2772516705;42:04200:6:Z4080633438;
c1n[nH]c2c1CCCCC2,311,42:04200:0:Z1833553138;42:04202:9:Z4876674651;42:04203:0:Z4249639929;
Cc1ccccc1,174155,42:04200:0:Z4254982681;42:04200:0:Z900425312;42:04200:0:Z3549947704;
c1ncon1,135973,42:04200:0:Z4254982681;42:04200:0:Z1684122815;42:04200:0:Z3368755038;
C1CCNC1,320567,42:04200:0:Z3550010946;42:04200:0:Z2173482669;42:04200:0:Z3609461883;
C1CCC2(CC1)CCC2,4609,42:04200:0:Z4477910003;42:04200:0:Z3356071704;42:04200:0:Z3646931099;
c1ccc2c(c1)OCCO2,11383,42:04200:0:Z2231513902;42:04200:0:Z1594518083;42:04200:0:Z1768888795;
C1CC2CNCCN2C1,853,42:04200:0:Z1473473737;42:04200:0:Z2835435723;42:04200:0:Z2798422678;
Cc1cocn1,7804,42:04200:0:Z2605962778;42:04200:0:Z2208674359;42:04200:0:Z4275273911;
c1c[nH]nn1,80690,42:04200:0:Z4303445860;42:04200:0:Z4079699120;42:04200:0:Z4492978091;
CC1CCC(F)(F)CC1,784,42:04200:0:Z4303445860;42:04200:0:Z1657070801;42:04200:0:Z2715795015;
CC1CC1(F)F,3045,42:04200:0:Z3345783945;42:04200:0:Z2374136312;42:04200:1:Z3672853809;
c1cnoc1,83068,42:04200:0:Z1637294670;42:04200:0:Z2091491071;42:04200:0:Z2069236351;
O=c1ccnc[nH]1,4260,42:04200:0:Z2963312500;42:04200:0:Z2496543017;42:04200:0:Z3657236647;
O=C1CCC2CCCCN12,813,42:04200:0:Z5014787368;42:04200:0:Z2299589496;42:04200:1:Z2295181656;
OC1CCC1,18186,42:04200:0:Z3673006681;42:04200:0:Z5001303262;42:04200:0:Z2371001669;
Cc1ccnc2[nH]ccc12,164,42:04200:0:Z3602532578;42:04200:6:Z3602550389;42:04200:6:Z3368159883;
C1CCOC1,141487,42:04200:0:Z3602532578;42:04200:0:Z3086660675;42:04200:0:Z4394466908;
Fc1cccnc1,27675,42:04200:0:Z4364130328;42:04200:0:Z3353138833;42:04200:0:Z3837360619;
FC1(F)C2COCC21,342,42:04200:0:Z4364130328;42:04200:1:Z3629409255;42:04200:5:Z3669143616;
C1CC2CNCC1C2,1976,42:04200:0:Z5035870007;42:04200:0:Z2763752239;42:04200:2:Z3893278988;
Clc1cccc(Cl)c1,17387,42:04200:0:Z1266974162;42:04200:0:Z4492978091;42:04200:0:Z4492977809;
OC1CCNCC1,16783,42:04200:0:Z3054855470;42:04200:0:Z3584758538;42:04200:0:Z4021378246;
c1ccc2scnc2c1,11564,42:04200:0:Z3054855470;42:04200:0:Z4418601461;42:04200:0:Z558224206;
CC1CNc2cnccc21,221,42:04200:0:Z4132955308;42:04200:0:Z3631019963;42:04200:1:Z4132958241;
C1CCN2CCCCC2C1,1028,42:04200:0:Z4132955308;42:04200:0:Z4147994335;42:04200:0:Z4110544498;
c1ccc2c(c1)CCNC2,17694,42:04200:0:Z3773662270;42:04200:0:Z4248485607;42:04200:0:Z2873237337;
