fragment_smiles,occurences,example_ligands
Nc1cncs1,798,248:24800:0:PV-005535362215;248:24800:3:PV-005535467685;248:24800:3:PV-005535468687;
C1CC2CCC(C1)N2,29584,248:24800:0:PV-005535362215;248:24800:0:PV-005535362578;248:24800:0:PV-005535362579;
Fc1cc[nH]c1,8455,248:24800:0:PV-005535362216;248:24800:0:PV-005535370739;248:24800:0:PV-005535408994;
C1CCC2(CC1)CCC2,6238,248:24800:0:PV-005535362216;248:24800:0:PV-005535368217;248:24800:0:PV-005535368218;
O=C1CCCN1,69851,248:24800:0:PV-005535362234;248:24800:0:PV-005535362572;248:24800:0:PV-005535362573;
OC1CCC1,41787,248:24800:0:PV-005535362234;248:24800:0:PV-005535363097;248:24800:0:PV-005535363296;
c1cn[nH]c1,223800,248:24800:0:PV-005535362252;248:24800:0:PV-005535362298;248:24800:0:PV-005535362331;
C1CNCCN1,140263,248:24800:0:PV-005535362252;248:24800:0:PV-005535362407;248:24800:0:PV-005535362700;
c1cnsc1,57273,248:24800:0:PV-005535362252;248:24800:0:PV-005535362928;248:24800:0:PV-005535364622;
Fc1ccccc1,131736,248:24800:0:PV-005535362264;248:24800:0:PV-005535363020;248:24800:0:PV-005535363021;
OC1CNC1,36735,248:24800:0:PV-005535362264;248:24800:0:PV-005535363891;248:24800:0:PV-005535364079;
C1CCOC1,144169,248:24800:0:PV-005535362264;248:24800:0:PV-005535362657;248:24800:0:PV-005535362658;
C1CCNC1,589896,248:24800:0:PV-005535362294;248:24800:0:PV-005535362310;248:24800:0:PV-005535362311;
Oc1ccccc1,32215,248:24800:0:PV-005535362294;248:24800:0:PV-005535363981;248:24800:0:PV-005535365807;
C1CCCNCC1,86341,248:24800:0:PV-005535362298;248:24800:0:PV-005535363408;248:24800:0:PV-005535363496;
C1CSCN1,3787,248:24800:0:PV-005535362310;248:24800:0:PV-005535362311;248:24800:0:PV-005535362312;
CC1(C)CCCC1,7509,248:24800:0:PV-005535362310;248:24800:0:PV-005535362311;248:24800:0:PV-005535362312;
FC1CCC1,55333,248:24800:0:PV-005535362331;248:24800:0:PV-005535362332;248:24800:0:PV-005535362333;
Cn1nccc1Cl,11917,248:24800:0:PV-005535362331;248:24800:0:PV-005535362332;248:24800:0:PV-005535362333;
C1CCOCC1,100260,248:24800:0:PV-005535362346;248:24800:0:PV-005535362705;248:24800:0:PV-005535362706;
FC1(F)CCC1,26067,248:24800:0:PV-005535362346;248:24800:0:PV-005535362467;248:24800:0:PV-005535362766;
Cc1cccnc1,39029,248:24800:0:PV-005535362353;248:24800:0:PV-005535365980;248:24800:0:PV-005535366026;
OC1CCCC1,32101,248:24800:0:PV-005535362353;248:24800:0:PV-005535363692;248:24800:0:PV-005535364006;
Cc1cnsc1,7559,248:24800:0:PV-005535362353;248:24800:0:PV-005535371579;248:24800:0:PV-005535371580;
C1CC2CNCC2O1,7453,248:24800:0:PV-005535362360;248:24800:0:PV-005535362589;248:24800:0:PV-005535364972;
C1CCC2(C1)CCC2,6311,248:24800:0:PV-005535362360;248:24800:0:PV-005535378490;248:24800:0:PV-005535378491;
c1ccoc1,126009,248:24800:0:PV-005535362407;248:24800:0:PV-005535362578;248:24800:0:PV-005535362579;
CC1CC(F)(F)C1,6861,248:24800:0:PV-005535362407;248:24800:0:PV-005535366250;248:24800:0:PV-005535366251;
OC1CCNC1,91016,248:24800:0:PV-005535362422;248:24800:0:PV-005535362423;248:24800:0:PV-005535362424;
c1ccsc1,167468,248:24800:0:PV-005535362443;248:24800:0:PV-005535362444;248:24800:0:PV-005535362445;
Cc1cn2ccccc2n1,2390,248:24800:0:PV-005535362459;248:24800:0:PV-005535394300;248:24800:0:PV-005535394301;
C1CC2CC12,8556,248:24800:0:PV-005535362459;248:24800:0:PV-005535368942;248:24800:0:PV-005535368943;
C1CC2CC(CN2)N1,3515,248:24800:0:PV-005535362467;248:24800:0:PV-005535366166;248:24800:0:PV-005535382627;
c1nc[nH]n1,52209,248:24800:0:PV-005535362467;248:24800:0:PV-005535364336;248:24800:0:PV-005535365459;
CC1CNCC1C,5683,248:24800:0:PV-005535362479;248:24800:0:PV-005535384317;248:24800:0:PV-005535388055;
c1ccc2c(c1)CC2,5234,248:24800:0:PV-005535362479;248:24800:0:PV-005535367469;248:24800:0:PV-005535368727;
Oc1nc2c([nH]1)CCCC2,268,248:24800:0:PV-005535362484;248:24800:0:PV-005535362485;248:24800:0:PV-005535392709;
c1ccc2c(c1)CCN2,6401,248:24800:0:PV-005535362501;248:24800:0:PV-005535375686;248:24800:0:PV-005535397871;
C1CC2CC2N1,24297,248:24800:0:PV-005535362528;248:24800:0:PV-005535371079;248:24800:0:PV-005535371860;
Cc1ccsc1,38268,248:24800:0:PV-005535362528;248:24800:0:PV-005535363264;248:24800:0:PV-005535364041;
CC1CNC1,52457,248:24800:0:PV-005535362535;248:24800:0:PV-005535363049;248:24800:0:PV-005535363617;
c1ccncc1,227566,248:24800:0:PV-005535362542;248:24800:0:PV-005535362543;248:24800:0:PV-005535363258;
C1NCC2CC12,113612,248:24800:0:PV-005535362542;248:24800:0:PV-005535362543;248:24800:0:PV-005535363953;
C1CCSC1,18725,248:24800:0:PV-005535362542;248:24800:0:PV-005535362543;248:24800:0:PV-005535364351;
C1CNC2CC2N1,4186,248:24800:0:PV-005535362545;248:24800:0:PV-005535362674;248:24800:0:PV-005535363141;
Fc1ccccc1Cl,19679,248:24800:0:PV-005535362545;248:24800:0:PV-005535363761;248:24800:0:PV-005535363762;
C1CCNCC1,495938,248:24800:0:PV-005535362572;248:24800:0:PV-005535362573;248:24800:0:PV-005535363173;
Nc1nccs1,9990,248:24800:0:PV-005535362572;248:24800:0:PV-005535362573;248:24800:0:PV-005535364200;
c1cscn1,127684,248:24800:0:PV-005535362578;248:24800:0:PV-005535362579;248:24800:0:PV-005535362700;
CC1(C)C2CCCC21,2318,248:24800:0:PV-005535362589;248:24800:0:PV-005535372888;248:24800:0:PV-005535372889;
C1CNCCNC1,27122,248:24800:0:PV-005535362630;248:24800:0:PV-005535362705;248:24800:0:PV-005535362706;
C1CC2CCC2C1,4710,248:24800:0:PV-005535362630;248:24800:0:PV-005535366081;248:24800:0:PV-005535409262;
FC1(F)CCCNCC1,3861,248:24800:0:PV-005535362633;248:24800:0:PV-005535363188;248:24800:0:PV-005535364565;
c1ccccc1,310628,248:24800:0:PV-005535362633;248:24800:0:PV-005535362634;248:24800:0:PV-005535362887;
Fc1cnc2ccccn12,554,248:24800:0:PV-005535362634;248:24800:1:PV-000330437047;248:24800:1:PV-000357916102;
CC1CCNC1,164793,248:24800:0:PV-005535362637;248:24800:0:PV-005535365323;248:24800:0:PV-005535365324;
Cc1cccc2ccnn12,1227,248:24800:0:PV-005535362637;248:24800:1:PV-002889959207;248:24800:2:PV-003511483909;
CC1CCCCN1,58385,248:24800:0:PV-005535362651;248:24800:0:PV-005535363020;248:24800:0:PV-005535363021;
Fc1ccc2c(c1)CCCN2,210,248:24800:0:PV-005535362657;248:24800:0:PV-005535362658;248:24800:3:PV-005535425548;
Cn1cccc1,31880,248:24800:0:PV-005535362674;248:24800:0:PV-005535365701;248:24800:0:PV-005535374286;
FC1(F)CCNCC1,2783,248:24800:0:PV-005535362683;248:24800:0:PV-005535362684;248:24800:0:PV-005535366023;
Cc1ccccc1,89055,248:24800:0:PV-005535362687;248:24800:0:PV-005535365459;248:24800:0:PV-005535366034;
Fc1ccccc1F,16254,248:24800:0:PV-005535362687;248:24800:0:PV-005535362759;248:24800:0:PV-005535363246;
C1CC2CCNC2CN1,9384,248:24800:0:PV-005535362689;248:24800:0:PV-005535362690;248:24800:0:PV-005535366145;
Cc1cn[nH]c1C,5651,248:24800:0:PV-005535362715;248:24800:0:PV-005535362716;248:24800:0:PV-005535374221;
Cc1sccc1N,2636,248:24800:0:PV-005535362715;248:24800:0:PV-005535362716;248:24800:0:PV-005535363141;
Cn1ccnc1,39496,248:24800:0:PV-005535362753;248:24800:0:PV-005535362754;248:24800:0:PV-005535362755;
Clc1ccco1,20764,248:24800:0:PV-005535362753;248:24800:0:PV-005535362754;248:24800:0:PV-005535362755;
C1CC2CCC1N2,25073,248:24800:0:PV-005535362759;248:24800:0:PV-005535364463;248:24800:0:PV-005535376027;
Cc1cocn1,15251,248:24800:0:PV-005535362766;248:24800:0:PV-005535366211;248:24800:0:PV-005535366212;
CC1CCCC1,21839,248:24800:0:PV-005535362796;248:24800:0:PV-005535366392;248:24800:0:PV-005535382678;
OC1CNCCNC1,7150,248:24800:0:PV-005535362796;248:24800:0:PV-005535370276;248:24800:0:PV-005535383157;
C1CCC2(C1)OCCO2,603,248:24800:0:PV-005535362820;248:24800:1:PV-004035627974;248:24800:1:PV-004035627975;
Cc1nncs1,4553,248:24800:0:PV-005535362822;248:24800:0:PV-005535364777;248:24800:0:PV-005535366392;
Oc1ccccn1,7406,248:24800:0:PV-005535362854;248:24800:0:PV-005535374437;248:24800:0:PV-005535379797;
Fc1cccc(Cl)c1,17669,248:24800:0:PV-005535362854;248:24800:0:PV-005535364660;248:24800:0:PV-005535364661;
OC1CC2CC12,3466,248:24800:0:PV-005535362887;248:24800:0:PV-005535370147;248:24800:0:PV-005535374564;
C1CCSCC1,25396,248:24800:0:PV-005535362920;248:24800:0:PV-005535365525;248:24800:0:PV-005535371641;
Cc1ccc2c(c1)NCCN2,13,248:24800:0:PV-005535362920;248:24803:5:PV-002890107389;248:24806:7:PV-005537537070;
C1CCC2(C1)CCNCC2,3282,248:24800:0:PV-005535362928;248:24800:0:PV-005535366524;248:24800:0:PV-005535399548;
FC1(F)CCC2CC21,3448,248:24800:0:PV-005535362933;248:24800:0:PV-005535362934;248:24800:0:PV-005535369378;
CC1(C)CC1,30235,248:24800:0:PV-005535362933;248:24800:0:PV-005535362934;248:24800:0:PV-005535368269;
Fc1cccc2sccc12,999,248:24800:0:PV-005535362951;248:24800:0:PV-005535381413;248:24800:5:PV-005535539910;
Cc1nccs1,27167,248:24800:0:PV-005535362973;248:24800:0:PV-005535363049;248:24800:0:PV-005535368606;
