fragment_smiles,occurences,example_ligands
CC1(C)CCCNC1,18674,145:14500:0:PV-003054080349;145:14500:0:PV-003054082596;145:14500:0:PV-003054082597;
c1cc2sccc2[nH]1,3974,145:14500:0:PV-003054080349;145:14500:1:PV-004177176603;145:14500:1:PV-004177282094;
c1nc2c(s1)CCNC2,698,145:14500:0:PV-003054080387;145:14500:1:PV-004177252265;145:14500:1:PV-004177314574;
c1cnc2[nH]ccc2c1,5694,145:14500:0:PV-003054080387;145:14500:0:PV-003054081240;145:14500:0:PV-002712690516;
C1CC2CC1CN2,25349,145:14500:0:PV-003054080388;145:14500:0:PV-003911537386;145:14500:0:PV-003911537485;
c1cnccn1,23573,145:14500:0:PV-003054080388;145:14500:0:PV-001643154937;145:14500:0:PV-003054083600;
c1ccnnc1,23642,145:14500:0:PV-003054080388;145:14500:0:PV-003054081194;145:14500:0:PV-002712692427;
C1CNCC2(C1)CNC2,8813,145:14500:0:PV-001086700656;145:14500:0:PV-003911536998;145:14500:0:PV-001086146267;
c1csnn1,26444,145:14500:0:PV-001086700656;145:14500:0:PV-003054083538;145:14500:0:PV-001260751707;
Cc1ccco1,42300,145:14500:0:PV-003054080398;145:14500:0:PV-003054080680;145:14500:0:PV-002712690359;
C1CC2CCC1CC2,2720,145:14500:0:PV-003054080398;145:14500:0:PV-003054082596;145:14500:0:PV-003054082597;
Fc1ccccc1,110344,145:14500:0:PV-003054080399;145:14500:0:PV-003054080400;145:14500:0:PV-003054080402;
CC1CCC1,55602,145:14500:0:PV-003054080399;145:14500:0:PV-003054080400;145:14500:0:PV-003054080402;
CC1(C)CCNC1,29626,145:14500:0:PV-003911536944;145:14500:0:PV-003054080680;145:14500:0:PV-002712690372;
Fc1ccc(F)cc1,6229,145:14500:0:PV-003911536944;145:14500:0:PV-003054086514;145:14500:0:PV-003054087732;
CC1CCCCN1,52553,145:14500:0:PV-002712690214;145:14500:0:PV-003054080999;145:14500:0:PV-003054081000;
Cn1ccnn1,15917,145:14500:0:PV-002712690214;145:14500:0:PV-003054083430;145:14500:0:PV-003054084807;
c1ccncc1,190492,145:14500:0:PV-002396024855;145:14500:0:PV-003054081019;145:14500:0:PV-003054081074;
OC1CNCCNC1,6784,145:14500:0:PV-003911536958;145:14500:0:PV-003911536959;145:14500:0:PV-002712694050;
C1CCNCC1,445338,145:14500:0:PV-003911536960;145:14500:0:PV-003911536961;145:14500:0:PV-003911536962;
c1cnsn1,7542,145:14500:0:PV-003911536960;145:14500:0:PV-003911536961;145:14500:0:PV-003911536962;
O=c1cnc2ccccc2[nH]1,418,145:14500:0:PV-002712690223;145:14500:0:PV-003054104259;145:14500:8:PV-003054237655;
