fragment_smiles,occurences,example_ligands
CN1CCOc2ccccc21,1238,60:06000:0:Z4985447307;60:06000:0:Z2644634545;60:06000:0:Z2621580063;
CN1C=NCC1,251,60:06000:0:Z4285348395;60:06000:2:Z4284188398;60:06000:3:Z4281303057;
CC1Cn2nccc2CN1,717,60:06000:0:Z3009784694;60:06000:0:Z4322878706;60:06000:1:Z4322278345;
CC1Cc2ccccc2N1,1344,60:06000:0:Z3698798802;60:06000:0:Z4124292239;60:06000:1:Z4455714660;
c1cc2c(cn1)OCCO2,713,60:06000:0:Z3698798802;60:06000:0:Z3910684586;60:06000:0:Z2407387220;
OC1CCCNCC1,1577,60:06000:0:Z4490707681;60:06000:0:Z2232789738;60:06000:0:Z4228013492;
CC1NCCCC1=O,307,60:06000:0:Z2919653838;60:06000:1:Z2920850174;60:06000:4:Z2921235528;
Clc1nc2ccccc2s1,451,60:06000:0:Z5064773644;60:06000:2:Z5062980006;60:06000:3:Z1984157909;
Clc1ccc2c(c1)OCCO2,1122,60:06000:0:Z3644039725;60:06000:1:Z4426508848;60:06000:2:Z5044307339;
Clc1ccc2c(c1)CCCO2,674,60:06000:0:Z4209876447;60:06000:1:Z2227674289;60:06000:2:Z4200877738;
O=C1CCNCC1,805,60:06000:0:Z2764632942;60:06000:0:Z3358108422;60:06000:1:Z1618171023;
Cn1cnc2ccncc21,716,60:06000:0:Z1767847758;60:06000:0:Z3830517557;60:06000:1:Z4451322288;
c1ccc2c(c1)CC2,1981,60:06000:0:Z1906382750;60:06000:0:Z1906371030;60:06000:1:Z2817545314;
CC1(C)CNCCC1O,461,60:06000:0:Z3197550907;60:06000:1:Z2774052306;60:06000:3:Z2116125383;
O=S1(=O)CCOCC1,407,60:06000:0:Z1564709298;60:06000:0:Z1564910506;60:06000:3:Z2971215077;
C1CCN2CCOCC2C1,666,60:06000:0:Z1583167754;60:06000:4:Z1538227933;60:06001:2:Z4389009872;
c1nc2nc3c(cn2n1)CCC3,96,60:06000:0:Z3078788896;60:06004:2:Z4996392786;60:06004:7:Z2770974635;
CC1CNCCC1(F)F,356,60:06000:0:Z2166995620;60:06000:3:Z4303854552;60:06000:6:Z2178229070;
C1=CC2=NCCN2C=C1,200,60:06000:0:Z4263337349;60:06000:2:Z4313230225;60:06003:1:Z4312405586;
Nc1nncs1,736,60:06000:0:Z3200161617;60:06000:2:Z4351160533;60:06000:3:Z4491801523;
C1CC2(CC2)CO1,2898,60:06000:0:Z3596844845;60:06000:0:Z4370485102;60:06000:1:Z4248499528;
OC1CC2(CCC2)C1,1029,60:06000:0:Z3711901326;60:06000:0:Z4293180362;60:06000:1:Z3898651235;
Cc1nccn1C,2189,60:06000:0:Z3577912188;60:06000:0:Z2700068330;60:06000:0:Z2625915158;
c1cnc2ccncc2c1,1211,60:06000:0:Z2107728513;60:06000:0:Z4225078392;60:06000:0:Z3355834095;
Cc1cccc2[nH]ncc12,610,60:06000:0:Z1096504096;60:06000:0:Z1236416382;60:06000:1:Z1927537191;
CC1Cc2ccccc2O1,3538,60:06000:0:Z2146012022;60:06000:0:Z3715994661;60:06000:0:Z3338135444;
c1ccc2scnc2c1,11536,60:06000:0:Z4304203931;60:06000:0:Z4472744928;60:06000:0:Z2932480157;
CN1CCNCC12CCOC2,364,60:06000:0:Z3043521485;60:06000:0:Z3042520386;60:06000:4:Z3043530907;
Cc1csc(C)n1,3647,60:06000:0:Z1763903967;60:06000:0:Z1983644465;60:06000:0:Z2700490586;
C1COCCC2(CC2)N1,207,60:06000:0:Z3627514214;60:06000:4:Z3627507656;60:06000:8:Z3627507382;
CC1CNCC(C)O1,5589,60:06000:0:Z2650037453;60:06000:1:Z3466504035;60:06000:1:Z2606943079;
c1ccc2c(c1)COC2,4176,60:06000:0:Z1666991087;60:06000:0:Z4107030203;60:06000:0:Z4643653289;
O=c1[nH]c2ccccc2[nH]1,3166,60:06000:0:Z2282575631;60:06000:0:Z2497154384;60:06000:0:Z2635018279;
c1ccc2c(c1)OCCCO2,3245,60:06000:0:Z3360913595;60:06000:0:Z2772799885;60:06000:1:Z1549338935;
OC1CNC2COCC12,291,60:06000:0:Z3633496638;60:06000:3:Z4489810840;60:06000:3:Z3586812250;
CC1CNCC(C)C1(F)F,329,60:06000:0:Z4230768349;60:06000:2:Z4022943685;60:06000:2:Z3437022724;
OC1CCC2NC1CCC2O,291,60:06000:0:Z4269610891;60:06001:4:Z4269633595;60:06001:9:Z4269639457;
C1CCC2(C1)CCNCC2,987,60:06000:0:Z1315326789;60:06000:0:Z4421797687;60:06000:1:Z3350439108;
C1CCn2nnnc2C1,1312,60:06000:0:Z3869457915;60:06000:2:Z3861325749;60:06000:5:Z4148503849;
Cc1cccs1,15002,60:06000:0:Z3899020463;60:06000:0:Z2482117586;60:06000:0:Z2476665354;
O=C1CNCN1,2617,60:06000:0:Z3373561681;60:06000:0:Z3546685730;60:06000:1:Z3391517203;
C1CC2(CCOCC2)N1,540,60:06000:0:Z3373561681;60:06000:0:Z2311164153;60:06000:0:Z2311175861;
CC1CCNCC1(C)O,745,60:06000:0:Z4403535419;60:06000:0:Z4590264799;60:06000:0:Z4422286034;
CC1CCS(=O)(=O)N1C,377,60:06000:0:Z3439120946;60:06000:1:Z3444327962;60:06000:3:Z3783309765;
C1CC2(CN1)COCCO2,484,60:06000:0:Z3950477517;60:06000:7:Z2989196646;60:06000:9:Z3618304956;
Cn1ccc2ccccc21,5354,60:06000:0:Z3634988695;60:06000:0:Z1711960797;60:06000:0:Z4217724404;
O=c1[nH]ccc2ccccc12,1764,60:06000:0:Z2781827441;60:06000:0:Z2963647148;60:06000:0:Z2648620480;
Cc1nc2nccnc2s1,83,60:06000:0:Z4961517788;60:06000:4:Z4961474189;60:06002:0:Z4961470372;
O=S1(=O)CC2(CCCCC2)C1,338,60:06000:0:Z4961517788;60:06000:4:Z3359942276;60:06000:7:Z4389831539;
C1CCC2(CCC2)SC1,694,60:06000:0:Z2962327848;60:06000:4:Z3367990668;60:06000:4:Z2962322038;
Cc1nc2c(s1)CCCC2,1422,60:06000:0:Z5055447553;60:06000:0:Z4268381609;60:06000:0:Z2284732886;
Cc1ccnnc1C,965,60:06000:0:Z3558846638;60:06000:0:Z4106943875;60:06000:4:Z2712942519;
Cc1cccc(C)n1,3418,60:06000:0:Z3558846638;60:06000:0:Z1739439919;60:06000:0:Z3361558685;
O=S1(=O)CC2CCCC2C1,772,60:06000:0:Z3832675179;60:06000:0:Z4093958516;60:06000:2:Z3788346954;
C1CCC2(CC1)CCCO2,1426,60:06000:0:Z1823030620;60:06000:0:Z2972058451;60:06000:1:Z4277390786;
CC1(C)CCc2oncc2C1,593,60:06000:0:Z2863601127;60:06000:0:Z3657796745;60:06000:0:Z2789558049;
FC1(F)C2CCCCC21,2747,60:06000:0:Z3536970902;60:06000:0:Z3354609429;60:06000:0:Z2639449392;
C1CC2(C1)CC21CC1,346,60:06000:0:Z4413855563;60:06000:0:Z4424160108;60:06000:1:Z4719082196;
Cc1cn2cc(C)sc2n1,646,60:06000:0:Z2227915922;60:06000:1:Z4071162818;60:06000:3:Z3938492494;
c1cc2sccc2[nH]1,975,60:06000:0:Z1865899406;60:06000:1:Z1952400812;60:06000:1:Z3297946773;
CC1(C)CNCC1(F)F,260,60:06000:0:Z3587750458;60:06000:2:Z3552955978;60:06000:4:Z3599310876;
c1nc2c(s1)CCC2,2433,60:06000:0:Z442666854;60:06000:1:Z2953435582;60:06000:1:Z2949506696;
c1ccn2ncnc2c1,2283,60:06000:0:Z2125293338;60:06000:1:Z3883786300;60:06000:2:Z3313093413;
CC12CCC(=O)N1CCCN2,156,60:06000:0:Z4227060695;60:06000:0:Z4227062320;60:06000:0:Z4227042148;
Cc1ccnc2ncnn12,305,60:06000:0:Z4051365314;60:06000:1:Z3610862922;60:06000:9:Z1608266736;
CC1CCCCC1O,729,60:06000:0:Z1335548932;60:06000:0:Z2621099820;60:06000:1:Z2644308986;
CN1Cc2ccccc2C1,558,60:06000:0:Z4236642854;60:06000:5:Z4274889102;60:06000:6:Z4453228172;
FC1COC1,685,60:06000:0:Z4215974750;60:06000:2:Z4129581197;60:06000:3:Z3573026577;
C1CC2COCC2O1,1993,60:06000:0:Z4215974750;60:06000:0:Z3694800007;60:06000:2:Z3565317970;
Cc1nc2c([nH]1)CCCC2,702,60:06000:0:Z4471192422;60:06000:0:Z4350225396;60:06000:0:Z4350502349;
CC1CCCN1C,2180,60:06000:0:Z2911354292;60:06000:0:Z2974981991;60:06000:0:Z4313639672;
OC1CNCC2(CC2)C1,375,60:06000:0:Z3678649746;60:06000:7:Z4305170385;60:06001:1:Z3438490493;
C1CC2CCC1CN2,2617,60:06000:0:Z3881911003;60:06000:0:Z2300993238;60:06000:0:Z4211565104;
FC1(F)C2CCNCC21,802,60:06000:0:Z4484377048;60:06000:2:Z4621664447;60:06000:4:Z4612474055;
Fc1ccc2[nH]cnc2c1,1081,60:06000:0:Z4469854410;60:06000:0:Z1651933394;60:06000:0:Z4405811874;
Cc1ccc2scnc2c1C,259,60:06000:0:Z4312361788;60:06000:7:Z4312238769;60:06001:0:Z4176784311;
Cc1ncc2n1CCCC2,1413,60:06000:0:Z1583904895;60:06000:0:Z4470774149;60:06000:1:Z4335227629;
O=C1CCNCC12CCC2,358,60:06000:0:Z3440338989;60:06000:1:Z3611134579;60:06000:2:Z3611129935;
CC1(C)CC(C)(C)C1O,206,60:06000:0:Z4257453712;60:06000:2:Z3662373924;60:06001:6:Z4265807698;
NC1CC2CCCC(C1)C2,199,60:06000:0:Z2363939705;60:06000:8:Z2356125672;60:06001:1:Z4053508168;
FC1(F)CCCNC1,3788,60:06000:0:Z2363939705;60:06000:0:Z4178603007;60:06000:0:Z2441396271;
Cc1[nH]c(=O)sc1C,832,60:06000:0:Z4145074247;60:06000:1:Z1214784851;60:06000:1:Z2932290330;
NC1CCC12CCC2,527,60:06000:0:Z3138315747;60:06000:2:Z4910422869;60:06000:4:Z4144615842;
Clc1nccs1,1782,60:06000:0:Z3475232231;60:06000:0:Z2073042692;60:06000:0:Z2923379321;
Fc1cncc(F)c1,1668,60:06000:0:Z4322625784;60:06000:0:Z3444333154;60:06000:1:Z2909305003;
CN1C(=O)Cc2ccccc21,1209,60:06000:0:Z4594827958;60:06000:4:Z3437085257;60:06000:4:Z4483354733;
Cc1cccc(=O)n1C,1059,60:06000:0:Z4023023422;60:06000:0:Z1907335658;60:06000:1:Z1890918227;
CN1CCC12CCC2,218,60:06000:0:Z4096208628;60:06000:9:Z4003260330;60:06001:0:Z4096220420;
FC1CNCC12CCC2,741,60:06000:0:Z3628570892;60:06000:2:Z2614242259;60:06000:2:Z3683648273;
Cc1c[nH]c(C)c1,1989,60:06000:0:Z2329166655;60:06000:1:Z3529958115;60:06000:1:Z4229274633;
CC1(C)CC2CC(C)(CN2)C1,194,60:06000:0:Z3018963276;60:06001:2:Z370312396;60:06001:7:Z3295561330;
C1CC2CNCC2CO1,1499,60:06000:0:Z3018963276;60:06000:2:Z4710778084;60:06000:2:Z4591715971;
Cc1nsc2ncccc12,279,60:06000:0:Z982434974;60:06000:3:Z3713489372;60:06000:4:Z1283927076;
c1nc2c(s1)COCC2,1947,60:06000:0:Z3550273778;60:06000:0:Z3382544291;60:06000:0:Z4344993226;
O=C1NS(=O)(=O)c2ccc(F)cc21,26,60:06000:0:Z1999776238;60:06004:2:Z1999780677;60:06004:7:Z4645320962;
CC1(C)COCCO1,4566,60:06000:0:Z4599694725;60:06000:0:Z5058199058;60:06000:0:Z4517349675;
OC1CC2CNCC2C1,854,60:06000:0:Z4154377872;60:06000:0:Z4178905000;60:06000:2:Z4713837871;
CC1CC1F,570,60:06000:0:Z3654262228;60:06000:1:Z3627443123;60:06000:4:Z2453841363;
Cc1cc(C)c(C)c(C)c1C,300,60:06000:0:Z1917802292;60:06000:1:Z1956739974;60:06001:1:Z2017827132;
O=C1CNc2cc(Cl)ccc2N1,18,60:06000:0:Z4132184384;60:06000:0:Z4132184187;60:06004:8:Z4132184319;
C1CSCN1,6775,60:06000:0:Z2767348390;60:06000:0:Z3612210208;60:06000:0:Z3085635110;
CN1CCCC12CCC2,443,60:06000:0:Z3625439003;60:06000:8:Z3625440690;60:06001:5:Z3625435541;
Oc1ccc2c(c1)CCCC2,870,60:06000:0:Z4003228371;60:06000:0:Z4105636335;60:06000:3:Z3588248749;
C1NC2CNC1C2,2807,60:06000:0:Z4199887710;60:06000:0:Z4343967374;60:06000:1:Z2827729730;
Cc1ncnc(N)n1,74,60:06000:0:Z3561930032;60:06001:5:Z4458772642;60:06003:4:Z2852189120;
C1CC2CCC12,804,60:06000:0:Z4403087874;60:06000:1:Z4143643814;60:06000:1:Z4393842554;
CC1CCCCS1,1425,60:06000:0:Z3580432935;60:06000:0:Z2949783759;60:06000:1:Z2504783775;
Cn1cc2c(n1)COCC2,92,60:06000:0:Z4984068286;60:06000:4:Z4984047247;60:06000:9:Z4984070374;
CN1CCC2(CCNCC2)CC1,402,60:06000:0:Z3693003940;60:06000:1:Z3559402884;60:06000:1:Z3626946508;
Cc1nn[nH]c1C,85,60:06000:0:Z3364106161;60:06000:0:Z2917069334;60:06001:6:Z4883187372;
Cc1cc2scnc2s1,141,60:06000:0:Z2292579404;60:06000:1:Z1363050424;60:06000:7:Z2438643917;
c1noc2c1COCC2,1605,60:06000:0:Z3581960318;60:06000:0:Z2948578765;60:06000:0:Z2991364504;
FC1CCCCC1,6787,60:06000:0:Z4250448342;60:06000:0:Z2407385993;60:06000:0:Z2854329214;
Nc1cc2c(cn1)CCC2,145,60:06000:0:Z4124853231;60:06000:2:Z5056106015;60:06000:5:Z4095673846;
C1CNCCC2(C1)CCC2,206,60:06000:0:Z4124853231;60:06000:3:Z3323098268;60:06000:9:Z3390568814;
NC1CCOCC1,1448,60:06000:0:Z2606207565;60:06000:0:Z3132298026;60:06000:0:Z4886272795;
c1ncc2c(n1)CCCS2,105,60:06000:0:Z3559483174;60:06000:6:Z3559863353;60:06001:6:Z3559801443;
CC1Cc2ccccc2C1,943,60:06000:0:Z1176080436;60:06000:2:Z2223901627;60:06000:3:Z2629049584;
Cc1cnccn1,7093,60:06000:0:Z2205323036;60:06000:0:Z4614044695;60:06000:0:Z4229765674;
Cc1ccnnc1,1584,60:06000:0:Z4621157549;60:06000:0:Z4645815637;60:06000:0:Z4384510106;
OC1CNCCc2ccccc21,222,60:06000:0:Z3867763969;60:06001:0:Z3867765045;60:06001:7:Z3787191036;
FC1CCCC1,5156,60:06000:0:Z3819967829;60:06000:0:Z3819988436;60:06000:0:Z3180227207;
C1CCC2(CC1)CNC2,794,60:06000:0:Z1727711028;60:06000:2:Z4473483506;60:06000:2:Z3668773443;
Cn1nc2ccccc2n1,147,60:06000:0:Z3820132412;60:06000:7:Z3471117123;60:06001:7:Z4137523181;
CC1CCc2oncc2C1,940,60:06000:0:Z2178284004;60:06000:0:Z1875071816;60:06000:1:Z1874469597;
Cc1cc2scnc2cc1F,147,60:06000:0:Z3694800007;60:06000:3:Z1970944233;60:06000:4:Z3547368966;
CC1CNCC(C)(C)O1,1351,60:06000:0:Z3515665371;60:06000:4:Z4027079330;60:06000:4:Z4023894931;
CC1CCCC(C)NC1,169,60:06000:0:Z4008265365;60:06000:2:Z3599389310;60:06000:3:Z1263457446;
Fc1ccc2ncccc2c1,1116,60:06000:0:Z2974981991;60:06000:2:Z4134982484;60:06000:2:Z4234053629;
Cc1ccc2c(C)noc2n1,343,60:06000:0:Z4907993663;60:06000:2:Z4595094073;60:06000:5:Z3092509106;
Cn1nnc2cccnc21,589,60:06000:0:Z1666337781;60:06000:1:Z2012619544;60:06000:6:Z4227378835;
CN1CCC2(CCNC2)C1,542,60:06000:0:Z2774390875;60:06000:3:Z4123713809;60:06000:4:Z2208134413;
NC1CCC(O)C1,359,60:06000:0:Z4422394085;60:06000:0:Z3346581569;60:06000:4:Z4058181528;
CC1(C)CNCCS1,840,60:06000:0:Z2632787897;60:06000:2:Z4471513984;60:06000:3:Z4394409474;
C1COC2(C1)CCNC2,694,60:06000:0:Z4860338366;60:06000:0:Z4860422653;60:06000:1:Z4638793877;
CC1(C)C(F)C1(C)C,146,60:06000:0:Z4961323866;60:06000:2:Z3669317380;60:06000:7:Z3667116451;
OC1CC2(CCNCC2)C1,542,60:06000:0:Z4144172366;60:06000:2:Z4141091221;60:06000:2:Z4141371749;
C1CCC2(CC1)CCCOC2,473,60:06000:0:Z3184645720;60:06000:1:Z3198963480;60:06000:5:Z3198964992;
CC1CCN1,2642,60:06000:0:Z4204581052;60:06000:0:Z3606369566;60:06000:1:Z3276447418;
CC1CC(N)C1,376,60:06000:0:Z4971451668;60:06000:2:Z3515750474;60:06000:4:Z3522633489;
O=S1(=O)CCC2CNCC21,1359,60:06000:0:Z4246205538;60:06000:0:Z4246205533;60:06000:0:Z3894448537;
CC1OCCCO1,288,60:06000:0:Z1853201211;60:06000:4:Z3829358539;60:06000:4:Z1851983084;
CC1CCCS1,1373,60:06000:0:Z2919513244;60:06000:0:Z2435792514;60:06000:1:Z1761514073;
c1n[nH]c2c1CCC2,1906,60:06000:0:Z4261522118;60:06000:0:Z4245330213;60:06000:0:Z1175616045;
Cc1cncnn1,6,60:06000:0:Z4151411820;60:06037:3:Z4151415222;60:06045:0:Z4151415101;
Cc1cc(=O)n2c(n1)CCCC2,170,60:06000:0:Z4151411820;60:06000:2:Z4392323728;60:06000:6:Z4032993358;
CC1(C)CNCC2(CCOC2)O1,294,60:06000:0:Z3558476423;60:06001:0:Z4195269877;60:06001:3:Z1954688959;
Clc1ncc2cc[nH]c2n1,47,60:06000:0:Z3558476423;60:06000:2:Z3557878960;60:06003:0:Z3559748987;
CC1(C)OCc2cnc(Cl)nc21,114,60:06000:0:Z2615243333;60:06001:7:Z4576194442;60:06002:2:Z2272105687;
OC1CC2CNC1C2,795,60:06000:0:Z3549242455;60:06000:4:Z3323926800;60:06000:6:Z4485813472;
Cc1ncsc1C,2687,60:06000:0:Z3151637480;60:06000:0:Z2599778779;60:06000:1:Z1470803637;
c1cnc2nccn2c1,2120,60:06000:0:Z4233049852;60:06000:1:Z4233348496;60:06000:1:Z3630154528;
Cc1n[nH]c(=O)[nH]1,443,60:06000:0:Z3382119660;60:06000:5:Z3352007349;60:06000:5:Z3358816680;
Cc1nc2cccnc2[nH]1,603,60:06000:0:Z1973714982;60:06000:3:Z4907639332;60:06000:6:Z2349590620;
C1CC2CNCC1N2,825,60:06000:0:Z3793670989;60:06000:2:Z2872971767;60:06000:2:Z2607428930;
Fc1cccc2c1NCCC2,227,60:06000:0:Z3695175733;60:06000:6:Z2992050550;60:06000:6:Z3357575710;
N=S1(=O)CCC1,108,60:06000:0:Z4598558259;60:06000:1:Z4598560584;60:06000:3:Z4598559482;
Clc1ccc2c(c1)CCO2,2498,60:06000:0:Z4598558259;60:06000:1:Z1665972008;60:06000:1:Z2963459548;
CC1NCCc2cc(Cl)ccc21,107,60:06000:0:Z3310865109;60:06000:2:Z4410144635;60:06001:8:Z3570982219;
C1CCC2(CCC2)OC1,3784,60:06000:0:Z4141962234;60:06000:0:Z3054099074;60:06000:0:Z2932114092;
CC1CCCCC1(F)F,781,60:06000:0:Z4149908926;60:06000:0:Z3898619100;60:06000:2:Z3819078083;
c1cc2scnc2cn1,323,60:06000:0:Z4149908926;60:06000:3:Z2911007850;60:06000:7:Z2668134593;
Cc1c(Cl)cc(Cl)c2nccc(=O)n12,22,60:06000:0:Z847898866;60:06002:9:Z46185199;60:06005:4:Z2613895249;
C1CC2CCCC2C1,1758,60:06000:0:Z3587051915;60:06000:0:Z4187737817;60:06000:0:Z4204398037;
Cc1ccc2occc2c1,866,60:06000:0:Z3358712933;60:06000:2:Z3610294637;60:06000:5:Z1175364233;
C1CC2CCNCC2CN1,260,60:06000:0:Z3046385060;60:06000:1:Z4079342082;60:06000:4:Z3141320361;
c1cn2ccsc2n1,3880,60:06000:0:Z2916891646;60:06000:0:Z2288275742;60:06000:0:Z1698419531;
C1COC2CC2C1,687,60:06000:0:Z3053534302;60:06000:2:Z4013799039;60:06000:4:Z4147864410;
C1=CCNCC1,6679,60:06000:0:Z4398212719;60:06000:0:Z4267247727;60:06000:0:Z2032362998;
OC1CCCOC12CNC2,308,60:06000:0:Z3819459015;60:06000:0:Z3818985724;60:06000:7:Z3911730234;
Cc1cc(C)[nH]c(=O)c1,1156,60:06000:0:Z3203901664;60:06000:1:Z2350560640;60:06000:1:Z2305931124;
CC1(C)CNCCc2ccccc21,118,60:06000:0:Z2643657771;60:06002:3:Z4100312105;60:06002:4:Z2602367291;
O=C1CC2(CCC2)C1,459,60:06000:0:Z2643657771;60:06000:4:Z4638523798;60:06001:0:Z4600710121;
O=C1CSc2ccccc2N1,1689,60:06000:0:Z1639454780;60:06000:2:Z3671294562;60:06000:2:Z2842007260;
Cc1csc2ncn(C)c(=O)c12,244,60:06000:0:Z966240490;60:06000:5:Z3144702178;60:06002:2:Z2441833827;
CC1(C)CCCC(=O)C1,374,60:06000:0:Z5001314659;60:06000:1:Z5001316736;60:06000:1:Z5001408345;
Clc1cccc2c1OCCC2,311,60:06000:0:Z2591065279;60:06000:0:Z1071085238;60:06000:1:Z1233022157;
Fc1ccc(F)c2c1CCCO2,462,60:06000:0:Z4390838008;60:06000:0:Z4390837723;60:06000:2:Z4255796099;
CC1(C)CC2(CCN2)CCO1,289,60:06000:0:Z4031749884;60:06000:8:Z4031749020;60:06000:8:Z4492795272;
CC1(C)CC2(CCC2)CO1,397,60:06000:0:Z3009576949;60:06000:1:Z3570949930;60:06000:3:Z2991802459;
O=c1[nH]cccc1Cl,467,60:06000:0:Z4245330213;60:06000:0:Z737246424;60:06000:4:Z1014807976;
C1CC2CC(CO2)N1,364,60:06000:0:Z4380964988;60:06000:5:Z3594271682;60:06000:5:Z3594298029;
O=c1[nH]nc(Cl)s1,15,60:06000:0:Z1862091976;60:06010:2:Z3638652461;60:06017:5:Z1892312651;
CC1COCCO1,1932,60:06000:0:Z3588468588;60:06000:1:Z3611189644;60:06000:1:Z3201918113;
CN1CCOCC1,4013,60:06000:0:Z3620031962;60:06000:0:Z2773763108;60:06000:0:Z3876118807;
c1cc2n(n1)CCCC2,6710,60:06000:0:Z2882052634;60:06000:0:Z3603446562;60:06000:0:Z2770648769;
Oc1cccc(F)c1,1724,60:06000:0:Z1861912454;60:06000:1:Z4089408079;60:06000:2:Z2164693047;
CC1(C)CNc2cccc(Cl)c21,104,60:06000:0:Z941521172;60:06001:3:Z1881239528;60:06004:5:Z940644632;
C1COCC2(CCOC2)N1,263,60:06000:0:Z1998582061;60:06000:0:Z1998095212;60:06001:0:Z4265545788;
Cc1c(Cl)ccc2[nH]ccc12,111,60:06000:0:Z3203019497;60:06003:1:Z3572883616;60:06003:5:Z3203520550;
CC1CCCC1(F)F,732,60:06000:0:Z4148881278;60:06000:1:Z3782075462;60:06000:3:Z3787762936;
FC1(F)CC12CCNC2,971,60:06000:0:Z4064830641;60:06000:0:Z4312615591;60:06000:1:Z4064125002;
Cc1ccc2cccnc2c1,1004,60:06000:0:Z4350591184;60:06000:0:Z5006648768;60:06000:0:Z3829338960;
NC12CC3CC(CC(C3)C1)C2,55,60:06000:0:Z3796089089;60:06000:4:Z3100509064;60:06000:6:Z4446366220;
CC1CCC(N)C1,283,60:06000:0:Z4058294967;60:06000:2:Z3517251419;60:06000:4:Z3515837333;
C1CC2CCC1CO2,2492,60:06000:0:Z5021595107;60:06000:0:Z3505806250;60:06000:0:Z4506745359;
Fc1ccc(F)c2c1CCN2,200,60:06000:0:Z4062477089;60:06000:4:Z2231364292;60:06000:4:Z2231363402;
O=C1CCOc2ccccc21,1242,60:06000:0:Z3550771388;60:06000:1:Z4375230460;60:06000:1:Z2654830228;
c1cc2c(o1)CNC2,474,60:06000:0:Z3550771388;60:06000:0:Z3681223155;60:06000:0:Z3785985904;
C1CCC2(CC1)CCCCO2,907,60:06000:0:Z3639938011;60:06000:0:Z3555870438;60:06000:2:Z3363581175;
Fc1ccc2[nH]ccc2c1,1675,60:06000:0:Z3629780351;60:06000:1:Z4032366009;60:06000:2:Z3639625449;
CC1OCCC12CNCCO2,392,60:06000:0:Z2364506240;60:06000:1:Z2069675852;60:06000:7:Z4934324520;
NC1CC2CCC(C1)C2,541,60:06000:0:Z2364506240;60:06000:1:Z2361073498;60:06000:3:Z4066202459;
OC1CNC2CCCCC2C1,188,60:06000:0:Z4394031032;60:06000:1:Z4471135698;60:06000:1:Z4471136613;
Cn1cnc2c1CCNC2,177,60:06000:0:Z3084000045;60:06000:2:Z2773379380;60:06000:3:Z2073175467;
CC1CCC(=O)C1,294,60:06000:0:Z3084000045;60:06000:1:Z3086080111;60:06000:7:Z3910857288;
CC12CCCC(CO1)C2,843,60:06000:0:Z3580535744;60:06000:1:Z3584062668;60:06000:3:Z4177070795;
CC1CN2CCCCC2CN1,291,60:06000:0:Z4413796174;60:06000:2:Z4468146187;60:06000:2:Z1222664342;
CC1COc2ccccc21,1439,60:06000:0:Z4734172381;60:06000:0:Z4705114177;60:06000:0:Z3058084652;
O=C1NCCC12CCCNC2,389,60:06000:0:Z4734172381;60:06000:0:Z3883093152;60:06000:4:Z4876485060;
Clc1ccnc2ccccc12,363,60:06000:0:Z4048994463;60:06000:0:Z2027537761;60:06000:3:Z4267088860;
O=c1[nH]cnc2c1CCCN2,97,60:06000:0:Z4925091769;60:06000:4:Z3000105163;60:06002:0:Z2874993369;
O=C1CCC2CCCN12,196,60:06000:0:Z4124128323;60:06000:0:Z3840859276;60:06000:1:Z4124220081;
O=c1cc[nH]cn1,563,60:06000:0:Z4005618855;60:06000:0:Z2861432889;60:06000:1:Z4524304037;
CN1CCNC(=O)C12CCNCC2,245,60:06000:0:Z4456388161;60:06000:2:Z4472782053;60:06000:7:Z4472769984;
Cc1cc(C)sn1,897,60:06000:0:Z3503164426;60:06000:0:Z2225378098;60:06000:1:Z3634913015;
CN1CC2CC1CN2,203,60:06000:0:Z4256670804;60:06000:5:Z4256703605;60:06000:6:Z4256683211;
Cn1ccc(=O)c2cnn(C)c21,86,60:06000:0:Z4256670804;60:06000:9:Z2967158645;60:06002:6:Z2784519830;
Cc1cc2c([nH]1)CCCC2,98,60:06000:0:Z3778172538;60:06000:2:Z1927491403;60:06002:1:Z1739699618;
Cc1ccnc2ccccc12,1350,60:06000:0:Z2208231662;60:06000:0:Z2204741994;60:06000:1:Z1336764440;
N=S1(=O)CCC2(CCCN2)C1,124,60:06000:0:Z3551594181;60:06003:7:Z3551602833;60:06005:9:Z3648861216;
Cc1nc[nH]n1,2693,60:06000:0:Z1419594902;60:06000:0:Z3628097229;60:06000:1:Z2952183618;
CC1CCNCCS1(=O)=O,428,60:06000:0:Z1867244854;60:06000:1:Z1882734944;60:06000:2:Z3527779708;
Clc1ccc2cc[nH]c2c1,1483,60:06000:0:Z1867244854;60:06000:0:Z793367708;60:06000:0:Z3687128050;
C1CC2(C1)CCN2,2756,60:06000:0:Z4113999452;60:06000:2:Z2961200469;60:06000:2:Z3712827312;
FC1CC2CNCCN2C1,252,60:06000:0:Z4276340034;60:06000:8:Z4323854269;60:06001:2:Z3618512137;
Cc1ccn2ncnc2n1,1293,60:06000:0:Z4289316739;60:06000:1:Z30684950;60:06000:1:Z1666014246;
C1CCC2CCOC2CC1,459,60:06000:0:Z3595699451;60:06000:3:Z3367821332;60:06000:4:Z3163179301;
C1CC2(C1)COCCO2,763,60:06000:0:Z5063297095;60:06000:1:Z5062971216;60:06000:1:Z5017696751;
c1cn2nccc2cn1,1217,60:06000:0:Z2771093526;60:06000:1:Z5036752840;60:06000:2:Z4368731392;
