fragment_smiles,occurences,example_ligands
Fc1cccc(F)c1,23876,20:02000:0:Z1397967166;20:02000:0:Z1999585514;20:02000:0:Z1862771090;
c1ccc2c(c1)CCO2,8552,20:02000:0:Z3383559814;20:02000:0:Z2408035433;20:02000:0:Z1953996710;
C1CNCCN1,56958,20:02000:0:Z3383559814;20:02000:0:Z2697980951;20:02000:0:Z54445611;
Cc1ncon1,9782,20:02000:0:Z3652951985;20:02000:0:Z4591451688;20:02000:0:Z4232249620;
Clc1cccs1,15797,20:02000:0:Z2723211638;20:02000:0:Z2917679375;20:02000:0:Z3206506855;
Fc1ccccc1,127223,20:02000:0:Z3537629297;20:02000:0:Z3833431294;20:02000:0:Z3604137184;
C1CCC2(C1)CCC2,3815,20:02000:0:Z3537629297;20:02000:0:Z3544419921;20:02000:0:Z4188665299;
Nc1ncccn1,1577,20:02000:0:Z3077551341;20:02000:0:Z3076505624;20:02000:2:Z1578877725;
Cn1ccnn1,17805,20:02000:0:Z3818037608;20:02000:0:Z3520622218;20:02000:0:Z2951527054;
c1ncc2ccsc2n1,1322,20:02000:0:Z1481165104;20:02000:1:Z3604298103;20:02000:1:Z4959734402;
CN1CC2CCC(C1)N2,317,20:02000:0:Z2951743413;20:02000:7:Z3077710389;20:02001:3:Z2916152383;
CC1CCOC1,11804,20:02000:0:Z4042195813;20:02000:0:Z2289492692;20:02000:0:Z3540808347;
CC1CCc2ccccc2C1,349,20:02000:0:Z4208944461;20:02000:2:Z1273650487;20:02000:5:Z4256631264;
Clc1ccccc1,96391,20:02000:0:Z4396098491;20:02000:0:Z2213945441;20:02000:0:Z3469088433;
c1nn[nH]n1,21622,20:02000:0:Z4396098491;20:02000:0:Z4913671568;20:02000:0:Z4415340828;
Nc1ccncc1F,231,20:02000:0:Z4309604691;20:02000:3:Z4312425027;20:02001:4:Z4474159285;
OC1CCNCC1,11977,20:02000:0:Z3314862495;20:02000:0:Z1272563498;20:02000:0:Z3516910714;
Cc1cc[nH]c(=O)c1,831,20:02000:0:Z4232258101;20:02000:2:Z2299301039;20:02000:3:Z1635505253;
FC1(F)CCCCC1,9990,20:02000:0:Z2288640354;20:02000:0:Z2443913747;20:02000:0:Z2312094486;
C1CCNCC1,257329,20:02000:0:Z2443913747;20:02000:0:Z3181450538;20:02000:0:Z3313422426;
Cc1cccc(C)c1,16217,20:02000:0:Z1308303885;20:02000:0:Z2771439057;20:02000:0:Z2011201987;
FC1(F)CCC1,16146,20:02000:0:Z4053539923;20:02000:0:Z3224529826;20:02000:0:Z1411366419;
C1CC2CCC1N2,6946,20:02000:0:Z4053539923;20:02000:0:Z2984285317;20:02000:0:Z3827773569;
c1cc[nH]c1,25846,20:02000:0:Z4224086544;20:02000:0:Z1891569591;20:02000:0:Z4450464065;
C1=CCOCC1,369,20:02000:0:Z4224086544;20:02000:3:Z4144758580;20:02000:3:Z4144483062;
Cc1ncsc1C,3864,20:02000:0:Z3322869610;20:02000:0:Z1889176253;20:02000:0:Z2454551653;
Fc1cc2c(cc1F)NCC2,170,20:02000:0:Z1785949641;20:02000:7:Z738101706;20:02001:0:Z5011253963;
c1ccccc1,438696,20:02000:0:Z2302533138;20:02000:0:Z4150977422;20:02000:0:Z3876723778;
Clc1cscn1,4933,20:02000:0:Z4150977422;20:02000:0:Z4157966060;20:02000:0:Z2830960149;
C1COCCN1,80883,20:02000:0:Z3876723778;20:02000:0:Z1961758655;20:02000:0:Z3883881164;
CN1CCCCC1=O,4408,20:02000:0:Z3873129523;20:02000:0:Z1333191571;20:02000:0:Z4197018299;
C1CC2CCCN2C1,1046,20:02000:0:Z4279226802;20:02000:0:Z4279226803;20:02000:0:Z2804746629;
Cc1nc2c([nH]1)CNCC2,320,20:02000:0:Z4226465720;20:02000:1:Z4665517599;20:02000:4:Z4665521723;
O=C1CNCN1,3204,20:02000:0:Z3515346697;20:02000:0:Z3057232958;20:02000:0:Z4076538074;
Cc1cccnn1,6020,20:02000:0:Z1816706318;20:02000:0:Z4090257052;20:02000:0:Z4609863403;
CC1CCCC(C)C1,2378,20:02000:0:Z1816706318;20:02000:0:Z1158134272;20:02000:0:Z3232559002;
C1CCCNCC1,20408,20:02000:0:Z1247343472;20:02000:0:Z3153225299;20:02000:0:Z1234010535;
CC1(C)CCCNC1,5636,20:02000:0:Z4111198875;20:02000:0:Z4269784433;20:02000:0:Z2295864283;
c1nnn[nH]1,18461,20:02000:0:Z4111198875;20:02000:0:Z3350498727;20:02000:0:Z1319324298;
Cc1cnn2c1CCCC2,222,20:02000:0:Z4178792929;20:02000:3:Z3850751438;20:02000:5:Z4351729124;
CC1CC=NO1,2518,20:02000:0:Z3874893513;20:02000:0:Z5043864350;20:02000:0:Z5043864347;
CC1(C)CCCO1,7146,20:02000:0:Z3984049583;20:02000:0:Z4610001768;20:02000:0:Z3482102145;
c1ccsc1,119047,20:02000:0:Z3842229485;20:02000:0:Z3363584301;20:02000:0:Z4055147718;
Cc1ccon1,16281,20:02000:0:Z3842229485;20:02000:0:Z3819799480;20:02000:0:Z2072575832;
Cn1cncn1,14561,20:02000:0:Z1595512955;20:02000:0:Z4465645711;20:02000:0:Z4575117637;
CC12CC(C1)C1(CCC1)O2,63,20:02000:0:Z3642759576;20:02000:6:Z3523498900;20:02000:6:Z3523160286;
