fragment_smiles,occurences,example_ligands
C1CC2CC(C1)N2,744,20:02000:1:Z4922118057;20:02000:2:Z4917571353;20:02000:2:Z4917563585;
c1cnc2c(c1)OCCN2,201,20:02000:1:Z4125817436;20:02000:2:Z4305640257;20:02001:1:Z4876206112;
C1CC2OCCC2O1,622,20:02000:1:Z3834125091;20:02000:4:Z3638395204;20:02000:5:Z3649741207;
CC1(C)CC1(F)F,1398,20:02000:1:Z4204422784;20:02000:1:Z3347674379;20:02000:1:Z2850941154;
CC1=CCCC1=O,71,20:02000:1:Z3790797631;20:02003:2:Z3790799536;20:02008:9:Z3790798366;
O=C1Nc2ccccc2C1(F)F,61,20:02000:1:Z3790797631;20:02000:1:Z3394471306;20:02002:0:Z3603161658;
Cc1ncc(Cl)cn1,436,20:02000:1:Z3565785058;20:02000:2:Z1647599489;20:02000:2:Z4353574335;
Cn1nc2n(c1=O)CCNC2,269,20:02000:1:Z1537229699;20:02000:3:Z1779482729;20:02000:3:Z1570937424;
Clc1cc[nH]n1,663,20:02000:1:Z2028039688;20:02000:2:Z1586422938;20:02000:4:Z1492318479;
c1nc2n(n1)CCCN2,613,20:02000:1:Z4311397952;20:02000:5:Z2446879951;20:02000:6:Z2384733621;
C1CC2CC2CN1,2057,20:02000:1:Z2912037725;20:02000:2:Z2621825719;20:02000:2:Z5023147795;
O=C1NCC2CCC1N2,969,20:02000:1:Z5023881182;20:02000:1:Z3792380140;20:02000:2:Z3816284438;
O=C1CCC2CNCCC2N1,266,20:02000:1:Z3042662484;20:02000:4:Z2628777193;20:02000:7:Z3576756043;
Fc1cccc2c1CSCC2,59,20:02000:1:Z3888812636;20:02003:7:Z3888986887;20:02003:7:Z3888980022;
Cc1n[nH]c(C)n1,1526,20:02000:1:Z4039641936;20:02000:2:Z4154160960;20:02000:2:Z3870169986;
c1cc2snnc2s1,247,20:02000:1:Z4286364592;20:02000:3:Z4883728205;20:02000:8:Z4290480440;
CN1CCC(N)C1,300,20:02000:1:Z2383177919;20:02000:1:Z4060062099;20:02000:6:Z4029595270;
OC1CC2CNCC12,555,20:02000:1:Z2647143517;20:02000:1:Z2604644492;20:02000:2:Z3555377889;
c1cnc2c(n1)CCNC2,380,20:02000:1:Z2780424410;20:02000:2:Z2647939719;20:02000:7:Z4644048205;
C1=Cc2ccccc2CCC1,79,20:02000:1:Z4207321863;20:02000:5:Z2569211759;20:02002:2:Z2646023155;
c1cnn2nccc2c1,1003,20:02000:1:Z4239194388;20:02000:2:Z4267897816;20:02000:2:Z4267919908;
OC1CCC2CNCC12,570,20:02000:1:Z2884129713;20:02000:2:Z3809887322;20:02000:3:Z2884125616;
Cc1ccc2c(c1)CNCC2,270,20:02000:1:Z3345534925;20:02000:8:Z3498477409;20:02001:7:Z2602715760;
CC1CCCNS1(=O)=O,360,20:02000:1:Z3361657417;20:02000:4:Z3357704615;20:02000:7:Z3357705063;
C1CNCC2(C1)COC2,554,20:02000:1:Z3174812155;20:02000:2:Z3175473974;20:02000:4:Z3209059923;
CN1CCNCC1(C)C,664,20:02000:1:Z3374125246;20:02000:2:Z4455775297;20:02000:2:Z3374122334;
c1ncc2cn[nH]c2n1,835,20:02000:1:Z2792912676;20:02000:1:Z1882164644;20:02000:3:Z2613589055;
CC1CCC(O)CC1,1810,20:02000:1:Z3314415796;20:02000:1:Z4240570632;20:02000:2:Z1996856561;
O=C1CC2(CCC2)CCN1,455,20:02000:1:Z4192569489;20:02000:3:Z3639552711;20:02000:5:Z3436023946;
c1ncn2c1CCC2,1191,20:02000:1:Z2691235976;20:02000:3:Z2914617815;20:02000:4:Z2691254525;
OC1CCC12CCNC2,516,20:02000:1:Z4025187325;20:02000:2:Z4025191211;20:02000:3:Z4009152385;
C1CCC2(C1)CNCCOC2,250,20:02000:1:Z1726272050;20:02000:5:Z2146754016;20:02000:9:Z4205120136;
c1ccc2c(c1)CNC1CC2C1,24,20:02000:1:Z4601706875;20:02002:1:Z3660681512;20:02009:9:Z3700501250;
O=C1CCC2CCCC2C1,112,20:02000:1:Z4096279959;20:02001:9:Z3362054815;20:02002:4:Z3296580916;
Cc1cccc2ccnnc12,77,20:02000:1:Z3843496827;20:02001:1:Z3831810475;20:02001:3:Z3946230907;
Clc1cccc2c1OCCO2,513,20:02000:1:Z4541779152;20:02000:1:Z3593883285;20:02000:1:Z1630536002;
Cc1cc(F)ccc1F,843,20:02000:1:Z4220432671;20:02000:2:Z2270532263;20:02000:3:Z3627553535;
CC1CNCCC(O)C1,521,20:02000:1:Z4051960972;20:02000:2:Z4051973133;20:02000:6:Z4071729432;
c1cnc2nn[nH]c2c1,243,20:02000:1:Z2458086300;20:02000:4:Z2644363864;20:02000:5:Z1663777448;
Cc1ccc2ocnc2c1,233,20:02000:1:Z3513075750;20:02000:3:Z3342418653;20:02000:6:Z2589141420;
C1CC2(CCN1)CCNC2,585,20:02000:1:Z2440734003;20:02000:2:Z2734281499;20:02000:2:Z3889406600;
c1nc2c([nH]1)CCNC2,425,20:02000:1:Z2963419418;20:02000:4:Z4141519529;20:02000:4:Z4862027426;
CC1(C)CNCC(O)C(O)C1,225,20:02000:1:Z3831051276;20:02000:2:Z3834108607;20:02000:9:Z4492528791;
C1OCC2CC1N2,358,20:02000:1:Z2499111167;20:02000:2:Z4389571296;20:02000:6:Z2410095572;
C1CCCCNCCC1,346,20:02000:1:Z2278558181;20:02000:3:Z3552543378;20:02000:3:Z2910452235;
Cc1cc2ccccc2cn1,324,20:02000:1:Z4200521240;20:02000:1:Z3633087631;20:02000:3:Z3654761575;
Nc1nccnn1,5,20:02000:1:Z3834579095;20:02016:4:Z4166389257;20:02023:2:Z4033825542;
Cn1ncc2cccnc21,970,20:02000:1:Z4390029737;20:02000:5:Z4341891221;20:02000:5:Z4523055555;
Cc1cccn2cccc12,134,20:02000:1:Z4200570029;20:02001:9:Z4069048617;20:02002:0:Z4055086271;
c1cc2c(cn1)CCNC2,535,20:02000:1:Z4346515760;20:02000:2:Z4347641398;20:02000:3:Z4346494878;
C1CC2CC1C1CC21,1491,20:02000:1:Z2803159149;20:02000:1:Z2822088665;20:02000:2:Z3913209648;
CC1(O)CC2CCC1C2,561,20:02000:1:Z3874771899;20:02000:1:Z3874771861;20:02000:2:Z3997248083;
C1COC2(C1)CCNCC2,1056,20:02000:1:Z3350432156;20:02000:3:Z3350510791;20:02000:4:Z3706379780;
C1=CC2=NCCN2C=C1,153,20:02000:1:Z4311680441;20:02000:4:Z4312280976;20:02000:8:Z4311778107;
CC12CCCC(CN1)C2,363,20:02000:1:Z3620383005;20:02000:2:Z3620382904;20:02000:8:Z3620382935;
C1CC2CCCC(C1)N2,181,20:02000:1:Z4454617366;20:02000:7:Z4448535553;20:02001:4:Z4453716352;
O=S1(=O)CCCNc2ccccc21,30,20:02000:1:Z4217900451;20:02001:3:Z4217902093;20:02006:2:Z4217901137;
CC1CCCC1N,550,20:02000:1:Z3133393508;20:02000:6:Z2605624455;20:02000:6:Z2605880591;
O=c1ccc(F)c[nH]1,303,20:02000:1:Z5034073547;20:02000:4:Z2365078698;20:02000:9:Z1822535939;
C1CC2(CN1)COCCO2,427,20:02000:1:Z2979386116;20:02000:2:Z3010006562;20:02000:7:Z2994810501;
O=C1CN=CN1,243,20:02000:1:Z2906008589;20:02000:7:Z4504025208;20:02001:5:Z2496964054;
Cn1c(=O)oc2ccccc21,756,20:02000:1:Z2793745688;20:02000:4:Z2825053250;20:02000:8:Z3138325464;
c1ncncn1,1002,20:02000:1:Z3079171163;20:02000:3:Z4876535034;20:02000:3:Z4576488272;
NC1CCn2nccc2C1,89,20:02000:1:Z3132219891;20:02000:6:Z3100463629;20:02000:9:Z3102831516;
CC1CNCc2nncn21,397,20:02000:1:Z5051415762;20:02000:6:Z5041852158;20:02000:9:Z5041860992;
O=c1[nH]c2c(c(=O)[nH]1)CNC2,93,20:02000:1:Z3653755743;20:02005:1:Z3715478430;20:02008:9:Z3645016398;
Cc1cnn[nH]1,1670,20:02000:1:Z2285409896;20:02000:1:Z1927093104;20:02000:2:Z4621542915;
O=C1NC2CCNCC2N1,3,20:02000:1:Z2441748765;20:02093:8:Z4004783862;20:02096:7:Z3498320393;
Oc1cncnc1,274,20:02000:1:Z4134425802;20:02000:1:Z4187961251;20:02000:5:Z4134424715;
C1=NCC2(CCC2)N1,108,20:02000:1:Z3861953092;20:02002:0:Z3861950728;20:02003:4:Z3861951884;
Cc1ccc2[nH]ncc2c1,334,20:02000:1:Z4479104086;20:02000:1:Z4474714641;20:02001:2:Z3593750839;
Cc1cc(F)cc(F)c1,662,20:02000:1:Z2853371277;20:02000:1:Z2625716625;20:02000:7:Z3391569725;
NC1COC1,566,20:02000:1:Z4205527445;20:02000:6:Z4525669403;20:02001:0:Z4207704844;
Cc1cc[nH]c(=O)n1,39,20:02000:1:Z3800144268;20:02001:9:Z2613456376;20:02004:5:Z2613456193;
O=c1[nH]ccc2c1CNCC2,238,20:02000:1:Z3205934548;20:02000:1:Z3205935500;20:02000:2:Z3205934542;
CC1CNc2ccnn2C1,352,20:02000:1:Z4195040502;20:02000:2:Z4195191628;20:02000:3:Z2875897089;
CC1CCNCC1C,809,20:02000:1:Z1557592670;20:02000:3:Z1557133057;20:02000:5:Z1557129905;
C1CCC2(C1)CCOC2,1139,20:02000:1:Z4638737252;20:02000:1:Z3780554615;20:02000:1:Z4018687873;
OC1CCCCC12CCCC2,182,20:02000:1:Z3899582169;20:02000:7:Z3834303655;20:02001:1:Z3836824438;
C1CC2(CNC2)CO1,432,20:02000:1:Z2218995365;20:02000:2:Z2227295657;20:02000:2:Z2232859244;
C1=CSCCO1,395,20:02000:1:Z4375104919;20:02000:5:Z4405846436;20:02000:7:Z4374453447;
c1cnc2[nH]ncc2c1,1512,20:02000:1:Z4185365183;20:02000:2:Z4227543343;20:02000:2:Z4910575582;
FC1Cc2ccccc2C1,241,20:02000:1:Z2475464287;20:02000:1:Z2480873202;20:02001:9:Z2494417292;
c1cnc2c(n1)NCCO2,71,20:02000:1:Z4416303510;20:02000:2:Z4416333120;20:02000:4:Z4417883029;
Cc1noc2nc[nH]c(=O)c12,37,20:02000:1:Z2769202183;20:02000:3:Z4458725767;20:02004:5:Z2769202323;
CC1CNCC(C)(C)C1,342,20:02000:1:Z1733243662;20:02000:4:Z1652875780;20:02000:8:Z1657399210;
CC1(C)CC2(CNC2)C1,336,20:02000:1:Z3612209828;20:02000:2:Z3407179056;20:02000:3:Z3897238745;
Clc1cnsc1,215,20:02000:1:Z3362765460;20:02000:2:Z4040535010;20:02000:4:Z3389978403;
CC1CCNC(=O)C1,1646,20:02000:1:Z1995524910;20:02000:1:Z3645849239;20:02000:2:Z4336905903;
c1ccn2nnnc2c1,660,20:02000:1:Z2903597388;20:02000:6:Z1661224997;20:02000:8:Z2629680011;
CC1(C)NCCC1O,608,20:02000:1:Z3354812041;20:02000:5:Z3606174030;20:02000:6:Z2279085868;
C1CCC2CCOC2CC1,297,20:02000:1:Z3595707588;20:02000:3:Z3050286474;20:02000:4:Z4277312142;
O=S1(=O)CC2(CCC2)C1,446,20:02000:1:Z2978189361;20:02000:5:Z2965266008;20:02000:7:Z3192218273;
c1cnc2c(c1)CNCCC2,236,20:02000:1:Z3516374173;20:02000:2:Z2691190297;20:02000:5:Z2691249185;
N=S1(=O)CCC(N)C1,180,20:02000:1:Z3521824496;20:02001:1:Z3521830185;20:02001:1:Z4970748010;
Cc1nnc2cccnn12,159,20:02000:1:Z2597307751;20:02000:3:Z5061372818;20:02000:8:Z1168207977;
Cn1cnc(Cl)c1,793,20:02000:1:Z3806470910;20:02000:3:Z4231021295;20:02000:3:Z4218484429;
CN1CCOCC2(COCCN2)C1,46,20:02000:1:Z3626969436;20:02003:1:Z4277805526;20:02003:4:Z3626976574;
NC1CCNCC1(F)F,300,20:02000:1:Z4314350127;20:02000:5:Z3518995363;20:02001:2:Z3384465009;
Nc1nc2nccnc2s1,100,20:02000:1:Z4418424423;20:02000:1:Z4225655265;20:02001:6:Z4234009078;
c1cc2cnccc2cn1,289,20:02000:1:Z3830289052;20:02000:3:Z3827967202;20:02000:4:Z4232457647;
c1nnc2n1NCCC2,185,20:02000:1:Z4270766713;20:02000:2:Z4270728536;20:02002:3:Z4270758906;
Nc1ccc(Cl)nn1,202,20:02000:1:Z3391075161;20:02001:2:Z3832510653;20:02002:5:Z3347432557;
Cc1cc(Cl)[nH]n1,1307,20:02000:1:Z2891425147;20:02000:1:Z1266221378;20:02000:3:Z1663264615;
Cc1ccc2ccnn2c1C,98,20:02000:1:Z4223351907;20:02004:4:Z4027451205;20:02005:2:Z3018897578;
c1nc2c(s1)CCCCC2,540,20:02000:1:Z3602461579;20:02000:5:Z1583662354;20:02000:6:Z651362482;
CC1CCSC1,2085,20:02000:1:Z3082161429;20:02000:2:Z3159506352;20:02000:2:Z3086512986;
OC1C2CNCC1OC2,505,20:02000:1:Z4158226726;20:02000:3:Z4154919689;20:02000:6:Z4250430804;
OC1CCC2CNCC2C1,568,20:02000:1:Z2622632603;20:02000:1:Z2360804054;20:02000:8:Z4140887229;
OC1CCC(F)C1,64,20:02000:1:Z4259885323;20:02000:4:Z4261568241;20:02001:7:Z4402327879;
O=C1CCCNCC1,320,20:02000:1:Z3633087631;20:02001:4:Z3633085594;20:02001:4:Z3633085783;
CN1CCCCCC1,649,20:02000:1:Z3053500547;20:02000:5:Z4035671066;20:02000:5:Z4035663248;
CC1CCOCN1,392,20:02000:1:Z4166401717;20:02000:2:Z3370553875;20:02000:2:Z5053732627;
CC1(C)CNCCC1O,577,20:02000:1:Z1784464438;20:02000:1:Z2118869636;20:02000:4:Z1779562312;
CC1CCC(=O)CN1,514,20:02000:1:Z3368036405;20:02000:1:Z2962578781;20:02000:2:Z4116063781;
Cc1ccn2nccc2c1,202,20:02000:1:Z2716790744;20:02000:2:Z1556666533;20:02001:2:Z3368463290;
Cc1c[nH]c(=O)[nH]1,438,20:02000:1:Z2927373920;20:02000:1:Z4219644862;20:02000:2:Z2496600950;
C1CCC2(CCOCC2)OC1,560,20:02000:1:Z2874543574;20:02000:3:Z2492212190;20:02000:4:Z1590012038;
Cc1ccc(=O)[nH]c1,652,20:02000:1:Z3364658487;20:02000:1:Z3338988710;20:02000:3:Z5034539856;
C1COCCON1,678,20:02000:1:Z3186801008;20:02000:6:Z3078962896;20:02000:6:Z4217358729;
CC1CCCN(C)C1,883,20:02000:1:Z1437879061;20:02000:5:Z2219503319;20:02000:5:Z2928710593;
C1COCC2(CCOC2)N1,241,20:02000:1:Z4105745982;20:02000:3:Z2907876673;20:02000:8:Z1998107415;
C1Cc2[nH]nnc2CN1,57,20:02000:1:Z4266207785;20:02003:1:Z2231375489;20:02005:5:Z2226938479;
NC1CC2(C1)CC(F)(F)C2,104,20:02000:1:Z3795469666;20:02001:5:Z3830434639;20:02003:7:Z4079910906;
Cn1ncc2ccsc21,413,20:02000:1:Z3382252468;20:02000:5:Z1574753126;20:02001:1:Z4595407523;
C1CNC2COCC2C1,718,20:02000:1:Z2326882546;20:02000:5:Z3085819835;20:02000:7:Z3794805278;
O=c1[nH]c2cc(F)ccc2o1,97,20:02000:1:Z2991456309;20:02000:9:Z3596508020;20:02001:6:Z2599525186;
Cc1[nH]nc2c1CCCC2,231,20:02000:1:Z3806938230;20:02000:4:Z4295829260;20:02001:7:Z3806394146;
c1cnc2c(n1)CCCC2,347,20:02000:1:Z3806938230;20:02000:4:Z2898892065;20:02000:9:Z3860285499;
c1ccc2nonc2c1,1791,20:02000:1:Z3807504564;20:02000:2:Z4325176447;20:02000:2:Z3206881955;
CC1CCNCC1F,614,20:02000:1:Z3607169339;20:02000:1:Z3570934631;20:02000:3:Z4974649967;
CN1C2CNCC1C2,569,20:02000:1:Z4473610980;20:02000:2:Z4394838153;20:02000:2:Z4402667088;
NC12CC3CC(CC(C3)C1)C2,29,20:02000:1:Z4056089594;20:02003:3:Z3796092312;20:02013:7:Z3101699168;
CC1CS(=O)(=O)CCCN1,320,20:02000:1:Z2963586251;20:02002:4:Z3559657902;20:02002:6:Z4377933661;
c1ccc2c(c1)OCCC21CC1,166,20:02000:1:Z4504201098;20:02000:1:Z1334310314;20:02001:0:Z3815292427;
O=S1(=O)CCOc2ccccc21,30,20:02000:1:Z2454168260;20:02005:5:Z3054160794;20:02006:3:Z3123529770;
O=c1nccc(Cl)[nH]1,346,20:02000:1:Z2699056729;20:02000:3:Z3079907050;20:02000:3:Z3077929248;
Cc1cccc(Cl)c1F,124,20:02000:1:Z3781437070;20:02000:4:Z3856132336;20:02000:6:Z3856131801;
Cn1ncc2c1CCNC2,515,20:02000:1:Z3796628523;20:02000:2:Z3517673329;20:02000:6:Z3776322182;
FC1CNCC1F,979,20:02000:1:Z2284010120;20:02000:1:Z2909776316;20:02000:2:Z3435494543;
CC1CCC(C)C1(C)C,227,20:02000:1:Z2302905546;20:02000:2:Z2302625802;20:02000:5:Z2306299265;
Oc1cccc2c1CCC2,732,20:02000:1:Z3353382255;20:02000:1:Z4057068134;20:02000:4:Z1966886255;
CN1C=NCC(C)(C)C1,86,20:02000:1:Z3301831970;20:02000:1:Z3301831969;20:02000:1:Z3301831055;
Cc1nc2cccnc2s1,171,20:02000:1:Z4152521701;20:02000:9:Z4153871473;20:02001:0:Z4152819040;
C1CCC2(CNC2)OC1,869,20:02000:1:Z3187522133;20:02000:3:Z3585339785;20:02000:4:Z4859437522;
Cn1cnc2ccncc21,637,20:02000:1:Z3557805705;20:02000:1:Z3560576483;20:02000:1:Z3557807987;
N=S1(=O)CCCc2ncncc21,61,20:02000:1:Z3829748844;20:02000:1:Z4782737258;20:02002:7:Z3830641699;
CC1COCCN1C,107,20:02000:1:Z3686198234;20:02001:1:Z3686196760;20:02001:4:Z4604388244;
c1ncc2[nH]cnc2n1,667,20:02000:1:Z1182651620;20:02000:3:Z4614845279;20:02000:3:Z4614882472;
CC1(C)CNCCC(=O)C1,202,20:02000:1:Z2718595304;20:02000:3:Z4022507745;20:02000:5:Z2915374082;
CC1CNCC(C)(C)O1,1640,20:02000:1:Z4010016749;20:02000:1:Z3523375328;20:02000:1:Z4014758613;
O=C1COc2ccccc2N1,1181,20:02000:1:Z3144397889;20:02000:1:Z4213805708;20:02000:5:Z2226095144;
Cc1cc(=O)n(C)nc1C,164,20:02000:1:Z283590198;20:02000:2:Z4478009737;20:02001:3:Z325875064;
Oc1ncc[nH]1,338,20:02000:1:Z3018674541;20:02000:9:Z3053948041;20:02000:9:Z3052558686;
CC1NCCn2c(Cl)ccc21,109,20:02000:1:Z2499409601;20:02000:1:Z2499408742;20:02000:4:Z2499412401;
CC1OC2(C)CC1C2,532,20:02000:1:Z3442497458;20:02000:3:Z3505163925;20:02000:6:Z3520397090;
Cc1cccc2[nH]ncc12,385,20:02000:1:Z4769966323;20:02000:3:Z2948647062;20:02000:3:Z1236416370;
NC1CC12CCCCC2,444,20:02000:1:Z4114588176;20:02000:2:Z4115764319;20:02000:4:Z4115488298;
CC1(N)CCCCC1,701,20:02000:1:Z4061874328;20:02000:8:Z3139609677;20:02000:8:Z2447694272;
OC1CCNc2ccccc21,36,20:02000:1:Z2865473584;20:02000:2:Z4346088474;20:02004:3:Z2956472659;
CC1NCCS(=O)C1C,301,20:02000:1:Z2116580605;20:02000:5:Z2630958667;20:02000:5:Z1675743852;
C1COCC2(C1)CCCO2,224,20:02000:1:Z4621228674;20:02000:2:Z4621292792;20:02000:8:Z4621239112;
Cc1ccc2c(c1)CCC2,514,20:02000:1:Z1999805075;20:02000:2:Z1375836149;20:02000:2:Z3437442382;
FC1(F)C2CCCCCC21,595,20:02000:1:Z3357041422;20:02000:3:Z3622087507;20:02000:6:Z3344839370;
NC1CCSC1,431,20:02000:1:Z4622484055;20:02000:4:Z4368124278;20:02000:4:Z4643320216;
Cc1ccnc(N)n1,495,20:02000:1:Z1508059271;20:02000:6:Z3238966993;20:02000:7:Z3182935596;
CN1CCNCC12CC2,554,20:02000:1:Z4293472049;20:02000:3:Z4314033033;20:02000:4:Z4313567226;
Clc1cc[nH]c1,1002,20:02000:1:Z1998433950;20:02000:1:Z2781844063;20:02000:2:Z3746851418;
O=S1(=O)CCC2(CCCN2)CC1,95,20:02000:1:Z4063166327;20:02002:3:Z4451328319;20:02005:5:Z3620127610;
NC1CNCC12CC2,504,20:02000:1:Z2452973737;20:02000:6:Z4054430705;20:02000:6:Z3365246379;
CC1CCn2ccnc2C1,403,20:02000:1:Z4140252619;20:02000:4:Z4138414239;20:02000:4:Z4139471877;
CC1(C)CCCCS1,546,20:02000:1:Z2978094773;20:02000:9:Z2974030056;20:02001:0:Z2978029967;
FC1(F)CCNCC12CCC2,241,20:02000:1:Z4422261051;20:02000:5:Z4402252579;20:02000:9:Z4391081370;
Oc1ccc(Cl)cc1,998,20:02000:1:Z4769091855;20:02000:3:Z2305110296;20:02000:6:Z3521097129;
Cc1ccnc2ccccc12,500,20:02000:1:Z1336833602;20:02001:1:Z87803797;20:02001:2:Z4421795841;
OC1CNCC12CCOCC2,210,20:02000:1:Z3818067504;20:02001:0:Z3899491111;20:02001:0:Z3822871676;
CC1CNCC(O)C1,1411,20:02000:1:Z2347755356;20:02000:1:Z4112407156;20:02000:2:Z4204407355;
O=S1CC2CNC(C2)C1,351,20:02000:1:Z5041745970;20:02000:4:Z5061568992;20:02000:6:Z5056065785;
OC1C2CCC1CNC2,493,20:02000:1:Z3679557891;20:02000:3:Z3707158535;20:02000:4:Z3707170062;
O=c1cn[nH]c2ccccc12,92,20:02000:1:Z1656267215;20:02001:7:Z1054414928;20:02002:6:Z1488164965;
FC=C1CCCC1,379,20:02000:1:Z4877102759;20:02000:4:Z4879139807;20:02000:7:Z4879164314;
CC1(C)CC(N)CCN1,265,20:02000:1:Z4635418359;20:02000:3:Z3380446732;20:02000:3:Z3380427022;
Cc1cccc(Cl)c1C,448,20:02000:1:Z4421894348;20:02000:1:Z4115035023;20:02000:1:Z4116020679;
O=c1[nH]c2ccccc2s1,285,20:02000:1:Z4205736005;20:02000:5:Z4316876123;20:02000:7:Z2395973088;
Clc1cccn2cnnc12,51,20:02000:1:Z2802361595;20:02001:8:Z2802363331;20:02002:5:Z4065146829;
O=C1NCCC12CCCNC2,241,20:02000:1:Z4049817752;20:02000:2:Z5001481693;20:02000:6:Z3883093236;
OC1CC2CNC1C2,1029,20:02000:1:Z3613085417;20:02000:2:Z3549186437;20:02000:3:Z3396000459;
Oc1ccncc1Cl,222,20:02000:1:Z3614568623;20:02000:8:Z2013095200;20:02002:2:Z3856485911;
CN1CCCC(O)C1=O,68,20:02000:1:Z4266590817;20:02001:5:Z4268502583;20:02002:7:Z4265154355;
Cn1ccc(O)n1,514,20:02000:1:Z4140722766;20:02000:3:Z4048252351;20:02000:3:Z3276582632;
Cc1cncnc1C,1798,20:02000:1:Z4492399688;20:02000:2:Z4484430032;20:02000:2:Z4027309028;
C1C2CC1C1(COC1)O2,48,20:02000:1:Z4319266298;20:02000:4:Z3651658505;20:02005:1:Z3505800435;
Cc1nc2nccc(=O)n2[nH]1,40,20:02000:1:Z3339766981;20:02000:2:Z4562199273;20:02000:6:Z3800212143;
O=S1(=O)CCNCCCCCCN1,41,20:02000:1:Z3319473160;20:02000:2:Z3585681185;20:02007:9:Z3585683813;
Cn1c(=O)[nH]c(=O)c2[nH]cnc21,16,20:02000:1:Z3343479762;20:02013:4:Z3343479568;20:02016:3:Z3343477892;
N=S1(=O)CCCC2(CCCN2)C1,159,20:02000:1:Z3415787966;20:02001:1:Z3416647628;20:02001:2:Z3416651996;
FC1(F)CNCCCCNC1,122,20:02000:1:Z3776666377;20:02000:9:Z4204295223;20:02000:9:Z3808301704;
Nc1cncc(F)c1,284,20:02000:1:Z4489702854;20:02000:7:Z4490111421;20:02000:8:Z4489594301;
c1ccc2c(c1)C1CCC2N1,295,20:02000:1:Z4422513831;20:02000:9:Z1247439501;20:02001:6:Z4422511505;
Cn1cc(Cl)nc1Cl,274,20:02000:1:Z4231245892;20:02000:4:Z5046853706;20:02001:2:Z4252206226;
Nc1cnon1,209,20:02000:1:Z3230195610;20:02001:5:Z3718028223;20:02002:2:Z3233026058;
Clc1ccc2c(c1)OCCO2,397,20:02000:1:Z1265614036;20:02000:2:Z4033405803;20:02000:9:Z5045343620;
NC1CNCCC1F,464,20:02000:1:Z2606629726;20:02001:0:Z2605520138;20:02001:8:Z4054599515;
CC1(C)COC=N1,198,20:02000:1:Z4268521174;20:02001:7:Z4261575561;20:02003:7:Z4265089866;
C1CC2CCOCC2CN1,371,20:02000:1:Z4192216343;20:02000:7:Z4200277576;20:02001:3:Z4194834492;
C1CC2(CN1)CNC2,253,20:02000:1:Z4130340269;20:02001:2:Z4078762435;20:02001:3:Z4082217443;
Cc1ncoc1C,1550,20:02000:1:Z2256653465;20:02000:1:Z2899035484;20:02000:3:Z3437889362;
CC1(C)C2CCCC21,1245,20:02000:1:Z3203219253;20:02000:3:Z3086684636;20:02000:3:Z3360453048;
Cc1ccn2ncnc2n1,811,20:02000:1:Z3562217116;20:02000:2:Z2974770811;20:02000:6:Z4055650277;
OC1CC2CCC(C1)C2,168,20:02000:1:Z3562217116;20:02000:5:Z3652102800;20:02000:6:Z3509699880;
O=S1(=O)CCC2(CC2)CC1,293,20:02000:1:Z4148037758;20:02000:5:Z4034923949;20:02001:4:Z4029565875;
Clc1cc(Cl)c2cc[nH]c2c1,54,20:02000:1:Z4055505679;20:02003:6:Z1843184293;20:02005:6:Z2962577172;
O=c1cc[nH][nH]1,1278,20:02000:1:Z2994195614;20:02000:2:Z3340069123;20:02000:3:Z3595004981;
C1=Cc2ccccc2OC1,238,20:02000:1:Z3860664912;20:02000:2:Z2227295657;20:02000:2:Z2442516814;
C1CNC2(CCCC2)COC1,134,20:02000:1:Z3711393667;20:02000:9:Z3711393977;20:02001:1:Z4278261083;
CC1Cc2cnccc2N1,181,20:02000:1:Z3671249290;20:02000:9:Z3203738854;20:02001:1:Z2691307259;
CN1CCCC2CCCC21,68,20:02000:1:Z2995615907;20:02001:2:Z2072238071;20:02003:0:Z3509480165;
C1=NNCC1,298,20:02000:1:Z3537425403;20:02000:2:Z4242051350;20:02000:5:Z4277393730;
O=c1[nH]c2ccccc2cc1Cl,7,20:02000:1:Z2721892679;20:02022:6:Z2721892678;20:02029:5:Z2613890396;
C1CCC2(CC1)CCN2,627,20:02000:1:Z2975833247;20:02000:2:Z3514103414;20:02000:8:Z3470123544;
c1cc2ccncc2cn1,509,20:02000:1:Z2474493145;20:02000:5:Z3077532834;20:02001:2:Z3559195720;
CC1(C)CC(O)CN1,554,20:02000:1:Z3402756693;20:02000:2:Z3518544432;20:02000:4:Z3596590932;
C1CC2CCC1NO2,342,20:02000:1:Z2803947813;20:02000:2:Z4022596389;20:02000:6:Z2776258148;
C1COC2(CCCC2)OC1,199,20:02000:1:Z4906799413;20:02000:2:Z4906800600;20:02000:5:Z4906785830;
FC1(F)CCCNCC1,1303,20:02000:1:Z2718318900;20:02000:3:Z3654308512;20:02000:4:Z3143102415;
Cc1cnccc1Cl,901,20:02000:1:Z4106043635;20:02000:1:Z3837715270;20:02000:3:Z4947595442;
CC1CCCCC1C,1607,20:02000:1:Z3536315258;20:02000:2:Z2119451200;20:02000:2:Z2200819145;
O=C1NCCn2nccc21,272,20:02000:1:Z3536315258;20:02000:1:Z3899291082;20:02000:1:Z3084785845;
C1COCC2(CCOCC2)CN1,157,20:02000:1:Z2703225834;20:02002:2:Z1654293807;20:02002:4:Z2413049331;
CC1CCCS1(=O)=O,900,20:02000:1:Z2818173550;20:02000:5:Z2923077997;20:02000:5:Z2704925191;
O=S1(=O)NCc2ccccc21,101,20:02000:1:Z3804136853;20:02001:2:Z4187804308;20:02003:7:Z3652477670;
