fragment_smiles,occurences,example_ligands
C1CNCCOC1,25289,289:28900:0:PV-005418707641;289:28900:0:PV-005418707900;289:28900:0:PV-005418710297;
c1ccccc1,385949,289:28900:0:PV-005418707641;289:28900:0:PV-005418707690;289:28900:0:PV-005418707760;
Cc1cc(C)[nH]n1,16847,289:28900:0:PV-005418707641;289:28900:0:PV-005418720566;289:28900:0:PV-005418724714;
C1CCNCC1,551846,289:28900:0:PV-005418707687;289:28900:0:PV-005418707735;289:28900:0:PV-005418707739;
c1cnsc1,38578,289:28900:0:PV-005418707687;289:28900:0:PV-005418707998;289:28900:0:PV-005418707999;
c1c[nH]cn1,96767,289:28900:0:PV-005418707687;289:28900:0:PV-005418707821;289:28900:0:PV-005418708121;
C1CCNC1,596432,289:28900:0:PV-005418707690;289:28900:0:PV-005418707695;289:28900:0:PV-005418707696;
Cc1ccno1,30090,289:28900:0:PV-005418707690;289:28900:0:PV-005418708251;289:28900:0:PV-005418709930;
Cc1ccco1,50931,289:28900:0:PV-005418707695;289:28900:0:PV-005418707696;289:28900:0:PV-005418707697;
c1ncn2c1CCCC2,6114,289:28900:0:PV-005418707695;289:28900:0:PV-005418707696;289:28900:0:PV-005418707697;
Cn1cccc1,34061,289:28900:0:PV-005418707698;289:28900:0:PV-005418708156;289:28900:0:PV-005418708621;
OC1CCNCC1,28933,289:28900:0:PV-005418707698;289:28900:0:PV-005418708249;289:28900:0:PV-005418710360;
C1CC2CC12,6388,289:28900:0:PV-005418707698;289:28900:0:PV-005418707982;289:28900:0:PV-005418708621;
C1CC2(C1)CCNCC2,18303,289:28900:0:PV-005418707727;289:28900:0:PV-005418709677;289:28900:0:PV-005418709686;
c1cnoc1,130183,289:28900:0:PV-005418707727;289:28900:0:PV-005418707988;289:28900:0:PV-005418707989;
Cc1cn2nccc2cn1,6,289:28900:0:PV-005418707733;289:28906:2:PV-004025095653;289:28909:7:PV-005421013844;
CC1(C)CCCNC1,27199,289:28900:0:PV-005418707733;289:28900:0:PV-005418708129;289:28900:0:PV-005418709084;
c1cnccn1,28746,289:28900:0:PV-005418707734;289:28900:0:PV-005418708317;289:28900:0:PV-005418708318;
CC1CCNCC1,56938,289:28900:0:PV-005418707734;289:28900:0:PV-005418709073;289:28900:0:PV-005418709217;
C1OCC2CC12,7056,289:28900:0:PV-005418707734;289:28900:0:PV-005418710013;289:28900:0:PV-005418710014;
Cc1cccc(O)n1,6983,289:28900:0:PV-005418707735;289:28900:0:PV-005418725569;289:28900:0:PV-005418726961;
C1CCOC1,136281,289:28900:0:PV-005418707739;289:28900:0:PV-005418707740;289:28900:0:PV-005418707741;
C1CCCC1,238061,289:28900:0:PV-005418707739;289:28900:0:PV-005418707740;289:28900:0:PV-005418707741;
C1NCC2CC12,103489,289:28900:0:PV-005418707760;289:28900:0:PV-005418708060;289:28900:0:PV-005418708824;
Oc1ccccc1,42417,289:28900:0:PV-005418707760;289:28900:0:PV-005418708715;289:28900:0:PV-005418708903;
Fc1cncc(Cl)c1,2649,289:28900:0:PV-005418707763;289:28900:0:PV-005418720461;289:28900:0:PV-005418724802;
C1CCC2CC2C1,4063,289:28900:0:PV-005418707763;289:28900:0:PV-005418717656;289:28900:2:PV-005418768806;
c1c[nH]nn1,95742,289:28900:0:PV-005418707779;289:28900:0:PV-005418707974;289:28900:0:PV-005418707991;
c1ccc2occc2c1,16455,289:28900:0:PV-005418707779;289:28900:0:PV-005418707811;289:28900:0:PV-005418712136;
C1CCCNCC1,96764,289:28900:0:PV-005418707780;289:28900:0:PV-005418707809;289:28900:0:PV-005418708402;
c1cscn1,95623,289:28900:0:PV-005418707780;289:28900:0:PV-005418708182;289:28900:0:PV-005418710379;
C1=NOCC1,9923,289:28900:0:PV-005418707791;289:28900:0:PV-005418709704;289:28900:0:PV-005418716191;
c1ccsc1,125070,289:28900:0:PV-005418707801;289:28900:0:PV-005418707802;289:28900:0:PV-005418707862;
c1cn[nH]c1,255830,289:28900:0:PV-005418707801;289:28900:0:PV-005418707802;289:28900:0:PV-005418707804;
CC1CNCCCN1,30619,289:28900:0:PV-005418707804;289:28900:0:PV-005418707805;289:28900:0:PV-005418709796;
FC1CCOC1,5072,289:28900:0:PV-005418707804;289:28900:0:PV-005418707805;289:28900:0:PV-005418716854;
Cc1cc2c(cc1C)OCC2,645,289:28900:0:PV-005418707807;289:28900:1:PV-005418750799;289:28900:1:PV-005418750800;
CC1CCCN1,105267,289:28900:0:PV-005418707807;289:28900:0:PV-005418708565;289:28900:0:PV-005418708595;
CC1(C)CC1,26496,289:28900:0:PV-005418707807;289:28900:0:PV-005418709084;289:28900:0:PV-005418709085;
Fc1ccn[nH]1,8067,289:28900:0:PV-005418707809;289:28900:0:PV-005418712257;289:28900:0:PV-005418712258;
Cc1cccn1C,17891,289:28900:0:PV-005418707811;289:28900:0:PV-005418707827;289:28900:0:PV-005418709698;
FC1CNC1,21218,289:28900:0:PV-005418707818;289:28900:0:PV-005418709402;289:28900:0:PV-005418710130;
c1ccoc1,130921,289:28900:0:PV-005418707818;289:28900:0:PV-005418708107;289:28900:0:PV-005418708223;
C1CC2(C1)CNC2,27557,289:28900:0:PV-005418707821;289:28900:0:PV-005418708018;289:28900:0:PV-005418708252;
Cc1ccsc1,29745,289:28900:0:PV-005418707827;289:28900:0:PV-005418709258;289:28900:0:PV-005418713605;
C1=NOC2CNCC12,758,289:28900:0:PV-005418707827;289:28900:2:PV-005418773766;289:28900:6:PV-005418861297;
C1CCC2(C1)CC2,10126,289:28900:0:PV-005418707829;289:28900:0:PV-005418709552;289:28900:0:PV-005418709553;
C1CNC2(C1)CC2,11720,289:28900:0:PV-005418707836;289:28900:0:PV-005418708706;289:28900:0:PV-005418710210;
Cc1cn[nH]c1C,6464,289:28900:0:PV-005418707836;289:28900:0:PV-005418713257;289:28900:0:PV-005418729697;
CC1CCCc2[nH]ncc21,721,289:28900:0:PV-005418707862;289:28900:0:PV-005418707863;289:28900:0:PV-005418707864;
Cc1ccon1,33523,289:28900:0:PV-005418707866;289:28900:0:PV-005418708142;289:28900:0:PV-005418708861;
OC1CCCC1,31574,289:28900:0:PV-005418707866;289:28900:0:PV-005418707931;289:28900:0:PV-005418709256;
Cc1cnoc1,25293,289:28900:0:PV-005418707893;289:28900:0:PV-005418708927;289:28900:0:PV-005418709099;
c1cnc2[nH]ccc2c1,10626,289:28900:0:PV-005418707893;289:28900:0:PV-005418714297;289:28900:0:PV-005418714298;
Fc1ccccc1,171063,289:28900:0:PV-005418707900;289:28900:0:PV-005418708316;289:28900:0:PV-005418708444;
C1COC2CNCC2N1,5702,289:28900:0:PV-005418707906;289:28900:0:PV-005418711913;289:28900:0:PV-005418713883;
Cc1cnc(C)o1,5611,289:28900:0:PV-005418707906;289:28900:0:PV-005418713546;289:28900:0:PV-005418715904;
O=C1CCCN1,74840,289:28900:0:PV-005418707907;289:28900:0:PV-005418707908;289:28900:0:PV-005418707909;
O=c1cccco1,11321,289:28900:0:PV-005418707907;289:28900:0:PV-005418707908;289:28900:0:PV-005418707909;
Cc1ccccn1,50194,289:28900:0:PV-005418707927;289:28900:0:PV-005418708634;289:28900:0:PV-005418708857;
C1CCCCC1,223242,289:28900:0:PV-005418707927;289:28900:0:PV-005418708030;289:28900:0:PV-005418708031;
Cc1csc(F)c1,3232,289:28900:0:PV-005418707927;289:28900:0:PV-005418708583;289:28900:0:PV-005418716485;
Clc1ccc2cc[nH]c2c1,2307,289:28900:0:PV-005418707931;289:28900:0:PV-005418718514;289:28900:0:PV-005418721851;
Cc1coc(C)c1,11311,289:28900:0:PV-005418707951;289:28900:0:PV-005418707952;289:28900:0:PV-005418707953;
C1CNCCN1,151375,289:28900:0:PV-005418707951;289:28900:0:PV-005418707952;289:28900:0:PV-005418707953;
C1CC2CCNCC(C1)N2,2189,289:28900:0:PV-005418707964;289:28900:0:PV-005418724506;289:28900:1:PV-005418738308;
CC1CCCNC1,74241,289:28900:0:PV-005418707974;289:28900:0:PV-005418709689;289:28900:0:PV-005418709724;
Clc1cc[nH]c1,7868,289:28900:0:PV-005418707974;289:28900:0:PV-005418709521;289:28900:0:PV-005418710187;
Cn1cccn1,130568,289:28900:0:PV-005418707976;289:28900:0:PV-005418708252;289:28900:0:PV-005418708304;
CC1(C)CNCCNC1,5765,289:28900:0:PV-005418707976;289:28900:0:PV-005418710543;289:28900:0:PV-005418714746;
C1CCSC1,12009,289:28900:0:PV-005418707976;289:28900:0:PV-005418708668;289:28900:0:PV-005418711332;
c1ccncc1,289209,289:28900:0:PV-005418707981;289:28900:0:PV-005418708034;289:28900:0:PV-005418708035;
C1CC2CCC1C2,21443,289:28900:0:PV-005418707981;289:28900:0:PV-005418710174;289:28900:0:PV-005418712083;
Clc1cccnc1,29399,289:28900:0:PV-005418707982;289:28900:0:PV-005418710066;289:28900:0:PV-005418710067;
CC1CCCCN1,63641,289:28900:0:PV-005418707988;289:28900:0:PV-005418707989;289:28900:0:PV-005418708127;
C1NCC2COCC1C2,1173,289:28900:0:PV-005418707991;289:28900:2:PV-005418759526;289:28900:2:PV-005418763563;
Nc1ccc2c(n1)CCCC2,262,289:28900:0:PV-005418707998;289:28900:0:PV-005418707999;289:28900:7:PV-005418876023;
FC1CCNC1,71466,289:28900:0:PV-005418707998;289:28900:0:PV-005418707999;289:28900:0:PV-005418708387;
Cn1ccnc1,41308,289:28900:0:PV-005418708008;289:28900:0:PV-005418708772;289:28900:0:PV-005418709809;
C1OC2CNC1C2,2095,289:28900:0:PV-005418708008;289:28900:0:PV-005418727065;289:28900:0:PV-005418730839;
FC1(F)CCC1,22547,289:28900:0:PV-005418708008;289:28900:0:PV-005418709182;289:28900:0:PV-005418710947;
c1cnc2c(c1)NCCC2,612,289:28900:0:PV-005418708013;289:28900:0:PV-005418717287;289:28900:0:PV-005418717288;
CN1CCOCC1,8880,289:28900:0:PV-005418708018;289:28900:0:PV-005418708289;289:28900:0:PV-005418717454;
Oc1ccncc1F,2398,289:28900:0:PV-005418708018;289:28900:0:PV-005418713785;289:28900:1:PV-005418736419;
Cc1cccnc1,46772,289:28900:0:PV-005418708023;289:28900:0:PV-005418708024;289:28900:0:PV-005418708497;
O=c1cc(O)cc2n1CCOC2,69,289:28900:0:PV-005418708030;289:28900:0:PV-005418708031;289:28900:0:PV-005418708032;
C1CCOCC1,111143,289:28900:0:PV-005418708034;289:28900:0:PV-005418708035;289:28900:0:PV-005418708060;
CC1CNC1,47035,289:28900:0:PV-005418708036;289:28900:0:PV-005418708218;289:28900:0:PV-005418710189;
CC1CCNCCN1,14035,289:28900:0:PV-005418708055;289:28900:0:PV-005418708709;289:28900:0:PV-005418710632;
CN1CCCCC1,39889,289:28900:0:PV-005418708060;289:28900:0:PV-005418708799;289:28900:0:PV-005418709327;
