fragment_smiles,occurences,example_ligands
Clc1ccco1,21292,84:08400:0:PV-006011805956;84:08400:0:PV-006011805957;84:08400:0:PV-003671846673;
CC1CC(F)(F)C1,3298,84:08400:0:PV-006011805956;84:08400:0:PV-006011805957;84:08400:0:PV-003671866492;
CC1CCC1,53787,84:08400:0:PV-006011806200;84:08400:0:PV-006011807651;84:08400:0:PV-006011819379;
c1ncon1,25476,84:08400:0:PV-006011806234;84:08400:0:PV-006011807224;84:08400:0:PV-006011815548;
C1CCCCC1,133921,84:08400:0:PV-006011806243;84:08400:0:PV-006011808397;84:08400:0:PV-006011808766;
Cc1cc(C)cc(O)c1,518,84:08400:0:PV-006011806258;84:08400:5:PV-003672030132;84:08400:6:PV-006012407080;
C1NCC2CC12,93595,84:08400:0:PV-006011806258;84:08400:0:PV-006011811746;84:08400:0:PV-006011811871;
c1cnoc1,81397,84:08400:0:PV-006011806969;84:08400:0:PV-006011812244;84:08400:0:PV-006011823628;
Fc1ccccc1Cl,14536,84:08400:0:PV-006011806978;84:08400:0:PV-006011806979;84:08400:0:PV-002952136874;
C1CNCCOC1,14232,84:08400:0:PV-006011807224;84:08400:0:PV-006011815892;84:08400:0:PV-006011815893;
Clc1ccccc1,83049,84:08400:0:PV-006011807290;84:08400:0:PV-006011814215;84:08400:0:PV-006011814946;
Fc1cccs1,7975,84:08400:0:PV-006011807290;84:08400:0:PV-000505619271;84:08400:0:PV-000509829759;
CC12CC(CCO1)C2,464,84:08400:0:PV-006011807367;84:08400:4:PV-003671986881;84:08400:4:PV-006012187629;
C1CCCNCC1,43824,84:08400:0:PV-006011807395;84:08400:0:PV-006011807988;84:08400:0:PV-006011813210;
OC12CNCC1C2,177,84:08400:0:PV-006011807395;84:08400:7:PV-003672099655;84:08401:0:PV-006012929389;
C1CC2CNCC2CN1,6269,84:08400:0:PV-006011807608;84:08400:0:PV-006011807609;84:08400:0:PV-003671858050;
Cc1cnoc1,18512,84:08400:0:PV-006011807651;84:08400:0:PV-006011847490;84:08400:0:PV-003671842994;
C1CNC2CC2N1,3570,84:08400:0:PV-006011807666;84:08400:0:PV-006011825662;84:08400:0:PV-006011830697;
c1ccc2[nH]ccc2c1,10273,84:08400:0:PV-006011808172;84:08400:0:PV-006011808955;84:08400:0:PV-006011848896;
C1CCN2CCCCC2C1,224,84:08400:0:PV-006011808347;84:08400:5:PV-002122500575;84:08401:4:PV-003672320862;
c1c[nH]nn1,127531,84:08400:0:PV-006011808397;84:08400:0:PV-006011815683;84:08400:0:PV-006011827775;
Cc1csnn1,5474,84:08400:0:PV-006011808600;84:08400:0:PV-006011808601;84:08400:0:PV-003671871838;
FC1CCCC1,12648,84:08400:0:PV-006011808600;84:08400:0:PV-006011808601;84:08400:0:PV-002952136199;
Cc1cccc(Cl)c1,7653,84:08400:0:PV-006011808650;84:08400:0:PV-003671844579;84:08400:0:PV-003671846248;
FC1CCNC1,54790,84:08400:0:PV-006011808650;84:08400:0:PV-006011814305;84:08400:0:PV-006011815548;
c1ccncc1,176988,84:08400:0:PV-006011808720;84:08400:0:PV-006011809385;84:08400:0:PV-006011809424;
CC1CCNCC1,25913,84:08400:0:PV-006011808756;84:08400:0:PV-006011822250;84:08400:0:PV-003671842962;
ClC1=CCCC1,7283,84:08400:0:PV-006011808756;84:08400:0:PV-006011816007;84:08400:0:PV-003671844476;
C1CNCCN1,88048,84:08400:0:PV-006011809368;84:08400:0:PV-006011813759;84:08400:0:PV-006011818376;
c1ncc2nc[nH]c2n1,567,84:08400:0:PV-006011809424;84:08400:2:PV-003671926490;84:08400:3:PV-003671952859;
Cc1ncon1,2173,84:08400:0:PV-006011809472;84:08400:0:PV-006011837716;84:08400:0:PV-002952143738;
C1CNCCSC1,275,84:08400:0:PV-006011809567;84:08400:6:PV-003672075041;84:08401:6:PV-006013424156;
CC1CC2CCC1CC2=O,211,84:08400:0:PV-006011809567;84:08400:6:PV-006012411703;84:08401:5:PV-006013336880;
CC1(C)CCNC1,17680,84:08400:0:PV-006011809944;84:08400:0:PV-002952135696;84:08400:0:PV-002952135697;
Fc1ccccc1,106779,84:08400:0:PV-006011809944;84:08400:0:PV-006011810145;84:08400:0:PV-006011818174;
C1CC2CCC2N1,6059,84:08400:0:PV-006011809993;84:08400:0:PV-003671856245;84:08400:0:PV-003671871032;
Clc1csc(Cl)c1,1868,84:08400:0:PV-006011809993;84:08400:4:PV-006012193491;84:08400:4:PV-006012304871;
Cc1nc[nH]n1,9907,84:08400:0:PV-006011810145;84:08400:0:PV-006011841495;84:08400:0:PV-003671847173;
C1CCC2(C1)OCCO2,393,84:08400:0:PV-006011810353;84:08400:2:PV-002952163120;84:08400:7:PV-002952231008;
C1CC2CCC(C1)C2,667,84:08400:0:PV-006011810400;84:08400:0:PV-002122492668;84:08400:2:PV-002952166646;
CC1CCCN1,78422,84:08400:0:PV-006011810595;84:08400:0:PV-006011810596;84:08400:0:PV-006011819285;
Cn1nnc2c1CCCC2,323,84:08400:0:PV-006011810674;84:08400:2:PV-003671942158;84:08400:3:PV-006012146973;
Cc1ccsc1,31329,84:08400:0:PV-006011810674;84:08400:0:PV-002952135741;84:08400:0:PV-003671854752;
Cc1ccccc1F,10556,84:08400:0:PV-006011810774;84:08400:0:PV-006011810775;84:08400:0:PV-002952138196;
Cc1cn[nH]n1,7465,84:08400:0:PV-006011810774;84:08400:0:PV-006011810775;84:08400:0:PV-006011820311;
C1COC2(CCSCC2)CN1,18,84:08400:0:PV-006011811111;84:08404:1:PV-002226069103;84:08405:7:PV-002952897120;
Cc1ccccn1,25719,84:08400:0:PV-006011811746;84:08400:0:PV-006011845965;84:08400:0:PV-002277737302;
Cn1ccc(Cl)n1,3223,84:08400:0:PV-006011811871;84:08400:0:PV-006011811872;84:08400:0:PV-003671843471;
C1CCOC1,144512,84:08400:0:PV-006011811871;84:08400:0:PV-006011811872;84:08400:0:PV-006011824029;
Clc1cccc(Cl)c1,14022,84:08400:0:PV-006011812092;84:08400:0:PV-002952136709;84:08400:0:PV-003671845682;
Cn1cn[nH]c1=O,1181,84:08400:0:PV-006011812471;84:08400:0:PV-006011814412;84:08400:0:PV-006011814413;
CC1CC1(F)F,9825,84:08400:0:PV-006011812594;84:08400:0:PV-006011812595;84:08400:0:PV-002588237361;
Cc1ccc2[nH]cnc2c1,760,84:08400:0:PV-006011812667;84:08400:1:PV-002536486378;84:08400:2:PV-003671932964;
c1ccc2[nH]ncc2c1,6135,84:08400:0:PV-006011812683;84:08400:0:PV-002952143662;84:08400:0:PV-003671869936;
NC1CNC2(CCCCC2)C1,25,84:08400:0:PV-006011812771;84:08400:0:PV-006011840320;84:08406:7:PV-002953035055;
