fragment_smiles,occurences,example_ligands
Cc1cccc2cccnc12,706,197:19700:0:Z1439252913;197:19700:0:Z3351328409;197:19700:2:Z2201307224;
Clc1cccc(Cl)c1,16948,197:19700:0:Z1659534568;197:19700:0:Z3434850135;197:19700:0:Z1515905089;
Cn1ncc2c(O)cccc21,280,197:19700:0:Z2176915826;197:19700:1:Z2173553686;197:19700:6:Z2169958286;
CC1(C)CNCC2(CCCOC2)O1,423,197:19700:0:Z2176915826;197:19700:4:Z1958905727;197:19700:5:Z1971433351;
c1cc[nH]c1,26411,197:19700:0:Z2783153393;197:19700:0:Z4286551196;197:19700:0:Z1645347877;
C1CCNC1,405679,197:19700:0:Z2783153393;197:19700:0:Z2358286265;197:19700:0:Z2366511667;
C1CCOCC1,188039,197:19700:0:Z2621269072;197:19700:0:Z1639546252;197:19700:0:Z3435476523;
c1nnn[nH]1,31661,197:19700:0:Z2621269072;197:19700:0:Z1614063602;197:19700:0:Z1638934719;
Clc1ccc2c(c1)CCCS2,102,197:19700:0:Z1639546252;197:19700:1:Z1209010884;197:19700:2:Z1209010895;
Cc1ccco1,23338,197:19700:0:Z5052051843;197:19700:0:Z2364365932;197:19700:0:Z1305782680;
c1cscn1,170653,197:19700:0:Z5052051843;197:19700:0:Z4511090626;197:19700:0:Z4467012701;
O=C1COCCN1,3766,197:19700:0:Z5052051843;197:19700:0:Z4403555510;197:19700:0:Z3843373041;
Cc1ccccc1,262369,197:19700:0:Z2483853413;197:19700:0:Z4414124584;197:19700:0:Z1570420232;
O=C1CNC=NN1,194,197:19700:0:Z2483853413;197:19701:0:Z1538678504;197:19701:3:Z853367462;
Cn1ncc2cccnc21,3002,197:19700:0:Z4414124584;197:19700:0:Z2824961560;197:19700:0:Z2719972099;
c1ccc2[nH]ccc2c1,38434,197:19700:0:Z2358286265;197:19700:0:Z1619365597;197:19700:0:Z2256498724;
c1ccc2c(c1)CNC2,8184,197:19700:0:Z2304974686;197:19700:0:Z2361165719;197:19700:0:Z2637312024;
Cc1cnc2c(c1)NCC2,143,197:19700:0:Z3368931285;197:19701:0:Z4132466241;197:19701:5:Z2964487430;
C1CCOC1,147813,197:19700:0:Z3368931285;197:19700:0:Z3176909911;197:19700:0:Z1168394370;
Cc1ccno1,15144,197:19700:0:Z5035964081;197:19700:0:Z3382924348;197:19700:0:Z3815279521;
C1CNCCNC1,39387,197:19700:0:Z5035964081;197:19700:0:Z2835953906;197:19700:0:Z1185600224;
Cc1ccc2c(=O)ccn(C)c2n1,28,197:19700:0:Z1515495565;197:19703:3:Z3565525375;197:19707:2:Z1894071834;
Cn1cccc1,15438,197:19700:0:Z4307406247;197:19700:0:Z3296528218;197:19700:0:Z4473934623;
Oc1ccnc2ccccc12,584,197:19700:0:Z4307406247;197:19700:0:Z1663746828;197:19700:3:Z2080345921;
CN1C(=O)CCNc2ccccc21,424,197:19700:0:Z4112849396;197:19700:0:Z2917223010;197:19700:2:Z1883684722;
Oc1ccccc1,43080,197:19700:0:Z1361550478;197:19700:0:Z1208528532;197:19700:0:Z4214922188;
Cc1cc(C)n2nc(N)nc2n1,372,197:19700:0:Z2459852500;197:19700:2:Z3860869833;197:19700:5:Z1581736445;
Fc1cccc(F)c1,67787,197:19700:0:Z1531790778;197:19700:0:Z1614720416;197:19700:0:Z2963592851;
c1cc2c(nn1)CCNC2,545,197:19700:0:Z1531790778;197:19700:0:Z1227132887;197:19700:0:Z2612434623;
