fragment_smiles,occurences,example_ligands
Fc1cc2cc[nH]c2cc1F,314,103:10300:0:Z3202360119;103:10300:9:Z3572879648;103:10301:3:Z4281273567;
CN1CCCC(C)(C)C1,431,103:10300:0:Z3645060277;103:10300:2:Z3606146587;103:10300:2:Z3658480215;
C1OC2CC1C2,4239,103:10300:0:Z3576737695;103:10300:0:Z3841317248;103:10300:1:Z4643610759;
CN1CCNCc2ccccc21,303,103:10300:0:Z1410299826;103:10300:1:Z1084021728;103:10300:5:Z3188504721;
CC1CNC(C)CN1,1200,103:10300:0:Z1557084741;103:10300:6:Z3196727667;103:10300:7:Z2893525225;
O=C1CC2(CCCCC2)C1,238,103:10300:0:Z3518071961;103:10300:1:Z3535403569;103:10300:2:Z3554681622;
O=c1ccc2c([nH]1)CCNC2,421,103:10300:0:Z3323458624;103:10300:2:Z4244172103;103:10300:2:Z4402218452;
c1cnc2cnsc2c1,29,103:10300:0:Z4005929084;103:10303:0:Z4005920986;103:10305:4:Z4228845503;
OC1CCCCC1O,302,103:10300:0:Z3205174661;103:10300:4:Z4475203471;103:10300:5:Z4448097318;
Cc1sc2ncnc(N)c2c1C,142,103:10300:0:Z1579284743;103:10301:0:Z1579637186;103:10301:1:Z1588316689;
c1cc2ccsc2[nH]1,206,103:10300:0:Z1579284743;103:10300:1:Z2971353008;103:10300:3:Z3095218921;
c1cnc2c(c1)OCCO2,1007,103:10300:0:Z2493097958;103:10300:1:Z1904674113;103:10300:3:Z4459969534;
c1cnc2nscc2n1,15,103:10300:0:Z4370869056;103:10304:0:Z4370866983;103:10304:4:Z4370866078;
OC1CCC(F)(F)CC1,243,103:10300:0:Z3497392078;103:10300:1:Z2647726543;103:10300:7:Z3559237816;
Cc1nnn[nH]1,1516,103:10300:0:Z3407510686;103:10300:0:Z1384007769;103:10300:1:Z3340625095;
O=S1CC2CC1CN2,140,103:10300:0:Z3407510686;103:10301:5:Z3578294107;103:10301:7:Z4273456256;
CC1(C)NCCNC1=O,379,103:10300:0:Z1748618949;103:10300:2:Z1174513727;103:10300:4:Z4998167527;
c1cnn2nccc2c1,918,103:10300:0:Z3620535491;103:10300:4:Z3406166889;103:10300:8:Z4644818414;
C1CC2CCCN(C1)C2,478,103:10300:0:Z3203573127;103:10300:8:Z3203578943;103:10300:8:Z2800500234;
Fc1ccc2[nH]ccc2c1F,170,103:10300:0:Z1616193522;103:10300:3:Z1875686726;103:10301:7:Z2501084527;
O=C1NCCC2CCCN12,340,103:10300:0:Z4432519459;103:10300:1:Z4145526031;103:10300:1:Z4398920906;
Fc1cccc2ncccc12,465,103:10300:0:Z3895150232;103:10300:3:Z4576740751;103:10300:4:Z3054281118;
Cc1cccc(Cl)c1C,418,103:10300:0:Z2457326129;103:10300:4:Z2916591878;103:10300:8:Z2335265508;
CC1CC2CCCCN2C1,110,103:10300:0:Z4264166854;103:10301:3:Z3200259457;103:10301:4:Z3646500963;
c1ccc2c(c1)CCCS2,776,103:10300:0:Z1733771566;103:10300:0:Z433405896;103:10300:1:Z1530202686;
O=c1cc2c(n[nH]1)CCNC2,223,103:10300:0:Z1733771566;103:10300:3:Z1725662556;103:10300:7:Z1732353759;
c1cnc2c(c1)N1CCCC1CNC2,144,103:10300:0:Z2957087806;103:10300:0:Z2957086275;103:10300:0:Z2957087617;
C1CCCNCCC1,5152,103:10300:0:Z5017820103;103:10300:1:Z2826776741;103:10300:1:Z4522568879;
C1COCC2(C1)CCOCC2,869,103:10300:0:Z2961520320;103:10300:1:Z4406691975;103:10300:1:Z2880992773;
Cc1csc2ncncc12,236,103:10300:0:Z3833161223;103:10300:0:Z1994163482;103:10300:1:Z2066137510;
Cc1nnc[nH]1,2513,103:10300:0:Z2601261166;103:10300:0:Z1692990472;103:10300:0:Z1594722178;
CC1CNCCCN1,9142,103:10300:0:Z2911519009;103:10300:3:Z1326338545;103:10300:3:Z1642105340;
O=c1ccnc2sccn12,512,103:10300:0:Z1331435782;103:10300:1:Z3917416402;103:10300:2:Z2474345524;
c1cnc2c(c1)CCOC2,593,103:10300:0:Z3773971201;103:10300:1:Z3668612691;103:10300:2:Z5064032396;
FC1(F)CCc2oncc2C1,446,103:10300:0:Z4089318845;103:10300:1:Z3506513445;103:10300:4:Z3843188537;
Cc1ncnnc1C,205,103:10300:0:Z2659982487;103:10300:3:Z2434067993;103:10301:4:Z2092748997;
Oc1ccc(F)cn1,797,103:10300:0:Z2659982487;103:10302:4:Z2654436187;103:10302:8:Z3707119760;
CC1CCCCC1C,761,103:10300:0:Z1967318495;103:10300:1:Z2452861108;103:10300:3:Z2170419882;
Cc1cn2ncnc2nc1C,82,103:10300:0:Z2861695415;103:10300:2:Z4169596746;103:10300:4:Z4961617727;
CN1CCNC(=O)C1,156,103:10300:0:Z4481508134;103:10300:4:Z3299712176;103:10302:3:Z2659612751;
C1CC2COCC2C1,1550,103:10300:0:Z4245844285;103:10300:1:Z2840965796;103:10300:1:Z3694917955;
C1CC2CNC1CN2,838,103:10300:0:Z2371249003;103:10300:0:Z2371248807;103:10300:0:Z2371247622;
O=c1[nH]ccc2c1CCNC2,236,103:10300:0:Z3320757340;103:10300:1:Z4110305603;103:10300:4:Z3570386022;
OC1CCC2CNCC12,222,103:10300:0:Z2884137497;103:10300:8:Z2878120125;103:10300:9:Z2869672603;
c1ccc2c(c1)CCNCC2,1370,103:10300:0:Z2017809694;103:10300:1:Z2302963298;103:10300:2:Z4061063715;
CN1CCCC2CNCCC21,237,103:10300:0:Z2436052022;103:10300:1:Z3516778421;103:10300:1:Z2438937425;
c1ccc2c(c1)NCCN2,560,103:10300:0:Z4254971268;103:10300:2:Z1328594553;103:10300:3:Z4128642963;
Cn1c(=O)cc[nH]c1=O,809,103:10300:0:Z4931485887;103:10300:4:Z3587612539;103:10300:7:Z1363101825;
C1CCC2CC2NC1,117,103:10300:0:Z3047294769;103:10300:2:Z3140550747;103:10300:8:Z4525662601;
CC1(C)COc2ccnn2C1,175,103:10300:0:Z2992269353;103:10300:2:Z2918289330;103:10300:7:Z2918460363;
C1CCC2(C1)CCCO2,1246,103:10300:0:Z2965841902;103:10300:1:Z2928564084;103:10300:1:Z2928563897;
Cc1ccsn1,10300,103:10300:0:Z3842127124;103:10300:1:Z1704220980;103:10300:1:Z3712313579;
c1c2c(cc3c1CCC3)CCC2,124,103:10300:0:Z4663278647;103:10300:3:Z4667460792;103:10302:1:Z2172194904;
O=C1NCCCc2ccccc21,213,103:10300:0:Z3054924302;103:10300:3:Z3340965073;103:10300:4:Z3518469710;
O=c1[nH]ccs1,6221,103:10300:0:Z3725961819;103:10300:1:Z4448593698;103:10300:1:Z4099736540;
C1CCC2(C1)CCCNCC2,101,103:10300:0:Z2613680333;103:10300:5:Z2615755541;103:10300:6:Z3554887735;
OC1CCc2cc(F)ccc21,163,103:10300:0:Z2434891056;103:10300:3:Z3192873735;103:10301:9:Z2457792558;
O=c1[nH]nc(Cl)s1,5,103:10300:0:Z1892311311;103:10309:2:Z1892311272;103:10335:5:Z1862091248;
C1CC2(CCN1)COCCN2,148,103:10300:0:Z3701472928;103:10300:3:Z3609341568;103:10301:5:Z3701475634;
Cc1nn(C)c2[nH]c(=O)ccc12,95,103:10300:0:Z4633230359;103:10300:0:Z4633244409;103:10303:4:Z4460398251;
FC1(F)C2CCC1CNC2,195,103:10300:0:Z4154016011;103:10300:0:Z4155498217;103:10300:9:Z4153175484;
C1Cc2[nH]nnc2CN1,266,103:10300:0:Z2219190646;103:10300:5:Z4291846639;103:10300:6:Z2801506597;
CC1CNCCc2ccc(O)cc21,85,103:10300:0:Z3644211163;103:10301:7:Z3712417976;103:10302:5:Z4107702699;
CC1CC(F)(F)CN1,1045,103:10300:0:Z3627058894;103:10300:3:Z3865105084;103:10300:4:Z3864840498;
c1ccc2c(c1)COCCN2,460,103:10300:0:Z5024466651;103:10300:0:Z4224138469;103:10300:2:Z4166690198;
CC1Cc2ccccc2C1,677,103:10300:0:Z3102830487;103:10300:1:Z2495689852;103:10300:1:Z3441299245;
FC12CCCC1CNC2,1344,103:10300:0:Z3815449448;103:10300:1:Z4326951944;103:10300:1:Z4489807772;
Clc1ccc2c(c1)OCO2,556,103:10300:0:Z3604287796;103:10300:2:Z202705366;103:10300:3:Z4025159072;
O=C1COc2ccc(Cl)cc2N1,605,103:10300:0:Z270271000;103:10300:1:Z1556028922;103:10300:3:Z3856544283;
C1COCC2(C1)CNCCO2,464,103:10300:0:Z2106435427;103:10300:1:Z2163732907;103:10300:1:Z2076423170;
Cc1cc2scnc2cc1F,106,103:10300:0:Z3547369032;103:10300:5:Z2277183510;103:10303:6:Z1954431777;
Cc1cc2ncccc2[nH]1,270,103:10300:0:Z5059792417;103:10300:0:Z5059788757;103:10300:1:Z4876329151;
Cc1ccc(=O)[nH]c1,441,103:10300:0:Z5034558334;103:10300:1:Z3136727928;103:10300:3:Z5034065992;
CC1CCC2(CCNC2)CC1,118,103:10300:0:Z3095779293;103:10300:1:Z2611682122;103:10300:1:Z1942171982;
Cc1c[nH]c2ccccc12,277,103:10300:0:Z2718000808;103:10300:3:Z3625321634;103:10301:1:Z3651851369;
O=C1NCC(O)CC12CCNCC2,157,103:10300:0:Z2962557393;103:10300:1:Z2920138805;103:10300:8:Z2920107957;
C1CCC2CCC2CC1,397,103:10300:0:Z3786038621;103:10300:0:Z3908489344;103:10300:5:Z3589512018;
Cc1c(Cl)cnc2ccccc12,44,103:10300:0:Z1460465266;103:10301:6:Z2601180624;103:10302:1:Z2376954540;
CC1(C)CC2(CC2)C1,680,103:10300:0:Z3506252079;103:10300:4:Z4475246810;103:10301:2:Z3579108774;
FC12CNCCC1CNC2,69,103:10300:0:Z4029828017;103:10300:4:Z4029836482;103:10302:1:Z4029837572;
O=C1CCSc2ccccc2N1,383,103:10300:0:Z4392359259;103:10300:4:Z4218644189;103:10300:8:Z3579715440;
Cc1cccc2c1CCC2,640,103:10300:0:Z2305264961;103:10300:3:Z1537555008;103:10300:4:Z3437319292;
Cc1nnc2n1CCCC2,1194,103:10300:0:Z4643497367;103:10300:1:Z4580432840;103:10300:2:Z2643167213;
CC1CNCC(=O)N1,166,103:10300:0:Z2285255238;103:10300:3:Z2273971681;103:10300:7:Z2836219440;
Cc1cn2cc(Cl)ccc2n1,49,103:10300:0:Z1864987959;103:10300:1:Z3555251622;103:10300:5:Z1963388459;
OC1CNCC(F)(F)C1,205,103:10300:0:Z3546251816;103:10301:2:Z1815209854;103:10301:4:Z4141844790;
OC1CC2CCCC(C2)C1O,153,103:10300:0:Z4325986575;103:10300:1:Z4317315926;103:10300:5:Z4327090570;
c1cc2c(cn1)C1(CCNCC1)OC2,82,103:10300:0:Z4245495797;103:10301:8:Z4491784943;103:10304:1:Z4245498961;
Clc1ccncc1,4107,103:10300:0:Z3168744183;103:10300:2:Z4130095280;103:10300:3:Z4151747900;
Cc1cncc(C)c1,3352,103:10300:0:Z1628685073;103:10300:1:Z3601643859;103:10300:1:Z3838265008;
Nc1csc2ncccc12,236,103:10300:0:Z2800892329;103:10300:4:Z3639317304;103:10300:9:Z4461995155;
Cc1ccn2ncnc2n1,1049,103:10300:0:Z4287406029;103:10300:1:Z2347924253;103:10300:1:Z3082560263;
O=S1(=O)CC2(CCNC2)C1,199,103:10300:0:Z2811055535;103:10300:2:Z2804671137;103:10300:3:Z2841601852;
O=S1(=O)NCCn2nccc21,162,103:10300:0:Z3049970252;103:10300:3:Z3051074177;103:10300:6:Z3295248771;
Fc1cccc2c1CCNC2,691,103:10300:0:Z3049970252;103:10300:2:Z2802409836;103:10300:3:Z3808588239;
C1CCC2(CCC2)SC1,555,103:10300:0:Z2962326712;103:10300:0:Z4350539606;103:10300:0:Z3581346457;
Cn1cnc(Cl)c1,255,103:10300:0:Z3801336718;103:10300:2:Z1898417539;103:10300:5:Z3505840813;
CC12CCC(=O)N1CCCN2,128,103:10300:0:Z4227061425;103:10300:1:Z4227047704;103:10300:7:Z4227053265;
CC1(C)NCC(O)C1O,115,103:10300:0:Z4069291589;103:10300:1:Z4078631920;103:10300:7:Z4082168458;
OC1CCNC2(CC2)C1,166,103:10300:0:Z3599457622;103:10300:4:Z4114098548;103:10300:7:Z3571870300;
O=S1(=O)CCC12CCOCC2,183,103:10300:0:Z3611376197;103:10301:8:Z3621578623;103:10302:1:Z3611376435;
CC1CCc2nccn21,265,103:10300:0:Z2297896977;103:10300:1:Z2297898483;103:10300:3:Z4556972459;
Fc1cnc2c(c1)OCCN2,166,103:10300:0:Z5047228660;103:10300:1:Z5037994249;103:10300:2:Z5035219759;
C1CCC2(C1)CCOC2,939,103:10300:0:Z3780836898;103:10300:1:Z4457489410;103:10300:2:Z4636340726;
Fc1ccc2c(c1)CCCCO2,203,103:10300:0:Z1078516940;103:10300:1:Z5043074902;103:10300:1:Z5043074908;
C1CCC2(CC1)CNC2,1232,103:10300:0:Z3543354616;103:10300:1:Z4491545895;103:10300:4:Z4473489563;
O=c1[nH]cnc2c1CCCC2,109,103:10300:0:Z3309668798;103:10300:4:Z3310651963;103:10301:0:Z1533197215;
NC1CCCC12CNC2,54,103:10300:0:Z4210665211;103:10302:0:Z4210673994;103:10302:3:Z4210650201;
Cn1cnc(N)c1,92,103:10300:0:Z4288354405;103:10300:3:Z4295153134;103:10300:5:Z4291846639;
O=C1COc2ncccc2N1,402,103:10300:0:Z4081841045;103:10300:0:Z2916356363;103:10300:1:Z3703345965;
C1CCC2(CCOC2)OC1,760,103:10300:0:Z4139028764;103:10300:1:Z1576454701;103:10300:1:Z3845867790;
CN1CCC(N)C1,74,103:10300:0:Z2408395433;103:10301:2:Z2382590339;103:10302:8:Z2465058207;
Clc1cnc2ccccc2n1,80,103:10300:0:Z4991723235;103:10300:1:Z4267525521;103:10302:4:Z4267521721;
N=S1(=O)CCCC1,779,103:10300:0:Z4208321543;103:10300:1:Z3874939701;103:10300:1:Z2927194891;
Cc1ccc2cccnc2n1,424,103:10300:0:Z4208321543;103:10300:1:Z1855797980;103:10300:2:Z4075936858;
C1CCC23OCCC2CC3C1,78,103:10300:0:Z3575633036;103:10300:8:Z3613025068;103:10300:8:Z4141779457;
C1COC2CNCC2N1,1711,103:10300:0:Z2785524337;103:10300:3:Z3553506025;103:10300:3:Z4153174054;
O=C1CCCn2cccc21,303,103:10300:0:Z2785524337;103:10300:6:Z3906854282;103:10300:7:Z1921812829;
CC1(C)CCCS1(=O)=O,655,103:10300:0:Z3366258540;103:10300:2:Z3357268241;103:10300:2:Z3606897391;
c1ccc2nsnc2c1,1885,103:10300:0:Z4882599814;103:10300:1:Z3204421723;103:10300:1:Z4418825515;
C1COC2(CCNC2)CN1,1022,103:10300:0:Z3595183311;103:10300:1:Z3383640765;103:10300:5:Z3383686059;
c1cc2n(c1)CCNC21CCC1,164,103:10300:0:Z4206362965;103:10300:8:Z3883884443;103:10301:4:Z4207735472;
CC1(C)OC2(CCCNC2)NC1=O,165,103:10300:0:Z3651347681;103:10300:1:Z3651341738;103:10300:2:Z4023124660;
Cc1cc(C)cc(F)c1,637,103:10300:0:Z2647027612;103:10300:1:Z1919455110;103:10300:3:Z3773786671;
CC1(C)CNCCS1=O,142,103:10300:0:Z2845132519;103:10300:4:Z1461285008;103:10300:4:Z1818758190;
CN1CCOc2ccccc21,982,103:10300:0:Z3176480624;103:10300:1:Z2107881985;103:10300:1:Z4914605182;
CC1CC2(CCOCC2)CN1,263,103:10300:0:Z3472095912;103:10300:2:Z4509334444;103:10300:4:Z2436557727;
Cc1ccc(O)c(C)c1,440,103:10300:0:Z2644106102;103:10300:1:Z2234553500;103:10301:5:Z1177501201;
NC1CCCC2CNCC12,119,103:10300:0:Z2465291737;103:10303:8:Z3516116666;103:10303:9:Z2447556248;
Cc1ccc2occc2n1,219,103:10300:0:Z2086899578;103:10300:7:Z2964060031;103:10300:7:Z2647495471;
O=S1(=O)CCC2(CCCN2)C1,165,103:10300:0:Z3681314793;103:10300:3:Z3652855587;103:10300:5:Z3652861262;
CC1NCCNC1=O,652,103:10300:0:Z1744989751;103:10300:1:Z1745432768;103:10300:2:Z2673020633;
Cc1cc(C)oc(=O)c1,490,103:10300:0:Z3083501711;103:10300:2:Z4105260929;103:10300:9:Z194459202;
c1n[nH]c2c1CCC2,2744,103:10300:0:Z3653169485;103:10300:1:Z1166178084;103:10300:1:Z4043058453;
Fc1cccc2[nH]ccc12,805,103:10300:0:Z296521922;103:10300:2:Z1784042757;103:10300:3:Z5060066088;
CC1CC(F)(F)C1,2481,103:10300:0:Z3726393587;103:10300:2:Z4453491776;103:10300:3:Z4401201902;
Cn1ccn2nccc12,392,103:10300:0:Z4104565057;103:10301:3:Z4224482515;103:10302:1:Z4224481864;
CN1CCC(=O)Nc2ccccc21,144,103:10300:0:Z1344015784;103:10300:0:Z1581874182;103:10300:2:Z2440802639;
OC1CCCn2nccc21,223,103:10300:0:Z4612390801;103:10301:5:Z3370894395;103:10301:6:Z3370770780;
Nc1ccc2ccccc2n1,105,103:10300:0:Z4230560079;103:10301:8:Z5036537431;103:10303:6:Z4127881711;
C1CC2CNCC2N1,8044,103:10300:0:Z2354198600;103:10300:2:Z2354884971;103:10300:3:Z4018905060;
C1CCC2(C1)CNC2,2566,103:10300:0:Z2954486450;103:10300:3:Z3531251803;103:10300:5:Z4118951693;
C1CCC2OCCC2C1,1595,103:10300:0:Z3783065632;103:10300:1:Z3871805410;103:10300:1:Z3623662763;
CC1(C)C2CCC1CC2,963,103:10300:0:Z3184153548;103:10300:4:Z4574534697;103:10300:4:Z4574534731;
c1nnc2n1CCCCC2,1976,103:10300:0:Z3184153548;103:10300:1:Z3378722326;103:10300:1:Z4289922340;
OC1CCCNCC1,1036,103:10300:0:Z2306567344;103:10300:1:Z2091772020;103:10300:2:Z2305386023;
CC1Oc2ccccc2O1,116,103:10300:0:Z2186795828;103:10300:4:Z1798735845;103:10301:2:Z1798719689;
c1cc2occc2cn1,1189,103:10300:0:Z2186795828;103:10300:3:Z3871241688;103:10300:3:Z3362781072;
Fc1ccc(Cl)cc1,4500,103:10300:0:Z1591294290;103:10300:1:Z1779156741;103:10300:1:Z3726393738;
CC1CC(O)C1,122,103:10300:0:Z4252004832;103:10300:4:Z4251988673;103:10300:5:Z4770035356;
C1CNC2(C1)CCCOC2,313,103:10300:0:Z2947590708;103:10301:0:Z2962663632;103:10301:1:Z2954464452;
Cc1cc(C)nc(N)n1,183,103:10300:0:Z3056085894;103:10301:8:Z3041582110;103:10302:1:Z1614676772;
FC1(F)CCC2(CCNCC2)C1,134,103:10300:0:Z3796763304;103:10300:2:Z3777765323;103:10300:3:Z4316175216;
C1=NOC2CCCCC12,255,103:10300:0:Z4025545385;103:10300:0:Z4119083013;103:10300:2:Z4112722127;
Fc1cccc2c1C1(CCCC1)CN2,68,103:10300:0:Z976701648;103:10302:0:Z1894756729;103:10302:1:Z4288032149;
CC1(C)CC2CCOC21,453,103:10300:0:Z1639148572;103:10300:1:Z1257895764;103:10300:5:Z1251535263;
Fc1ccc2ccncc2c1,646,103:10300:0:Z4437259067;103:10300:3:Z2976442904;103:10300:9:Z3629883721;
C1COCC2(C1)CNC2,301,103:10300:0:Z4591723717;103:10300:1:Z4961151295;103:10300:4:Z4591723821;
Cc1cnc2n1CCCC2,1525,103:10300:0:Z4476519506;103:10300:1:Z4121915853;103:10300:1:Z4488951172;
CC1CC1(F)F,5761,103:10300:0:Z4313691598;103:10300:1:Z3416183487;103:10300:1:Z4655882014;
CN1CCN(C)C2(CCNCC2)C1,147,103:10300:0:Z5054579463;103:10300:6:Z5047511397;103:10300:6:Z5061150025;
Fc1ccc2c(c1)NCC2,262,103:10300:0:Z1881266779;103:10300:5:Z944805864;103:10300:8:Z940777464;
c1ccc2c(c1)NCC21CCOCC1,121,103:10300:0:Z2876807399;103:10300:5:Z1844325754;103:10300:5:Z4350009286;
C1COCC2(CC2)N1,886,103:10300:0:Z4221327704;103:10300:1:Z4174959631;103:10300:2:Z4174573161;
Clc1ccc2sccc2c1,356,103:10300:0:Z3570695482;103:10300:4:Z1359621911;103:10300:5:Z1840786265;
Oc1ccnc(O)n1,59,103:10300:0:Z1719833286;103:10300:1:Z1268300477;103:10302:0:Z1303014976;
O=C1NCCC12CCCN2,198,103:10300:0:Z2869126100;103:10300:1:Z4129404276;103:10300:3:Z2640753033;
O=S1(=O)CCC2CNCC2C1,226,103:10300:0:Z3055320436;103:10300:5:Z3315031538;103:10300:6:Z3055319400;
Cc1cccc2c1C(=O)CO2,9,103:10300:0:Z428855588;103:10309:0:Z428856794;103:10322:9:Z428853602;
Cn1cc2c(n1)CCCC2,2372,103:10300:0:Z4109372203;103:10300:1:Z2769819825;103:10300:2:Z2824600291;
OC1CC2CC1CN2,321,103:10300:0:Z2951224300;103:10300:2:Z2953788316;103:10300:3:Z4779750543;
CC1COC2(CCC2)CN1,198,103:10300:0:Z2618860363;103:10300:9:Z2644465186;103:10301:3:Z3888156285;
Clc1cccc2c1CCNC2,520,103:10300:1:Z3098529576;103:10300:4:Z2452779913;103:10300:8:Z1743153372;
Cc1cc2n(n1)CCN2,72,103:10300:1:Z4036102793;103:10300:6:Z4036101576;103:10300:6:Z4036105239;
Cc1cccc2ccoc12,489,103:10300:1:Z2407592842;103:10300:3:Z2407483196;103:10300:4:Z952184158;
Cc1ccc2c(C)n[nH]c2n1,234,103:10300:1:Z4591688763;103:10300:3:Z2791349874;103:10301:6:Z1658701367;
CN1C(=O)CSC12CCNCC2,218,103:10300:1:Z1846244575;103:10300:1:Z2906665138;103:10300:1:Z2352517713;
C1CC2CC2CN1,5141,103:10300:1:Z4258878652;103:10300:2:Z2646828376;103:10300:2:Z4466691136;
Clc1ccn[nH]1,1716,103:10300:1:Z2921133078;103:10300:2:Z5059805437;103:10300:2:Z2774767322;
CN1CCOCC12CNCOC2,101,103:10300:1:Z3611160187;103:10301:7:Z3611159205;103:10301:8:Z3611159434;
O=S1(=O)CCC2(CCNC2)CC1,440,103:10300:1:Z4576694377;103:10300:2:Z4591780296;103:10300:3:Z3700412554;
C1CC2CNC2C1,307,103:10300:1:Z3586345073;103:10300:1:Z3191453637;103:10300:2:Z3193051274;
Fc1cnccn1,151,103:10300:1:Z4330878909;103:10301:4:Z2612345721;103:10301:8:Z2611264691;
c1cc2c(s1)COCC2,276,103:10300:1:Z1550196601;103:10301:2:Z3624770395;103:10301:4:Z1959294811;
O=S1(=O)CC2CCC(C1)N2,115,103:10300:1:Z3569781099;103:10300:1:Z3345473557;103:10300:2:Z3615019878;
Fc1cc(F)c2scnc2c1,51,103:10300:1:Z4026384082;103:10302:3:Z4026431582;103:10302:4:Z5023243869;
O=C1NC2CCCC1C2,203,103:10300:1:Z4026384082;103:10300:2:Z4230642438;103:10300:8:Z3590345970;
O=S1(=O)CCC2CCC1C2,214,103:10300:1:Z3559483635;103:10300:4:Z3556080532;103:10300:4:Z3558011936;
CN1CCNC2(CCOCC2)CC1,155,103:10300:1:Z4118583761;103:10300:8:Z3042683144;103:10301:7:Z3042975771;
O=C1CC2(C1)CC1(CCC1)C2,146,103:10300:1:Z5042914607;103:10300:7:Z5043927816;103:10300:9:Z5044383392;
Cn1cnc2cc(Cl)ccc21,477,103:10300:1:Z1498883427;103:10300:2:Z2264962442;103:10300:4:Z3048208424;
C1CC2(CN1)CNC2,6303,103:10300:1:Z4082215437;103:10300:1:Z2970661967;103:10300:4:Z3530026551;
Cc1cc(Cl)c(C)cc1Cl,55,103:10300:1:Z4082215437;103:10300:7:Z1839809789;103:10300:8:Z1252759572;
O=C1CC2CCC(C1)N2,177,103:10300:1:Z1752348829;103:10300:2:Z2498100859;103:10300:9:Z2198352482;
Cc1ccc2c(=O)[nH]n(C)c2n1,95,103:10300:1:Z1530756424;103:10301:7:Z1402292399;103:10302:4:Z3623334591;
C1COC2(CCN1)CCOCC2,214,103:10300:1:Z3938246891;103:10300:4:Z4017699839;103:10300:4:Z1712500594;
CN1CCC(O)C1,1026,103:10300:1:Z2860020481;103:10300:1:Z3185080485;103:10300:2:Z3080316302;
Cc1cccc2ccsc12,236,103:10300:1:Z2154196902;103:10300:2:Z2154478150;103:10300:7:Z3585027306;
O=C1C=CCCN1,40,103:10300:1:Z4562274596;103:10300:5:Z4169270511;103:10301:1:Z4223440369;
Cc1ccc2cc(O)ccc2n1,94,103:10300:1:Z3205654700;103:10300:3:Z4199475121;103:10301:7:Z3205626818;
Cc1ccc(C)c2c1CCCO2,234,103:10300:1:Z3541669838;103:10300:4:Z3105853555;103:10300:4:Z3105853551;
CC1CCc2ccccc2N1,746,103:10300:1:Z2215784181;103:10300:1:Z795871904;103:10300:4:Z1289786299;
c1cn2c(n1)SCC2,1485,103:10300:1:Z1699091891;103:10300:1:Z1704220980;103:10300:3:Z2047346458;
CC1(C)CC2CNCC21,158,103:10300:1:Z4012023579;103:10301:4:Z4004236331;103:10301:6:Z4309092364;
OC1CCC12CCNCC2,865,103:10300:1:Z4933115090;103:10300:1:Z4241724872;103:10300:1:Z4276128605;
CC1CC(O)CN1,329,103:10300:1:Z2914822981;103:10300:3:Z2893050057;103:10300:6:Z2960904284;
CC1(C)CCC(O)C1,127,103:10300:1:Z4935231712;103:10301:4:Z5045523372;103:10302:1:Z4932004436;
CC1Cc2cccc(Cl)c2O1,118,103:10300:1:Z1231593232;103:10300:8:Z4211286266;103:10300:9:Z1232868817;
c1cc2cc[nH]c2cn1,1359,103:10300:1:Z2214412935;103:10300:1:Z4127782179;103:10300:1:Z3175911823;
CC1CCCC(C)O1,2054,103:10300:1:Z3783871223;103:10300:1:Z3010159639;103:10300:3:Z3104042483;
Cc1cc(=O)[nH]c2ccccc12,320,103:10300:1:Z5050575615;103:10300:2:Z2165582960;103:10300:2:Z2165585706;
O=C1NCCc2ncsc21,183,103:10300:1:Z3603968146;103:10302:0:Z3602877002;103:10302:1:Z3603959910;
Oc1ccc2c(c1)CCCC2,655,103:10300:1:Z1897783178;103:10300:1:Z3617221207;103:10300:2:Z2496018610;
CC1COC2(CCNCC2)O1,251,103:10300:1:Z3049075874;103:10300:4:Z1243807866;103:10300:4:Z4021158927;
CN1C(=O)COc2ccccc21,887,103:10300:1:Z4352528855;103:10300:1:Z3797500792;103:10300:2:Z2846027786;
CC1(C)CCC(C)(C)O1,962,103:10300:1:Z3381319227;103:10300:1:Z3299605081;103:10300:1:Z3191482281;
Cc1c(Cl)ccc2[nH]ccc12,88,103:10300:1:Z3173171793;103:10303:5:Z3378372834;103:10303:5:Z3366674906;
c1cc2sccc2[nH]1,1701,103:10300:1:Z4154877495;103:10300:1:Z3365205803;103:10300:2:Z4467845408;
CC12CNCC1(C)COC2,243,103:10300:1:Z2644591597;103:10300:1:Z3693134111;103:10300:1:Z2612659124;
O=c1ccc2c([nH]1)CCCCC2,199,103:10300:1:Z2644591597;103:10300:2:Z1239269559;103:10300:8:Z3711972720;
CC1OCCc2sccc21,203,103:10300:1:Z2908933203;103:10300:6:Z4412800736;103:10300:7:Z3539368167;
Cc1ccc2ccnn2c1C,182,103:10300:1:Z3594622495;103:10300:3:Z4578449099;103:10300:7:Z2960818854;
O=C1NCC2CNCCC12,282,103:10300:1:Z3007492460;103:10300:3:Z3583134823;103:10300:5:Z3007494587;
FC1(F)Cc2ccnn2C1,292,103:10300:1:Z3861991442;103:10300:4:Z3867916723;103:10300:5:Z3839635933;
O=S1(=O)CCCNC1,158,103:10300:1:Z4576357198;103:10300:1:Z4212294925;103:10300:5:Z4265683140;
CC1CCCC(C)(C)C1=O,43,103:10300:1:Z2498479038;103:10300:6:Z3168904762;103:10300:9:Z3381911594;
FC1CNCCOC1,614,103:10300:1:Z4079988406;103:10300:7:Z4079986943;103:10301:0:Z4079978140;
