fragment_smiles,occurences,example_ligands
C1CNOC1,1364,103:10300:0:Z3606393012;103:10300:0:Z3204887115;103:10300:0:Z3204886855;
CN1CCCC1,16711,103:10300:0:Z3606393012;103:10300:0:Z4113444844;103:10300:0:Z2709478320;
c1ncon1,93849,103:10300:0:Z3789602036;103:10300:0:Z4049804290;103:10300:0:Z2160653616;
c1cn[nH]c1,237479,103:10300:0:Z3789602036;103:10300:0:Z1507902517;103:10300:0:Z1195615370;
c1ccc2c(c1)CCO2,10942,103:10300:0:Z4380673745;103:10300:0:Z2963960668;103:10300:0:Z2965907873;
CC1CCC(C)NC1,505,103:10300:0:Z4380673745;103:10300:0:Z4388278017;103:10300:4:Z3577057677;
c1cn2c(n1)CCCC2,7979,103:10300:0:Z3434796125;103:10300:0:Z4118357267;103:10300:0:Z4305259212;
O=C1CCNCC12CCC2,183,103:10300:0:Z3434796125;103:10300:2:Z3323076938;103:10300:3:Z3611129533;
Cc1ccc(C)cc1,6797,103:10300:0:Z2004024368;103:10300:0:Z3816469889;103:10300:0:Z1409154858;
O=C1NCCN1,10109,103:10300:0:Z2828775732;103:10300:0:Z3384655656;103:10300:0:Z2455335629;
CC1CNCCS(=O)(=O)C1,237,103:10300:0:Z2176645578;103:10300:0:Z1870826787;103:10300:2:Z1870837259;
Clc1ccccc1,154264,103:10300:0:Z2176645578;103:10300:0:Z3363523567;103:10300:0:Z1090812688;
c1cn2c(n1)CCC2,4238,103:10300:0:Z2874601641;103:10300:0:Z4172863055;103:10300:0:Z1724890219;
c1ccc2occc2c1,11139,103:10300:0:Z1090812688;103:10300:0:Z1796917416;103:10300:0:Z1803767067;
c1nncs1,20307,103:10300:0:Z3558230230;103:10300:0:Z1444236234;103:10300:0:Z1677591722;
CC1(C)OCCO1,2620,103:10300:0:Z4112421541;103:10300:0:Z2967070263;103:10300:0:Z4088953593;
C1CC2(C1)CCOC2,2818,103:10300:0:Z3780967372;103:10300:1:Z4420647189;103:10300:2:Z4574129193;
C1CC2CC2C1,18946,103:10300:0:Z5065389823;103:10300:0:Z4022213993;103:10300:0:Z1996487221;
C1CNC2CC2N1,1900,103:10300:0:Z2962416571;103:10301:2:Z3383809030;103:10302:2:Z3368018345;
CC1CCCCC1,18673,103:10300:0:Z2789679829;103:10300:0:Z1261202835;103:10300:0:Z848852008;
C1COCCN1,107187,103:10300:0:Z2789679829;103:10300:0:Z2599438731;103:10300:0:Z2843262066;
c1ccc2c(c1)CCCO2,9242,103:10300:0:Z4474109485;103:10300:0:Z3385174971;103:10300:0:Z1548841110;
O=S1(=O)CCNCC1,3760,103:10300:0:Z4474109485;103:10300:0:Z3204512382;103:10300:0:Z3204512419;
CN1CCN(C)CC1,586,103:10300:0:Z2892613575;103:10300:0:Z4129396187;103:10300:1:Z2448784194;
C1CNCCN1,140354,103:10300:0:Z647989790;103:10300:0:Z1354399851;103:10300:0:Z4896718011;
Cc1ccc(F)cc1,5888,103:10300:0:Z1507902517;103:10300:0:Z3996944269;103:10300:0:Z1884323503;
C1CCNCC1,476065,103:10300:0:Z3644875984;103:10300:0:Z2970081941;103:10300:0:Z2088636721;
c1ccc2c(c1)CCC2,16918,103:10300:0:Z3644875984;103:10300:0:Z1039131276;103:10300:0:Z4216750918;
Clc1cccc(Cl)c1,16794,103:10300:0:Z2876963605;103:10300:0:Z1657716416;103:10300:0:Z822782142;
O=c1cccc[nH]1,24651,103:10300:0:Z3496075187;103:10300:0:Z3368185614;103:10300:0:Z3584969559;
Cc1nccs1,19119,103:10300:0:Z3558565099;103:10300:0:Z2843262066;103:10300:0:Z3990976719;
Cc1ccn(C)c(=O)c1,466,103:10300:0:Z4515991664;103:10300:1:Z2234684261;103:10300:4:Z2632224255;
c1cncnc1,75392,103:10300:0:Z4229368433;103:10300:0:Z2160653616;103:10300:0:Z3830571115;
C1CC2CCC(C1)N2,12642,103:10300:0:Z4229368433;103:10300:0:Z4380710492;103:10300:0:Z4048883389;
c1cscn1,147955,103:10300:0:Z4140892918;103:10300:0:Z2636890828;103:10300:0:Z3519848569;
Cn1ccc(O)n1,1296,103:10300:0:Z4140892918;103:10300:0:Z4140911526;103:10300:3:Z3539465953;
Clc1nccs1,7462,103:10300:0:Z1354399851;103:10300:0:Z5001524375;103:10300:0:Z1835278747;
C1CCCCC1,155253,103:10300:0:Z1354399851;103:10300:0:Z3620024902;103:10300:0:Z1542083566;
C1CC2CC2CO1,1615,103:10300:0:Z4320503515;103:10300:0:Z5064128880;103:10300:0:Z3079753131;
Cn1cccn1,129400,103:10300:0:Z1857194841;103:10300:0:Z2153729834;103:10300:0:Z1444236234;
Oc1ccccc1,33721,103:10300:0:Z2302739036;103:10300:0:Z1395013372;103:10300:0:Z2806414643;
Cc1ccccc1F,12340,103:10300:0:Z2302739036;103:10300:0:Z1395013372;103:10300:0:Z4290482181;
c1nnco1,17881,103:10300:0:Z1675860947;103:10300:0:Z2611242131;103:10300:0:Z3320987348;
CC1CCCO1,15347,103:10300:0:Z3620024902;103:10300:0:Z4004976914;103:10300:0:Z2433862415;
c1nnc[nH]1,40305,103:10300:0:Z2184728740;103:10300:0:Z4111513942;103:10300:0:Z3139556123;
c1ccoc1,97338,103:10300:0:Z2184728740;103:10300:0:Z2806414643;103:10300:0:Z2914789483;
c1cc2n(c1)CCNC2,841,103:10300:0:Z4508514725;103:10300:0:Z3783939154;103:10300:1:Z4004891675;
FC1(F)CC1,21286,103:10300:0:Z4508514725;103:10300:0:Z4921631490;103:10300:0:Z4246710106;
Cn1cnc2cnccc21,426,103:10300:0:Z2636890828;103:10300:6:Z4471682515;103:10300:7:Z4051741288;
Cc1cccnc1,24590,103:10300:0:Z2026760281;103:10300:0:Z4066442123;103:10300:0:Z1985109420;
c1c[nH]cn1,73685,103:10300:0:Z2026760281;103:10300:0:Z3579038019;103:10300:0:Z2411626350;
CC1CCCC(=O)C1,205,103:10300:0:Z2026760281;103:10300:3:Z4153937359;103:10300:3:Z1533810546;
c1cn[nH]n1,9032,103:10300:0:Z4896718011;103:10300:0:Z4992005751;103:10300:0:Z5005176345;
c1cnccn1,28165,103:10300:0:Z3861510566;103:10300:0:Z2997414779;103:10300:0:Z4081885762;
C1CC2CCC2N1,4700,103:10300:0:Z3059034095;103:10300:0:Z4641670052;103:10300:0:Z4094795223;
O=C1CCCN1,73164,103:10300:0:Z3059034095;103:10300:0:Z2590009733;103:10300:0:Z2841858084;
CC1(C)CCC1,14008,103:10300:0:Z2843262066;103:10300:0:Z4279609834;103:10300:0:Z2721951391;
Cc1ccno1,18964,103:10300:0:Z4505484150;103:10300:0:Z3714035431;103:10300:0:Z238372528;
Cc1cnn[nH]1,5374,103:10300:0:Z4505484150;103:10300:0:Z4045805645;103:10300:0:Z1239550293;
