fragment_smiles,occurences,example_ligands
Cc1cnc[nH]1,3472,16:01600:0:Z3613159113;16:01600:0:Z2702223024;16:01600:0:Z2791613815;
CC1(C)CNCC2CCOC2C1,144,16:01600:0:Z3613159113;16:01600:8:Z3613159396;16:01600:8:Z3443018794;
Cc1cncs1,12930,16:01600:0:Z3292663567;16:01600:0:Z2505895808;16:01600:0:Z2587486771;
C1CCNC1,262893,16:01600:0:Z3561070363;16:01600:0:Z4030867988;16:01600:0:Z3809001144;
CC1(C)CCC1,13367,16:01600:0:Z4345674728;16:01600:0:Z2845118849;16:01600:0:Z4276196130;
O=C1CNC2(CCC2)CN1,129,16:01600:0:Z4363776372;16:01600:3:Z3883824362;16:01603:3:Z3883815579;
c1ccn2cnnc2c1,3235,16:01600:0:Z4363776372;16:01600:0:Z4466954444;16:01600:1:Z4473679243;
Cc1ccccc1,95809,16:01600:0:Z3494216058;16:01600:0:Z3216173308;16:01600:0:Z2497599824;
C1=CCNCC1,3359,16:01600:0:Z3494216058;16:01600:0:Z2069929400;16:01600:0:Z4274036039;
C1CCOCC1,113714,16:01600:0:Z3500706853;16:01600:0:Z3618001407;16:01600:0:Z3834226133;
c1ncsn1,13545,16:01600:0:Z2010555346;16:01600:0:Z2957194351;16:01600:0:Z3617233072;
C1CCNCC1,256904,16:01600:0:Z2010555346;16:01600:0:Z1743624980;16:01600:0:Z1432337316;
Cc1cscn1,28903,16:01600:0:Z2614519308;16:01600:0:Z444896512;16:01600:0:Z4147798317;
c1ccccc1,439330,16:01600:0:Z1667876903;16:01600:0:Z1547954224;16:01600:0:Z1547975045;
c1nc[nH]n1,41137,16:01600:0:Z1667876903;16:01600:0:Z4046185051;16:01600:0:Z2672489956;
Cc1cccc(Cl)c1,6519,16:01600:0:Z2630182241;16:01600:0:Z3351716490;16:01600:0:Z3402524312;
Cc1cccc(F)c1,9928,16:01600:0:Z3197598279;16:01600:0:Z3654940331;16:01600:0:Z3197490526;
OC1CCCCC1,23057,16:01600:0:Z3197598279;16:01600:0:Z3654940331;16:01600:0:Z3197490526;
C1COCCO1,9820,16:01600:0:Z3356246037;16:01600:0:Z3590928110;16:01600:0:Z730607654;
c1ccc2[nH]nnc2c1,2071,16:01600:0:Z3356246037;16:01600:0:Z1420682296;16:01600:2:Z3640147828;
C1CCCCC1,107725,16:01600:0:Z3548344166;16:01600:0:Z2313499541;16:01600:0:Z3818214844;
c1cscn1,145974,16:01600:0:Z3548344166;16:01600:0:Z1191293705;16:01600:0:Z4043308253;
CN1CCOCC1,4118,16:01600:0:Z2814761937;16:01600:0:Z4467830689;16:01600:0:Z4172228169;
C1CCCC1,124412,16:01600:0:Z2814761937;16:01600:0:Z2067534168;16:01600:0:Z348147162;
Cc1cnoc1,6317,16:01600:0:Z2794704017;16:01600:0:Z1589672800;16:01600:0:Z3469904945;
C1CC2CC2C1,17997,16:01600:0:Z2794704017;16:01600:0:Z2947693693;16:01600:0:Z2922314274;
C1CC2(C1)CC2,11236,16:01600:0:Z3618001407;16:01600:0:Z3641052313;16:01600:0:Z3471613777;
Cc1ncno1,5486,16:01600:0:Z3543073927;16:01600:0:Z3254925627;16:01600:0:Z3254925037;
c1ncon1,105645,16:01600:0:Z3436749118;16:01600:0:Z4388071473;16:01600:0:Z2780475336;
CN1CCCC(C)(C)C1,599,16:01600:0:Z3808272410;16:01600:1:Z2105714358;16:01600:7:Z1932470979;
CC1CCCCC1,20482,16:01600:0:Z3808272410;16:01600:0:Z3600548019;16:01600:0:Z2859937559;
Cc1cnc2ncnn2c1,151,16:01600:0:Z3054161963;16:01600:6:Z2640847506;16:01601:9:Z3589259478;
C1CNCSC1,650,16:01600:0:Z3054161963;16:01600:1:Z4932060468;16:01600:2:Z3368449174;
Cc1ccccn1,28656,16:01600:0:Z444896512;16:01600:0:Z3389568208;16:01600:0:Z3634624525;
Cc1ncccc1O,146,16:01600:0:Z4235902484;16:01600:3:Z4255152254;16:01600:7:Z4235904955;
Cc1cn[nH]c1,9395,16:01600:0:Z3294580464;16:01600:0:Z2443486760;16:01600:0:Z4078291351;
Cc1ccn(C)n1,11462,16:01600:0:Z3294580464;16:01600:0:Z3347839054;16:01600:0:Z2960013079;
c1nc2n(n1)CCCN2,644,16:01600:0:Z4611455493;16:01600:1:Z4502736490;16:01600:2:Z4540198280;
c1c[nH]cn1,68291,16:01600:0:Z2443486760;16:01600:0:Z2899468319;16:01600:0:Z1560011398;
Clc1cccs1,15306,16:01600:0:Z3503722273;16:01600:0:Z4076448535;16:01600:0:Z3520906689;
c1ccncc1,249464,16:01600:0:Z4030867988;16:01600:0:Z2803334405;16:01600:0:Z3667627855;
c1ccoc1,76181,16:01600:0:Z1191293705;16:01600:0:Z3381091291;16:01600:0:Z2640973859;
FC1(F)CC1,15593,16:01600:0:Z4505051753;16:01600:0:Z2801696412;16:01600:0:Z4645235302;
Cc1noc2ncccc12,692,16:01600:0:Z1594095383;16:01600:0:Z3385546944;16:01600:4:Z4212394227;
C1COCO1,8793,16:01600:0:Z4147941529;16:01600:0:Z4457535291;16:01600:0:Z3319031783;
c1c[nH]nn1,68869,16:01600:0:Z4147941529;16:01600:0:Z2227492814;16:01600:0:Z1796665406;
O=C1NCCN1,3635,16:01600:0:Z2802959916;16:01600:1:Z2830171678;16:01600:1:Z2634894863;
OC1CCNCC1O,1284,16:01600:0:Z2802959916;16:01600:1:Z4886453034;16:01600:1:Z4179323279;
C1CCCNCCC1,1941,16:01600:0:Z3834226133;16:01600:0:Z2354906359;16:01600:1:Z2826773378;
Cc1ncccc1N,309,16:01600:0:Z4484230745;16:01600:3:Z4488455040;16:01600:6:Z4484078996;
O=S1(=O)CCCCC1,7478,16:01600:0:Z2480635392;16:01600:0:Z3152923038;16:01600:0:Z3342661525;
CN1CCCCCC1=O,1221,16:01600:0:Z3871031525;16:01600:0:Z2824975819;16:01600:1:Z4214770073;
C1CC2CC1CN2,7943,16:01600:0:Z3871031525;16:01600:0:Z2824975819;16:01600:0:Z5004752629;
OC1CNCC12CCC2,484,16:01600:0:Z3820527790;16:01600:0:Z4023237373;16:01601:1:Z3808434646;
C1CNCCOC1,13807,16:01600:0:Z3532308769;16:01600:0:Z3385553688;16:01600:0:Z4211845331;
c1cocn1,50597,16:01600:0:Z3817517714;16:01600:0:Z5035659983;16:01600:0:Z3503128375;
Clc1ccccc1,96573,16:01600:0:Z1743624980;16:01600:0:Z2698347122;16:01600:0:Z2163808117;
CC1(C)CCCCC1,5296,16:01600:0:Z4095038061;16:01600:0:Z1271790272;16:01600:0:Z2298899639;
O=C1CC2CCC(C1)N2,411,16:01600:0:Z4125407829;16:01600:9:Z4228069920;16:01601:3:Z3471002310;
Cn1cccn1,105821,16:01600:0:Z3383576156;16:01600:0:Z3639144272;16:01600:0:Z3358262200;
c1n[nH]c2c1CNCC2,885,16:01600:0:Z3383576156;16:01600:0:Z4322372408;16:01600:1:Z2327598075;
C1CC2CNCC1O2,1666,16:01600:0:Z4457579625;16:01600:0:Z1305147976;16:01600:1:Z2910260859;
Cc1ccccc1C,8647,16:01600:0:Z28142125;16:01600:0:Z3699897233;16:01600:0:Z2406215677;
Fc1ccccc1,127865,16:01600:0:Z28142125;16:01600:0:Z4078281294;16:01600:0:Z3606931327;
C1CC2(CCN1)CCNCC2,166,16:01600:0:Z2657525751;16:01600:3:Z2443725170;16:01601:4:Z4315364296;
Cc1cccnc1,23539,16:01600:0:Z4027288898;16:01600:0:Z3359873825;16:01600:0:Z2783756460;
c1cncnc1,75260,16:01600:0:Z2949606581;16:01600:0:Z3603032408;16:01600:0:Z4109240409;
C1CC2CNCC2C1,5459,16:01600:0:Z2949606581;16:01600:0:Z2997706212;16:01600:0:Z4343228555;
C1CC12CC2,3054,16:01600:0:Z2881134281;16:01600:0:Z3818214844;16:01600:0:Z2365108322;
c1ccsc1,119192,16:01600:0:Z2881134281;16:01600:0:Z4085049560;16:01600:0:Z3358262200;
CC1CCC1,15221,16:01600:0:Z1470830962;16:01600:0:Z1582878217;16:01600:0:Z3475661474;
CC1CC=NO1,2445,16:01600:0:Z4483582083;16:01600:0:Z3874890998;16:01600:0:Z3544757576;
C1OC2CC1C2,9423,16:01600:0:Z2698347122;16:01600:0:Z3522636721;16:01600:0:Z3830164126;
c1cnsc1,22447,16:01600:0:Z3667627855;16:01600:0:Z3845482484;16:01600:0:Z2697469099;
CN1CCNCC1,11478,16:01600:0:Z3503128375;16:01600:0:Z4097925272;16:01600:0:Z3475178858;
CN1CC2(CNC2)C1,279,16:01600:0:Z4217995001;16:01600:3:Z4217951704;16:01600:9:Z4217999722;
Clc1csc2ncccc12,134,16:01600:0:Z4217995001;16:01600:4:Z2713298482;16:01601:3:Z3384237907;
Cc1cc(=O)[nH]cn1,1130,16:01600:0:Z4199153778;16:01600:1:Z4490279603;16:01600:1:Z2964721342;
Oc1cccc(F)c1,1970,16:01600:0:Z1715720009;16:01600:0:Z1549545408;16:01600:1:Z4400423137;
Cc1nccs1,17016,16:01600:0:Z3640872321;16:01600:0:Z1231463453;16:01600:0:Z3198069890;
FC1CCCC1,8725,16:01600:0:Z3585877735;16:01600:0:Z2323875778;16:01600:0:Z1724063845;
Oc1ccccc1,25827,16:01600:0:Z3585877735;16:01600:0:Z1529476273;16:01600:0:Z4024436302;
