fragment_smiles,occurences,example_ligands
Fc1cc(F)c2c(c1)CCO2,407,434:43400:0:PV-004839998806;434:43400:0:PV-004840011091;434:43400:4:PV-004840108466;
c1ncon1,3890,434:43400:0:PV-004839998827;434:43400:0:PV-004839998828;434:43400:0:PV-004839998829;
c1ccc2c(c1)OCCO2,7021,434:43400:0:PV-004839998852;434:43400:0:PV-004840013260;434:43400:0:PV-004840013261;
CC1(C)CCNCC1,11520,434:43400:0:PV-004839998854;434:43400:0:PV-004839999700;434:43400:0:PV-004840006106;
C1CC2CCC1CC2,1136,434:43400:0:PV-004839998854;434:43400:0:PV-004840010164;434:43400:2:PV-004840060798;
Oc1cccnc1,19838,434:43400:0:PV-004839998855;434:43400:0:PV-004840000460;434:43400:0:PV-004840000461;
c1cocn1,91414,434:43400:0:PV-004839998864;434:43400:0:PV-004839998912;434:43400:0:PV-004839999829;
CN1CCc2[nH]ncc2C1,1401,434:43400:0:PV-004839998869;434:43400:0:PV-004839998870;434:43400:1:PV-004840037661;
C1CCC2(CC1)CC2,11069,434:43400:0:PV-004839998876;434:43400:0:PV-004840000468;434:43400:0:PV-004840000469;
C1CCC2(CC1)OCCO2,784,434:43400:0:PV-004839998880;434:43400:1:PV-004840030881;434:43400:4:PV-004840103873;
c1ccc2c(c1)CCNCC2,2531,434:43400:0:PV-004839998912;434:43400:0:PV-004840008923;434:43400:0:PV-004840023966;
FC1CCNCC1,31373,434:43400:0:PV-004839998925;434:43400:0:PV-004840000024;434:43400:0:PV-004840001970;
Cc1cnnn1C,3430,434:43400:0:PV-004839998947;434:43400:0:PV-004840014026;434:43400:0:PV-004840015767;
C1COCCN1,72043,434:43400:0:PV-004839998972;434:43400:0:PV-004839999912;434:43400:0:PV-004840000608;
Cc1ccccc1,157018,434:43400:0:PV-004839998980;434:43400:0:PV-004839999154;434:43400:0:PV-004839999605;
Cn1nccc1F,9261,434:43400:0:PV-004839998980;434:43400:0:PV-004839999822;434:43400:0:PV-004839999823;
CC1CCCN1C,14280,434:43400:0:PV-004839998982;434:43400:0:PV-004839998983;434:43400:0:PV-004839998984;
c1ccc2c(c1)CCO2,21231,434:43400:0:PV-004839998982;434:43400:0:PV-004839998983;434:43400:0:PV-004839998984;
Fc1ccc2c(c1)CCCO2,1659,434:43400:0:PV-004839998994;434:43400:0:PV-004839998995;434:43400:0:PV-004839998996;
Cc1nc2ccccn2n1,2182,434:43400:0:PV-004839999017;434:43400:2:PV-004840063311;434:43400:3:PV-004840086805;
CC1CCCCC1,39973,434:43400:0:PV-004839999017;434:43400:0:PV-004839999787;434:43400:0:PV-004840001758;
Cc1ccn[nH]1,56048,434:43400:0:PV-004839999019;434:43400:0:PV-004839999154;434:43400:0:PV-004839999534;
CC1(C)CCC1,21954,434:43400:0:PV-004839999019;434:43400:0:PV-004840005881;434:43400:0:PV-004840006220;
C1CC2NCCOC2C1,1489,434:43400:0:PV-004839999020;434:43400:0:PV-004840003577;434:43400:0:PV-004840003578;
CC1(C)COC1,3038,434:43400:0:PV-004839999020;434:43400:0:PV-004840004127;434:43400:0:PV-004840017636;
CC1CCCC1,22361,434:43400:0:PV-004839999024;434:43400:0:PV-004839999033;434:43400:0:PV-004839999413;
Fc1ccc2occc2c1,6047,434:43400:0:PV-004839999024;434:43400:0:PV-004840014597;434:43400:0:PV-004840016581;
Cc1cnc(C)n1C,4087,434:43400:0:PV-004839999033;434:43400:0:PV-004840008530;434:43400:0:PV-004840008531;
C1COC2(C1)CNC2,8663,434:43400:0:PV-004839999033;434:43400:0:PV-004839999599;434:43400:0:PV-004839999826;
C1CC2(CCNC2)CN1,5677,434:43400:0:PV-004839999034;434:43400:0:PV-004840005525;434:43400:0:PV-004840013003;
CC1=NOC2(CCC2)C1,1418,434:43400:0:PV-004839999034;434:43400:4:PV-004840102708;434:43400:5:PV-004840130821;
CC1=CCCCC1,6595,434:43400:0:PV-004839999037;434:43400:0:PV-004840000162;434:43400:0:PV-004840001691;
CC1Oc2ccccc2O1,374,434:43400:0:PV-004839999037;434:43400:2:PV-004840065196;434:43400:2:PV-004840065197;
O=C1CCc2ccccc21,4581,434:43400:0:PV-004839999038;434:43400:0:PV-004839999039;434:43400:0:PV-004840007493;
Cc1ccc(F)cc1,16409,434:43400:0:PV-004839999047;434:43400:0:PV-004840013811;434:43400:0:PV-004840015708;
