fragment_smiles,occurences,example_ligands
Cc1cn2ncccc2n1,72,434:43400:0:PV-004840009799;434:43401:2:PV-004840342198;434:43401:2:PV-004840342199;
C1CC2(CCN1)CCOC2,1614,434:43400:0:PV-004840009820;434:43400:1:PV-004840027445;434:43400:1:PV-004840032626;
Cc1cn2nccc(C)c2n1,568,434:43400:0:PV-004840009845;434:43400:1:PV-004840029297;434:43400:1:PV-004840029298;
O=C1NCCCN1,3521,434:43400:0:PV-004840009895;434:43400:0:PV-004840012795;434:43400:1:PV-004840035569;
Cc1cc(=O)n(C)cn1,1484,434:43400:0:PV-004840009899;434:43400:0:PV-004840011744;434:43400:0:PV-004840018908;
C1CC2CCNCC2C1,4420,434:43400:0:PV-004840009899;434:43400:0:PV-004840017734;434:43400:1:PV-004840032955;
C1CCC2(C1)CCOCC2,991,434:43400:0:PV-004840009949;434:43400:1:PV-004840031706;434:43400:2:PV-004840063561;
c1ccc2nnccc2c1,3392,434:43400:0:PV-004840009961;434:43400:0:PV-004840024966;434:43400:1:PV-004840049151;
Fc1cc2cc[nH]c2cc1F,858,434:43400:0:PV-004840010008;434:43400:2:PV-004840059117;434:43400:3:PV-004840077138;
O=c1[nH][nH]c2c1CCCC2,534,434:43400:0:PV-004840010010;434:43400:2:PV-004840062218;434:43400:6:PV-004840166883;
Cc1c[nH]c2ncccc12,1445,434:43400:0:PV-004840010018;434:43400:0:PV-004840010019;434:43400:0:PV-004840010020;
Cc1nccc(=O)[nH]1,41,434:43400:0:PV-004840010024;434:43401:9:PV-004840512303;434:43402:0:PV-004840547490;
Cc1csc2ccccc12,386,434:43400:0:PV-004840010113;434:43400:5:PV-004840136534;434:43400:5:PV-004840136535;
Cc1cc(C)cc(F)c1,2751,434:43400:0:PV-004840010250;434:43400:0:PV-004840014649;434:43400:1:PV-004840054224;
c1cc2cc[nH]c2cn1,5793,434:43400:0:PV-004840010279;434:43400:0:PV-004840017821;434:43400:0:PV-004840017822;
c1nc2c([nH]1)CCCC2,5377,434:43400:0:PV-004840010309;434:43400:0:PV-004840022318;434:43400:0:PV-004840023123;
CC1CC(O)C(=O)N1C,1211,434:43400:0:PV-004840010313;434:43400:1:PV-004840027554;434:43400:1:PV-004840030990;
C1CCCOCC1,4814,434:43400:0:PV-004840010320;434:43400:0:PV-004840017325;434:43400:0:PV-004840018833;
Cc1cccn2ccnc12,4612,434:43400:0:PV-004840010361;434:43400:0:PV-004840012047;434:43400:1:PV-004840034532;
FC1CC2(CCC2)C1,4135,434:43400:0:PV-004840010374;434:43400:1:PV-004840026275;434:43400:1:PV-004840027800;
CC1COC2CCCCC12,955,434:43400:0:PV-004840010380;434:43400:5:PV-004840153327;434:43400:7:PV-004840199631;
CC1CCN1,3837,434:43400:0:PV-004840010403;434:43400:0:PV-004840010404;434:43400:0:PV-004840024562;
Cc1ncn2ccccc12,1102,434:43400:0:PV-004840010490;434:43400:2:PV-004840067333;434:43400:7:PV-004840191638;
C1CNCC2(C1)CCNCC2,3975,434:43400:0:PV-004840010568;434:43400:0:PV-004840024908;434:43400:1:PV-004840028554;
Cn1cccc(O)c1=O,860,434:43400:0:PV-004840010568;434:43400:4:PV-004840118900;434:43400:7:PV-004840188543;
O=C1NCCn2nncc21,151,434:43400:0:PV-004840010649;434:43400:0:PV-004840010650;434:43400:8:PV-004840217552;
C1CCc2[nH]nnc2C1,3256,434:43400:0:PV-004840010689;434:43400:0:PV-004840010690;434:43400:0:PV-004840010691;
Oc1cccc2occc12,1678,434:43400:0:PV-004840010787;434:43400:0:PV-004840010788;434:43400:0:PV-004840021819;
Fc1cc(F)c2occc2c1,603,434:43400:0:PV-004840010829;434:43400:3:PV-004840085238;434:43400:3:PV-004840085239;
Cc1cc(C)[nH]c(=O)c1,5724,434:43400:0:PV-004840010852;434:43400:0:PV-004840018335;434:43400:1:PV-004840031897;
Cc1cccc2cccnc12,2927,434:43400:0:PV-004840010865;434:43400:0:PV-004840014782;434:43400:0:PV-004840014783;
CC1(C)CCCO1,6886,434:43400:0:PV-004840010938;434:43400:0:PV-004840011825;434:43400:0:PV-004840014561;
CC1CCn2nccc2C1,869,434:43400:0:PV-004840010992;434:43400:0:PV-004840019501;434:43400:0:PV-004840019502;
c1cn2c(n1)CCCCC2,2560,434:43400:0:PV-004840010994;434:43400:1:PV-004840028050;434:43400:1:PV-004840028051;
c1noc2c1CCCC2,2444,434:43400:0:PV-004840011026;434:43400:2:PV-004840069525;434:43400:2:PV-004840069526;
c1cc2n(c1)CCCC2,5289,434:43400:0:PV-004840011032;434:43400:0:PV-004840011033;434:43400:0:PV-004840020976;
c1cnc2ncnn2c1,1452,434:43400:0:PV-004840011036;434:43400:0:PV-004840018846;434:43400:1:PV-004840046668;
c1cnc2c(c1)CCO2,2294,434:43400:0:PV-004840011048;434:43400:0:PV-004840011049;434:43400:0:PV-004840014903;
CN1CCCc2ccccc21,1001,434:43400:0:PV-004840011084;434:43400:3:PV-004840097348;434:43400:3:PV-004840099851;
CC1CCOC1,11787,434:43400:0:PV-004840011105;434:43400:0:PV-004840011753;434:43400:0:PV-004840018468;
CC1CCCn2nccc21,688,434:43400:0:PV-004840011133;434:43400:6:PV-004840160601;434:43400:6:PV-004840160602;
CC1CCCCN1C,3305,434:43400:0:PV-004840011220;434:43400:2:PV-004840059803;434:43400:2:PV-004840059804;
c1cc2c(nn1)CCCC2,1446,434:43400:0:PV-004840011225;434:43400:2:PV-004840068522;434:43400:3:PV-004840089092;
C1CC2(C1)CC2,10235,434:43400:0:PV-004840011324;434:43400:0:PV-004840012062;434:43400:0:PV-004840014838;
CC1(C)OCc2cn[nH]c21,1223,434:43400:0:PV-004840011474;434:43400:0:PV-004840011475;434:43400:0:PV-004840011476;
Cc1cn2c(n1)CCCC2,2839,434:43400:0:PV-004840011505;434:43400:0:PV-004840011506;434:43400:0:PV-004840011788;
FC1(F)CC12CCCCC2,1021,434:43400:0:PV-004840011513;434:43400:4:PV-004840113487;434:43400:4:PV-004840113488;
Cc1cc2c(cc1C)OCC2,1164,434:43400:0:PV-004840011524;434:43400:0:PV-004840011525;434:43400:0:PV-004840024816;
c1n[nH]c2c1COCC2,1951,434:43400:0:PV-004840011554;434:43400:0:PV-004840011555;434:43400:0:PV-004840011556;
Cc1cc2cccnc2[nH]1,1243,434:43400:0:PV-004840011567;434:43400:3:PV-004840091059;434:43400:3:PV-004840091060;
CC1(C)CCC(C)(C)O1,2133,434:43400:0:PV-004840011588;434:43400:1:PV-004840045570;434:43400:1:PV-004840049811;
FC1CCOCC1,3708,434:43400:0:PV-004840011642;434:43400:0:PV-004840011643;434:43400:1:PV-004840027443;
FC1CC12CCCCC2,938,434:43400:0:PV-004840011678;434:43400:0:PV-004840011679;434:43400:0:PV-004840023622;
C1CC2COCC12,213,434:43400:0:PV-004840011743;434:43400:6:PV-004840179543;434:43401:3:PV-004840366010;
O=C1CCc2ccccc2N1,5101,434:43400:0:PV-004840011753;434:43400:0:PV-004840017027;434:43400:0:PV-004840022127;
c1ccc2c(c1)CC1CC21,65,434:43400:0:PV-004840011758;434:43400:0:PV-004840011759;434:43401:5:PV-004840403611;
O=c1cnc2ccccc2[nH]1,1489,434:43400:0:PV-004840011769;434:43400:0:PV-004840011770;434:43400:0:PV-004840015673;
Cc1ccc2cccnc2c1C,767,434:43400:0:PV-004840011783;434:43400:1:PV-004840055627;434:43400:1:PV-004840055628;
Cc1nnc2n1CCCC2,1738,434:43400:0:PV-004840011903;434:43400:0:PV-004840011904;434:43400:0:PV-004840011905;
c1cc2occc2[nH]1,2013,434:43400:0:PV-004840012041;434:43400:1:PV-004840037142;434:43400:1:PV-004840043787;
CC1CCOC(C)C1,509,434:43400:0:PV-004840012062;434:43400:1:PV-004840034441;434:43400:3:PV-004840100944;
CC1CC=NO1,2817,434:43400:0:PV-004840012184;434:43400:0:PV-004840012185;434:43400:0:PV-004840025615;
c1cnn2cccc2c1,6069,434:43400:0:PV-004840012189;434:43400:0:PV-004840013356;434:43400:0:PV-004840019974;
Cc1cnc2c(c1)NCC2,9,434:43400:0:PV-004840012723;434:43407:5:PV-004842019851;434:43410:3:PV-004842747104;
C1CC2(CCN1)COCCO2,281,434:43400:0:PV-004840012770;434:43400:6:PV-004840169811;434:43401:3:PV-004840363913;
Cn1cc2c(n1)CCCC2,3264,434:43400:0:PV-004840012866;434:43400:0:PV-004840012867;434:43400:0:PV-004840019476;
C1CC2CC2CO1,871,434:43400:0:PV-004840012902;434:43400:4:PV-004840129817;434:43400:5:PV-004840144460;
Cn1ncc2c1CCCC2,3406,434:43400:0:PV-004840012908;434:43400:0:PV-004840024976;434:43400:1:PV-004840029890;
Nc1ccn2nccc2c1,1,434:43400:0:PV-004840012920;
O=C1CNCCN1,5071,434:43400:0:PV-004840012920;434:43400:0:PV-004840017906;434:43400:1:PV-004840053866;
CC1CCC(C)CC1,2438,434:43400:0:PV-004840012957;434:43400:2:PV-001704515614;434:43400:3:PV-001488220990;
Cn1nnc2c1CCCC2,1635,434:43400:0:PV-004840012962;434:43400:1:PV-004840052262;434:43400:2:PV-004840063109;
C1COCC2(C1)CCC2,4202,434:43400:0:PV-004840012993;434:43400:1:PV-004840032837;434:43400:1:PV-004840043233;
Cc1nnc[nH]1,531,434:43400:0:PV-004840013060;434:43400:3:PV-004840093557;434:43400:3:PV-004840093558;
OC1COC1,2802,434:43400:0:PV-004840013061;434:43400:0:PV-004840022120;434:43400:1:PV-004840035862;
Cc1n[nH]c(=O)o1,397,434:43400:0:PV-004840013105;434:43400:0:PV-004840013106;434:43400:0:PV-004840014886;
Cc1nc2cccnc2[nH]1,2342,434:43400:0:PV-004840013192;434:43400:0:PV-004840013193;434:43400:0:PV-004840019673;
O=c1[nH]ccc2ccncc12,615,434:43400:0:PV-004840013315;434:43400:0:PV-004840018225;434:43400:0:PV-004840024657;
Oc1ccc(F)c2[nH]ccc12,404,434:43400:0:PV-004840013391;434:43400:1:PV-004840034641;434:43400:1:PV-004840034642;
Cn1nnc2cccnc21,713,434:43400:0:PV-004840013425;434:43400:0:PV-004840013426;434:43400:0:PV-004840016415;
Cc1n[nH]c2ncccc12,513,434:43400:0:PV-004840013478;434:43400:4:PV-004840111784;434:43400:4:PV-004840111785;
Fc1ccc2c(c1)OCC2,2123,434:43400:0:PV-004840013532;434:43400:0:PV-004840013533;434:43400:0:PV-004840013534;
c1cnc2c(c1)CNCC2,47,434:43400:0:PV-004840013575;434:43401:5:PV-004840420934;434:43403:3:PV-004840889949;
Cc1n[nH]c(C)c1C,2392,434:43400:0:PV-004840013669;434:43400:0:PV-004840024951;434:43400:1:PV-004840028935;
Cc1cc(C)cc(C)c1,5196,434:43400:0:PV-004840013673;434:43400:0:PV-004840023548;434:43400:1:PV-004840029952;
Cc1ccncc1N,7708,434:43400:0:PV-004840013811;434:43400:0:PV-004840022025;434:43400:0:PV-004840024730;
OC1CCCOC1,997,434:43400:0:PV-004840013818;434:43400:5:PV-004840150435;434:43400:6:PV-004840172314;
c1cn2cnnc2cn1,401,434:43400:0:PV-004840013851;434:43400:7:PV-004840194322;434:43400:7:PV-004840217040;
Cc1ccc2cn[nH]c2c1,1725,434:43400:0:PV-004840013865;434:43400:0:PV-004840013866;434:43400:1:PV-004840026291;
C1CC2(CCN1)CCNCC2,2327,434:43400:0:PV-004840013892;434:43400:2:PV-000600510774;434:43400:2:PV-000600803866;
Cc1ccc(C)c(C)n1,3433,434:43400:0:PV-004840013988;434:43400:1:PV-004840029631;434:43400:1:PV-004840029632;
CC1CC2CNCC2N1,7364,434:43400:0:PV-004840014026;434:43400:0:PV-004840024341;434:43400:0:PV-004840025621;
c1cc2n(n1)CCCN2,1819,434:43400:0:PV-004840014028;434:43400:0:PV-004840016245;434:43400:2:PV-004840064335;
O=c1cc2c(c[nH]1)CCC2,1093,434:43400:0:PV-004840014047;434:43400:5:PV-004840139123;434:43400:5:PV-004840154128;
Cc1ccncc1O,1283,434:43400:0:PV-004840014068;434:43400:0:PV-004840015165;434:43400:1:PV-004840026576;
C1CCC2CNCC2C1,4544,434:43400:0:PV-004840014157;434:43400:0:PV-004840015539;434:43400:0:PV-004840019592;
c1cc2[nH]cnc2cn1,1924,434:43400:0:PV-004840014185;434:43400:0:PV-004840016534;434:43400:0:PV-004840016535;
O=c1nn[nH][nH]1,484,434:43400:0:PV-004840014192;434:43400:1:PV-004840030944;434:43400:2:PV-004840062954;
Clc1ccc2cccnc2c1,100,434:43400:0:PV-004840014196;434:43401:1:PV-004840291851;434:43401:6:PV-004840446268;
Cc1cccc2nn[nH]c12,1234,434:43400:0:PV-004840014204;434:43400:0:PV-004840018239;434:43400:0:PV-004840018240;
c1cnc2cccnc2c1,3326,434:43400:0:PV-004840014229;434:43400:1:PV-004840034536;434:43400:1:PV-004840048565;
O=c1cc[nH]c2ccncc12,641,434:43400:0:PV-004840014261;434:43400:0:PV-004840014262;434:43400:2:PV-001772065454;
O=C1NCCn2nccc21,1877,434:43400:0:PV-004840014285;434:43400:0:PV-004840014286;434:43400:0:PV-004840014287;
Fc1ccc2c(c1)COCO2,134,434:43400:0:PV-004840014318;434:43400:0:PV-004840014319;434:43400:0:PV-004840014320;
Cc1nc2ccc(F)cc2[nH]1,775,434:43400:0:PV-004840014354;434:43400:0:PV-004840014355;434:43400:0:PV-004840014356;
Cc1csc(C)c1,229,434:43400:0:PV-004840014443;434:43400:1:PV-004840050649;434:43400:2:PV-000513394024;
Cc1ccc2cccn2c1,1537,434:43400:0:PV-004840014468;434:43400:0:PV-004840021278;434:43400:2:PV-004840061178;
Fc1ccc2c(c1)CCC2,1121,434:43400:0:PV-004840014480;434:43400:0:PV-004840014481;434:43400:2:PV-001721354092;
Cc1cc2ccccc2cn1,1595,434:43400:0:PV-004840014524;434:43400:1:PV-004840035102;434:43400:1:PV-004840043582;
OC1CCC12CCC2,697,434:43400:0:PV-004840014533;434:43400:1:PV-004840043257;434:43400:2:PV-004840060137;
CC1(C)CC(=O)NO1,1801,434:43400:0:PV-004840014568;434:43400:0:PV-004840014569;434:43400:0:PV-004840014570;
c1cnc2oncc2c1,2148,434:43400:0:PV-004840014612;434:43400:0:PV-004840014613;434:43400:0:PV-004840014614;
Fc1ccc2cnccc2c1,3579,434:43400:0:PV-004840014621;434:43400:1:PV-004840048904;434:43400:2:PV-004840063245;
CC12CCC(CO1)C2,1960,434:43400:0:PV-004840014669;434:43400:1:PV-004840033355;434:43400:3:PV-004840088563;
CC1(C)CNC(=O)c2ccccc2O1,86,434:43400:0:PV-004840014712;434:43403:1:PV-004840836288;434:43404:7:PV-004841262546;
Cc1ccsc1,1689,434:43400:0:PV-004840014718;434:43400:0:PV-004840014719;434:43400:1:PV-004840031423;
O=C1CCC2CCCN12,292,434:43400:0:PV-004840014735;434:43400:6:PV-004840178550;434:43400:9:PV-004840253199;
Cc1nnn[nH]1,1012,434:43400:0:PV-004840014754;434:43400:3:PV-004840100683;434:43400:4:PV-004840104483;
c1ccc2c(c1)CCCCN2,629,434:43400:0:PV-004840014780;434:43400:7:PV-004840217002;434:43400:8:PV-004840217430;
Cc1cnn(C)c1N,1392,434:43400:0:PV-004840014829;434:43400:1:PV-004840039490;434:43400:3:PV-004840094121;
O=c1[nH]cnc2ccsc12,11,434:43400:0:PV-004840014913;434:43412:0:PV-002461191904;434:43414:8:PV-004843973226;
CC1CCCc2ccccc21,482,434:43400:0:PV-004840014939;434:43400:2:PV-001453153629;434:43400:3:PV-000269792999;
Cc1n[nH]c2ccccc12,4881,434:43400:0:PV-004840014974;434:43400:1:PV-004840026635;434:43400:1:PV-004840032819;
c1cnc2ccoc2c1,6398,434:43400:0:PV-004840014993;434:43400:0:PV-004840014994;434:43400:0:PV-004840014995;
Fc1ccc2[nH]ccc2c1,7704,434:43400:0:PV-004840015045;434:43400:0:PV-004840015428;434:43400:0:PV-004840025119;
CC1=NOC(C)C1,3113,434:43400:0:PV-004840015050;434:43400:0:PV-004840016904;434:43400:1:PV-004840037420;
C1CCC2NCCNCC2C1,1079,434:43400:0:PV-004840015077;434:43400:0:PV-004840021881;434:43400:1:PV-004840048179;
FC1(F)Cc2ccnn2C1,785,434:43400:0:PV-004840015110;434:43400:4:PV-004840124614;434:43400:4:PV-004840126960;
Cc1cc(C)c2c(C)c[nH]c2c1,472,434:43400:0:PV-004840015195;434:43400:1:PV-004840026379;434:43400:6:PV-004840167743;
CC1CCCC(C)C1,613,434:43400:0:PV-004840015231;434:43400:1:PV-004840027675;434:43400:3:PV-004840091653;
C1CCC2(C1)CCNCC2,6868,434:43400:0:PV-004840015366;434:43400:0:PV-004840017704;434:43400:0:PV-004840025359;
Cc1nc[nH]n1,4219,434:43400:0:PV-004840015536;434:43400:0:PV-004840022088;434:43400:0:PV-004840022089;
Oc1ccncc1F,2909,434:43400:0:PV-004840015539;434:43400:0:PV-004840016785;434:43400:1:PV-004840039140;
Cc1cccc2ncccc12,956,434:43400:0:PV-004840015690;434:43400:2:PV-004840069531;434:43400:2:PV-001767761260;
Cc1ccn2ccnc2c1,3431,434:43400:0:PV-004840015705;434:43400:0:PV-004840015706;434:43400:1:PV-004840038943;
Cc1cc2ccccc2n1C,1006,434:43400:0:PV-004840015707;434:43400:3:PV-004840087721;434:43400:8:PV-004840218535;
Fc1cccc2c1OCC2,995,434:43400:0:PV-004840015760;434:43400:1:PV-004840055898;434:43400:3:PV-001472334157;
Cn1c(=O)cc[nH]c1=O,1510,434:43400:0:PV-004840015800;434:43400:0:PV-004840015801;434:43400:0:PV-004840015802;
Cc1cnc2n1CCCC2,3442,434:43400:0:PV-004840015834;434:43400:0:PV-004840023563;434:43400:1:PV-004840032520;
FC1(F)CCNC1,4748,434:43400:0:PV-004840015836;434:43400:1:PV-004840030424;434:43400:1:PV-004840030635;
CC1CC2CC2C1,2215,434:43400:0:PV-004840015836;434:43400:2:PV-004840056009;434:43400:2:PV-004840071252;
Cc1cc2[nH]c(=O)ccn2n1,486,434:43400:0:PV-004840016025;434:43400:0:PV-004840016026;434:43400:0:PV-004840016027;
CC1NCCNC1C,5966,434:43400:0:PV-004840016025;434:43400:0:PV-004840016026;434:43400:0:PV-004840016027;
c1ccc2n[nH]cc2c1,1837,434:43400:0:PV-004840016060;434:43400:1:PV-004840037010;434:43400:4:PV-004840107464;
Oc1cccc(F)c1,9703,434:43400:0:PV-004840016062;434:43400:0:PV-004840016842;434:43400:0:PV-004840018277;
Cc1ccc2ccccc2n1,4312,434:43400:0:PV-004840016147;434:43400:0:PV-004840017380;434:43400:0:PV-004840017381;
OC1CCOC1,5368,434:43400:0:PV-004840016147;434:43400:0:PV-004840019558;434:43400:0:PV-004840022638;
Cc1cc(C)n2nccc2n1,1847,434:43400:0:PV-004840016185;434:43400:0:PV-004840021071;434:43400:2:PV-001522451736;
Cn1cnc2cccnc21,2318,434:43400:0:PV-004840016186;434:43400:0:PV-004840016187;434:43400:2:PV-004840056553;
Cc1coc(C)n1,6483,434:43400:0:PV-004840016191;434:43400:0:PV-004840018748;434:43400:0:PV-004840019350;
c1cc2c(cn1)NCCC2,866,434:43400:0:PV-004840016209;434:43400:0:PV-004840016210;434:43400:3:PV-004840091814;
O=c1cccc2n1CCC2,1807,434:43400:0:PV-004840016226;434:43400:0:PV-004840019594;434:43400:2:PV-004840055951;
Cc1ccc2sccc2c1,237,434:43400:0:PV-004840016388;434:43400:9:PV-004840254146;434:43401:6:PV-004840438405;
Fc1cccc2ccoc12,4054,434:43400:0:PV-004840016472;434:43400:1:PV-004840028563;434:43400:1:PV-004840029428;
Cc1cnc(C)c(C)n1,3245,434:43400:0:PV-004840016512;434:43400:1:PV-004840046711;434:43400:2:PV-004840061038;
Cc1ccn2nccc2c1,1571,434:43400:0:PV-004840016548;434:43400:0:PV-004840016549;434:43400:0:PV-004840016550;
C1CCC2(C1)CCNC2,1354,434:43400:0:PV-004840016768;434:43400:0:PV-004840016834;434:43400:2:PV-004840067504;
Cc1n[nH]c2ccncc12,1039,434:43400:0:PV-004840016835;434:43400:3:PV-004840093960;434:43400:3:PV-004840093961;
CC1(C)OC2CCCC2O1,919,434:43400:0:PV-004840016863;434:43400:0:PV-004840016864;434:43400:0:PV-004840016865;
CC1CCC2(CC1)CC2,13,434:43400:0:PV-004840016920;434:43401:7:PV-004840473054;434:43421:1:PV-004845652216;
Cc1cncc(N)n1,1036,434:43400:0:PV-004840017156;434:43400:0:PV-004840017157;434:43400:2:PV-004840071184;
Cc1c(F)ccn2ccnc12,332,434:43400:0:PV-004840017187;434:43401:2:PV-004840333183;434:43401:9:PV-004840533355;
Cc1ccc2[nH]ncc2c1,4296,434:43400:0:PV-004840017332;434:43400:0:PV-004840017333;434:43400:1:PV-004840026491;
Oc1nccc2cnccc12,497,434:43400:0:PV-004840017346;434:43400:0:PV-004840017347;434:43400:0:PV-004840017348;
Cc1cccc(=O)[nH]1,5342,434:43400:0:PV-004840017442;434:43400:0:PV-004840022819;434:43400:1:PV-004840046213;
c1cnc2nn[nH]c2c1,1390,434:43400:0:PV-004840017505;434:43400:1:PV-004840041093;434:43400:1:PV-004840051610;
Cn1cnc2cnccc21,1093,434:43400:0:PV-004840017585;434:43400:1:PV-004840055722;434:43400:1:PV-004840055723;
Cc1cccc(F)c1C,2417,434:43400:0:PV-004840017616;434:43400:0:PV-004840018712;434:43400:1:PV-004840034345;
C1NCC2CNCC1C2,2678,434:43400:0:PV-004840017616;434:43400:1:PV-004840054826;434:43400:2:PV-004840076735;
CC1CCCC(C)(C)C1,2295,434:43400:0:PV-004840017658;434:43400:1:PV-004840046692;434:43400:2:PV-004840058144;
Cc1ccn[nH]c1=O,2718,434:43400:0:PV-004840017734;434:43400:0:PV-004840023091;434:43400:1:PV-004840029681;
FC1(F)CC2(CC2)C1,1202,434:43400:0:PV-004840017795;434:43400:0:PV-004840024583;434:43400:0:PV-004840024584;
CN1Cc2ccccc2NC1=O,327,434:43400:0:PV-004840017816;434:43400:0:PV-004840017817;434:43400:3:PV-004840085858;
CC1CCC(C)C1,734,434:43400:0:PV-004840017835;434:43400:3:PV-004840080382;434:43400:3:PV-004840084203;
Cc1cc(O)cc(=O)[nH]1,1309,434:43400:0:PV-004840017850;434:43400:2:PV-004840066590;434:43400:2:PV-004840066912;
c1nnc2n1CCNC2,937,434:43400:0:PV-004840017851;434:43400:3:PV-002202379668;434:43400:4:PV-004840125687;
C1CC2(C1)CCOCC2,4161,434:43400:0:PV-004840018057;434:43400:1:PV-004840040437;434:43400:1:PV-004840040438;
Cc1c(F)ccc2[nH]ccc12,794,434:43400:0:PV-004840018075;434:43400:4:PV-004840117562;434:43400:4:PV-004840117563;
Cn1c(=O)oc2ccccc21,520,434:43400:0:PV-004840018258;434:43400:0:PV-004840018259;434:43400:0:PV-004840018260;
O=c1cc[nH]c2ccccc12,1956,434:43400:0:PV-004840018274;434:43400:2:PV-004840065913;434:43400:2:PV-004840068879;
O=c1cc2c(n[nH]1)CCC2,766,434:43400:0:PV-004840018491;434:43400:1:PV-004840046265;434:43400:1:PV-004840046266;
C1CC2(CCN1)CCOCC2,1461,434:43400:0:PV-004840018618;434:43400:2:PV-004840076748;434:43400:3:PV-004840086572;
CC1OCCO1,2254,434:43400:0:PV-004840018642;434:43400:1:PV-004840033759;434:43400:1:PV-004840033760;
C1CC2CCNCC2CN1,1485,434:43400:0:PV-004840018680;434:43400:0:PV-004840025226;434:43400:1:PV-004840041017;
C1CCN2CCOCC2C1,745,434:43400:0:PV-004840018712;434:43400:1:PV-004840038286;434:43400:2:PV-004840071050;
CC1COc2ccnn2C1,11,434:43400:0:PV-004840018793;434:43416:5:PV-004844426835;434:43420:5:PV-004845474982;
Cc1ncc2n1CCCC2,2222,434:43400:0:PV-004840018900;434:43400:0:PV-004840018901;434:43400:1:PV-004840026811;
Cc1cnon1,2643,434:43400:0:PV-004840018945;434:43400:1:PV-004840030284;434:43400:1:PV-004840039867;
Cn1ccc2cncnc21,1160,434:43400:0:PV-004840018950;434:43400:2:PV-004840057851;434:43400:2:PV-004840057852;
Cc1cc2ccccc2nc1C,378,434:43400:0:PV-004840019091;434:43400:0:PV-004840019092;434:43401:2:PV-004840323377;
OC1CCc2ccccc21,713,434:43400:0:PV-004840019099;434:43400:0:PV-004840019100;434:43400:0:PV-004840020683;
CC1(C)CCNC(=O)C1,1804,434:43400:0:PV-004840019265;434:43400:1:PV-004840044752;434:43400:1:PV-004840044753;
Nc1ncc2ccccc2n1,284,434:43400:0:PV-004840019272;434:43400:2:PV-004840070650;434:43400:2:PV-004840070651;
c1n[nH]c2c1CCCN2,1149,434:43400:0:PV-004840019341;434:43400:0:PV-004840019342;434:43400:1:PV-004840047829;
C1CCC2(CCNCC2)OC1,2709,434:43400:0:PV-004840019396;434:43400:0:PV-004840019397;434:43400:0:PV-004840019398;
Cc1nnc2ccccc2c1C,353,434:43400:0:PV-004840019529;434:43400:0:PV-004840019530;434:43400:3:PV-004840080268;
C1CC2CCCN2C1,4758,434:43400:0:PV-004840019557;434:43400:1:PV-004840042354;434:43400:1:PV-004840042355;
Cc1cc(=O)[nH]c(C)n1,1295,434:43400:0:PV-004840019559;434:43400:1:PV-004840027366;434:43400:1:PV-004840027367;
Fc1cccc2cnccc12,836,434:43400:0:PV-004840019579;434:43400:2:PV-004840072050;434:43401:0:PV-004840268560;
Cc1cn2ccncc2n1,1056,434:43400:0:PV-004840019643;434:43400:0:PV-004840019644;434:43400:1:PV-004840029744;
Cn1cn[nH]c1=O,1047,434:43400:0:PV-004840019677;434:43400:2:PV-001677155396;434:43400:4:PV-004840106614;
Cc1cccc2cc[nH]c12,4667,434:43400:0:PV-004840019755;434:43400:0:PV-004840019756;434:43400:1:PV-004840043106;
O=C1NCCCn2cccc21,724,434:43400:0:PV-004840019812;434:43400:0:PV-004840021808;434:43400:0:PV-004840021809;
Cc1ccc2c(c1)COCC2,461,434:43400:0:PV-004840019813;434:43400:0:PV-004840019814;434:43400:0:PV-004840019815;
C1CC2CNCCC2CN1,1565,434:43400:0:PV-004840019838;434:43400:1:PV-004840041039;434:43400:2:PV-004840058482;
C1CC2CC2CCN1,2387,434:43400:0:PV-004840019914;434:43400:2:PV-004840059753;434:43400:2:PV-004840065720;
O=c1cc[nH]c2ccnn12,818,434:43400:0:PV-004840020053;434:43400:3:PV-001542934645;434:43400:3:PV-004840076926;
c1cnc2cn[nH]c2c1,4576,434:43400:0:PV-004840020255;434:43400:1:PV-004840028102;434:43400:1:PV-004840028103;
Cc1nncn1C,1237,434:43400:0:PV-004840020326;434:43400:0:PV-004840020327;434:43400:0:PV-004840020328;
CC1CC2CCC1O2,1641,434:43400:0:PV-004840020331;434:43400:1:PV-004840053365;434:43400:2:PV-004840057384;
Cc1ncsc1C,90,434:43400:0:PV-004840020403;434:43401:2:PV-004840329482;434:43402:7:PV-004840736207;
Oc1cnnc(O)c1,565,434:43400:0:PV-004840020531;434:43400:0:PV-004840020532;434:43400:0:PV-004840020533;
c1cc2cn[nH]c2cn1,2186,434:43400:0:PV-004840020703;434:43400:1:PV-004840043353;434:43400:1:PV-004840043354;
O=C1CCCCCCN1,1354,434:43400:0:PV-004840021008;434:43400:0:PV-004840021009;434:43400:0:PV-004840021010;
Cn1nnc2ccccc21,4387,434:43400:0:PV-004840021116;434:43400:0:PV-004840022880;434:43400:1:PV-004840033206;
FC12CCCC1CNC2,4093,434:43400:0:PV-004840021151;434:43400:0:PV-004840025625;434:43400:1:PV-004840030757;
Nc1nnc[nH]1,790,434:43400:0:PV-004840021181;434:43400:0:PV-004840021182;434:43400:1:PV-004840042196;
c1cc2c(cn1)COCC2,1321,434:43400:0:PV-004840021350;434:43400:0:PV-004840021351;434:43400:0:PV-004840021352;
