fragment_smiles,occurences,example_ligands
Cc1cn[nH]c1,14950,133:13300:0:Z3876701147;133:13300:0:Z1577034070;133:13300:0:Z1567361228;
Cc1ccc2ccccc2n1,2881,133:13300:0:Z1231486654;133:13300:0:Z3592482928;133:13300:1:Z1497166081;
Cc1cn[nH]n1,2802,133:13300:0:Z52020997;133:13300:0:Z3639225007;133:13300:0:Z2223267163;
Cn1nnc2c1CCCC2,1917,133:13300:0:Z1964040076;133:13300:0:Z4602858841;133:13300:0:Z1927204878;
c1ccnnc1,20045,133:13300:0:Z1964040076;133:13300:0:Z1487713100;133:13300:0:Z3821461308;
CN1CCCC(O)C1,274,133:13300:0:Z2890279003;133:13301:0:Z4329362976;133:13301:3:Z2965284204;
C1COCCN1,169795,133:13300:0:Z2890279003;133:13300:0:Z2704934865;133:13300:0:Z3667710610;
c1nc[nH]n1,52386,133:13300:0:Z1015820936;133:13300:0:Z1718155878;133:13300:0:Z1576517627;
Clc1cccc2c1CNC2,163,133:13300:0:Z2107088069;133:13300:0:Z3135853322;133:13301:2:Z3392352156;
O=S1(=O)CCCC1,17740,133:13300:0:Z4344606448;133:13300:0:Z2918523612;133:13300:0:Z2904084047;
CC1(C)CNCCN1,4093,133:13300:0:Z4139123664;133:13300:0:Z2000724617;133:13300:0:Z2774227798;
c1ccc2c(c1)CCN2,23953,133:13300:0:Z1581382228;133:13300:0:Z1672761503;133:13300:0:Z3793972965;
O=c1[nH]c2ccccc2[nH]1,6137,133:13300:0:Z2227147924;133:13300:0:Z1366131438;133:13300:0:Z1556873382;
Cc1ccsn1,1872,133:13300:0:Z3723090927;133:13300:0:Z1636210849;133:13300:0:Z3599343953;
C1NCC2CC12,11578,133:13300:0:Z3723090927;133:13300:0:Z4603286697;133:13300:0:Z3815600785;
CC1(C)CCCCC1,2335,133:13300:0:Z3723090927;133:13300:0:Z4266840349;133:13300:1:Z1651781369;
C1CSCCN1,11401,133:13300:0:Z2444644045;133:13300:0:Z1333379873;133:13300:0:Z825733342;
Cc1cc(=O)cc[nH]1,1309,133:13300:0:Z2027515370;133:13300:0:Z2915819475;133:13300:1:Z3053938593;
O=c1cccc[nH]1,28519,133:13300:0:Z393039456;133:13300:0:Z2501049073;133:13300:0:Z2091890154;
c1ccc2c(c1)NCCO2,5005,133:13300:0:Z393039456;133:13300:0:Z3385569384;133:13300:0:Z1265461818;
Cc1cc(C)[nH]n1,32580,133:13300:0:Z2784041870;133:13300:0:Z2077579518;133:13300:0:Z4932704324;
c1ccc2ncccc2c1,25194,133:13300:0:Z3641543360;133:13300:0:Z3798164182;133:13300:0:Z4215736748;
O=C1CNCCCN1,2618,133:13300:0:Z1822673878;133:13300:0:Z1817643078;133:13300:0:Z4265089794;
CN1CCNCC1=O,3112,133:13300:0:Z4591076597;133:13300:0:Z3832731164;133:13300:0:Z2615117803;
Cn1cncn1,12811,133:13300:0:Z4073672998;133:13300:0:Z4394291876;133:13300:0:Z4401238077;
c1cc2occc2[nH]1,408,133:13300:0:Z3818119971;133:13300:1:Z2972305076;133:13300:1:Z2972326184;
Cc1cn2c(n1)CCCC2,2137,133:13300:0:Z3208774434;133:13300:0:Z3101563666;133:13300:1:Z3092846818;
OC1CCNCC1,22579,133:13300:0:Z3208774434;133:13300:0:Z2305957090;133:13300:0:Z1721079445;
CC1OCCc2ccccc21,422,133:13300:0:Z2910999832;133:13300:3:Z2853781677;133:13300:5:Z2838196522;
FC1(F)CCC1,12052,133:13300:0:Z3517564147;133:13300:0:Z4834911284;133:13300:0:Z4269814097;
c1ccc2c(c1)CNOC2,170,133:13300:0:Z2097821301;133:13300:7:Z2141010066;133:13301:0:Z2200665236;
C1CNC2CC2C1,1394,133:13300:0:Z3582975140;133:13300:0:Z3998162487;133:13300:2:Z1221647303;
CN1CCCC12CCOCC2,440,133:13300:0:Z3638747864;133:13300:0:Z3638745474;133:13300:6:Z3683062568;
Cn1nccc1N,386,133:13300:0:Z2501124464;133:13300:0:Z2859735467;133:13300:1:Z4475278841;
O=C1COCCN1,3149,133:13300:0:Z2707521976;133:13300:0:Z5053701134;133:13300:0:Z3365961828;
C1CNC2COCC2C1,672,133:13300:0:Z2312805811;133:13300:2:Z3790214951;133:13300:6:Z3839620094;
c1cnc2c(c1)CCC2,2551,133:13300:0:Z4870348669;133:13300:0:Z2325789829;133:13300:0:Z2298465207;
FC1(F)CCNCC1,3525,133:13300:0:Z4054905893;133:13300:0:Z2189981775;133:13300:0:Z5054675949;
Cn1cnnn1,3844,133:13300:0:Z1893930167;133:13300:0:Z1408839582;133:13300:1:Z3340512604;
C1CC2(C1)CCNC2,5813,133:13300:0:Z3889377120;133:13300:0:Z4572729279;133:13300:0:Z3346120825;
c1cn2c(n1)CCCC2,11976,133:13300:0:Z3889377120;133:13300:0:Z1994682542;133:13300:0:Z2778109458;
