fragment_smiles,occurences,example_ligands
O=S1(=O)Cc2ccccc2C1,502,133:13300:0:Z2643173964;133:13300:1:Z2480721702;133:13300:3:Z3620987680;
c1cnc2cnccc2c1,1104,133:13300:0:Z4232355403;133:13300:1:Z3356934186;133:13300:7:Z3869594998;
O=S1(=O)CC2NCCNC2C1,178,133:13300:0:Z3136091043;133:13300:4:Z3136091097;133:13300:5:Z3136089015;
c1ccc2nncnc2c1,398,133:13300:0:Z2176285857;133:13300:0:Z5014766450;133:13300:3:Z2487266515;
CC1(C)CCNCCN1,70,133:13300:0:Z3866176161;133:13301:1:Z4601565125;133:13301:5:Z2785385267;
O=S1(=O)CCC2(CCCCO2)CC1,248,133:13300:0:Z3641421507;133:13300:0:Z3641408716;133:13300:2:Z4907949134;
c1ccc2c(c1)NCCCO2,192,133:13300:0:Z1881332803;133:13300:1:Z1881342287;133:13300:1:Z1881328565;
O=S1(=O)CCC2(CCNCCO2)C1,309,133:13300:0:Z3899311618;133:13301:1:Z3899306870;133:13301:6:Z3842278749;
C1CSCSC1,561,133:13300:0:Z2365475944;133:13300:1:Z1173667047;133:13300:2:Z4207714915;
Cn1nnc2c(=O)[nH]cnc21,14,133:13300:0:Z2442447125;133:13300:8:Z3341474388;133:13309:4:Z2442447953;
C1COC2(CN1)CC1CCC2C1,170,133:13300:0:Z1994792871;133:13300:3:Z4541115015;133:13300:3:Z1997734207;
CC12CCC(CNC1)C2(C)C,133,133:13300:0:Z4246282483;133:13300:1:Z3405477645;133:13300:6:Z3568832639;
O=C1C2CCCC1CCC2,381,133:13300:0:Z1214728180;133:13300:4:Z3790282083;133:13300:5:Z2235022030;
Fc1ccc2sccc2c1,644,133:13300:0:Z2581147853;133:13300:0:Z2170309383;133:13300:4:Z1408949765;
OC1CCOCC1O,126,133:13300:0:Z4325500892;133:13301:9:Z4317778648;133:13302:2:Z4316226019;
CC1NCCCC1O,369,133:13300:0:Z3365961828;133:13300:0:Z2816177798;133:13300:3:Z3365967812;
c1cnc2scnc2c1,857,133:13300:0:Z1576446367;133:13300:1:Z3094010056;133:13300:3:Z3391894569;
c1cnc2c(c1)CCNC2,612,133:13300:0:Z4259107241;133:13300:2:Z4297286575;133:13300:4:Z3057474355;
CC1CCCCO1,3768,133:13300:0:Z3078944037;133:13300:1:Z4424772840;133:13300:1:Z4424773128;
C1NC2COCC12,135,133:13300:0:Z4316092768;133:13300:5:Z4329461499;133:13301:0:Z4485176943;
C1CCCOCC1,1089,133:13300:0:Z4001671070;133:13300:2:Z4188490696;133:13300:2:Z1602138041;
c1nc2c(s1)CCC2,2022,133:13300:0:Z4993707705;133:13300:0:Z4350820140;133:13300:1:Z2311140480;
Cc1ccc2ccoc2c1C,167,133:13300:0:Z2883145374;133:13300:1:Z2644076346;133:13301:1:Z1098686952;
OC1CC2(CCNCC2)Oc2c[nH]nc21,131,133:13300:0:Z3416202966;133:13300:2:Z3415755580;133:13300:8:Z3416886861;
O=C1CCCc2[nH]c(=O)ccc21,293,133:13300:0:Z4047064253;133:13300:1:Z346206436;133:13300:7:Z2299168642;
Clc1ccc2c(c1)CCC2,930,133:13300:0:Z1089562260;133:13300:2:Z814274152;133:13300:2:Z2705406741;
O=c1ccnc2scnn12,683,133:13300:0:Z1212770498;133:13300:1:Z2700507092;133:13300:2:Z883120360;
Cc1nc2cc(Cl)ccc2[nH]1,131,133:13300:0:Z4492609469;133:13301:8:Z4479138965;133:13302:3:Z4453250233;
Fc1cccc2c1CCN2,314,133:13300:0:Z1689897703;133:13300:6:Z5044036657;133:13300:9:Z1689893130;
O=C1NCCCC12CCCNC2,423,133:13300:0:Z1765313734;133:13300:7:Z3601651158;133:13300:9:Z3829311321;
CN1CC2(CCNCC2)c2ccccc21,161,133:13300:0:Z3818784050;133:13301:1:Z3893168410;133:13301:5:Z3893170099;
Cn1c(=O)oc2ccccc21,2524,133:13300:0:Z2794008904;133:13300:0:Z3623054308;133:13300:1:Z1521925014;
Fc1ccc2c(c1)NCCN2,397,133:13300:0:Z4132171538;133:13300:1:Z1833139461;133:13300:1:Z4132182739;
c1ncn2c1CCC2,501,133:13300:0:Z4132171538;133:13300:2:Z4320510141;133:13300:4:Z3843404060;
CC1(C)CNCc2ccccc21,313,133:13300:0:Z2181571192;133:13300:1:Z1550858066;133:13300:2:Z4471555033;
Cc1ccc2nsnc2c1,156,133:13300:0:Z3603721445;133:13300:0:Z4613936578;133:13301:7:Z4614117580;
O=S1(=O)CCC12CCOCC2,364,133:13300:0:Z3323895607;133:13300:1:Z4350776011;133:13300:1:Z3394855796;
Cc1csc2ncccc12,660,133:13300:0:Z1031115766;133:13300:0:Z4218335085;133:13300:2:Z1915584735;
Cc1cc(F)cc2c1CNCC2,244,133:13300:0:Z2295281153;133:13300:1:Z1999887112;133:13300:2:Z2959409652;
CC1COC2(CCNCC2)O1,364,133:13300:0:Z1243882101;133:13300:4:Z3475183429;133:13301:1:Z1241391634;
c1cc2n(n1)NCCC2,312,133:13300:0:Z4288068461;133:13300:2:Z4290308644;133:13300:3:Z4289545917;
O=S1(=O)Nc2ccccc2N1,91,133:13300:0:Z2904227263;133:13307:6:Z1101492074;133:13308:0:Z2273856686;
CN1CCCNCC1,1637,133:13300:0:Z4137074054;133:13300:1:Z3048552212;133:13300:2:Z2306548241;
O=S1(=O)CCC2(CCCO2)CC1,311,133:13300:0:Z3360290031;133:13300:4:Z4126680930;133:13301:1:Z4641595468;
C1CC2CC2CN1,1562,133:13300:0:Z4457683460;133:13300:2:Z3888435442;133:13300:3:Z3174439620;
Cn1ccc2cc(F)ccc21,386,133:13300:0:Z2349570754;133:13301:8:Z4091080732;133:13301:9:Z2349566491;
Cc1ccc2ccccc2c1,354,133:13300:0:Z3608901969;133:13300:9:Z2838986058;133:13300:9:Z4085183113;
CC1CCCN1C,1246,133:13300:0:Z4292079990;133:13300:1:Z4325042782;133:13300:2:Z4319716323;
Cc1cc2sccc2s1,89,133:13300:0:Z4581804486;133:13302:7:Z2841746792;133:13302:9:Z3548129912;
Cc1cn[nH]c(=O)c1,264,133:13300:0:Z4641550645;133:13300:0:Z4462656705;133:13300:0:Z4642786792;
CN1CCc2ccccc2C1=O,1419,133:13300:0:Z1905094417;133:13300:2:Z3694247794;133:13300:3:Z1421514820;
CC1CCC(C)O1,788,133:13300:0:Z3056272327;133:13300:5:Z2347154832;133:13300:6:Z2873093435;
C1OCC2CC12,1318,133:13300:0:Z2719640255;133:13300:0:Z2478253969;133:13300:0:Z2292631772;
c1nnn2c1COC1CNCC12,183,133:13300:0:Z4482952685;133:13300:1:Z4466166917;133:13300:2:Z4448621593;
Cc1c[nH]c(=O)[nH]1,1141,133:13300:0:Z2126638375;133:13300:1:Z2157687234;133:13300:3:Z3724920680;
CC1(C)CNCC(=O)N1,534,133:13300:0:Z2497253058;133:13300:1:Z3098479241;133:13300:2:Z4172860393;
CN1CCNCC12CCOC2,385,133:13300:0:Z3042525440;133:13300:3:Z3345175274;133:13300:5:Z3042306311;
Cc1ccc2c(c1C)OCCC2,442,133:13300:0:Z3186870110;133:13300:0:Z3186870296;133:13300:8:Z3578799815;
O=C1NCc2[nH]ncc21,71,133:13300:0:Z2957408769;133:13300:3:Z2953914831;133:13301:6:Z2958034114;
C1CC12CC2,390,133:13300:0:Z3622867894;133:13300:0:Z2415719545;133:13300:3:Z2359626093;
CC1CCCC(=O)N1,1792,133:13300:0:Z3851571687;133:13300:0:Z4089310987;133:13300:1:Z3181393613;
CC1CN(C)CCN1C,480,133:13300:0:Z4135673779;133:13300:4:Z2293166460;133:13300:7:Z4213985813;
Clc1cccc2c1CCNC2,592,133:13300:0:Z4638170819;133:13300:0:Z4591193728;133:13300:1:Z2958819252;
C1CCC2COCCC2C1,976,133:13300:0:Z4638170819;133:13300:1:Z3625349630;133:13300:2:Z4022294281;
Cc1ccc2c(c1)COCC2,226,133:13300:0:Z5006559037;133:13301:1:Z5007734752;133:13301:5:Z5005777128;
CC1Cc2ncsc2C(C)O1,231,133:13300:0:Z5006559037;133:13301:0:Z3294703526;133:13301:9:Z3176653198;
c1ccc2c(c1)COCO2,479,133:13300:0:Z1325578192;133:13300:0:Z1311344242;133:13300:3:Z1517038608;
CN1C2CCNCC1CC2,301,133:13300:0:Z1306734927;133:13300:3:Z1303178556;133:13300:5:Z2202736810;
CC1CC(C)(C)C1,352,133:13300:0:Z3441467051;133:13300:1:Z1599241731;133:13300:1:Z1593458627;
Cc1n[nH]c(O)n1,219,133:13300:0:Z3441467051;133:13300:7:Z3443995221;133:13301:3:Z3830505039;
Oc1ccc(Cl)cc1,462,133:13300:0:Z3173763743;133:13300:1:Z1873332671;133:13300:4:Z2171830371;
C1CCC2(CNC1)CNC2,66,133:13300:0:Z2701004890;133:13301:9:Z2701004495;133:13304:8:Z2719639272;
CC1CNCCc2ccccc21,419,133:13300:0:Z3685682380;133:13300:0:Z2477182142;133:13300:5:Z2476428577;
Cc1cccc2c1NCCC2,499,133:13300:0:Z4575184700;133:13300:1:Z4278483823;133:13300:2:Z4575181501;
c1cnc2cc3c(cc2c1)OCO3,8,133:13300:0:Z2368543872;133:13300:0:Z2368558236;133:13300:0:Z2368365974;
Clc1cccn2ccnc12,284,133:13300:0:Z1692291421;133:13300:4:Z3843664394;133:13300:9:Z1448141300;
Nc1nnco1,394,133:13300:0:Z2074753947;133:13300:4:Z3555120010;133:13300:5:Z4599772141;
O=c1[nH]ccc2ccccc12,2249,133:13300:0:Z2784716764;133:13300:1:Z3996331700;133:13300:2:Z4002606270;
Cc1ccc2nccc(C)c2c1,200,133:13300:0:Z2032798800;133:13300:4:Z2785599334;133:13301:7:Z2032937158;
C1CC2(CCN1)CCOCC2,1351,133:13300:0:Z4192061619;133:13300:0:Z2043290097;133:13300:0:Z3522565862;
OC1COC2(CCNCC2)C1,287,133:13300:0:Z4612101619;133:13301:2:Z4612115090;133:13301:3:Z4615263349;
CC1CNCCNC1,1434,133:13300:0:Z3820099753;133:13300:1:Z3818732950;133:13300:2:Z2282863258;
CC1CCCC(C)N1,2433,133:13300:0:Z3051697985;133:13300:0:Z2361888691;133:13300:0:Z3173325425;
O=c1[nH]c2ncccc2o1,357,133:13300:0:Z1646660104;133:13300:1:Z1559642350;133:13300:2:Z2279983668;
Cn1ccc2ccccc2c1=O,1547,133:13300:0:Z2073246562;133:13300:0:Z2070822746;133:13300:1:Z4635259627;
CC1CCC(C)N1,1188,133:13300:0:Z2946344371;133:13300:1:Z2780959495;133:13300:1:Z2783412950;
CN1CCOCC1=O,434,133:13300:0:Z2298175358;133:13300:3:Z2673485748;133:13300:7:Z2594407870;
Fc1cccc2c1CNCCO2,268,133:13300:0:Z3548237403;133:13300:5:Z2011511083;133:13300:8:Z2024158497;
O=S1(=O)CCCNc2ccc(Cl)cc21,77,133:13300:0:Z4132381046;133:13300:5:Z4215540495;133:13300:6:Z4132380688;
Cc1[nH]ncc1Cl,541,133:13300:0:Z3544105854;133:13300:1:Z3138781233;133:13300:2:Z3314928143;
CC1(C)C(=O)Nc2ccccc21,1078,133:13300:0:Z4339932572;133:13300:2:Z1451759558;133:13300:3:Z2219492071;
FC1(F)C2CCCOC21,754,133:13300:0:Z3541207861;133:13300:5:Z2644395454;133:13300:5:Z2634641782;
C1CC2(CCO1)CNC2,2717,133:13300:0:Z3808433854;133:13300:0:Z2335250689;133:13300:0:Z2803318812;
C1CCC2OCCC2C1,1701,133:13300:0:Z4017940905;133:13300:1:Z3606996290;133:13300:3:Z4166767076;
O=S1(=O)CCNCCCCN1,234,133:13300:0:Z3656449043;133:13300:3:Z3713496449;133:13301:2:Z4401493053;
c1nn2cncc2s1,92,133:13300:0:Z3829535866;133:13300:9:Z3829311321;133:13300:9:Z3830145835;
CN1CC2CCCC2C1,345,133:13300:0:Z3092075130;133:13300:1:Z3174738870;133:13300:5:Z3197531604;
O=C1CCC2(CCNCC2)N1,372,133:13300:0:Z3322181430;133:13300:2:Z3345096060;133:13300:6:Z3571358747;
Fc1ccc2nccn2c1,414,133:13300:0:Z2781980220;133:13300:1:Z2772113069;133:13300:3:Z2773084446;
OC1CNC2(CCOCC2)CC1O,211,133:13300:0:Z4097334097;133:13300:8:Z4279199196;133:13301:8:Z4035226806;
c1cnc2nccnc2c1,744,133:13300:0:Z2325744530;133:13300:0:Z3058507639;133:13300:2:Z2721796011;
C1CCC2(CCOCC2)OC1,1754,133:13300:0:Z3709379414;133:13300:0:Z4195359706;133:13300:1:Z4195307633;
CC1(C)Cc2ccccc2N1,148,133:13300:0:Z4054896632;133:13303:1:Z3134271104;133:13303:5:Z2872796577;
Cc1cc2ccoc2cc1C,545,133:13300:0:Z3058303412;133:13300:1:Z1445030392;133:13300:4:Z4003539621;
Cc1cc2ncccn2n1,1220,133:13300:0:Z3585610116;133:13300:2:Z2869998832;133:13300:2:Z3176695161;
O=c1ccnc2nc[nH]n12,87,133:13300:0:Z4914662388;133:13301:4:Z3340000010;133:13301:5:Z4426816098;
Cc1cc2ccc(Cl)cc2[nH]1,82,133:13300:0:Z4490193096;133:13300:4:Z4405901055;133:13300:8:Z4492564470;
CN1C(=O)CCc2ccccc21,2191,133:13300:0:Z1693292977;133:13300:0:Z1195730321;133:13300:0:Z2590485575;
CC1(C)CC2CCNC21,395,133:13300:0:Z4026916755;133:13300:3:Z4621572030;133:13300:3:Z4621571464;
CC1(C)CNC(=O)c2ccoc2C1,238,133:13300:0:Z2776335839;133:13300:3:Z2965817183;133:13300:7:Z2771851658;
CN1CCCC12CCCNC2,421,133:13300:0:Z3266974314;133:13300:4:Z4315467952;133:13300:6:Z3267843568;
CC1NCCn2cnnc21,1047,133:13300:0:Z1842459029;133:13300:0:Z2657080150;133:13300:1:Z1842475818;
Nc1ccccn1,1998,133:13300:0:Z3599646583;133:13300:0:Z4065559731;133:13300:2:Z3553970236;
O=C1NCC2CCCCN12,376,133:13300:0:Z2647258197;133:13301:1:Z2615211551;133:13301:3:Z3805845495;
Cc1ccc2nc(C)n(C)c2n1,326,133:13300:0:Z3983036075;133:13300:2:Z3834450631;133:13300:7:Z3853349414;
Cc1cc[nH]c(=O)c1,934,133:13300:0:Z1413997982;133:13300:1:Z4961233364;133:13300:2:Z4472069379;
O=c1cc(Cl)c2ccccc2[nH]1,56,133:13300:0:Z3817562592;133:13305:4:Z3817584232;133:13309:0:Z3817603772;
c1noc2c1CCCCC2,1060,133:13300:0:Z3817562592;133:13300:2:Z2297650768;133:13300:2:Z3687062449;
Cc1ccc2cc(O)ccc2n1,130,133:13300:0:Z3610524714;133:13300:0:Z4056364419;133:13300:5:Z4599155929;
Cc1cccnc1C,576,133:13300:0:Z3841279758;133:13300:9:Z1560581413;133:13301:2:Z3723095141;
C1NC2CC1C2,2819,133:13300:0:Z3841279758;133:13300:0:Z2619868480;133:13300:0:Z5059920964;
C1COC2(CCN1)CCOCC2,455,133:13300:0:Z2007942205;133:13300:2:Z3469333291;133:13300:5:Z1708495326;
Cc1cc(=O)n2c(n1)CCCC2,431,133:13300:0:Z4634488046;133:13300:7:Z4030712728;133:13300:9:Z4040037986;
CC1(C)CN=CS1,266,133:13300:0:Z2331124974;133:13300:3:Z2103238467;133:13300:9:Z1510390086;
c1nc2c([nH]1)CNCC2,488,133:13300:0:Z3878057155;133:13300:1:Z3436258854;133:13300:6:Z4292372873;
OC1CC2CCC1NC2,54,133:13300:0:Z2859745382;133:13302:7:Z4076835972;133:13305:0:Z2926044231;
c1cnc2sccc2n1,144,133:13300:0:Z4183993019;133:13301:6:Z3670351418;133:13302:1:Z3630154722;
Cc1c(F)cccc1F,98,133:13300:0:Z2209226550;133:13301:1:Z4275905792;133:13301:3:Z4275903363;
C1CNCC2(C1)CCOCC2,1662,133:13300:0:Z2899347133;133:13300:2:Z3645118243;133:13300:4:Z2972691168;
C1CSCCS1,613,133:13300:0:Z1372636715;133:13300:2:Z1497698847;133:13300:2:Z1395993499;
Cc1ccc(C)nc1,976,133:13300:0:Z4961171443;133:13300:0:Z3297087079;133:13300:1:Z3348124217;
O=C1CCCc2ccccc2N1,2268,133:13300:0:Z1669780570;133:13300:0:Z1816708404;133:13300:1:Z3800191704;
OC1Cc2ccccc2C1,2237,133:13300:0:Z4879704902;133:13300:0:Z4879604168;133:13300:0:Z4879704915;
O=S1(=O)CCC2(CCN2)C1,214,133:13300:0:Z3438585189;133:13300:0:Z4218335085;133:13300:7:Z3441559830;
c1nc2c(s1)CNCC2,1573,133:13300:0:Z2294856643;133:13300:1:Z1780276022;133:13300:2:Z2233123654;
CC1COC(C)CN1,599,133:13300:0:Z4897219530;133:13300:1:Z2644076346;133:13300:2:Z1636759350;
c1ccc2c(c1)COC21CCNCC1,235,133:13300:0:Z4113494266;133:13300:5:Z3602419730;133:13301:1:Z2309813888;
NC1CCC2(CC1)CC2,240,133:13300:0:Z4875574208;133:13300:1:Z3383378361;133:13300:4:Z3105496206;
CC1CNCC(C)(C)CO1,258,133:13300:0:Z4139304738;133:13300:9:Z4392754051;133:13301:1:Z3316909792;
CC1Nc2cccnc2NC1=O,130,133:13300:0:Z4733856527;133:13300:2:Z4733858322;133:13301:1:Z4126875527;
C1CC2(CN1)COCCO2,444,133:13300:0:Z2989194914;133:13300:7:Z2974823149;133:13300:8:Z4136518924;
CC1CC2(CCCO2)CO1,395,133:13300:0:Z4313223170;133:13300:8:Z2859598472;133:13300:9:Z2876866424;
Cc1c(F)ccc2c(=O)cc[nH]c12,157,133:13300:0:Z5001409513;133:13301:2:Z5001429707;133:13302:1:Z5000765223;
FC1(F)CNCCSC1,97,133:13300:0:Z4773736841;133:13300:4:Z4419042915;133:13303:2:Z4418997031;
C1CCSC1,6395,133:13300:0:Z3102283737;133:13300:1:Z2182909445;133:13300:1:Z3708251276;
c1cn2c(n1)COCC2,1710,133:13300:0:Z2979902437;133:13300:1:Z4118639891;133:13300:1:Z2701044094;
C1CC2CC(C1)CC1(C2)OCCO1,38,133:13300:0:Z4206457903;133:13302:0:Z4213585648;133:13306:7:Z4213143661;
Cc1cnc2ccccn12,817,133:13300:0:Z3948525672;133:13300:1:Z2639192703;133:13300:1:Z4178122822;
Fc1cc2nc[nH]c2cc1F,707,133:13300:0:Z1620266565;133:13300:1:Z4095794919;133:13300:2:Z3585135522;
c1cnc2c(c1)NCCS2,162,133:13300:0:Z1262307256;133:13301:2:Z1265024839;133:13301:7:Z1883291561;
O=S1(=O)CCC1,2502,133:13300:0:Z3535051888;133:13300:0:Z4474856343;133:13300:1:Z4349906314;
O=S1(=O)CCC2CNCC21,1831,133:13300:0:Z3058936588;133:13300:2:Z2620594419;133:13300:2:Z2620594409;
O=c1[nH]c2ccc(Cl)cc2[nH]1,69,133:13300:0:Z4622495997;133:13300:5:Z4610039639;133:13301:0:Z4612614004;
C1CC2(CCN1)CNC2,863,133:13300:0:Z3056766215;133:13300:2:Z2640095013;133:13300:2:Z3132079520;
FC1(F)CCC2CC1CN2,256,133:13300:0:Z3056446043;133:13300:3:Z3056442726;133:13300:6:Z4115788136;
C1CCC2(CCC2)CNC1,142,133:13300:0:Z3055187465;133:13300:3:Z3174087443;133:13301:6:Z3137969409;
O=S1(=O)CCCC2(CCN2)C1,300,133:13300:0:Z3628734020;133:13300:5:Z3678794719;133:13301:7:Z4127234559;
O=C1CNc2cc(Cl)ccc2N1,21,133:13300:0:Z4132184603;133:13306:6:Z4362484130;133:13308:2:Z4362483120;
c1nc2c(o1)CCSC2,181,133:13300:0:Z4909100683;133:13301:9:Z4907636106;133:13302:7:Z4907636169;
CN1C(=O)COc2ccccc21,1507,133:13300:0:Z4590744302;133:13300:2:Z4351914650;133:13300:2:Z1985524068;
c1ccc2c(c1)NCCN2,885,133:13300:0:Z4053961409;133:13300:1:Z1176699427;133:13300:2:Z4125733967;
CC1(F)CNCCNC1,206,133:13300:0:Z4214000852;133:13302:4:Z2278177140;133:13302:6:Z2361356073;
O=C1CCC2CCCN12,179,133:13300:0:Z3842551015;133:13300:6:Z3843276749;133:13301:0:Z4123841894;
CC1(C)COC2(CCNCC2)OC1,360,133:13300:0:Z3075928166;133:13300:1:Z2924710774;133:13300:1:Z2292773751;
O=C1C2CCCC1CNC2,244,133:13300:0:Z3505562142;133:13300:2:Z2437843160;133:13300:3:Z2442318279;
CC1NCCn2cccc21,590,133:13300:0:Z4020433099;133:13300:2:Z2357536402;133:13301:0:Z295744382;
CC1(C)CCNC(=O)c2ccoc21,231,133:13300:0:Z4020433099;133:13300:3:Z4023309556;133:13301:7:Z4013262129;
O=C1CCC2CNCC12,154,133:13300:0:Z4591193728;133:13300:3:Z4591005081;133:13300:3:Z4561954850;
C1COC2(C1)CCOC2,1582,133:13300:0:Z4455734192;133:13300:0:Z3311599710;133:13300:0:Z5026050617;
Cc1nnc2n1CCC2,661,133:13300:0:Z3943525629;133:13300:3:Z3558780632;133:13300:4:Z3552911417;
CC1NCCC1O,421,133:13300:0:Z2298360244;133:13300:0:Z3613017642;133:13300:0:Z2297668684;
Cn1ncccc1=O,556,133:13300:0:Z1363788750;133:13300:2:Z3893227155;133:13300:6:Z2841203098;
O=S1(=O)CCCc2cc(F)ccc21,241,133:13300:0:Z2591639045;133:13300:8:Z2928614632;133:13300:8:Z2995378765;
O=c1[nH][nH]c(=O)[nH]1,261,133:13300:0:Z2284665670;133:13300:1:Z3642563120;133:13300:5:Z2639204673;
C1CNC2(CCOCC2)CN1,152,133:13300:0:Z4056364419;133:13300:2:Z4033411853;133:13300:9:Z4033161107;
Clc1cccnn1,1275,133:13300:0:Z2954623936;133:13300:0:Z2954623941;133:13300:0:Z2954624781;
c1ncc2c(n1)CC1CCC2N1,909,133:13300:0:Z2704935623;133:13300:2:Z3617963142;133:13300:6:Z4030823170;
C1OC2CC1C2,3401,133:13300:0:Z5056012149;133:13300:0:Z4556471565;133:13300:1:Z4932249174;
CC1(C)CC(O)CCN1,198,133:13300:0:Z3711808442;133:13300:5:Z3653021952;133:13301:4:Z3694730447;
c1cnncn1,398,133:13300:0:Z4333313139;133:13300:2:Z5024437499;133:13300:5:Z1863901272;
C1CC2OCCC2O1,610,133:13300:0:Z3819721925;133:13300:2:Z3830836234;133:13300:2:Z3841425772;
c1cn2ncsc2n1,321,133:13300:0:Z1642774577;133:13300:1:Z2444613881;133:13300:2:Z1743479402;
NC1CCC2(CCOCC2)NC1,162,133:13300:0:Z4422552817;133:13300:6:Z4392353263;133:13301:6:Z4422551569;
C1CC2CCC(CN1)C2,133,133:13300:0:Z2975263527;133:13300:2:Z3095803535;133:13301:9:Z2987233479;
O=c1cc2c(n[nH]1)-c1ccc(F)cc1C2,10,133:13300:0:Z3638987973;133:13322:6:Z3638987707;133:13344:8:Z4611513285;
Cc1ccnc2nc(O)[nH]c(=O)c12,124,133:13300:0:Z1251079492;133:13300:6:Z1315265537;133:13300:9:Z1250860287;
CC12CCNCC1C2(F)F,273,133:13300:0:Z2293165242;133:13300:0:Z2597404731;133:13300:2:Z2228009789;
CC1CNC(C)(C)CN1,161,133:13300:0:Z4088296124;133:13300:9:Z3515679418;133:13301:0:Z4421847483;
Cc1ccc2cc(Cl)ccc2n1,230,133:13300:0:Z2452055442;133:13300:4:Z4424343135;133:13302:5:Z4572869049;
O=C1COc2ccc(Cl)cc2N1,1024,133:13300:0:Z2915940604;133:13300:1:Z3627569283;133:13300:4:Z2719009835;
O=c1ccc2ccc(F)cc2[nH]1,862,133:13300:0:Z3321502194;133:13300:1:Z3587753247;133:13300:4:Z3206175416;
C1CC2CCC2C1,4872,133:13300:0:Z4934554385;133:13300:1:Z4020600426;133:13300:1:Z5019300788;
c1ccc2c(c1)CCCCO2,1316,133:13300:0:Z2712029592;133:13300:0:Z3099818301;133:13300:1:Z2011476821;
Cc1cc2n(n1)CCCN2,436,133:13300:0:Z4466657290;133:13300:2:Z3055357992;133:13300:6:Z3294679739;
FC1(F)CCC2(CCN2)CC1,170,133:13300:0:Z3623054308;133:13300:2:Z4773530555;133:13300:2:Z4773530552;
Fc1ccc2c(c1F)CCNC2,521,133:13300:0:Z1561323350;133:13300:2:Z1615138961;133:13300:2:Z4322625320;
OC1CC2CC1CC21OCCO1,19,133:13300:0:Z4265089794;133:13310:1:Z4261140336;133:13316:1:Z4263367375;
C1NCC2CNCC12,1453,133:13300:0:Z2441112028;133:13300:1:Z3723091297;133:13300:1:Z3654261740;
O=c1ccocc1O,206,133:13300:0:Z1398099851;133:13300:0:Z1235867221;133:13300:6:Z3370143499;
CC1CCc2ccccc21,1165,133:13300:0:Z4177267210;133:13300:1:Z1088516114;133:13300:5:Z1081321188;
O=C1C2CCCC1COC2,397,133:13300:0:Z2298691364;133:13300:0:Z3613381671;133:13300:0:Z1245917538;
FC1COCCOC1,570,133:13300:0:Z4199480709;133:13300:5:Z4192740549;133:13300:5:Z4398886347;
C1COC2(CCOCC2)CN1,451,133:13300:0:Z2701815107;133:13300:1:Z2700849159;133:13301:0:Z1882330227;
C1=NOCCN1,110,133:13300:0:Z2103974280;133:13300:4:Z3153220722;133:13302:1:Z2287813797;
NC1CC(F)(F)C1,77,133:13300:0:Z3513944484;133:13304:1:Z3513400413;133:13304:6:Z3515008197;
FC1(F)C2CCCNC21,51,133:13300:0:Z3588604304;133:13303:3:Z4876289183;133:13303:3:Z3205653553;
FC1(F)CC12CCOCC2,668,133:13300:0:Z4265869075;133:13300:2:Z3569775537;133:13300:2:Z4256402401;
Cc1ccc2cnn(C)c2n1,475,133:13300:0:Z4273137975;133:13300:3:Z2027113738;133:13300:3:Z1333266208;
C1CNC2(C1)CCNC2,448,133:13300:0:Z2997672249;133:13300:2:Z3793280509;133:13300:2:Z2335593382;
Cc1ccccc1O,2488,133:13300:0:Z1581978313;133:13300:2:Z5007768898;133:13300:2:Z3998350172;
CC1CC(F)(F)CN1,691,133:13300:0:Z3518800164;133:13300:2:Z3590513968;133:13300:2:Z5037862806;
Nc1ncnc2[nH]cnc12,861,133:13300:0:Z1550947317;133:13300:1:Z2620473866;133:13300:3:Z2638226425;
C1NCC2COCC12,1851,133:13300:0:Z2718736566;133:13300:1:Z2835684020;133:13300:2:Z2804136631;
Cc1coc(C)n1,732,133:13300:0:Z1816708404;133:13300:1:Z2830382872;133:13300:1:Z1333069170;
Cn1c(=O)sc2ccccc21,456,133:13300:0:Z2773594205;133:13301:2:Z3176105278;133:13301:4:Z5014753504;
CC1(C)CCCCC1O,277,133:13300:0:Z3647193907;133:13300:2:Z3497196786;133:13300:4:Z3647205638;
N=S1(=O)CCC2(CC1)CNCCO2,692,133:13300:0:Z4482411240;133:13300:1:Z3415718020;133:13300:2:Z4055883477;
Cc1cnc(C)nc1,329,133:13300:0:Z1493442580;133:13300:3:Z3078353887;133:13300:4:Z3080284170;
Cc1ncn(C)c1C,196,133:13300:0:Z3856848816;133:13300:8:Z4313446632;133:13301:0:Z3806620238;
Clc1cc[nH]c1,906,133:13300:0:Z1692037539;133:13300:1:Z4960992495;133:13300:2:Z109316044;
Cc1cnon1,687,133:13300:0:Z2478094333;133:13300:2:Z2453468918;133:13300:5:Z1229913822;
Cc1nn(C)c(=O)[nH]c1=O,2,133:13300:0:Z4216869336;133:13306:0:Z4216867261;
O=c1cccc2n1CCCC2,397,133:13300:0:Z4304446321;133:13300:3:Z4303680289;133:13300:4:Z4573465035;
C1COC2(C1)CC2,282,133:13300:0:Z3382637807;133:13300:1:Z3703322784;133:13300:3:Z3656811991;
C1CC2(CCNC2)CN1,420,133:13300:0:Z3792523666;133:13300:0:Z2439156267;133:13300:2:Z1693325113;
Cn1cnc(N)c1,69,133:13300:0:Z4291595342;133:13300:1:Z4292024243;133:13300:4:Z4286622153;
Cc1ccnc2ccnn12,435,133:13300:0:Z4383381056;133:13300:3:Z3873475988;133:13300:5:Z4125243412;
