fragment_smiles,occurences,example_ligands
c1ccccc1,1602778,139:13900:0:Z1558590524;139:13900:0:Z3818918367;139:13900:0:Z1893801421;
Cc1ccc(C)nn1,820,139:13900:0:Z1558590524;139:13900:1:Z1558961713;139:13900:1:Z3159545582;
FC1CCc2ccccc2C1,212,139:13900:0:Z4138008742;139:13900:0:Z2851985497;139:13900:7:Z2860626014;
c1nnco1,29595,139:13900:0:Z4138008742;139:13900:0:Z1611070516;139:13900:0:Z3340560662;
C1CCOCC1,178092,139:13900:0:Z4138008742;139:13900:0:Z1136004666;139:13900:0:Z1903890561;
Fc1ccccc1,353171,139:13900:0:Z1611070516;139:13900:0:Z4192742664;139:13900:0:Z3080264403;
Clc1ccc2nccn2c1,1100,139:13900:0:Z1611070516;139:13900:1:Z2904778432;139:13900:3:Z2186500112;
O=C1CCNc2ccccc2N1,851,139:13900:0:Z1136004666;139:13900:5:Z1882799752;139:13900:6:Z3297567278;
FC1CNC1,3400,139:13900:0:Z3818918367;139:13900:0:Z4601051554;139:13900:0:Z4423859951;
c1ccncc1,454801,139:13900:0:Z3818918367;139:13900:0:Z4876378323;139:13900:0:Z4480920543;
c1cscn1,169929,139:13900:0:Z4077739988;139:13900:0:Z3057108568;139:13900:0:Z3646001379;
c1cnn2cnnc2c1,3225,139:13900:0:Z1517670024;139:13900:0:Z2972879926;139:13900:0:Z4646754691;
C1CC12CC2,397,139:13900:0:Z2412278698;139:13900:4:Z4608906352;139:13900:7:Z2602596139;
OC1CCOC1,4201,139:13900:0:Z4192742664;139:13900:0:Z4265968656;139:13900:0:Z1515020554;
Cn1cccn1,163592,139:13900:0:Z3057108568;139:13900:0:Z1822753708;139:13900:0:Z3707072909;
CC1CCNCC1,21271,139:13900:0:Z2177503694;139:13900:0:Z1505787925;139:13900:0:Z1734965444;
Clc1ccccc1,218924,139:13900:0:Z2177503694;139:13900:0:Z1744228935;139:13900:0:Z1273151388;
CC1Cn2nccc2CN1,801,139:13900:0:Z3611316403;139:13900:0:Z2884868211;139:13900:1:Z3611314038;
C1CCNC1,381512,139:13900:0:Z4046991455;139:13900:0:Z2995331521;139:13900:0:Z2465465949;
O=C1CCCN1,93013,139:13900:0:Z3646001379;139:13900:0:Z4879049194;139:13900:0:Z1961053624;
C1CCNCC1,621651,139:13900:0:Z3707072909;139:13900:0:Z2113986509;139:13900:0:Z4910292751;
c1ncon1,154026,139:13900:0:Z3707072909;139:13900:0:Z4116800838;139:13900:0:Z1514590404;
Cc1ccccc1,241820,139:13900:0:Z3549935381;139:13900:0:Z1273151388;139:13900:0:Z2816362303;
c1c[nH]nn1,89258,139:13900:0:Z1744228935;139:13900:0:Z2351449273;139:13900:0:Z1243493727;
O=S1(=O)NCCCC12CC2,387,139:13900:0:Z3080264403;139:13900:0:Z3357733761;139:13900:5:Z3082955272;
C1NCC2CC12,11751,139:13900:0:Z3624532467;139:13900:0:Z2465465949;139:13900:0:Z3047228330;
C1CCCCC1,154469,139:13900:0:Z3624532467;139:13900:0:Z3789452964;139:13900:0:Z1828012736;
c1nnn[nH]1,29217,139:13900:0:Z3624532467;139:13900:0:Z1370019444;139:13900:0:Z3174768574;
Cc1cc(C)[nH]n1,32181,139:13900:0:Z3801225670;139:13900:0:Z1603003840;139:13900:0:Z1962252099;
c1ccoc1,92293,139:13900:0:Z3801225670;139:13900:0:Z1514590404;139:13900:0:Z2700824709;
C1CCOC1,145048,139:13900:0:Z3801225670;139:13900:0:Z2777763472;139:13900:0:Z2980849167;
C1CC2CC1CO2,3663,139:13900:0:Z4876378323;139:13900:1:Z4562009533;139:13900:1:Z4477518946;
C1CNCCN1,198381,139:13900:0:Z3139156331;139:13900:0:Z4394144928;139:13900:0:Z1553048038;
O=C1NCCN1,10525,139:13900:0:Z1273151388;139:13900:0:Z3612248406;139:13900:0:Z1266542516;
C1CCCC1,132591,139:13900:0:Z4116800838;139:13900:0:Z2305529519;139:13900:0:Z4082014123;
C1CNCCNC1,32037,139:13900:0:Z4480920543;139:13900:0:Z2444020323;139:13900:0:Z2698203901;
c1cn[nH]c1,286596,139:13900:0:Z4480920543;139:13900:0:Z2979699834;139:13900:0:Z3595452378;
Cc1ccc2c(c1)CNCC2,418,139:13900:0:Z3151919668;139:13900:1:Z5001292813;139:13900:1:Z5001292822;
c1nnc[nH]1,71270,139:13900:0:Z3151919668;139:13900:0:Z3119968635;139:13900:0:Z3164329474;
OC1CCC1,13169,139:13900:0:Z3151919668;139:13900:0:Z2806919539;139:13900:0:Z2806920024;
c1c[nH]cn1,72612,139:13900:0:Z2351449273;139:13900:0:Z3164329474;139:13900:0:Z2309353952;
CC1CNCCO1,15297,139:13900:0:Z1335867697;139:13900:0:Z4170058188;139:13900:0:Z3828665462;
CC1NCCSC1C,215,139:13900:0:Z1335867697;139:13900:0:Z1251133952;139:13902:0:Z3152255754;
c1ccsc1,126098,139:13900:0:Z1335867697;139:13900:0:Z3164329474;139:13900:0:Z5000199109;
Cn1ncc2cccnc21,2713,139:13900:0:Z2305529519;139:13900:0:Z2719910025;139:13900:0:Z4266915134;
Cc1cccc(C)c1,29404,139:13900:0:Z2002595140;139:13900:0:Z1953177711;139:13900:0:Z2011151226;
Clc1cccs1,7653,139:13900:0:Z2002595140;139:13900:0:Z4410455667;139:13900:0:Z1505751332;
Cc1ccccn1,28927,139:13900:0:Z4879049194;139:13900:0:Z4516408741;139:13900:0:Z3724937428;
Cc1cccc(C)n1,2692,139:13900:0:Z2995331521;139:13900:0:Z3051666623;139:13900:0:Z3174931992;
Fc1cccc(F)c1,61751,139:13900:0:Z2995331521;139:13900:0:Z1366332609;139:13900:0:Z1952838961;
C1CCCNCC1,28093,139:13900:0:Z2306920630;139:13900:0:Z2373770338;139:13900:0:Z1646815238;
c1cnoc1,75827,139:13900:0:Z2979699834;139:13900:0:Z3658840194;139:13900:0:Z4111417815;
C1CC2(C1)COCCO2,676,139:13900:0:Z5024425031;139:13900:1:Z5026390775;139:13900:1:Z5062956522;
O=S1CCCNc2ccccc21,152,139:13900:0:Z5024425031;139:13900:5:Z4147187270;139:13901:3:Z1909440242;
CC1CCC(=O)N1,1860,139:13900:0:Z1984915216;139:13900:0:Z2929023317;139:13900:0:Z1666580856;
c1nc[nH]n1,52387,139:13900:0:Z1984915216;139:13900:0:Z4310926697;139:13900:0:Z2141751740;
c1ccc2c(c1)Cc1ccccc1-2,599,139:13900:0:Z2373770338;139:13900:1:Z941324036;139:13900:5:Z2348606618;
C1=Cc2ccccc2CC1,452,139:13900:0:Z2044485243;139:13900:2:Z1873279084;139:13900:4:Z1873409790;
Cc1cccs1,12106,139:13900:0:Z1137830894;139:13900:0:Z1531741405;139:13900:0:Z372728304;
Fc1ccccc1F,28195,139:13900:0:Z1137830894;139:13900:0:Z2001741749;139:13900:0:Z4389975757;
c1nn[nH]n1,33816,139:13900:0:Z335581608;139:13900:0:Z4623165495;139:13900:0:Z4411435657;
OC1C2CCC(C2)C1O,767,139:13900:0:Z4291196748;139:13900:0:Z4271462964;139:13900:1:Z4320867634;
c1nnc2n1CCNC2,6320,139:13900:0:Z4291196748;139:13900:0:Z2691606944;139:13900:0:Z2478020494;
Cc1ccc2cc[nH]c2c1,1589,139:13900:0:Z4910292751;139:13900:1:Z2647475893;139:13900:3:Z2626801542;
Cc1ccn(C)n1,14089,139:13900:0:Z4210388616;139:13900:0:Z2202020709;139:13900:0:Z4109324079;
C1CNCCOC1,12265,139:13900:0:Z3805112387;139:13900:0:Z2291597329;139:13900:0:Z929896158;
Oc1ccccc1,43184,139:13900:0:Z4875747360;139:13900:0:Z902613678;139:13900:0:Z4255432538;
c1ncc2[nH]ncc2n1,133,139:13900:0:Z4875747360;139:13902:2:Z4435942171;139:13903:9:Z4875932412;
Cn1ncc2c1CCOC2,1224,139:13900:0:Z4089400500;139:13900:0:Z3781286500;139:13900:0:Z3651244253;
Cn1ncc2c(=O)[nH]cnc21,1873,139:13900:0:Z1903890561;139:13900:0:Z1048661876;139:13900:0:Z1155233169;
Cc1csc2nccc(=O)n12,680,139:13900:0:Z4236419054;139:13900:0:Z1603003840;139:13900:1:Z24101439;
Cc1cccc2cccnc12,757,139:13900:0:Z3809224027;139:13900:0:Z4608691680;139:13900:1:Z2976604929;
FC1(F)CC12CCNCC2,321,139:13900:0:Z3119968635;139:13900:3:Z2474652467;139:13900:4:Z2476375129;
Cc1ccc2c(C)n[nH]c2n1,472,139:13900:0:Z4424257657;139:13900:0:Z2465497477;139:13900:2:Z1006366568;
Fc1cccnc1,26500,139:13900:0:Z4424257657;139:13900:0:Z4490590794;139:13900:0:Z3437355802;
CC1OCCc2ccccc21,486,139:13900:0:Z4035118801;139:13900:3:Z2835864174;139:13900:3:Z3586733383;
Fc1cccc2c1OCCC2,974,139:13900:0:Z1764603181;139:13900:0:Z2986714752;139:13900:0:Z2636996538;
c1ncc2ccsc2n1,1454,139:13900:0:Z4961438413;139:13900:1:Z2589113122;139:13900:1:Z4232761215;
C1CC2(CCN1)CNCCO2,363,139:13900:0:Z3364447819;139:13900:1:Z3136340650;139:13900:2:Z4079310095;
C1CC2CCC1C2,10995,139:13900:0:Z3919546603;139:13900:0:Z3910558020;139:13900:0:Z3568069518;
C1COCCN1,169694,139:13900:0:Z3919546603;139:13900:0:Z3637637477;139:13900:0:Z2192170798;
CC1CC(C)(C)Nc2ccccc21,59,139:13900:0:Z4362576426;139:13900:0:Z1642475303;139:13901:4:Z4362560578;
CC1CCCC(=O)N1,1675,139:13900:0:Z4362576426;139:13900:0:Z4250812433;139:13900:1:Z4019139678;
Cc1csc2nc[nH]c(=O)c12,630,139:13900:0:Z2169218255;139:13900:0:Z1119766826;139:13900:0:Z4126979539;
Cc1cc(C)[nH]c(=O)n1,620,139:13900:0:Z1656941145;139:13900:3:Z5055271712;139:13900:6:Z2962690413;
O=c1[nH]c2ccccc2[nH]1,6069,139:13900:0:Z1656941145;139:13900:0:Z1608289223;139:13900:0:Z2497084639;
C1CCC2(C1)CC2,1428,139:13900:0:Z4152949855;139:13900:0:Z3613603475;139:13900:1:Z3834340958;
c1cn2c(n1)CCCN2,354,139:13900:0:Z4270561010;139:13900:0:Z4220312565;139:13902:4:Z4220310570;
O=c1[nH]ccc2ccsc12,147,139:13900:0:Z4270561010;139:13900:1:Z2802541576;139:13901:0:Z2456382003;
Cc1cn[nH]c1,14944,139:13900:0:Z2179970388;139:13900:0:Z3601580839;139:13900:0:Z2781242181;
Cc1ccc(F)cc1,5551,139:13900:0:Z2668358864;139:13900:0:Z1865716014;139:13900:0:Z1683488811;
c1nc2c(s1)CCCC2,4062,139:13900:0:Z4013314940;139:13900:0:Z4006283694;139:13900:0:Z4013319172;
O=c1cccc[nH]1,27940,139:13900:0:Z5053320697;139:13900:0:Z2090952239;139:13900:0:Z1932133675;
OC1CCNc2ccccc2C1O,166,139:13900:0:Z5053320697;139:13900:8:Z5053324810;139:13901:4:Z5054461762;
c1ccc2[nH]ncc2c1,9826,139:13900:0:Z3623983683;139:13900:0:Z1552910899;139:13900:0:Z4602512624;
c1ccc2c(c1)CCOC2,11616,139:13900:0:Z3623983683;139:13900:0:Z2631169050;139:13900:0:Z2789034469;
Cc1ccc(C)[nH]1,9344,139:13900:0:Z1686984521;139:13900:0:Z2014715946;139:13900:0:Z2659409673;
CN1CCNCC1,28370,139:13900:0:Z2905371603;139:13900:0:Z3653846934;139:13900:0:Z4133945995;
c1cncnc1,90755,139:13900:0:Z2905371603;139:13900:0:Z2974683768;139:13900:0:Z4172441412;
c1cn2c(n1)CCCC2,11962,139:13900:0:Z1732193831;139:13900:0:Z2802665319;139:13900:0:Z2797625492;
CC1CCCO1,7100,139:13900:0:Z4623165495;139:13900:0:Z3358839649;139:13900:0:Z2684965676;
O=C1CCNC(=O)N1,27767,139:13900:0:Z3532250448;139:13900:0:Z3535185653;139:13900:0:Z4197191475;
C1CCSCC1,7918,139:13900:0:Z3532250448;139:13900:0:Z1339295952;139:13900:0:Z5034792404;
c1ccc2c(c1)CCO2,13889,139:13900:0:Z3532250448;139:13900:0:Z4410212431;139:13900:0:Z4410211877;
Cn1nnc2cccnc21,680,139:13900:0:Z2408011979;139:13900:1:Z2010160311;139:13900:5:Z2157380135;
CC1CNC1,7735,139:13900:0:Z2669635570;139:13900:0:Z4503565796;139:13900:0:Z4136699460;
C1CSCCN1,11611,139:13900:0:Z1119766826;139:13900:0:Z1124623679;139:13900:0:Z1934883037;
C1COC2COCCC2N1,198,139:13900:0:Z2964860807;139:13900:3:Z2964872444;139:13900:4:Z2964871592;
CC1CCCCC1,14630,139:13900:0:Z775438202;139:13900:0:Z3584717427;139:13900:0:Z945130444;
c1ccc2c(c1)CCCN2,17769,139:13900:0:Z2309353952;139:13900:0:Z2440324041;139:13900:0:Z3134490025;
CC1(C)CCCS1,136,139:13900:0:Z3834833973;139:13900:8:Z3103035292;139:13900:8:Z3142558347;
Cn1ncc2c1CCNC2,1833,139:13900:0:Z4232023495;139:13900:0:Z3628659315;139:13900:1:Z3561474102;
Cc1cc2ccccc2o1,1071,139:13900:0:Z2307363558;139:13900:0:Z1700659737;139:13900:0:Z4385219835;
C1CC2CCC1O2,4393,139:13900:0:Z2307363558;139:13900:0:Z2802187710;139:13900:0:Z3836099299;
CC1(C)CCNC1,5603,139:13900:0:Z3045683212;139:13900:0:Z4449080914;139:13900:0:Z1988068703;
Cc1ncon1,12653,139:13900:0:Z2965161526;139:13900:0:Z2819177251;139:13900:0:Z1385693413;
c1cocn1,50224,139:13900:0:Z2479680169;139:13900:0:Z4431205570;139:13900:0:Z4457443102;
Cc1ccn2ncnc2n1,1553,139:13900:0:Z2479680169;139:13900:1:Z646336494;139:13900:1:Z1886770207;
Cc1cccnn1,3935,139:13900:0:Z1270737498;139:13900:0:Z1952848479;139:13900:0:Z1506833962;
Cc1ccn[nH]1,38709,139:13900:0:Z1493169307;139:13900:0:Z1528364832;139:13900:0:Z4062758622;
c1cc2n(n1)CCCN2,1874,139:13900:0:Z3091727282;139:13900:0:Z3091721740;139:13900:1:Z4270830439;
FC1(F)C2CCCC1CC2,330,139:13900:0:Z4907616404;139:13900:0:Z4908461946;139:13900:6:Z4507347521;
Oc1cccc(F)c1,1269,139:13900:0:Z5039120784;139:13900:0:Z1749158002;139:13900:0:Z5038803012;
Cc1ccn2cnnc2c1C,82,139:13900:0:Z4151485558;139:13901:7:Z4151451087;139:13905:6:Z4151485289;
CN1CCn2nccc2C1,860,139:13900:0:Z4151485558;139:13900:0:Z2844398108;139:13900:0:Z2844391196;
c1ccc2[nH]ccc2c1,36025,139:13900:0:Z1252009788;139:13900:0:Z3803842849;139:13900:0:Z3686872842;
Cc1cc(C)n(C)n1,9174,139:13900:0:Z133899398;139:13900:0:Z1185260590;139:13900:0:Z3367602194;
Cc1nc2cc(Cl)ccc2s1,85,139:13900:0:Z2839665391;139:13900:5:Z1957461999;139:13901:2:Z4194723137;
C1CC2(CCN1)COCCO2,869,139:13900:0:Z2839665391;139:13900:5:Z2852159003;139:13900:9:Z3302613202;
C1CC2CNC(C1)C2,2209,139:13900:0:Z4642526049;139:13900:0:Z4907422279;139:13900:0:Z4907422139;
O=c1cc[nH]c(=O)[nH]1,3835,139:13900:0:Z2974683768;139:13900:0:Z2774092482;139:13900:0:Z4022185620;
C1CCC2(CCNC2)CNC1,187,139:13900:0:Z2884598080;139:13900:2:Z3510640738;139:13900:4:Z2860805079;
C1CC2CNCC2O1,3370,139:13900:0:Z3906399703;139:13900:0:Z3694956386;139:13900:1:Z3570832251;
Cc1ccon1,11679,139:13900:0:Z2010784998;139:13900:0:Z3638828858;139:13900:0:Z4246093173;
CC1CCCNC1,20934,139:13900:0:Z3438049690;139:13900:0:Z2976133849;139:13900:0:Z2223531128;
