fragment_smiles,occurences,example_ligands
C1CC2CCC2N1,8613,180:18000:0:PV-003659867282;180:18000:0:PV-003659870651;180:18000:0:PV-003659874902;
c1cc2n(n1)CCO2,2551,180:18000:0:PV-003659867282;180:18000:0:PV-003659872414;180:18000:0:PV-003659875177;
C1CCNCC1,444100,180:18000:0:PV-002947487197;180:18000:0:PV-003659867352;180:18000:0:PV-003659867459;
OC1CCCCC1,19229,180:18000:0:PV-002947487197;180:18000:0:PV-003659868523;180:18000:0:PV-002947487713;
CN1CCc2ccccc21,1049,180:18000:0:PV-003659867314;180:18000:0:PV-002947493276;180:18000:0:PV-003659891012;
CC1(C)CC1(C)C,7792,180:18000:0:PV-003659867328;180:18000:0:PV-001708719568;180:18000:0:PV-002947490953;
c1cc2n(n1)CCC2,4271,180:18000:0:PV-003659867328;180:18000:0:PV-003659872025;180:18000:0:PV-004075910022;
C1CC2CNCC2C1,11832,180:18000:0:PV-003659867332;180:18000:0:PV-003659867333;180:18000:0:PV-003659870395;
CC1(C)CC(O)C1,3529,180:18000:0:PV-003659867332;180:18000:0:PV-003659867333;180:18000:0:PV-003659876123;
OC1CCNCC1,23497,180:18000:0:PV-003659867339;180:18000:0:PV-003659869726;180:18000:0:PV-003659869727;
Cc1n[nH]c(C)n1,1673,180:18000:0:PV-003659867346;180:18000:0:PV-003659868273;180:18000:1:PV-003659896958;
CC1CCCNC1,58705,180:18000:0:PV-003659867346;180:18000:0:PV-001699838124;180:18000:0:PV-004075904844;
CC1CCC1,55838,180:18000:0:PV-003659867346;180:18000:0:PV-003659867511;180:18000:0:PV-003659867856;
CC1=NOCC1,7828,180:18000:0:PV-003659867350;180:18000:0:PV-003659868543;180:18000:0:PV-003659881402;
c1cc2c([nH]1)CCOC2,643,180:18000:0:PV-003659867350;180:18000:1:PV-002947499595;180:18000:1:PV-002947499596;
FC1CCNCC1,26914,180:18000:0:PV-003659867352;180:18000:0:PV-003659868254;180:18000:0:PV-003659869660;
FC1CNC1,24395,180:18000:0:PV-002947487230;180:18000:0:PV-002947487231;180:18000:0:PV-004075904830;
Fc1ccccc1,110074,180:18000:0:PV-002947487230;180:18000:0:PV-002947487231;180:18000:0:PV-003659867567;
c1cn[nH]c1,202311,180:18000:0:PV-003659867363;180:18000:0:PV-000275154498;180:18000:0:PV-003659867395;
CC1CCCCN1,52624,180:18000:0:PV-003659867363;180:18000:0:PV-000275154498;180:18000:0:PV-003659867551;
Cc1ccccc1,76558,180:18000:0:PV-004075904578;180:18000:0:PV-003659868367;180:18000:0:PV-004075904944;
C1CCSCC1,29245,180:18000:0:PV-004075904578;180:18000:0:PV-004075904877;180:18000:0:PV-004075908051;
Cn1ccnc1,38776,180:18000:0:PV-002947487234;180:18000:0:PV-003659868084;180:18000:0:PV-003659869217;
Fc1cncnc1,6255,180:18000:0:PV-003659867395;180:18000:0:PV-003659869395;180:18000:0:PV-003659869396;
C1CNCCN1,126917,180:18000:0:PV-002947487266;180:18000:0:PV-003659867493;180:18000:0:PV-003659867497;
Cn1ncc2cccc(O)c21,90,180:18000:0:PV-002947487266;180:18000:2:PV-002947506760;180:18000:3:PV-005976411536;
Cn1ccnn1,16020,180:18000:0:PV-002947487267;180:18000:0:PV-002947487497;180:18000:0:PV-003659869279;
c1cc2c(s1)CCCC2,3241,180:18000:0:PV-002947487267;180:18000:0:PV-004075904966;180:18000:0:PV-001773411900;
CC1CNC1,56970,180:18000:0:PV-002947487268;180:18000:0:PV-003659867586;180:18000:0:PV-003659867833;
c1ccoc1,118542,180:18000:0:PV-002947487268;180:18000:0:PV-002947487308;180:18000:0:PV-002947487309;
c1c[nH]cn1,79726,180:18000:0:PV-002947487268;180:18000:0:PV-003659867718;180:18000:0:PV-002947487548;
C1CCOC1,150656,180:18000:0:PV-002947487268;180:18000:0:PV-003659867497;180:18000:0:PV-003659867499;
CN1CCCC1,29196,180:18000:0:PV-003659867446;180:18000:0:PV-003659867447;180:18000:0:PV-002947487333;
C1COCCN1,53775,180:18000:0:PV-003659867446;180:18000:0:PV-003659867447;180:18000:0:PV-003659869104;
OC1CC2CC12,4460,180:18000:0:PV-003659867459;180:18000:0:PV-003659867460;180:18000:0:PV-003659889985;
c1ccncc1,190211,180:18000:0:PV-003659867459;180:18000:0:PV-003659867460;180:18000:0:PV-000492835531;
Cc1ccoc1,40779,180:18000:0:PV-001760922378;180:18000:0:PV-003659868351;180:18000:0:PV-004075904874;
C1CCOCC1,91845,180:18000:0:PV-001760922378;180:18000:0:PV-003659867742;180:18000:0:PV-004075904687;
Cc1ccsc1,40553,180:18000:0:PV-001760922378;180:18000:0:PV-001696457227;180:18000:0:PV-004075905744;
FC1(F)CC12CC2,3396,180:18000:0:PV-002947487294;180:18000:0:PV-003659883169;180:18000:0:PV-004075909403;
Cn1ccc2ccccc21,3123,180:18000:0:PV-002947487296;180:18000:0:PV-003659870983;180:18000:0:PV-003659870984;
Cc1nccc(N)n1,991,180:18000:0:PV-003659867477;180:18000:7:PV-002947537295;180:18000:7:PV-003660000921;
CC1CCCN1,98937,180:18000:0:PV-003659867477;180:18000:0:PV-003659868359;180:18000:0:PV-003659868395;
C1CCC2(CNC1)CNC2,2205,180:18000:0:PV-002947487298;180:18000:0:PV-002947489848;180:18000:1:PV-003659894523;
O=c1ccnc[nH]1,3326,180:18000:0:PV-002947487298;180:18000:0:PV-003659875402;180:18000:0:PV-003659883495;
Cc1cscn1,25609,180:18000:0:PV-000492835531;180:18000:0:PV-004075904783;180:18000:0:PV-004075904784;
Cn1ncc2c1CCCN2,33,180:18000:0:PV-003659867489;180:18000:4:PV-002947522654;180:18005:6:PV-005979091318;
C1CCCCC1,177867,180:18000:0:PV-003659867493;180:18000:0:PV-001422246409;180:18000:0:PV-003659867667;
C1CC2CNCC1C2,11593,180:18000:0:PV-003659867501;180:18000:0:PV-003659871281;180:18000:0:PV-003659875249;
C1COCCO1,8550,180:18000:0:PV-003659867501;180:18000:0:PV-002947487512;180:18000:0:PV-002947487513;
C1CC2(C1)CC2,17553,180:18000:0:PV-002947487306;180:18000:0:PV-004075904856;180:18000:0:PV-002947487822;
c1nn[nH]n1,7769,180:18000:0:PV-002947487306;180:18000:0:PV-003659868386;180:18000:0:PV-003659868523;
Cc1ccnc(C)c1,7814,180:18000:0:PV-003659867511;180:18000:0:PV-004075905172;180:18000:0:PV-003659872191;
c1ccc2sncc2c1,5035,180:18000:0:PV-004075904606;180:18000:0:PV-003659887569;180:18000:0:PV-004075910609;
CC1CNCCN1,82935,180:18000:0:PV-002947487308;180:18000:0:PV-002947487309;180:18000:0:PV-002947487310;
C1CC2(CC2)CN1,19847,180:18000:0:PV-003659867528;180:18000:0:PV-004075904743;180:18000:0:PV-004075904744;
c1ccc2c(c1)OCO2,3087,180:18000:0:PV-003659867551;180:18000:0:PV-003659872654;180:18000:0:PV-003659872655;
