fragment_smiles,occurences,example_ligands
c1cnoc1,79357,0:00000:0:Z3508675034;0:00000:0:Z4771421626;0:00000:0:Z4600978649;
FC1(F)CCC2(CCC2)CC1,169,0:00000:0:Z3508675034;0:00000:3:Z4231255335;0:00001:5:Z3786069737;
FC1(F)CCCC1,8270,0:00000:0:Z2131163565;0:00000:0:Z3661422418;0:00000:0:Z1973895410;
c1cnccn1,27578,0:00000:0:Z3558326212;0:00000:0:Z1675248864;0:00000:0:Z2271497468;
Cn1ncc2cccnc21,1070,0:00000:0:Z4391848493;0:00000:0:Z2770024798;0:00000:5:Z2090545950;
Clc1cccnc1,21120,0:00000:0:Z4393949572;0:00000:0:Z1231052683;0:00000:0:Z1875852271;
C1CCCCC1,107922,0:00000:0:Z4614170205;0:00000:0:Z2897958917;0:00000:0:Z3795630765;
c1ccc2[nH]cnc2c1,5816,0:00000:0:Z3833750832;0:00000:0:Z4029700029;0:00000:0:Z829096928;
c1ccncc1,249221,0:00000:0:Z3607603524;0:00000:0:Z2788930889;0:00000:0:Z4044493442;
C1CNC2CC2C1,2950,0:00000:0:Z2903654626;0:00000:0:Z2996695561;0:00000:0:Z4066021443;
C1CCNCC1,257045,0:00000:0:Z1763579562;0:00000:0:Z1173174798;0:00000:0:Z2960424763;
Cn1ccnc1,27490,0:00000:0:Z1763579562;0:00000:0:Z2236829897;0:00000:0:Z2772331475;
Cn1cccn1,105233,0:00000:0:Z1971432827;0:00000:0:Z2800917655;0:00000:0:Z4059247572;
c1ccsc1,119572,0:00000:0:Z4974620686;0:00000:0:Z2983529829;0:00000:0:Z3381930327;
FC1CCC1,19538,0:00000:0:Z4974620686;0:00000:0:Z3474166786;0:00000:0:Z4276272808;
Cc1ccc2c(c1)CNC2,333,0:00000:0:Z2949435661;0:00000:1:Z1961349161;0:00000:1:Z1961336870;
C1CCOC1,139471,0:00000:0:Z2949435661;0:00000:0:Z4002702438;0:00000:0:Z1815335601;
Fc1cccnc1,26729,0:00000:0:Z4194220516;0:00000:0:Z3052124795;0:00000:0:Z3311525313;
C1NC2CNC1C2,3052,0:00000:0:Z4194220516;0:00000:0:Z4473641202;0:00000:0:Z3209182059;
CC1CC(=O)NCCN1,501,0:00000:0:Z2788930889;0:00000:0:Z2978203252;0:00000:0:Z4057147536;
C1CC2(C1)CC2,11317,0:00000:0:Z3791508352;0:00000:0:Z2297667767;0:00000:0:Z2298361174;
c1nncs1,32999,0:00000:0:Z3791508352;0:00000:0:Z3609785316;0:00000:0:Z2303736001;
CC1CCCOC1,6664,0:00000:0:Z3867174404;0:00000:0:Z4013496322;0:00000:0:Z1885093096;
C1CC2(CC2)CN1,6804,0:00000:0:Z3867174404;0:00000:0:Z3857004576;0:00000:0:Z3822240720;
Cc1nc2c(s1)CCCC2,834,0:00000:0:Z4483921974;0:00000:0:Z4483921877;0:00000:0:Z4483921985;
Cc1ccc2c(c1)CC(C)NC2,61,0:00000:0:Z4451437643;0:00002:0:Z4472078704;0:00010:8:Z4472079981;
O=C1CCCCC1,4976,0:00000:0:Z4451437643;0:00000:0:Z3949437811;0:00000:0:Z3009245222;
C1CC2CCC(C1)N2,6683,0:00000:0:Z3445290368;0:00000:0:Z3798449180;0:00000:0:Z3798624946;
C1CC2CC1CO2,5451,0:00000:0:Z4887298569;0:00000:0:Z3501755198;0:00000:0:Z5034510136;
c1nc[nH]n1,40733,0:00000:0:Z4509164751;0:00000:0:Z4076390243;0:00000:0:Z1527293917;
O=C1CC2CCC1CC2,640,0:00000:0:Z4509164751;0:00000:0:Z4076390243;0:00000:0:Z4516409427;
O=C1CCCCN1,20177,0:00000:0:Z4156767397;0:00000:0:Z3348440739;0:00000:0:Z3816883444;
C1CCSC1,15710,0:00000:0:Z3627853600;0:00000:0:Z4414110062;0:00000:0:Z4413069842;
FC1(F)CCCNC1,3385,0:00000:0:Z3104806761;0:00000:0:Z3390066812;0:00000:0:Z4041967395;
c1ccc2c(c1)CCOC2,5423,0:00000:0:Z3104806761;0:00000:0:Z1002929622;0:00000:0:Z3347915851;
c1cncnc1,74564,0:00000:0:Z1173174798;0:00000:0:Z4481574837;0:00000:0:Z1252364807;
Cc1cc[nH]n1,21479,0:00000:0:Z2918750968;0:00000:0:Z2170702225;0:00000:0:Z2147371314;
CN1CCOCC12CNCOC2,72,0:00000:0:Z3611149012;0:00000:5:Z3611159813;0:00000:9:Z3611147811;
Cc1ccoc1,10356,0:00000:0:Z3052124795;0:00000:0:Z2201676575;0:00000:0:Z3650038144;
C1CNCCN1,57568,0:00000:0:Z929884650;0:00000:0:Z2947905367;0:00000:0:Z3889975088;
Cc1nccs1,16680,0:00000:0:Z3408564339;0:00000:0:Z4068430995;0:00000:0:Z1678175095;
CS(C)(=N)=O,4169,0:00000:0:Z2774736088;0:00000:0:Z4398689803;0:00000:0:Z3471622873;
CC1CN(C)C=N1,154,0:00000:0:Z3774810821;0:00000:5:Z4445491452;0:00002:1:Z3301893848;
Cc1c(Cl)cnn1C,808,0:00000:0:Z2371687648;0:00000:3:Z3497735031;0:00000:4:Z2965198283;
c1ncon1,105696,0:00000:0:Z2371687648;0:00000:0:Z4446219125;0:00000:0:Z3634964477;
CC1CCCC1,16205,0:00000:0:Z2371687648;0:00000:0:Z2040077195;0:00000:0:Z3519406001;
C1COCCN1,80661,0:00000:0:Z3696098262;0:00000:0:Z3696096766;0:00000:0:Z3696107354;
CC1CCCC1C,921,0:00000:0:Z4467134554;0:00000:3:Z2288053923;0:00000:4:Z5064765606;
CC1CCc2nncn2C1,134,0:00000:0:Z4319730817;0:00000:8:Z4319182246;0:00000:8:Z4319182449;
Nc1ccncn1,4199,0:00000:0:Z4113999230;0:00000:0:Z2107696953;0:00000:0:Z3271579113;
C1CC2(C1)CCN2,2922,0:00000:0:Z4113999230;0:00000:0:Z1560548136;0:00000:0:Z2781765399;
CC1CNC1C,827,0:00000:0:Z2231950538;0:00000:0:Z3052174299;0:00000:1:Z3820294641;
C1CCCNCC1,20162,0:00000:0:Z2231950538;0:00000:0:Z3365665158;0:00000:0:Z4268424019;
c1cscn1,145555,0:00000:0:Z4447581968;0:00000:0:Z1213026094;0:00000:0:Z2790678486;
Oc1cccc2c1CCC2,785,0:00000:0:Z1177946169;0:00000:1:Z3624968686;0:00000:2:Z3667510824;
C1CCC2CNCC2C1,2196,0:00000:0:Z3521691268;0:00000:0:Z3521690538;0:00000:0:Z3521690474;
CN1CCC1,3214,0:00000:0:Z2615011931;0:00000:0:Z2645164439;0:00000:1:Z4621322693;
c1csnn1,9164,0:00000:0:Z2615011931;0:00000:0:Z3509724669;0:00000:0:Z4137972764;
Clc1cccc(Cl)c1,12125,0:00000:0:Z4771421626;0:00000:0:Z2825054062;0:00000:0:Z4288087735;
Cc1ccccc1,95468,0:00000:0:Z1213026094;0:00000:0:Z1440708738;0:00000:0:Z4118617922;
O=c1cccn[nH]1,3398,0:00000:0:Z2634788145;0:00000:0:Z1815335601;0:00000:0:Z1408009447;
NC1CC2COCC(C1)C2,60,0:00000:0:Z3119790889;0:00003:8:Z4054394449;0:00003:9:Z4054395711;
C1CC2CC1CN2,7972,0:00000:0:Z3119790889;0:00000:0:Z5052083576;0:00000:0:Z4423706204;
c1ncsn1,13288,0:00000:0:Z3078925600;0:00000:0:Z2108775554;0:00000:0:Z3602423008;
CC1CCN1,4923,0:00000:0:Z4127026206;0:00000:0:Z3600404357;0:00000:0:Z3653933567;
c1cc2c(cn1)NCC2,417,0:00000:0:Z4127026206;0:00000:3:Z4047842955;0:00000:4:Z1669979730;
CC1CCSCCN1,612,0:00000:0:Z3311525313;0:00000:1:Z2407498777;0:00000:1:Z4406198121;
OC1CCCCC1,23323,0:00000:0:Z3605480231;0:00000:0:Z4348184860;0:00000:0:Z4259420266;
C1=NOCC1,7324,0:00000:0:Z4410422780;0:00000:0:Z3368729847;0:00000:0:Z3525062985;
C1CNCCNC1,9497,0:00000:0:Z2040077195;0:00000:0:Z1319540151;0:00000:0:Z1247414071;
CC1(C)COCCN1,2470,0:00000:0:Z3791617202;0:00000:0:Z3469075760;0:00000:0:Z4063355834;
Cc1c[nH]cn1,4222,0:00000:0:Z2779686340;0:00000:0:Z2780734270;0:00000:0:Z4320286277;
O=C1CCCN1,46649,0:00000:0:Z2779686340;0:00000:0:Z2780734270;0:00000:0:Z2569236201;
FC1(F)C2CCCC21,4343,0:00000:0:Z3086207578;0:00000:0:Z4152967375;0:00000:0:Z3649862897;
CC1(C)CC1(C)C,1695,0:00000:0:Z2569236201;0:00000:0:Z1510031421;0:00000:1:Z2720776723;
Cc1cc(Cl)[nH]n1,1307,0:00000:0:Z4092289202;0:00000:2:Z2891430539;0:00000:3:Z4404637855;
FC1(F)CC12CC2,3513,0:00000:0:Z4092289202;0:00000:0:Z4034733144;0:00000:0:Z3295961336;
Cc1cc(Cl)ccn1,262,0:00000:0:Z4002702438;0:00000:2:Z3999148212;0:00001:1:Z4002943034;
CC1(C)CCCO1,7032,0:00000:0:Z3392889244;0:00000:0:Z3639090000;0:00000:0:Z1907161504;
Nc1ccc(Cl)nn1,186,0:00000:0:Z3392889244;0:00000:0:Z3392560291;0:00000:1:Z3391534984;
C1CNC2(C1)CC2,2020,0:00000:0:Z4059247572;0:00000:1:Z3608706256;0:00000:1:Z3808361139;
CC1CCCCO1,8152,0:00000:0:Z1620875847;0:00000:0:Z2601291308;0:00000:0:Z2965597866;
c1ncn2c1CNCC2,858,0:00000:0:Z4172973951;0:00000:0:Z3100604700;0:00000:2:Z2171490219;
OC1CCSCC1,1193,0:00000:0:Z1549819556;0:00000:0:Z1887481705;0:00000:0:Z1551291438;
CC1(C)CCCN1,9559,0:00000:0:Z3519406001;0:00000:0:Z3886696202;0:00000:0:Z4479386162;
C1CCOCC1,113181,0:00000:0:Z3337733862;0:00000:0:Z3608605829;0:00000:0:Z2148921242;
C1CC2(CCSCC2)N1,372,0:00000:0:Z3337733862;0:00000:1:Z3596364636;0:00000:8:Z3344727918;
O=C1CCNCC1,1036,0:00000:0:Z4478098026;0:00000:3:Z4265385066;0:00000:4:Z2212661791;
Fc1ccsc1,3253,0:00000:0:Z4478098026;0:00000:0:Z3866166181;0:00000:0:Z4216444511;
c1ccc2nnccc2c1,471,0:00000:0:Z2869555196;0:00001:1:Z4224852629;0:00002:0:Z2706467508;
OC1CNC1,10421,0:00000:0:Z2869555196;0:00000:0:Z4059737069;0:00000:0:Z4210407244;
OC1CC2CNC1C2,1025,0:00000:0:Z4248765959;0:00000:0:Z4250363476;0:00000:1:Z4061665083;
C1CC2(CC2)CO1,4419,0:00000:0:Z4248765959;0:00000:0:Z4294956050;0:00000:1:Z3610158168;
Cc1ccccn1,28484,0:00000:0:Z3878298497;0:00000:0:Z4100933046;0:00000:0:Z4215391172;
C1CC2CCOC2C1,3011,0:00000:0:Z3878298497;0:00000:0:Z3360701050;0:00000:0:Z4613058852;
FC1(F)CCC1,16012,0:00000:0:Z2920877338;0:00000:0:Z3388715073;0:00000:0:Z3353562042;
Fc1ccc(Cl)cc1,4133,0:00000:0:Z2221763218;0:00000:0:Z2722441635;0:00000:0:Z2589213583;
OC1C2CCCC1CNC2,498,0:00000:0:Z2221763218;0:00000:2:Z1454204774;0:00000:2:Z2630871682;
CC1(C)OCCO1,4747,0:00000:0:Z2598935184;0:00000:1:Z4469182346;0:00000:1:Z2633332698;
CC1CN=CN1,399,0:00000:0:Z4209861053;0:00000:0:Z4001759798;0:00000:7:Z3861930155;
CN1CCCCC1,16580,0:00000:0:Z4209861053;0:00000:0:Z2947905367;0:00000:0:Z2043469478;
CC1NCCn2cnnc21,432,0:00000:0:Z4268407787;0:00000:2:Z2011551900;0:00000:5:Z1787922128;
CC1CCCCC1,20919,0:00000:0:Z2454589466;0:00000:0:Z3598941514;0:00000:0:Z3598998022;
CC1CNCC2(CCC2)O1,357,0:00000:0:Z2454589466;0:00000:6:Z2438357878;0:00001:0:Z3093967902;
Cc1cn[nH]n1,2500,0:00000:0:Z4600978649;0:00000:0:Z3390066812;0:00000:0:Z2223355358;
CC1CCS(=O)(=O)CC1,449,0:00000:0:Z4277486902;0:00000:0:Z4028932002;0:00000:5:Z3357809628;
C1C2CC1C2,8911,0:00000:0:Z4277486902;0:00000:0:Z4021768250;0:00000:0:Z2835197035;
Clc1cc[nH]n1,671,0:00000:0:Z1549810162;0:00000:2:Z1549809659;0:00000:3:Z2776140726;
Cc1cnco1,9666,0:00000:0:Z2826837172;0:00000:0:Z3640575647;0:00000:0:Z1576568768;
Nc1nncs1,1382,0:00000:0:Z3190590441;0:00000:0:Z3185297213;0:00000:1:Z4492167125;
C1CC2CNC2C1,1116,0:00000:0:Z3190590441;0:00000:2:Z4021159527;0:00000:2:Z1486685267;
FC1(F)CC12CCC2,4211,0:00000:0:Z4437728170;0:00000:0:Z3268262880;0:00000:0:Z3084116637;
Cc1cncs1,12841,0:00000:0:Z2983529829;0:00000:0:Z3167025336;0:00000:0:Z4213912529;
CC1CCCNC1,19476,0:00000:0:Z4910469712;0:00000:0:Z4643203937;0:00000:0:Z3501435016;
C1CC2CC1C2,2036,0:00000:0:Z4446219125;0:00000:0:Z4413206913;0:00000:0:Z4413220414;
O=C1NCCN2CCCC12,52,0:00000:0:Z4432294479;0:00003:0:Z3873840352;0:00003:0:Z3384000937;
O=C1CC2CCCC2C1,293,0:00000:0:Z3381930327;0:00000:0:Z3875281530;0:00000:0:Z3874454207;
OC1CCNCC1,11950,0:00000:0:Z4638407816;0:00000:0:Z3877456572;0:00000:0:Z4262022536;
CC1=NOC(C)C1,1067,0:00000:0:Z3579209791;0:00000:2:Z2993505922;0:00000:2:Z2998095593;
Cc1ccco1,22024,0:00000:0:Z3579209791;0:00000:0:Z2721522840;0:00000:0:Z1870347245;
