fragment_smiles,occurences,example_ligands
CC1(C)CNCCO1,6308,15:01500:0:Z4005513694;15:01500:0:Z4312523508;15:01500:1:Z3799670833;
C1CCOC1,139103,15:01500:0:Z2062229412;15:01500:0:Z3550383949;15:01500:0:Z3209783517;
Fc1cccc(Cl)c1,13557,15:01500:0:Z2039755641;15:01500:0:Z1667920542;15:01500:0:Z1829065834;
Fc1cccnc1,26150,15:01500:0:Z2039755641;15:01500:0:Z3642477787;15:01500:0:Z3214097698;
C1CCNC1,261468,15:01500:0:Z2849886490;15:01500:0:Z4505482701;15:01500:0:Z3605806739;
Fc1ccccc1,127589,15:01500:0:Z4250058784;15:01500:0:Z3080264462;15:01500:0:Z1497435476;
c1cn[nH]c1,178161,15:01500:0:Z1506406539;15:01500:0:Z4093649123;15:01500:0:Z3511610178;
c1cscn1,144994,15:01500:0:Z1506406539;15:01500:0:Z4897151023;15:01500:0:Z3705777191;
c1cncnc1,74299,15:01500:0:Z2852556497;15:01500:0:Z2721574985;15:01500:0:Z2792448007;
Cc1nccs1,16538,15:01500:0:Z3080264462;15:01500:0:Z4057597458;15:01500:0:Z3379000433;
CC1(C)CC1,10007,15:01500:0:Z3679235600;15:01500:0:Z3504345193;15:01500:0:Z2351126134;
c1ccccc1,439696,15:01500:0:Z1271282955;15:01500:0:Z3819912533;15:01500:0:Z1445394758;
c1ccsc1,120247,15:01500:0:Z1271282955;15:01500:0:Z3361636108;15:01500:0:Z4194367786;
c1ccncc1,250439,15:01500:0:Z4109174506;15:01500:0:Z4266003097;15:01500:0:Z2872525601;
Cc1cc(=O)cc2n1CCC2,11,15:01500:0:Z2413448877;15:01516:7:Z4453351818;15:01530:1:Z2617852061;
c1ncon1,105250,15:01500:0:Z2413448877;15:01500:0:Z3697267167;15:01500:0:Z3697274263;
C1CCNCC1,257423,15:01500:0:Z1936590783;15:01500:0:Z3789511082;15:01500:0:Z4475265249;
CC1(C)OCC2CC21,792,15:01500:0:Z2752930776;15:01500:0:Z2640065893;15:01500:0:Z4352715025;
O=C1CCCc2sccc21,170,15:01500:0:Z2877537239;15:01500:6:Z2297756338;15:01502:5:Z2910394214;
C1CCCC1,124718,15:01500:0:Z3361636108;15:01500:0:Z2771079564;15:01500:0:Z4173001852;
CC1CCCC1,16309,15:01500:0:Z3313480799;15:01500:0:Z3313447800;15:01500:0:Z4429153906;
CC1CNCCS1(=O)=O,1296,15:01500:0:Z3313480799;15:01500:0:Z3313447800;15:01500:2:Z3573384684;
C1CNCCN1,57293,15:01500:0:Z5043429673;15:01500:0:Z4225440124;15:01500:0:Z3555892200;
NC1CCOC1,2325,15:01500:0:Z5043429673;15:01500:0:Z3697056683;15:01500:0:Z3132032681;
CN1CCCC1=O,11466,15:01500:0:Z3819912533;15:01500:0:Z1897663319;15:01500:0:Z1897691610;
C1CC2(C1)CC2,11290,15:01500:0:Z3789511082;15:01500:0:Z4173001852;15:01500:0:Z3362875567;
c1cn2nccc2cn1,1049,15:01500:0:Z2771079564;15:01500:0:Z4231587455;15:01500:1:Z2973155259;
c1cc[nH]c1,26022,15:01500:0:Z1445394758;15:01500:0:Z1445008054;15:01500:0:Z1445245536;
FC1(F)CCC1,16058,15:01500:0:Z3356811919;15:01500:0:Z3828914746;15:01500:0:Z2854190747;
Oc1ccncn1,2391,15:01500:0:Z3390887047;15:01500:0:Z3340594553;15:01500:1:Z3654533899;
c1cn2c(n1)COCC2,1472,15:01500:0:Z3390887047;15:01500:0:Z4294161618;15:01500:0:Z4295622292;
C1COCCN1,79615,15:01500:0:Z3900692827;15:01500:0:Z1856089483;15:01500:0:Z4343450996;
Cn1cccn1,106077,15:01500:0:Z3900692827;15:01500:0:Z4346878472;15:01500:0:Z4346878367;
OC1CCNC1,28430,15:01500:0:Z3078857889;15:01500:0:Z2951523292;15:01500:0:Z2474939780;
c1nc[nH]n1,41114,15:01500:0:Z2142483136;15:01500:0:Z2836838577;15:01500:0:Z1929869191;
C1CCSCC1,16080,15:01500:0:Z2142483136;15:01500:0:Z3209981822;15:01500:0:Z1747277419;
CN1CCCCC1,16626,15:01500:0:Z4477088587;15:01500:0:Z1390043836;15:01500:0:Z3818027044;
C1CC2CCC1C2,13175,15:01500:0:Z4477088587;15:01500:0:Z1259696983;15:01500:0:Z4668023825;
C1CNC2(C1)CC2,1958,15:01500:0:Z3777058611;15:01500:0:Z3569790465;15:01500:0:Z3808199557;
Clc1cccnc1,20811,15:01500:0:Z4472308968;15:01500:0:Z3199745319;15:01500:0:Z4147670110;
CC1(C)COC=N1,184,15:01500:0:Z4266003097;15:01500:3:Z4451420060;15:01501:6:Z4271518050;
c1cnccn1,27758,15:01500:0:Z1590680227;15:01500:0:Z2312369399;15:01500:0:Z1229099028;
C1CCOCC1,113409,15:01500:0:Z1590680227;15:01500:0:Z4043182711;15:01500:0:Z4023256606;
OC1CCOC1,8608,15:01500:0:Z4194367786;15:01500:0:Z4191786465;15:01500:0:Z4046520485;
Cc1csc(=O)[nH]1,1226,15:01500:0:Z2872525601;15:01500:0:Z3631375509;15:01500:0:Z3874739562;
Cc1cscn1,29076,15:01500:0:Z3643830841;15:01500:0:Z2610544079;15:01500:0:Z3622767026;
Cn1ccnc1,27548,15:01500:0:Z2721574985;15:01500:0:Z1256751398;15:01500:0:Z3711881513;
C1CCC2(C1)CCCO2,2143,15:01500:0:Z4346878472;15:01500:0:Z4346878367;15:01500:0:Z3168937836;
O=c1[nH]cnc2ccccc12,1144,15:01500:0:Z3341989667;15:01500:0:Z3493764917;15:01500:1:Z3301603174;
C1CC2CC2N1,3638,15:01500:0:Z4033384532;15:01500:0:Z3522056463;15:01500:0:Z1535810320;
C1CCCOCC1,2836,15:01500:0:Z4391972560;15:01500:0:Z1899097802;15:01500:0:Z3358575159;
