fragment_smiles,occurences,example_ligands
C1CCNC1,476911,89:08900:0:PV-003843058601;89:08900:0:PV-003843058893;89:08900:0:PV-001544621807;
C1CCSC1,26459,89:08900:0:PV-003843058601;89:08900:0:PV-003843059715;89:08900:0:PV-003843059716;
OC1CCC1,46146,89:08900:0:PV-003843058601;89:08900:0:PV-003843059051;89:08900:0:PV-003018483667;
OC1CCNC1,72698,89:08900:0:PV-003843058608;89:08900:0:PV-001703200754;89:08900:0:PV-003843059574;
c1nc[nH]n1,126615,89:08900:0:PV-001986843583;89:08900:0:PV-001975552796;89:08900:0:PV-001997415672;
Fc1ccccc1,106204,89:08900:0:PV-001986843583;89:08900:0:PV-002184481712;89:08900:0:PV-002132735274;
Cn1ccnn1,15758,89:08900:0:PV-001986843583;89:08900:0:PV-001663694161;89:08900:0:PV-003843060762;
C1CC2(CC2)CN1,12335,89:08900:0:PV-003843058687;89:08900:0:PV-003018488094;89:08900:0:PV-003843072931;
c1cnoc1,80235,89:08900:0:PV-003843058687;89:08900:0:PV-001501680173;89:08900:0:PV-003843060675;
C1CCCCC1,134091,89:08900:0:PV-000495719009;89:08900:0:PV-003843058702;89:08900:0:PV-003843058703;
Clc1nccs1,14548,89:08900:0:PV-000495719009;89:08900:0:PV-003843073783;89:08900:0:PV-001141689618;
CC1CCCC1,20020,89:08900:0:PV-003843058712;89:08900:0:PV-003843059284;89:08900:0:PV-001743630494;
CC1(F)CCC1,9139,89:08900:0:PV-003843058712;89:08900:0:PV-003843058763;89:08900:0:PV-003843058764;
c1ccccc1,319353,89:08900:0:PV-002184481679;89:08900:0:PV-003843058808;89:08900:0:PV-003843058893;
c1ccoc1,97567,89:08900:0:PV-003843058745;89:08900:0:PV-001975552796;89:08900:0:PV-003843059574;
c1ccncc1,177207,89:08900:0:PV-003843058745;89:08900:0:PV-002339735078;89:08900:0:PV-002184481712;
C1CNCCN1,87889,89:08900:0:PV-003843058745;89:08900:0:PV-003843059008;89:08900:0:PV-003843059479;
Cc1cc(=O)cn[nH]1,601,89:08900:0:PV-003018483537;89:08900:3:PV-003018529635;89:08900:6:PV-003018564988;
CC1CCNCC1,25845,89:08900:0:PV-003018483537;89:08900:0:PV-003843058928;89:08900:0:PV-003018483595;
Cc1cnn(C)c1,7371,89:08900:0:PV-003843058759;89:08900:0:PV-003843058760;89:08900:0:PV-000447922691;
C1CCCNCC1,43870,89:08900:0:PV-003843058763;89:08900:0:PV-003843058764;89:08900:0:PV-002339735173;
C1=CSCC1,13154,89:08900:0:PV-003843058763;89:08900:0:PV-003843058764;89:08900:0:PV-003843059051;
c1c[nH]nn1,127991,89:08900:0:PV-003018483552;89:08900:0:PV-001715976723;89:08900:0:PV-003843059748;
Cc1cccnc1,23023,89:08900:0:PV-003018483552;89:08900:0:PV-001736699319;89:08900:0:PV-003018490464;
Cc1cscn1,18216,89:08900:0:PV-003843058790;89:08900:0:PV-003843058791;89:08900:0:PV-003843058955;
C1CCOCC1,68949,89:08900:0:PV-003843058790;89:08900:0:PV-003843058791;89:08900:0:PV-001760887224;
FC1CCC1,51078,89:08900:0:PV-003843058808;89:08900:0:PV-003843061688;89:08900:0:PV-003843070046;
Clc1ccccc1,83312,89:08900:0:PV-003843058808;89:08900:0:PV-003843058955;89:08900:0:PV-002598480132;
O=S1(=O)CCCCC1,3616,89:08900:0:PV-001975552796;89:08900:0:PV-003843072790;89:08900:0:PV-002391489818;
c1cnsc1,68372,89:08900:0:PV-003843058870;89:08900:0:PV-001544621807;89:08900:0:PV-003843058899;
C1CC2CNCC1N2,12557,89:08900:0:PV-003843058870;89:08900:0:PV-003018484853;89:08900:0:PV-003843065509;
c1ccc2ocnc2c1,2099,89:08900:0:PV-003018483575;89:08900:0:PV-003018494979;89:08900:1:PV-003018504779;
CC1CCNC1,122901,89:08900:0:PV-003843058884;89:08900:0:PV-003843059377;89:08900:0:PV-001715976723;
O=S1(=O)CCC1,13143,89:08900:0:PV-003843058884;89:08900:0:PV-004125607852;89:08900:0:PV-003843070190;
Cn1cc2c(n1)CCOC2,140,89:08900:0:PV-003843058891;89:08900:4:PV-006520673926;89:08901:8:PV-003018729781;
CC12CNCC1CS(=O)(=O)C2,218,89:08900:0:PV-003843058891;89:08900:6:PV-003843267879;89:08901:6:PV-006521937738;
O=c1[nH]c2ccccc2o1,2623,89:08900:0:PV-003018483590;89:08900:0:PV-003843063473;89:08900:0:PV-001455605004;
c1cn[nH]n1,8703,89:08900:0:PV-003018483590;89:08900:0:PV-003843061453;89:08900:0:PV-002236232629;
c1cn[nH]c1,169714,89:08900:0:PV-001629984829;89:08900:0:PV-001411759170;89:08900:0:PV-001621284226;
C1NC2CNC1C2,12588,89:08900:0:PV-003843058945;89:08900:0:PV-003843058946;89:08900:0:PV-003018485008;
CC1(C)CCC1O,661,89:08900:0:PV-003843058955;89:08900:0:PV-003843085525;89:08900:1:PV-003018509648;
CC1(C)CCCNC1,10035,89:08900:0:PV-003843058968;89:08900:0:PV-003018486631;89:08900:0:PV-003018488988;
Nc1ncccn1,2158,89:08900:0:PV-003843058981;89:08900:0:PV-003843058982;89:08900:0:PV-003018488601;
CC1CC1C,22420,89:08900:0:PV-003843058981;89:08900:0:PV-003843058982;89:08900:0:PV-003843062758;
c1cnc2ncccc2c1,999,89:08900:0:PV-003018483612;89:08900:1:PV-003843098419;89:08900:3:PV-003843165484;
O=C1CCc2ccccc21,1329,89:08900:0:PV-003018483612;89:08900:0:PV-003843072838;89:08900:0:PV-006520246872;
c1cc[nH]c1,67504,89:08900:0:PV-003018483631;89:08900:0:PV-003018484042;89:08900:0:PV-003843062983;
Cc1ccc(F)cn1,1005,89:08900:0:PV-003843059066;89:08900:0:PV-006520300919;89:08900:0:PV-006520300920;
Fc1cc[nH]c1,6969,89:08900:0:PV-001997415672;89:08900:0:PV-003843062945;89:08900:0:PV-003843077444;
C1CCOC1,144925,89:08900:0:PV-001997415672;89:08900:0:PV-003843059174;89:08900:0:PV-003843059175;
C1NC2CC1C2,27997,89:08900:0:PV-003843059127;89:08900:0:PV-003843059784;89:08900:0:PV-003843059785;
Fc1cc[nH]n1,6639,89:08900:0:PV-003843059174;89:08900:0:PV-003843059175;89:08900:0:PV-003843088060;
Cc1ccccc1,77524,89:08900:0:PV-003018483667;89:08900:0:PV-003018483728;89:08900:0:PV-003843059486;
CC1=NOCC1,6334,89:08900:0:PV-004125605901;89:08900:0:PV-003843071560;89:08900:0:PV-003843082295;
Clc1cccs1,35450,89:08900:0:PV-004125605901;89:08900:0:PV-003843059714;89:08900:0:PV-003843061598;
O=C1NC=CCN1,41,89:08900:0:PV-003843059204;89:08902:4:PV-003018817647;89:08903:5:PV-003844268584;
