fragment_smiles,occurences,example_ligands
CN1CCCS1(=O)=O,820,74:07400:2:PV-003329548547;74:07400:3:PV-000491604250;74:07400:8:PV-004995609829;
c1ncn2c1CCC2,188,74:07400:2:PV-002360757350;74:07401:0:PV-003329799539;74:07401:1:PV-004996002498;
Fc1cc(F)cc(F)c1,926,74:07400:2:PV-002819439465;74:07400:7:PV-002257265486;74:07400:7:PV-002819504764;
O=c1ccoc2cc(Cl)ccc12,41,74:07400:2:PV-002819439516;74:07400:4:PV-002819462983;74:07402:4:PV-002516045355;
Fc1cccc2ccccc12,774,74:07400:2:PV-003329548884;74:07400:4:PV-003329582066;74:07400:7:PV-002819502281;
O=C1NCC2NCCCC12,412,74:07400:2:PV-003329549340;74:07400:5:PV-004995361039;74:07400:5:PV-003329633069;
Fc1ccc2[nH]cnc2c1,878,74:07400:2:PV-003329549340;74:07400:4:PV-003329601393;74:07400:5:PV-002102015311;
Cc1cc(F)cc(Cl)c1,95,74:07400:2:PV-002567751356;74:07400:9:PV-002205517041;74:07401:4:PV-002205526821;
Nc1ccns1,150,74:07400:2:PV-002819439844;74:07400:3:PV-002819447043;74:07400:8:PV-003329737580;
CC1CC2CCC1O2,579,74:07400:2:PV-003329549763;74:07400:2:PV-003329549764;74:07400:4:PV-003329585729;
C1C2CC3CC1CN(C2)C3,2,74:07400:2:PV-002819440018;74:07462:3:PV-003350816397;
O=C1CCSc2ccccc21,88,74:07400:2:PV-002819440077;74:07400:6:PV-002819484503;74:07404:6:PV-002820020833;
Fc1cccnn1,69,74:07400:2:PV-002102009633;74:07401:4:PV-002819591069;74:07401:9:PV-002102044225;
CC1(C)OC2CCCC2O1,156,74:07400:2:PV-002360757474;74:07400:8:PV-003329737226;74:07400:8:PV-003329737228;
Cn1ccc2ccccc2c1=O,218,74:07400:2:PV-002102009662;74:07400:9:PV-003329766250;74:07401:0:PV-002819534182;
C1CCC2(CCC2)CNC1,109,74:07400:2:PV-002819440341;74:07400:3:PV-002153759292;74:07400:7:PV-002819496244;
c1cnc2c(c1)CNC2,352,74:07400:2:PV-003329551242;74:07400:5:PV-002819467386;74:07400:6:PV-002516008812;
C1NCC2CNCC1C2,801,74:07400:2:PV-003329551304;74:07400:4:PV-003329594499;74:07400:5:PV-003329630948;
Cc1ccncc1N,1805,74:07400:2:PV-003329551347;74:07400:4:PV-004995314944;74:07400:6:PV-004995566125;
Cc1ccc2ccccc2c1,399,74:07400:2:PV-002819440596;74:07400:3:PV-004995163193;74:07400:4:PV-002819455821;
CC1(C)OCc2cn[nH]c21,192,74:07400:2:PV-002819440598;74:07401:2:PV-002819570911;74:07401:3:PV-003329928483;
CC1CNCC2(CCNC2)O1,149,74:07400:2:PV-002819440650;74:07400:6:PV-000274817866;74:07400:7:PV-000274737498;
Cc1cccc(N)n1,648,74:07400:2:PV-003329551953;74:07400:3:PV-003329561782;74:07400:4:PV-003329609402;
Clc1cccc2c1OCCO2,425,74:07400:2:PV-003329552383;74:07400:4:PV-002360761247;74:07400:4:PV-002412511429;
Cc1c(Cl)ccc2c1CNCC2,118,74:07400:2:PV-003329552632;74:07401:4:PV-002819597062;74:07403:2:PV-002819828226;
C1CC2COCC(C1)N2,41,74:07400:2:PV-003329553020;74:07405:1:PV-003331200086;74:07407:2:PV-005002214257;
Fc1ccc(F)c2ncccc12,93,74:07400:2:PV-003329553147;74:07401:0:PV-003329805111;74:07401:3:PV-003329893555;
Cc1cc(N)no1,47,74:07400:2:PV-002464252609;74:07407:7:PV-002464406641;74:07409:2:PV-003332608846;
Fc1cccc2c1CCN2,204,74:07400:2:PV-001941963936;74:07400:5:PV-002360761752;74:07400:6:PV-003329662499;
CC1NCCN(C)C1=O,89,74:07400:2:PV-002819441458;74:07400:8:PV-002516013624;74:07400:9:PV-004995762461;
CC1CCNc2ccccc2S1,28,74:07400:2:PV-003329553830;74:07401:1:PV-002819554355;74:07406:7:PV-002820290870;
O=S1(=O)CCCC12CNC2,297,74:07400:2:PV-003329553866;74:07400:6:PV-002819488317;74:07400:7:PV-003329683553;
FC1(F)CNC1,162,74:07400:2:PV-002412507777;74:07400:4:PV-002819463245;74:07401:7:PV-002360786680;
Clc1cnn2cccnc12,261,74:07400:2:PV-003329553934;74:07402:0:PV-003330152468;74:07402:2:PV-002819699359;
Clc1cccc2ccoc12,431,74:07400:2:PV-003329553943;74:07400:3:PV-003329573673;74:07400:4:PV-002205507365;
Oc1cc(F)c2c(c1)CCNC2,97,74:07400:3:PV-003329554151;74:07400:8:PV-004995667890;74:07400:9:PV-003329769464;
CC1CN(C)C1,26,74:07400:3:PV-003329554614;74:07405:7:PV-005000660734;74:07411:0:PV-002820865349;
C1CCC2OCCC2C1,768,74:07400:3:PV-003329555108;74:07400:7:PV-002153767101;74:07400:7:PV-003329708334;
CC1(C)Cc2cccc(O)c2O1,46,74:07400:3:PV-002153758256;74:07402:4:PV-002257299375;74:07408:0:PV-005002940649;
O=C1CCCc2occc21,81,74:07400:3:PV-003329555429;74:07400:3:PV-003329555430;74:07402:6:PV-002819747871;
CC1CC2CNCCN2C1,84,74:07400:3:PV-003329555499;74:07401:1:PV-002819556060;74:07401:4:PV-002819590101;
Clc1cccc2c1OCCC2,52,74:07400:3:PV-002360757774;74:07401:3:PV-003329900270;74:07405:3:PV-002820117344;
Nc1ccnc(Cl)n1,599,74:07400:3:PV-003329555788;74:07400:4:PV-003329582355;74:07400:8:PV-003329727232;
CC1(C)CC(=O)NO1,167,74:07400:3:PV-003329556068;74:07400:3:PV-003329556069;74:07400:3:PV-003329556070;
c1ncc2cn[nH]c2n1,270,74:07400:3:PV-002819442402;74:07400:4:PV-002819456224;74:07400:7:PV-003329700398;
CC1(O)CCNCC1,39,74:07400:3:PV-003329556272;74:07400:4:PV-002819457072;74:07403:2:PV-002819829314;
Cc1oc2cc[nH]c2c1C,185,74:07400:3:PV-002819442453;74:07403:0:PV-002819799315;74:07403:0:PV-002819799316;
CC1CNCC(C)O1,871,74:07400:3:PV-002819442511;74:07400:3:PV-002819447947;74:07400:3:PV-002205505211;
Cc1nnc2n1CCCC2,961,74:07400:3:PV-002819442566;74:07400:3:PV-004995189290;74:07400:3:PV-004995193403;
OC1CCC(O)CC1,81,74:07400:3:PV-002153758345;74:07402:4:PV-002516046634;74:07403:6:PV-002360826628;
O=c1[nH][nH]c2ccccc12,317,74:07400:3:PV-003329556751;74:07400:3:PV-003329556752;74:07400:8:PV-004995709321;
CC1CCCCS1(=O)=O,422,74:07400:3:PV-003329556912;74:07400:5:PV-003329632211;74:07400:6:PV-004995483503;
O=c1nccc[nH]1,971,74:07400:3:PV-003329556974;74:07400:3:PV-003329556975;74:07400:5:PV-003329647682;
Fc1ccc2c(c1)CCCC2,356,74:07400:3:PV-002102010066;74:07400:4:PV-003329585050;74:07401:3:PV-002516022272;
C1CC2COCC2CO1,239,74:07400:3:PV-003329557353;74:07400:7:PV-003329702749;74:07401:3:PV-003329908565;
Cc1ccc2c(n1)OCCN2,44,74:07400:3:PV-003329557487;74:07405:0:PV-003331167318;74:07405:1:PV-003331213665;
Cc1cc(F)cc2[nH]ccc12,95,74:07400:3:PV-002819442959;74:07400:4:PV-002819456211;74:07402:1:PV-002819680248;
Cc1ccc2cccc(F)c2n1,147,74:07400:3:PV-002257256318;74:07400:7:PV-003329721512;74:07401:0:PV-003329796640;
CC1(C)CCCc2ccccc21,169,74:07400:3:PV-002309005358;74:07400:6:PV-002819486969;74:07401:4:PV-003329933021;
Cc1cc(C)c(F)cn1,32,74:07400:3:PV-002819442970;74:07401:8:PV-002819642118;74:07403:3:PV-002819843671;
C1CCCCCNCCCC1,133,74:07400:3:PV-002819443005;74:07401:2:PV-002819560289;74:07401:3:PV-002819575581;
CN1CCNCC1(C)C,205,74:07400:3:PV-002257256323;74:07400:3:PV-003329564424;74:07400:7:PV-003329710909;
C1CN2CCN1CC2,129,74:07400:3:PV-003329557641;74:07401:1:PV-003329837277;74:07401:2:PV-003329886512;
CC1CCC(C)(C)C1,122,74:07400:3:PV-002819443063;74:07400:4:PV-002819459659;74:07404:7:PV-002820031122;
O=C1CCCc2[nH]ccc21,114,74:07400:3:PV-003329558860;74:07401:4:PV-002819593780;74:07402:3:PV-002819707797;
CC1COC(C)(C)CN1,76,74:07400:3:PV-002257256395;74:07401:4:PV-004996269200;74:07401:5:PV-004996462836;
OC1CCNc2ncccc21,27,74:07400:3:PV-002819443533;74:07401:5:PV-004996439851;74:07403:4:PV-002819862104;
C1NC2CC3CC1C2C3,378,74:07400:3:PV-002819443613;74:07400:6:PV-002819487684;74:07400:7:PV-003329707219;
C1=NOC2CNCC12,368,74:07400:3:PV-003329559750;74:07400:3:PV-004995205135;74:07401:5:PV-003329987203;
Cc1cc(C)c(F)c(C)c1,122,74:07400:3:PV-003329560003;74:07401:4:PV-003329931752;74:07402:8:PV-003330426427;
CN1C=NCC12CCOC2,79,74:07400:3:PV-002819443968;74:07402:3:PV-002819717724;74:07403:9:PV-002819922894;
C1CNCC2(C1)OCC1CC12,166,74:07400:3:PV-003329560356;74:07400:3:PV-003329560403;74:07400:4:PV-003329616549;
Cc1cnc2c(c1)NCC2,95,74:07400:3:PV-002102010234;74:07400:5:PV-003329640352;74:07401:4:PV-002464277079;
c1ncc2c(n1)CCCCC2,143,74:07400:3:PV-002360758052;74:07400:7:PV-004995570648;74:07400:9:PV-003329771385;
CC1(C)CCCCN1,590,74:07400:3:PV-002102010256;74:07400:6:PV-002819485460;74:07400:8:PV-004995634737;
CC1CCc2ncsc2C1,220,74:07400:3:PV-002819444231;74:07400:4:PV-002516003464;74:07400:5:PV-002516006335;
c1cnc2c(c1)NCCC2,289,74:07400:3:PV-003329560758;74:07400:5:PV-003329651601;74:07400:7:PV-002819505709;
C1CC2CNCC2CCN1,971,74:07400:3:PV-002819444477;74:07400:3:PV-003329561417;74:07400:3:PV-003329564811;
Cc1ccc2c(c1)CNCC2,191,74:07400:3:PV-002819444503;74:07401:1:PV-002516019858;74:07401:4:PV-002102034147;
CC1(C)CNCCS1,330,74:07400:3:PV-003329561614;74:07400:6:PV-002819480367;74:07400:8:PV-004995654767;
Cn1c(=O)oc2ccc(F)cc21,96,74:07400:3:PV-002412508251;74:07401:4:PV-002567774953;74:07402:4:PV-002412552160;
CC1CCNCC1C,255,74:07400:3:PV-003329561803;74:07401:5:PV-002819607649;74:07401:9:PV-002464285513;
Cc1ncc2ccccn12,460,74:07400:3:PV-003329561872;74:07400:4:PV-002819458881;74:07400:4:PV-002819461452;
Clc1ccc2c(c1Cl)OCCC2,41,74:07400:3:PV-003329561883;74:07405:0:PV-002360854093;74:07406:6:PV-002464383136;
O=C1CCc2cnccc2N1,63,74:07400:3:PV-002360758158;74:07402:3:PV-002819708608;74:07404:8:PV-002412600590;
Cc1cn(C)nn1,75,74:07400:3:PV-002464253146;74:07400:4:PV-003329599878;74:07401:0:PV-002309021238;
Nc1ccnc2ccccc12,114,74:07400:3:PV-002819444808;74:07403:1:PV-004997970805;74:07404:4:PV-002819987271;
Clc1ccc2c(c1)CCCN2,120,74:07400:3:PV-002819444832;74:07400:7:PV-004995587805;74:07401:3:PV-003329905378;
O=C1COC2(CCNCC2)N1,71,74:07400:3:PV-003329562329;74:07405:5:PV-003331363744;74:07407:1:PV-005002103510;
O=C1CCOCCN1,105,74:07400:3:PV-003329562329;74:07401:6:PV-002819625891;74:07401:9:PV-002819666304;
c1cnc2c[nH]nc2c1,93,74:07400:3:PV-003329562596;74:07401:7:PV-003330047176;74:07403:3:PV-003330613405;
Fc1ccc2c(c1F)CCNC2,81,74:07400:3:PV-003329562696;74:07400:8:PV-004995644262;74:07404:8:PV-003331103964;
Clc1cnc2ncoc2c1,5,74:07400:3:PV-002153758725;74:07406:6:PV-002516132600;74:07427:8:PV-002154321157;
Cc1nnc[nH]1,734,74:07400:3:PV-003329562769;74:07400:4:PV-003329608634;74:07400:9:PV-004995840669;
O=c1ccoc2ccccc12,360,74:07400:3:PV-002153758740;74:07400:5:PV-002153763003;74:07400:7:PV-002819503157;
Cc1n[nH]c(C)c1Cl,253,74:07400:3:PV-002819445093;74:07400:4:PV-002412510834;74:07400:7:PV-003329716158;
Cc1n[nH]c2c1CNCC2,68,74:07400:3:PV-003329563092;74:07402:6:PV-002819756589;74:07406:0:PV-005000975505;
c1ccc2c(c1)CCSC2,164,74:07400:3:PV-002819445175;74:07401:6:PV-003329994606;74:07401:6:PV-002567780394;
C1CCC2CCC2CC1,590,74:07400:3:PV-003329563255;74:07400:3:PV-004995207355;74:07401:2:PV-004996166471;
CC1CNC(C)(C)CN1,101,74:07400:3:PV-002819445214;74:07401:0:PV-003329799358;74:07401:2:PV-003329884518;
CN1CCCN(C)CC1,290,74:07400:3:PV-002360758241;74:07400:6:PV-002819484874;74:07400:9:PV-002819524134;
CC1CNCC(C)S1,43,74:07400:3:PV-002819445318;74:07406:6:PV-002820282185;74:07407:6:PV-003332063314;
CC1CNc2cccnc2N1,39,74:07400:3:PV-003329563733;74:07404:7:PV-003331060031;74:07409:4:PV-003332693305;
Cc1cccc(C)c1F,713,74:07400:3:PV-003329563743;74:07400:7:PV-003329686771;74:07400:8:PV-001775642067;
O=S1(=O)CCCc2ccccc21,172,74:07400:3:PV-002819445474;74:07401:3:PV-003329898591;74:07401:4:PV-004996250564;
C1=NCC2(CCOCC2)N1,86,74:07400:3:PV-002819445534;74:07400:6:PV-004995475413;74:07401:7:PV-002819632327;
c1ccc2c(c1)CCCNC2,394,74:07400:3:PV-002819445541;74:07400:3:PV-003329567661;74:07400:8:PV-003329729428;
CC12CCC1(C)CNC2,123,74:07400:3:PV-002819445595;74:07401:2:PV-003329861615;74:07401:8:PV-002819644098;
CN1CCC2NCCCC21,373,74:07400:3:PV-003329564480;74:07400:4:PV-003329585800;74:07400:5:PV-003329619679;
Cc1cc(C)c(C)c(C)c1,9,74:07400:3:PV-002819445754;74:07400:3:PV-002819445755;74:07413:4:PV-002821183392;
Cc1ccc2c(c1)OCO2,114,74:07400:3:PV-002819445768;74:07400:5:PV-004995400654;74:07401:5:PV-002819605776;
CC1(C)CCC2(CCCO2)CC1,101,74:07400:3:PV-002819445983;74:07400:5:PV-002567756575;74:07401:1:PV-002516019573;
Cc1cccc2[nH]ncc12,372,74:07400:3:PV-003329565282;74:07400:3:PV-004995149220;74:07400:3:PV-002819451774;
NC1CCc2nccn2C1,33,74:07400:3:PV-003329565282;74:07401:2:PV-003329859579;74:07401:3:PV-002819586706;
Cn1ccc2occc21,226,74:07400:3:PV-003329565515;74:07400:8:PV-003329734968;74:07401:9:PV-003330125560;
c1cc2c(s1)COCC2,104,74:07400:3:PV-003329565561;74:07400:3:PV-004995255176;74:07400:3:PV-004995255177;
CC1CCCCNC1,95,74:07400:3:PV-004995098256;74:07401:2:PV-002819561348;74:07401:5:PV-003329981555;
FC1CNCC1F,132,74:07400:3:PV-004995099704;74:07402:4:PV-002464296101;74:07405:9:PV-002638358044;
OC1CCC12CCNC2,24,74:07400:3:PV-004995101650;74:07400:6:PV-004995418016;74:07403:3:PV-003330596062;
Oc1cc(Cl)cc(Cl)c1,303,74:07400:3:PV-004995103016;74:07400:9:PV-003986322872;74:07402:0:PV-004996887167;
c1ccc2ncncc2c1,1413,74:07400:3:PV-004995107938;74:07400:4:PV-003329611132;74:07400:5:PV-004995398463;
c1ccc2c(c1)oc1ccccc12,285,74:07400:3:PV-004995108402;74:07400:3:PV-004995243854;74:07400:6:PV-004995519682;
Cc1cc(C)n2[nH]c(=O)cc2n1,34,74:07400:3:PV-004995110287;74:07400:3:PV-004995110288;74:07400:3:PV-004995110289;
NC1CCCC2(CCC2)C1,41,74:07400:3:PV-004995110534;74:07401:2:PV-003329871385;74:07402:4:PV-003330294808;
Cc1cc(F)cc(F)c1,716,74:07400:3:PV-004995113536;74:07400:4:PV-002819459700;74:07400:5:PV-003329636043;
Cc1cc(C)cc(O)c1,552,74:07400:3:PV-004995113536;74:07401:8:PV-003330070019;74:07401:9:PV-003330131621;
Fc1cccc2c1NCC2,140,74:07400:3:PV-004995114606;74:07402:1:PV-004996979081;74:07402:8:PV-003330433018;
Nc1nc2ccccn2n1,178,74:07400:3:PV-004995118117;74:07402:9:PV-004997832530;74:07403:4:PV-002819862502;
OC1CCc2ccccc21,915,74:07400:3:PV-004995121608;74:07400:3:PV-004995153815;74:07400:3:PV-004995252837;
CC1COC(C)CN1,127,74:07400:3:PV-004995123520;74:07401:5:PV-004996506545;74:07402:8:PV-004997745595;
Cn1ncc2ccc(F)cc21,203,74:07400:3:PV-004995126662;74:07400:9:PV-004995821015;74:07401:2:PV-004996057072;
Oc1ccc2c(c1)CNCC2,59,74:07400:3:PV-004995127721;74:07400:9:PV-002309019101;74:07402:2:PV-002360796334;
c1[nH]nc2c1CCCC2,494,74:07400:3:PV-004995128953;74:07400:9:PV-003329780705;74:07401:5:PV-004996443446;
CN1CCCC2NCCC21,33,74:07400:3:PV-004995129127;74:07408:4:PV-005003494709;74:07408:6:PV-005003712194;
O=C1NCC2CC1C2,95,74:07400:3:PV-004995131620;74:07401:6:PV-003330027006;74:07401:6:PV-003330027007;
Cc1ccc2[nH]ccc(=O)c2c1,38,74:07400:3:PV-004995132641;74:07402:1:PV-004996992191;74:07402:8:PV-004997729016;
c1ccc2c(c1)CNCCN2,119,74:07400:3:PV-004995133059;74:07401:2:PV-004996127583;74:07402:0:PV-004996941989;
Fc1ccc2c(c1)CCN2,128,74:07400:3:PV-004995133263;74:07400:4:PV-003329602556;74:07400:6:PV-003329676317;
O=C1CC2CNCC2N1,132,74:07400:3:PV-004995133754;74:07401:5:PV-004996451527;74:07402:4:PV-004997294721;
Cn1cc2c(n1)CCC2,412,74:07400:3:PV-004995137711;74:07400:4:PV-002819458611;74:07400:5:PV-004995350420;
c1nnn2c1COCC2,182,74:07400:3:PV-004995139184;74:07400:5:PV-004995358336;74:07400:6:PV-004995555606;
Cc1csc(Cl)n1,81,74:07400:3:PV-004995144256;74:07400:6:PV-004995439519;74:07402:4:PV-002412552160;
Clc1ccn2nccc2c1,173,74:07400:3:PV-004995145253;74:07401:4:PV-004996332525;74:07401:7:PV-003330059033;
Cn1ccc2c1CCNC2,115,74:07400:3:PV-004995145363;74:07400:8:PV-004995684397;74:07401:5:PV-004996467670;
CC1Cc2cccc(Cl)c21,78,74:07400:3:PV-004995145403;74:07400:6:PV-004995543065;74:07401:2:PV-004996129561;
CC1COC2CCCCC12,150,74:07400:3:PV-004995149220;74:07400:4:PV-003329583950;74:07400:6:PV-004995551326;
CC1CNCC(C)S1(=O)=O,27,74:07400:3:PV-004995150610;74:07411:5:PV-002412738482;74:07411:8:PV-005006881363;
Nc1ncccc1Cl,618,74:07400:3:PV-004995150625;74:07400:7:PV-003329684040;74:07400:7:PV-002819498212;
Oc1cccc2ccccc12,491,74:07400:3:PV-004995153282;74:07400:7:PV-002819502223;74:07400:8:PV-002819517980;
NC1CCNC12CCC2,209,74:07400:3:PV-004995154665;74:07400:9:PV-004995850973;74:07401:1:PV-004995904292;
OC1CC2(CCNCC2)C1,82,74:07400:3:PV-004995159360;74:07403:0:PV-003330479431;74:07404:1:PV-003330871413;
O=C1COC2CCNCC2N1,343,74:07400:3:PV-004995160180;74:07400:8:PV-003329737932;74:07400:8:PV-003329752520;
Cc1ccc2c(c1)COCC2,79,74:07400:3:PV-004995160690;74:07401:4:PV-004996203214;74:07402:6:PV-004997471327;
OC1CCCC12CCOCC2,32,74:07400:3:PV-004995164694;74:07400:9:PV-004995819159;74:07404:9:PV-003331150445;
c1cc2cscc2s1,609,74:07400:3:PV-004995169851;74:07400:3:PV-004995169852;74:07400:7:PV-003329700060;
C1CCC2(CC1)CNCCN2,72,74:07400:3:PV-004995178911;74:07401:6:PV-002819616707;74:07404:6:PV-004999551559;
C1CC2COCC1C2,108,74:07400:3:PV-004995180776;74:07401:4:PV-004996285583;74:07401:5:PV-004996360829;
CN1CCC2NCCCC2C1,24,74:07400:3:PV-004995181042;74:07402:8:PV-002819784002;74:07409:4:PV-002516189764;
FC1(F)C2COCC21,640,74:07400:3:PV-004995181175;74:07400:8:PV-004995601845;74:07400:8:PV-004995601846;
CC1CC2(CCNC2)CO1,804,74:07400:3:PV-004995185517;74:07400:3:PV-004995185518;74:07400:5:PV-004995392311;
Clc1noc2ccccc12,88,74:07400:3:PV-004995185517;74:07400:3:PV-004995185518;74:07400:9:PV-003329783657;
c1ncn2c1CCCCC2,413,74:07400:3:PV-004995188792;74:07400:3:PV-004995207483;74:07400:4:PV-004995263373;
c1ncc2c(n1)NCCN2,37,74:07400:3:PV-004995189283;74:07402:9:PV-003330447586;74:07409:3:PV-003332649481;
Fc1cnc2ccccc2c1,39,74:07400:3:PV-004995189290;74:07400:7:PV-004995574220;74:07404:1:PV-003330882334;
O=c1ccc2c([nH]1)CCC2,112,74:07400:3:PV-004995190961;74:07402:7:PV-004997642615;74:07404:2:PV-003330914383;
O=C1COC2(CCNC2)C1,16,74:07400:3:PV-004995192692;74:07414:5:PV-003334429538;74:07422:9:PV-003337293062;
C1CC2CC(C1)N2,18,74:07400:3:PV-004995193397;74:07408:4:PV-005003405372;74:07417:6:PV-005012709713;
FC1(F)C2CCCC1CC2,157,74:07400:3:PV-004995194450;74:07401:0:PV-003329811288;74:07401:1:PV-004995989929;
FC1(F)C2CCCCCC21,107,74:07400:3:PV-004995196573;74:07401:1:PV-003329849799;74:07401:5:PV-003986377223;
C1CC2CCC1C21CC1,299,74:07400:3:PV-004995200795;74:07400:8:PV-003329727414;74:07401:1:PV-003329828262;
C1COCCC2(COC2)N1,6,74:07400:3:PV-004995201261;74:07424:5:PV-002822655362;74:07431:3:PV-005026680028;
Cn1cnc2cnc(N)nc21,16,74:07400:3:PV-004995202463;74:07404:9:PV-003331138598;74:07425:1:PV-005020399052;
c1ccc2c(c1)C1CCC2O1,127,74:07400:3:PV-004995202554;74:07401:8:PV-004996713320;74:07402:1:PV-004997109726;
Cc1cc(C)nc(N)n1,178,74:07400:3:PV-004995202875;74:07400:3:PV-004995202876;74:07400:3:PV-003329576980;
CC1CNCCC(O)C1,28,74:07400:3:PV-004995202985;74:07401:4:PV-004996211679;74:07409:6:PV-002820690160;
O=c1[nH]ncc2ccccc12,892,74:07400:3:PV-004995203557;74:07400:4:PV-004995320577;74:07400:5:PV-003329625086;
FC1(F)C2CC1C2,122,74:07400:3:PV-004995207523;74:07402:8:PV-003330422769;74:07405:7:PV-005000721016;
CC1(C)CNCc2ccc(F)cc21,87,74:07400:3:PV-004995211797;74:07402:2:PV-002819696817;74:07403:3:PV-002819852960;
c1nc2c(s1)CNC2,56,74:07400:3:PV-004995212648;74:07400:9:PV-004995830809;74:07407:3:PV-003331984473;
O=S1(=O)CCCN1,1736,74:07400:3:PV-004995213113;74:07400:3:PV-003329579713;74:07400:5:PV-004995391847;
CC1C=NOC1C,49,74:07400:3:PV-004995213622;74:07402:6:PV-003330349004;74:07404:5:PV-003330995346;
Cn1cnc2c1CCNC2,151,74:07400:3:PV-004995213835;74:07400:5:PV-004995362831;74:07401:1:PV-004995963277;
OC12CNCC1C2,161,74:07400:3:PV-004995214176;74:07401:8:PV-004996780730;74:07401:8:PV-004996795288;
Cc1cc2cccc(C)c2[nH]1,112,74:07400:3:PV-004995217201;74:07402:4:PV-004997361662;74:07404:3:PV-004999294387;
Oc1cnnc2ccccc12,12,74:07400:3:PV-004995217794;74:07406:2:PV-002820232316;74:07438:4:PV-002824510127;
O=c1cnnc2n1CCC2,120,74:07400:3:PV-004995219227;74:07403:0:PV-004997928851;74:07404:9:PV-004999867088;
O=S1(=O)CCCNCC1,104,74:07400:3:PV-004995219418;74:07402:2:PV-002153797446;74:07402:5:PV-003330336185;
Cn1cc(F)cn1,440,74:07400:3:PV-004995222794;74:07400:6:PV-004995437166;74:07400:8:PV-004995601324;
NC1CCC(F)(F)C1,60,74:07400:3:PV-004995225906;74:07400:4:PV-004995256044;74:07402:8:PV-003330437215;
CC1COC(C)(C)CO1,395,74:07400:3:PV-004995228282;74:07400:7:PV-004995570699;74:07401:4:PV-004996226479;
Cc1nc2cccnc2[nH]1,414,74:07400:3:PV-004995230515;74:07400:5:PV-003329632828;74:07401:0:PV-003329795482;
Fc1cccc2c1CCNC2,216,74:07400:3:PV-004995231000;74:07400:8:PV-003329754598;74:07401:8:PV-003330070777;
CN1C(=O)CCc2ccccc21,248,74:07400:3:PV-004995232349;74:07400:8:PV-004995693385;74:07400:8:PV-003329751603;
O=C1NCc2ccccc2N1,273,74:07400:3:PV-004995233768;74:07400:4:PV-002819462839;74:07401:1:PV-002819550646;
Cc1ccc2ncsc2n1,115,74:07400:3:PV-004995236488;74:07400:7:PV-002309015098;74:07400:9:PV-002819520628;
O=C1C2CCCC1CC2,408,74:07400:3:PV-004995238245;74:07400:4:PV-004995293435;74:07400:9:PV-004995767414;
FC1(F)CC12CCCNC2,20,74:07400:3:PV-004995240271;74:07400:9:PV-004995863170;74:07406:1:PV-002205624246;
Cc1cc2cncnc2cc1C,43,74:07400:3:PV-004995244694;74:07400:7:PV-003329721955;74:07406:2:PV-003331584650;
CN1CCNCC12CCOC2,19,74:07400:3:PV-004995246176;74:07410:6:PV-005005631146;74:07420:0:PV-002822062238;
O=c1[nH][nH]c(=O)[nH]1,247,74:07400:3:PV-004995249263;74:07400:5:PV-002464257335;74:07400:8:PV-004995616134;
O=C1NCCCc2cc[nH]c21,112,74:07400:3:PV-004995253477;74:07400:8:PV-002819510609;74:07404:3:PV-002819980262;
O=S1(=O)CCCCCC1,298,74:07400:3:PV-004995254038;74:07400:7:PV-003329703623;74:07401:2:PV-003329866601;
CC1CCCC(C)(C)N1,20,74:07400:3:PV-002819446153;74:07403:0:PV-002819810799;74:07403:8:PV-002819909301;
Fc1ccc2c(c1)NCCN2,161,74:07400:3:PV-003329565725;74:07401:2:PV-003329860468;74:07402:5:PV-003330334378;
Clc1ccc2ccoc2c1,335,74:07400:3:PV-003329565770;74:07400:3:PV-002819447407;74:07400:4:PV-003329592668;
Fc1ccc2ncsc2c1,144,74:07400:3:PV-002819446225;74:07400:7:PV-002819500670;74:07401:2:PV-004996151170;
N=S1(=O)CCCCCC1,23,74:07400:3:PV-003986265371;74:07409:0:PV-003332564202;74:07416:7:PV-002821625129;
CC1(C)CCc2ccccc2O1,288,74:07400:3:PV-002819446350;74:07401:4:PV-002412531497;74:07401:4:PV-002819596141;
OC1CCCCCC1O,66,74:07400:3:PV-002360758419;74:07401:8:PV-004996671668;74:07404:1:PV-002257335384;
Fc1ccc2c(c1)OCCN2,128,74:07400:3:PV-003329566326;74:07402:0:PV-002819678430;74:07402:4:PV-003330270083;
c1ccc2cnncc2c1,349,74:07400:3:PV-003329566461;74:07400:4:PV-002819462388;74:07400:6:PV-002516009142;
Cc1ncccc1O,109,74:07400:3:PV-001931353685;74:07402:1:PV-004997078202;74:07402:3:PV-002819716074;
Cc1ccc(F)c2[nH]ccc12,103,74:07400:3:PV-001903125401;74:07400:6:PV-002819482941;74:07401:7:PV-002819630486;
N=S1(=O)CCc2ccccc21,83,74:07400:3:PV-002102010666;74:07401:4:PV-002567774683;74:07401:6:PV-002360785011;
c1cc2nc[nH]c2cn1,598,74:07400:3:PV-003329567428;74:07400:6:PV-003329653680;74:07400:8:PV-003329735662;
Oc1ccc(Cl)c(Cl)c1,291,74:07400:3:PV-002819447067;74:07401:4:PV-003329933832;74:07401:5:PV-003329983066;
NC1CC2(CCCCC2)C1,96,74:07400:3:PV-003329568008;74:07401:2:PV-002819564303;74:07403:7:PV-004998597565;
CC12CCOC1CC2,30,74:07400:3:PV-003329568055;74:07400:6:PV-004995509648;74:07400:7:PV-003329692111;
