fragment_smiles,occurences,example_ligands
c1cc2n(n1)CCCC2,2281,74:07400:0:PV-003329455251;74:07400:1:PV-002819418033;74:07400:2:PV-002412505358;
C1CC2CNC2CN1,6324,74:07400:0:PV-003329455254;74:07400:0:PV-004994867624;74:07400:0:PV-004994893673;
C1CC12CC2,3670,74:07400:0:PV-003329455267;74:07400:0:PV-004994824628;74:07400:0:PV-004994824629;
Cc1ccncc1C,2257,74:07400:0:PV-003329455267;74:07400:1:PV-002102006692;74:07400:2:PV-003329529547;
C1CC2CNCC(C2)N1,1238,74:07400:0:PV-003329455268;74:07400:0:PV-003329473148;74:07400:0:PV-003329482132;
Cc1ccccc1F,10806,74:07400:0:PV-003329455275;74:07400:0:PV-002153752504;74:07400:0:PV-003329456763;
Cc1nccs1,21424,74:07400:0:PV-003329455275;74:07400:0:PV-004994789546;74:07400:0:PV-004994789547;
Clc1nccs1,15013,74:07400:0:PV-003329455279;74:07400:0:PV-003329457556;74:07400:0:PV-003329457557;
C1CC2(C1)CCNC2,7406,74:07400:0:PV-003329455284;74:07400:0:PV-002819403846;74:07400:0:PV-003329460437;
Fc1cccc(Cl)c1,11769,74:07400:0:PV-002567745760;74:07400:0:PV-003329456736;74:07400:0:PV-004994858513;
c1nnc[nH]1,17837,74:07400:0:PV-003329455289;74:07400:0:PV-002360751874;74:07400:0:PV-001971934360;
Clc1csnc1Cl,2494,74:07400:0:PV-001678563165;74:07400:0:PV-004994886892;74:07400:0:PV-003329476052;
Cc1cccc(F)c1,10355,74:07400:0:PV-002819403606;74:07400:0:PV-002819403607;74:07400:0:PV-002515995840;
Cc1nc[nH]n1,10028,74:07400:0:PV-001976285612;74:07400:0:PV-003329455488;74:07400:0:PV-003329455489;
c1ncc2c(n1)CCCC2,424,74:07400:0:PV-001976285612;74:07400:2:PV-002819435625;74:07400:3:PV-003329566164;
Clc1cscn1,14195,74:07400:0:PV-001505642183;74:07400:0:PV-004994808108;74:07400:0:PV-004994808109;
C1COC2(C1)CNC2,3318,74:07400:0:PV-003329455454;74:07400:0:PV-000581807872;74:07400:0:PV-002819408584;
C1=CSCS1,7343,74:07400:0:PV-003329455454;74:07400:0:PV-004994829956;74:07400:1:PV-003329487179;
FC1(F)CC12CCCCC2,344,74:07400:0:PV-003329455488;74:07400:0:PV-003329455489;74:07401:3:PV-002819580468;
CC1(C)CCCC(O)C1,401,74:07400:0:PV-003329455544;74:07400:0:PV-002819403685;74:07400:1:PV-002257253002;
C1CNC2(C1)CCC2,6814,74:07400:0:PV-003329455552;74:07400:0:PV-002819409865;74:07400:0:PV-003329475862;
Fc1cncc(Cl)c1,1389,74:07400:0:PV-003329455552;74:07400:0:PV-002819406425;74:07400:0:PV-003329464877;
Cc1ncc(=O)[nH]c1C,336,74:07400:0:PV-002308999306;74:07400:1:PV-004995029686;74:07400:3:PV-003329566059;
CS(C)(=N)=O,5966,74:07400:0:PV-002308999306;74:07400:0:PV-003329459891;74:07400:0:PV-003329464062;
Cc1cccc2c1CCCO2,132,74:07400:0:PV-002515995840;74:07400:2:PV-002567750059;74:07401:1:PV-003986342520;
Cc1ccc(F)cc1,5276,74:07400:0:PV-002102003996;74:07400:0:PV-002153752707;74:07400:0:PV-002819408829;
C1NC2CC1C2,28231,74:07400:0:PV-003329455651;74:07400:0:PV-004994814172;74:07400:0:PV-004994829255;
CN1CCc2ccccc21,736,74:07400:0:PV-002205498380;74:07400:0:PV-003329466511;74:07400:3:PV-002819448418;
C1CC2CNCC1C2,6325,74:07400:0:PV-003329455751;74:07400:0:PV-003329456030;74:07400:0:PV-003329457728;
c1ccc2c(c1)CCN2,6038,74:07400:0:PV-002819403752;74:07400:0:PV-002257250344;74:07400:0:PV-004994790423;
Nc1ccncc1,4275,74:07400:0:PV-002819403752;74:07400:0:PV-004994927959;74:07400:0:PV-002819411227;
O=C1NCCN1,10838,74:07400:0:PV-003329455818;74:07400:0:PV-003329455819;74:07400:0:PV-004994851270;
c1cnc2c(c1)CNCC2,212,74:07400:0:PV-002205498389;74:07400:0:PV-003329468696;74:07400:3:PV-003329572108;
CC1CCCC(C)(C)C1,1130,74:07400:0:PV-002819403785;74:07400:4:PV-003329597174;74:07400:5:PV-003329644737;
Cc1cnc2ccnn2c1,656,74:07400:0:PV-002819403789;74:07400:1:PV-004994987739;74:07400:5:PV-000557601006;
Fc1cc[nH]n1,6705,74:07400:0:PV-003329455868;74:07400:0:PV-003329455869;74:07400:0:PV-003329455870;
CC1CCCS1,5206,74:07400:0:PV-003329455878;74:07400:0:PV-004994876411;74:07400:0:PV-004994876412;
CC1(C)C2CCC1CC2,1450,74:07400:0:PV-002819403801;74:07400:1:PV-003329487729;74:07400:2:PV-002819427804;
Fc1cc[nH]c1,6835,74:07400:0:PV-003329455913;74:07400:0:PV-004994803546;74:07400:0:PV-004994803547;
c1cc2c(o1)COC2,896,74:07400:0:PV-003329455952;74:07400:0:PV-003329463425;74:07400:1:PV-003329503736;
c1cnc2sccc2c1,1111,74:07400:0:PV-003329455960;74:07400:1:PV-003329490765;74:07400:2:PV-002819430396;
C1COC2(C1)CCNC2,474,74:07400:0:PV-002819403830;74:07400:0:PV-002819403831;74:07400:0:PV-002819403832;
CC1CC(F)C1,4159,74:07400:0:PV-002819403839;74:07400:0:PV-002819404104;74:07400:0:PV-002819412648;
C1OC2CNC1C2,1327,74:07400:0:PV-002819403847;74:07400:0:PV-003329463668;74:07400:0:PV-002819413211;
Oc1ccccc1,21608,74:07400:0:PV-003329456052;74:07400:0:PV-003329456053;74:07400:0:PV-003329456055;
Cc1ccon1,22196,74:07400:0:PV-002819403856;74:07400:0:PV-002102004096;74:07400:0:PV-003329458590;
C1CNC2CNCC2C1,3062,74:07400:0:PV-002819403856;74:07400:0:PV-004994840929;74:07400:0:PV-002819405284;
C1CC2CNC1CN2,1429,74:07400:0:PV-000244465845;74:07400:1:PV-000243601334;74:07400:3:PV-004995244197;
c1nnn[nH]1,7133,74:07400:0:PV-000244465845;74:07400:0:PV-001563772521;74:07400:0:PV-004994848976;
CN1CC2CNCCN2C1=O,30,74:07400:0:PV-003329456179;74:07403:0:PV-002819802821;74:07408:3:PV-003332319675;
Cc1n[nH]cc1O,1481,74:07400:0:PV-003329456183;74:07400:0:PV-002819409720;74:07400:2:PV-001051007558;
O=C1CCc2ccccc21,1406,74:07400:0:PV-002819403909;74:07400:0:PV-004994791161;74:07400:0:PV-004994797766;
C1COC2(CN1)CNC2,3876,74:07400:0:PV-003329456204;74:07400:0:PV-001753935730;74:07400:0:PV-002819413448;
C1CC2(C1)CCNCC2,4288,74:07400:0:PV-003329456206;74:07400:0:PV-003329456207;74:07400:0:PV-003329458125;
C1CC2(C1)CNC2,17465,74:07400:0:PV-003329456223;74:07400:0:PV-002819404250;74:07400:0:PV-004994853805;
Cc1cccnc1O,930,74:07400:0:PV-003329456236;74:07400:0:PV-004994930190;74:07400:0:PV-004994930191;
C1CCCNCCC1,7136,74:07400:0:PV-000347542955;74:07400:0:PV-003329457117;74:07400:0:PV-004994908112;
