fragment_smiles,occurences,example_ligands
C1CCOCC1,68589,77:07700:0:PV-003432215196;77:07700:0:PV-003432215197;77:07700:0:PV-003432216052;
C1CCNC1,477803,77:07700:0:PV-003432215196;77:07700:0:PV-003432215197;77:07700:0:PV-003432215443;
OC1CC(F)(F)C1,1285,77:07700:0:PV-003432215196;77:07700:0:PV-003432215197;77:07700:0:PV-005300037816;
OC1CCCC1,24979,77:07700:0:PV-003432215205;77:07700:0:PV-002859242219;77:07700:0:PV-003432221470;
FC1CCC1,50832,77:07700:0:PV-003432215205;77:07700:0:PV-003432216217;77:07700:0:PV-002859241584;
Cc1cccnn1,9650,77:07700:0:PV-003432215221;77:07700:0:PV-002418650044;77:07700:0:PV-003432231008;
O=S1C=CCCC1,1665,77:07700:0:PV-003432215221;77:07700:2:PV-002859280170;77:07700:3:PV-004014147875;
CC1CCC(F)(F)CC1,334,77:07700:0:PV-000545297612;77:07700:3:PV-003432343731;77:07700:3:PV-003432343732;
CC1CNC1,58712,77:07700:0:PV-002859240932;77:07700:0:PV-003432215272;77:07700:0:PV-002859241540;
CC1(C)CCC1,18843,77:07700:0:PV-002418649493;77:07700:0:PV-003432218599;77:07700:0:PV-003432220718;
CC1CCOC1,12399,77:07700:0:PV-000492708280;77:07700:0:PV-003432218543;77:07700:0:PV-003432218925;
c1cocn1,65831,77:07700:0:PV-000492708280;77:07700:0:PV-002859241242;77:07700:0:PV-003432216540;
c1cscn1,108118,77:07700:0:PV-002859240946;77:07700:0:PV-003432215360;77:07700:0:PV-002315147792;
c1cc[nH]c1,67219,77:07700:0:PV-002859240946;77:07700:0:PV-002522141680;77:07700:0:PV-003432217496;
OC1CCNC1,73988,77:07700:0:PV-003432215310;77:07700:0:PV-003432215313;77:07700:0:PV-003432215314;
Fc1cc[nH]n1,6327,77:07700:0:PV-003432215310;77:07700:0:PV-003432215313;77:07700:0:PV-003432215314;
Cc1cnc[nH]1,12064,77:07700:0:PV-002859240951;77:07700:0:PV-003432221501;77:07700:0:PV-003432221502;
C1CCSC1,25936,77:07700:0:PV-002859240951;77:07700:0:PV-003432217437;77:07700:0:PV-003432217438;
C1NC2CC1C2,28109,77:07700:0:PV-003432215323;77:07700:0:PV-003432215333;77:07700:0:PV-003432215334;
Cn1cncn1,14169,77:07700:0:PV-003432215323;77:07700:0:PV-003432218297;77:07700:0:PV-002859243133;
O=C1CCCCN1,16761,77:07700:0:PV-003432215333;77:07700:0:PV-003432215334;77:07700:0:PV-003432229784;
Nc1ccc2ccccc2n1,158,77:07700:0:PV-003432215341;77:07700:4:PV-002859298518;77:07702:0:PV-002859513582;
O=c1[nH]cnc2c1CNC2,176,77:07700:0:PV-003432215341;77:07700:6:PV-003432430948;77:07700:9:PV-005300938378;
FC1CCC2CCC1N2,869,77:07700:0:PV-003432215351;77:07700:1:PV-003432267840;77:07700:2:PV-003432309145;
C1CCNCC1,309100,77:07700:0:PV-003432215360;77:07700:0:PV-002859241007;77:07700:0:PV-002859241008;
c1ccoc1,98077,77:07700:0:PV-000476085597;77:07700:0:PV-002859241007;77:07700:0:PV-002859241008;
C1CC2CNCC1N2,12294,77:07700:0:PV-000476085597;77:07700:0:PV-003432225817;77:07700:0:PV-002859248589;
C1CCC2(CCC2)NC1,1161,77:07700:0:PV-002859240976;77:07700:0:PV-003432223292;77:07700:0:PV-005299970566;
C1CC2CC2C1,33452,77:07700:0:PV-003432215382;77:07700:0:PV-003432215587;77:07700:0:PV-003432216718;
c1ccncc1,176609,77:07700:0:PV-003432215382;77:07700:0:PV-002366903031;77:07700:0:PV-001974773780;
Cc1ccon1,22085,77:07700:0:PV-002859240978;77:07700:0:PV-002859241683;77:07700:0:PV-002859241684;
C1NCC2CC12,93655,77:07700:0:PV-002859240978;77:07700:0:PV-003432216762;77:07700:0:PV-003432217196;
CC1CCC1,53287,77:07700:0:PV-003432215410;77:07700:0:PV-003432215411;77:07700:0:PV-003432216485;
Fc1ccccc1,106935,77:07700:0:PV-003432215410;77:07700:0:PV-003432215411;77:07700:0:PV-002108151443;
c1cnccn1,21331,77:07700:0:PV-001641254306;77:07700:0:PV-003432220156;77:07700:0:PV-002859244012;
FC1CCOCC1,2401,77:07700:0:PV-001641254306;77:07700:0:PV-005300042992;77:07700:0:PV-005300042993;
Cc1ccc2c(c1)NCC2,115,77:07700:0:PV-002108151443;77:07700:2:PV-002859274726;77:07700:8:PV-003432497512;
CN1CCC2NCCC2C1,277,77:07700:0:PV-003432215441;77:07700:3:PV-003432334879;77:07700:8:PV-003432521513;
c1ccsc1,136213,77:07700:0:PV-003432215443;77:07700:0:PV-003432215444;77:07700:0:PV-003432215445;
c1ccc2c(c1)CCNC2,5082,77:07700:0:PV-002859241014;77:07700:0:PV-003432222319;77:07700:0:PV-003432226325;
Cc1ccccn1,25673,77:07700:0:PV-002859241014;77:07700:0:PV-002859241163;77:07700:0:PV-003432216222;
CC1CNCC(C)C1,1554,77:07700:0:PV-003432215466;77:07700:0:PV-003432215467;77:07700:0:PV-003432215468;
c1nnc[nH]1,17640,77:07700:0:PV-003432215466;77:07700:0:PV-003432215467;77:07700:0:PV-003432215468;
Cc1ccccc1Cl,9299,77:07700:0:PV-001563903929;77:07700:0:PV-003432219022;77:07700:0:PV-003432220841;
c1cn[nH]c1,169767,77:07700:0:PV-003432215481;77:07700:0:PV-002859241052;77:07700:0:PV-002859241063;
CC1(C)CCCN1,18919,77:07700:0:PV-003432215502;77:07700:0:PV-002859242005;77:07700:0:PV-003432218871;
O=c1cccc[nH]1,18241,77:07700:0:PV-003432215502;77:07700:0:PV-003432217884;77:07700:0:PV-002315147946;
c1ccccc1,319182,77:07700:0:PV-002263397549;77:07700:0:PV-003432215551;77:07700:0:PV-001997519021;
C1CCCCC1,133474,77:07700:0:PV-002263397549;77:07700:0:PV-003432216070;77:07700:0:PV-003432216304;
Cc1ccncc1C,2110,77:07700:0:PV-003432215579;77:07700:0:PV-003432243354;77:07700:1:PV-002159901413;
C1CNC2(C1)CC2,6925,77:07700:0:PV-003432215579;77:07700:0:PV-003432229185;77:07700:0:PV-003432239241;
O=S1(=O)CCC1,13130,77:07700:0:PV-003432215587;77:07700:0:PV-002522141879;77:07700:0:PV-002859244540;
