fragment_smiles,occurences,example_ligands
c1ccccc1,996328,48:04800:0:Z3590645508;48:04800:0:Z4908118494;48:04800:0:Z2806868009;
c1cscn1,161527,48:04800:0:Z3590645508;48:04800:0:Z986008764;48:04800:0:Z2188237768;
OC1CCOC1,5751,48:04800:0:Z3590645508;48:04800:0:Z3254555913;48:04800:0:Z3342784723;
c1ccsc1,125773,48:04800:0:Z3201948792;48:04800:0:Z2964000374;48:04800:0:Z2970394631;
c1cn[nH]c1,244600,48:04800:0:Z2837881189;48:04800:0:Z5037873364;48:04800:0:Z4225812981;
C1CCOCC1,151279,48:04800:0:Z2837881189;48:04800:0:Z3342745356;48:04800:0:Z1829669794;
C1CCNC1,320320,48:04800:0:Z986008764;48:04800:0:Z1210376596;48:04800:0:Z1403303125;
CN1CC2CCCC2C1,506,48:04800:0:Z3640028208;48:04800:0:Z4147771694;48:04800:5:Z3174010219;
CC1(C)CCc2ncsc2C1,429,48:04800:0:Z3640028208;48:04800:0:Z3255494271;48:04800:0:Z2165586890;
Cc1ccccc1,174289,48:04800:0:Z1210376596;48:04800:0:Z3650240381;48:04800:0:Z2170837897;
Fc1ccc2nccn2c1,242,48:04800:0:Z2776341974;48:04800:8:Z4352657319;48:04800:9:Z3097985149;
Fc1ccccc1,249091,48:04800:0:Z3342745356;48:04800:0:Z4262259146;48:04800:0:Z3514460545;
Cc1cnc(C)c(C)n1,1017,48:04800:0:Z1698011653;48:04800:0:Z3562324894;48:04800:2:Z3656744397;
CC1CNCC(C)C1,1941,48:04800:0:Z1698011653;48:04800:0:Z3820747673;48:04800:0:Z4595060567;
Cc1cccs1,14847,48:04800:0:Z4116690831;48:04800:0:Z2784693995;48:04800:0:Z4148309490;
C1CC2(CCO1)CNC2,1973,48:04800:0:Z4116690831;48:04800:0:Z2775113411;48:04800:1:Z2330744220;
CC1COCCN1,7084,48:04800:0:Z4262259146;48:04800:0:Z5036533699;48:04800:0:Z1884397702;
c1cncnc1,85203,48:04800:0:Z5036533699;48:04800:0:Z2409880916;48:04800:0:Z2308920609;
Cc1cc(C)n(C)n1,7306,48:04800:0:Z2193424177;48:04800:0:Z3174825096;48:04800:0:Z3815255692;
