fragment_smiles,occurences,example_ligands
Cc1ccno1,27209,174:17400:0:PV-005667687371;174:17400:0:PV-005667687778;174:17400:0:PV-005667687779;
Clc1cccs1,36799,174:17400:0:PV-005667687371;174:17400:0:PV-005667687776;174:17400:0:PV-005667689028;
Cc1ccsn1,23799,174:17400:0:PV-005667687433;174:17400:0:PV-005667687434;174:17400:0:PV-005667687435;
C1CCNCC1,443489,174:17400:0:PV-005667687433;174:17400:0:PV-005667687434;174:17400:0:PV-005667687435;
c1ccoc1,118507,174:17400:0:PV-005667687449;174:17400:0:PV-005667687450;174:17400:0:PV-005667687451;
C1CCOCC1,90351,174:17400:0:PV-005667687449;174:17400:0:PV-005667687450;174:17400:0:PV-005667687451;
O=c1cccco1,9652,174:17400:0:PV-005667687526;174:17400:0:PV-003555989176;174:17400:0:PV-003555989177;
C1CCOC1,150377,174:17400:0:PV-005667687526;174:17400:0:PV-005667687899;174:17400:0:PV-005667687900;
CC1(C)CCNC1,29182,174:17400:0:PV-005667687531;174:17400:0:PV-005667687532;174:17400:0:PV-005667697605;
Cn1cccn1,98530,174:17400:0:PV-005667687573;174:17400:0:PV-005667687574;174:17400:0:PV-005667696740;
Fc1cn[nH]c1,7459,174:17400:0:PV-005667687573;174:17400:0:PV-005667687574;174:17400:0:PV-001977515881;
FC1CCCNC1,58911,174:17400:0:PV-005667687607;174:17400:0:PV-005667687608;174:17400:0:PV-005667689990;
FC1CCC1,58116,174:17400:0:PV-005667687607;174:17400:0:PV-005667687608;174:17400:0:PV-005667692739;
Cc1ccoc1C,5226,174:17400:0:PV-005667687659;174:17400:0:PV-005667704357;174:17400:0:PV-003555995337;
O=c1ccnc[nH]1,3469,174:17400:0:PV-005667687659;174:17400:0:PV-003555993311;174:17400:0:PV-003555993945;
c1ccncc1,189533,174:17400:0:PV-005667687659;174:17400:0:PV-005667689990;174:17400:0:PV-005667689991;
C1CC2CCNC2CN1,7472,174:17400:0:PV-005667687708;174:17400:0:PV-005667704242;174:17400:0:PV-005667733972;
Cc1cnc2ccccc2n1,173,174:17400:0:PV-005667687776;174:17400:3:PV-002907251356;174:17401:6:PV-002907341362;
C1CCCC1,220225,174:17400:0:PV-005667687778;174:17400:0:PV-005667687779;174:17400:0:PV-005667694503;
