fragment_smiles,occurences,example_ligands
CC1CCCCN1,16240,24:02400:0:Z3522586121;24:02400:0:Z4511278699;24:02400:0:Z2351604098;
C1CCC2(C1)COCCN2,224,24:02400:0:Z3522586121;24:02400:3:Z1542416246;24:02402:6:Z4289902477;
C1CCCCC1,107536,24:02400:0:Z2098694761;24:02400:0:Z3571130646;24:02400:0:Z1904939320;
Cn1nccn1,4325,24:02400:0:Z2098694761;24:02400:0:Z3571130646;24:02400:0:Z2175906963;
FC1(F)CCC1,15968,24:02400:0:Z4214129259;24:02400:0:Z1375905067;24:02400:0:Z4143064310;
c1ccncc1,250364,24:02400:0:Z4214129259;24:02400:0:Z3649906844;24:02400:0:Z3637987445;
OC1CCC(O)C2CCC1N2,81,24:02400:0:Z3649906844;24:02400:2:Z3653717814;24:02403:2:Z3644438020;
c1nncs1,32896,24:02400:0:Z5014744525;24:02400:0:Z2769187235;24:02400:0:Z4595207917;
CN1CCC=N1,324,24:02400:0:Z4468684080;24:02400:2:Z4468667438;24:02400:2:Z4468684717;
c1cnc2[nH]ccc2c1,3064,24:02400:0:Z4468684080;24:02400:0:Z3388634939;24:02400:0:Z3388832290;
C1CC2(CC2)CN1,6827,24:02400:0:Z2945681594;24:02400:0:Z4071622897;24:02400:0:Z4513031530;
Cn1cnnc1,15075,24:02400:0:Z2802030272;24:02400:0:Z3095576488;24:02400:0:Z1646368939;
Clc1ncc2ccccc2n1,108,24:02400:0:Z2770307922;24:02401:2:Z3600790838;24:02404:2:Z3078914769;
O=C1CCCCN1,20207,24:02400:0:Z2770307922;24:02400:0:Z4907171631;24:02400:0:Z3613514855;
Fc1ccccc1,127191,24:02400:0:Z3522441428;24:02400:0:Z2172283845;24:02400:0:Z3842692110;
C1CCNC1,262892,24:02400:0:Z3522441428;24:02400:0:Z3653545370;24:02400:0:Z4043276063;
FC1CCCCC1,10008,24:02400:0:Z4460167480;24:02400:0:Z4335664230;24:02400:0:Z2436674939;
CN1CCCS1(=O)=O,1349,24:02400:0:Z3364486016;24:02400:0:Z3360884465;24:02400:1:Z5051360732;
C1CCSC1,15725,24:02400:0:Z3364486016;24:02400:0:Z1334409293;24:02400:0:Z4276225180;
FC1(F)CCOCC1,2312,24:02400:0:Z3876776183;24:02400:0:Z3875113380;24:02400:1:Z3800148304;
C1CCNCC1,257487,24:02400:0:Z3876776183;24:02400:0:Z2923302818;24:02400:0:Z4157420237;
Clc1ccccc1,97053,24:02400:0:Z4581974773;24:02400:0:Z2763882780;24:02400:0:Z815422258;
CC1CCCCC1,20758,24:02400:0:Z344312054;24:02400:0:Z4489246600;24:02400:0:Z4481792116;
C1CC2(C1)CCNCC2,2851,24:02400:0:Z3802345365;24:02400:1:Z3515844048;24:02400:1:Z3145336477;
Cc1ncccn1,8437,24:02400:0:Z3653545370;24:02400:0:Z774720838;24:02400:0:Z4212946328;
C1CC2CC1CO2,5220,24:02400:0:Z4200065713;24:02400:0:Z4401507857;24:02400:0:Z4582163372;
OC1CCOCC1,5555,24:02400:0:Z4200065713;24:02400:0:Z2222466129;24:02400:0:Z2906772262;
C1CNCCN1,57176,24:02400:0:Z2923302818;24:02400:0:Z804835994;24:02400:0:Z2122207891;
c1c[nH]nn1,67814,24:02400:0:Z2923302818;24:02400:0:Z2763882780;24:02400:0:Z3343458000;
Cn1ccnn1,17917,24:02400:0:Z4043276063;24:02400:0:Z3468996296;24:02400:0:Z4612618689;
C1CCOCC1,113501,24:02400:0:Z2763882780;24:02400:0:Z3301931675;24:02400:0:Z3301910358;
C1CC2(C1)CNCCO2,1867,24:02400:0:Z3095576488;24:02400:0:Z1979286219;24:02400:0:Z3807483733;
C1COCOC1,4233,24:02400:0:Z3818427719;24:02400:0:Z2963803761;24:02400:0:Z3068619602;
c1cncnc1,74723,24:02400:0:Z3818427719;24:02400:0:Z2904733810;24:02400:0:Z4213967826;
CC1CCCO1,21143,24:02400:0:Z2851617726;24:02400:0:Z3617187836;24:02400:0:Z3797327506;
