fragment_smiles,occurences,example_ligands
C1CCNC1,595061,371:37100:0:PV-004585093063;371:37100:0:PV-004585093064;371:37100:0:PV-004585093065;
c1ccc2[nH]ccc2c1,18282,371:37100:0:PV-004585093063;371:37100:0:PV-004585093064;371:37100:0:PV-004585093065;
Cc1cccc(F)c1,26132,371:37100:0:PV-004585093100;371:37100:0:PV-004585093101;371:37100:0:PV-004585094436;
Cc1cnc(Cl)o1,2332,371:37100:0:PV-004585093100;371:37100:0:PV-004585093101;371:37100:0:PV-004585101701;
C1CCNCC1,551991,371:37100:0:PV-004585093103;371:37100:0:PV-004585093223;371:37100:0:PV-004585093276;
c1cc2c(o1)CSC2,922,371:37100:0:PV-004585093103;371:37100:2:PV-004585156763;371:37100:2:PV-004585156764;
c1cnoc1,129572,371:37100:0:PV-004585093109;371:37100:0:PV-004585093110;371:37100:0:PV-004585093126;
CC1CCCCN1,64087,371:37100:0:PV-004585093109;371:37100:0:PV-004585093110;371:37100:0:PV-004585093694;
Cc1ccsc1C,9071,371:37100:0:PV-004585093109;371:37100:0:PV-004585093110;371:37100:0:PV-004585102078;
C1CNCCN1,151870,371:37100:0:PV-004585093111;371:37100:0:PV-004585093364;371:37100:0:PV-004585093604;
c1ccccc1,385457,371:37100:0:PV-004585093111;371:37100:0:PV-004585093161;371:37100:0:PV-004585093336;
CC1CCCO1,25169,371:37100:0:PV-004585093111;371:37100:0:PV-004585096525;371:37100:0:PV-004585096526;
c1ccncc1,288897,371:37100:0:PV-004585093113;371:37100:0:PV-004585093114;371:37100:0:PV-004585093115;
FC1(F)C2CCCC21,7545,371:37100:0:PV-004585093116;371:37100:0:PV-004585093117;371:37100:0:PV-004585093118;
Cc1ccnn1C,17515,371:37100:0:PV-004585093116;371:37100:0:PV-004585093117;371:37100:0:PV-004585093118;
c1ccoc1,131499,371:37100:0:PV-004585093123;371:37100:0:PV-004585093184;371:37100:0:PV-004585093258;
C1CC2CNCC12,24063,371:37100:0:PV-004585093123;371:37100:0:PV-004585095369;371:37100:0:PV-004585095737;
c1ccsc1,123900,371:37100:0:PV-004585093123;371:37100:0:PV-004585093386;371:37100:0:PV-004585093397;
C1CCOC1,137422,371:37100:0:PV-004585093126;371:37100:0:PV-004585093317;371:37100:0:PV-004585093694;
CC1CCCNC1,73413,371:37100:0:PV-004585093136;371:37100:0:PV-004585093137;371:37100:0:PV-004585093138;
C1CCCCC1,222294,371:37100:0:PV-004585093151;371:37100:0:PV-004585093152;371:37100:0:PV-004585093153;
Cc1cn2ccsc2n1,2142,371:37100:0:PV-004585093151;371:37100:0:PV-004585093152;371:37100:0:PV-004585093153;
CC1CNC1,47445,371:37100:0:PV-004585093154;371:37100:0:PV-004585093205;371:37100:0:PV-004585093430;
Cc1ccccc1,113534,371:37100:0:PV-004585093154;371:37100:0:PV-004585094050;371:37100:0:PV-004585094205;
c1c[nH]nn1,95633,371:37100:0:PV-004585093154;371:37100:0:PV-004585093343;371:37100:0:PV-004585093508;
C1CC2CC2N1,21441,371:37100:0:PV-004585093161;371:37100:0:PV-004585094207;371:37100:0:PV-004585095208;
c1cncnc1,64148,371:37100:0:PV-004585093161;371:37100:0:PV-004585093722;371:37100:0:PV-004585094058;
Cc1cccc(=O)[nH]1,4035,371:37100:0:PV-004585093185;371:37100:0:PV-004585093186;371:37100:0:PV-004585093187;
Cc1cnccc1Cl,5122,371:37100:0:PV-004585093185;371:37100:0:PV-004585093186;371:37100:0:PV-004585093187;
C1NCC2COCC1C2,1177,371:37100:0:PV-004585093198;371:37100:0:PV-004585096850;371:37100:0:PV-004585099861;
Fc1ccccc1,170654,371:37100:0:PV-004585093198;371:37100:0:PV-004585093234;371:37100:0:PV-004585093343;
c1ccn2ccnc2c1,14214,371:37100:0:PV-004585093205;371:37100:0:PV-004585100692;371:37100:0:PV-004585101429;
c1c[nH]cn1,97310,371:37100:0:PV-004585093205;371:37100:0:PV-004585093715;371:37100:0:PV-004585093716;
CN1CCC2CNCC2C1,57,371:37100:0:PV-004585093213;371:37100:0:PV-004585103722;371:37101:0:PV-004585337566;
Cc1cc(F)cc2[nH]ccc12,421,371:37100:0:PV-004585093213;371:37100:5:PV-004585232923;371:37101:2:PV-004585386194;
c1cc[nH]c1,107307,371:37100:0:PV-004585093223;371:37100:0:PV-004585093649;371:37100:0:PV-004585093905;
Cn1cc2c(n1)CCC2,1567,371:37100:0:PV-004585093223;371:37100:1:PV-004585118997;371:37100:3:PV-004585187313;
Cc1cc(F)cc(F)c1,1873,371:37100:0:PV-004585093231;371:37100:0:PV-004585093232;371:37100:0:PV-004585093233;
Cc1coc(=O)o1,2,371:37100:0:PV-004585093234;371:37145:2:PV-004595752543;
c1ccc2[nH]cnc2c1,8532,371:37100:0:PV-004585093234;371:37100:0:PV-004585100554;371:37100:0:PV-004585103176;
C1CCCNCC1,97741,371:37100:0:PV-004585093242;371:37100:0:PV-004585093658;371:37100:0:PV-004585094078;
c1cocn1,84860,371:37100:0:PV-004585093244;371:37100:0:PV-004585093452;371:37100:0:PV-004585093453;
Cc1ccncc1F,3988,371:37100:0:PV-004585093244;371:37100:0:PV-004585109857;371:37100:1:PV-004585121552;
CN1CCOCC1,8999,371:37100:0:PV-004585093248;371:37100:0:PV-004585093249;371:37100:0:PV-004585093250;
