fragment_smiles,occurences,example_ligands
Cn1cccn1,111580,266:26600:0:PV-003705341645;266:26600:0:PV-003705342150;266:26600:0:PV-002965122955;
C1CNCC2(CC2)CN1,4732,266:26600:0:PV-003705341645;266:26600:0:PV-003705348372;266:26600:0:PV-004088251315;
c1cocn1,80113,266:26600:0:PV-003705341645;266:26600:0:PV-001710889923;266:26600:0:PV-004088245958;
Cc1ccco1,46780,266:26600:0:PV-003705341652;266:26600:0:PV-004088246048;266:26600:0:PV-004088246490;
C1CC2CC2N1,23852,266:26600:0:PV-003705341652;266:26600:0:PV-003705343268;266:26600:0:PV-003705345789;
C1CCNCC1,495761,266:26600:0:PV-003705341652;266:26600:0:PV-003705341679;266:26600:0:PV-003705341680;
Clc1ccco1,20881,266:26600:0:PV-001108432737;266:26600:0:PV-000536916627;266:26600:0:PV-000421354999;
C1CCNC1,587977,266:26600:0:PV-001108432737;266:26600:0:PV-003705341658;266:26600:0:PV-003705341692;
CC1CC(=O)NCCN1,12,266:26600:0:PV-003705341654;266:26610:7:PV-004088566074;266:26615:4:PV-006116246071;
c1ccccc1,309182,266:26600:0:PV-003705341654;266:26600:0:PV-002965122734;266:26600:0:PV-002965122735;
c1c[nH]nn1,99669,266:26600:0:PV-003705341654;266:26600:0:PV-003705341692;266:26600:0:PV-003705341693;
Cc1cccc(C)c1,19180,266:26600:0:PV-003705341658;266:26600:0:PV-000331610147;266:26600:0:PV-000333860803;
C1CC2CCC12,1759,266:26600:0:PV-003705341658;266:26600:0:PV-004088245827;266:26600:0:PV-006111246334;
C1CC2CCC(CN1)N2,4030,266:26600:0:PV-003705341665;266:26600:0:PV-002965124465;266:26600:0:PV-004088248462;
Cc1cccnc1,39344,266:26600:0:PV-003705341665;266:26600:0:PV-003705342292;266:26600:0:PV-003705342293;
CC1CNC1,52099,266:26600:0:PV-002965122706;266:26600:0:PV-003705341774;266:26600:0:PV-004088245954;
c1cnc2nn[nH]c2c1,1033,266:26600:0:PV-002965122706;266:26600:0:PV-001590264069;266:26600:1:PV-006111255104;
Cc1ccncc1C,5998,266:26600:0:PV-003705341679;266:26600:0:PV-003705341680;266:26600:0:PV-004088247470;
c1ccoc1,124622,266:26600:0:PV-003705341679;266:26600:0:PV-003705341680;266:26600:0:PV-002965122785;
Fc1ccccc1,132765,266:26600:0:PV-003705341692;266:26600:0:PV-003705341693;266:26600:0:PV-003705341694;
c1nnc2n1CCNC2,714,266:26600:0:PV-002176239812;266:26600:0:PV-004088247804;266:26600:0:PV-004088247805;
O=C1Cc2ccccc2N1,2416,266:26600:0:PV-002176239812;266:26600:0:PV-003705343837;266:26600:0:PV-003705343838;
O=c1cccc[nH]1,34575,266:26600:0:PV-002538488389;266:26600:0:PV-003705342176;266:26600:0:PV-004088245963;
c1nnc[nH]1,13110,266:26600:0:PV-002538488389;266:26600:0:PV-004088245907;266:26600:0:PV-003705343093;
Cc1cccc(F)c1,20170,266:26600:0:PV-000498011181;266:26600:0:PV-004088246267;266:26600:0:PV-004088246275;
Cc1cc(C)on1,8836,266:26600:0:PV-000498011181;266:26600:0:PV-000472996681;266:26600:0:PV-001642577014;
Cc1cc(C)cc(F)c1,1424,266:26600:0:PV-004088245780;266:26600:0:PV-004088245781;266:26600:0:PV-004088245782;
