fragment_smiles,occurences,example_ligands
C1CC2CCC(C1)N2,29567,209:20900:0:PV-004287122530;209:20900:0:PV-004287122531;209:20900:0:PV-004287124548;
FC1(F)CCCCC1,12844,209:20900:0:PV-004287122530;209:20900:0:PV-004287122531;209:20900:0:PV-004287124387;
c1ccsc1,167594,209:20900:0:PV-004287122537;209:20900:0:PV-004287122594;209:20900:0:PV-004287122595;
C1CC2(C1)CCNCC2,14230,209:20900:0:PV-004287122537;209:20900:0:PV-004287126079;209:20900:0:PV-004287146547;
c1cscn1,128721,209:20900:0:PV-004287122537;209:20900:0:PV-004287122639;209:20900:0:PV-004287122997;
c1ccccc1,309848,209:20900:0:PV-004287122564;209:20900:0:PV-004287122691;209:20900:0:PV-004287122997;
C1CNCCOC1,23489,209:20900:0:PV-004287122564;209:20900:0:PV-004287124640;209:20900:0:PV-004287124740;
C1CCSC1,19363,209:20900:0:PV-004287122564;209:20900:0:PV-004287123140;209:20900:0:PV-004287125330;
C1CCCC1,231311,209:20900:0:PV-004287122594;209:20900:0:PV-004287122595;209:20900:0:PV-004287122596;
Cc1ccncc1N,4824,209:20900:0:PV-004287122601;209:20900:0:PV-004287125942;209:20900:0:PV-004287141613;
CC1CCNC1,163939,209:20900:0:PV-004287122601;209:20900:0:PV-004287122619;209:20900:0:PV-004287123429;
Cc1cscc1Cl,1761,209:20900:0:PV-004287122615;209:20900:0:PV-004287122616;209:20900:0:PV-004287122617;
CC1CCCN1,102919,209:20900:0:PV-004287122615;209:20900:0:PV-004287122616;209:20900:0:PV-004287122617;
c1ccncc1,228023,209:20900:0:PV-004287122619;209:20900:0:PV-004287122636;209:20900:0:PV-004287123171;
Clc1ccsc1,11059,209:20900:0:PV-004287122626;209:20900:0:PV-004287122627;209:20900:0:PV-004287124888;
c1cc2n(n1)CCCC2,6522,209:20900:0:PV-004287122626;209:20900:0:PV-004287122627;209:20900:0:PV-004287167033;
Clc1ccccc1,83383,209:20900:0:PV-004287122636;209:20900:0:PV-004287122759;209:20900:0:PV-004287123091;
FC1CNC1,23262,209:20900:0:PV-004287122636;209:20900:0:PV-004287124003;209:20900:0:PV-004287125029;
C1CCCNCCC1,16295,209:20900:0:PV-004287122639;209:20900:0:PV-004287126202;209:20900:0:PV-004287127549;
c1cc[nH]c1,97180,209:20900:0:PV-004287122639;209:20900:0:PV-004287122650;209:20900:0:PV-004287122651;
Cc1cc[nH]n1,39581,209:20900:0:PV-004287122650;209:20900:0:PV-004287122651;209:20900:0:PV-004287125893;
CC1=CCCCC1,5002,209:20900:0:PV-004287122658;209:20900:0:PV-004287129098;209:20900:0:PV-004287143251;
C1OC2CNC1C2,1911,209:20900:0:PV-004287122658;209:20900:0:PV-004287176041;209:20900:1:PV-004287199552;
Oc1ccccc1F,8584,209:20900:0:PV-004287122666;209:20900:0:PV-004287125637;209:20900:0:PV-004287125638;
Fc1cc[nH]c1,8448,209:20900:0:PV-004287122666;209:20900:0:PV-004287131473;209:20900:0:PV-004287146470;
Cn1cccn1,111909,209:20900:0:PV-004287122673;209:20900:0:PV-004287122674;209:20900:0:PV-004287124690;
C1CC2CCC1N2,24528,209:20900:0:PV-004287122673;209:20900:0:PV-004287122674;209:20900:0:PV-004287124732;
Cc1ccoc1C,6026,209:20900:0:PV-004287122679;209:20900:0:PV-004287122680;209:20900:0:PV-004287135335;
C1CNCCN1,141064,209:20900:0:PV-004287122691;209:20900:0:PV-004287123071;209:20900:0:PV-004287123139;
Fc1ccccc1F,16032,209:20900:0:PV-004287122756;209:20900:0:PV-004287126568;209:20900:0:PV-004287129736;
OC1CCCCNC1,11278,209:20900:0:PV-004287122759;209:20900:0:PV-004287127129;209:20900:0:PV-004287132226;
c1cnc2c(c1)COCC2,1142,209:20900:0:PV-004287122802;209:20900:0:PV-004287122803;209:20900:0:PV-004287171641;
c1cn2c(n1)CNCCC2,1016,209:20900:0:PV-004287122830;209:20900:0:PV-004287122831;209:20900:4:PV-004287256678;
O=C1CSCCN1,3144,209:20900:0:PV-004287122830;209:20900:0:PV-004287122831;209:20900:0:PV-004287149790;
C1CCNCC1,496854,209:20900:0:PV-004287122837;209:20900:0:PV-004287123169;209:20900:0:PV-004287123267;
O=C1CCCN1,69296,209:20900:0:PV-004287122837;209:20900:0:PV-004287127822;209:20900:0:PV-004287128081;
C1CC2CNCC1N2,22327,209:20900:0:PV-004287122862;209:20900:0:PV-004287124264;209:20900:0:PV-004287128436;
c1cnsc1,56988,209:20900:0:PV-004287122862;209:20900:0:PV-004287123159;209:20900:0:PV-004287123160;
Oc1ccncc1F,1908,209:20900:0:PV-004287122936;209:20900:0:PV-004287122937;209:20900:0:PV-004287154924;
Fc1cccc(F)c1,27009,209:20900:0:PV-004287122936;209:20900:0:PV-004287122937;209:20900:0:PV-004287124022;
c1cn[nH]c1,224551,209:20900:0:PV-004287122938;209:20900:0:PV-004287124137;209:20900:0:PV-004287124138;
C1CCOC1,143790,209:20900:0:PV-004287122938;209:20900:0:PV-004287123267;209:20900:0:PV-004287123268;
CC1NCCNC1C,5045,209:20900:0:PV-004287122945;209:20900:0:PV-004287137991;209:20900:0:PV-004287142149;
Nc1ccncn1,3515,209:20900:0:PV-004287122945;209:20900:0:PV-004287146334;209:20900:1:PV-004287194337;
Fc1ccccc1,132360,209:20900:0:PV-004287122949;209:20900:0:PV-004287123569;209:20900:0:PV-004287124034;
C1CC2CC2CCN1,2110,209:20900:0:PV-004287122949;209:20900:0:PV-004287128582;209:20900:0:PV-004287135637;
C1CCNC1,590296,209:20900:0:PV-004287122954;209:20900:0:PV-004287123110;209:20900:0:PV-004287123169;
Cc1cocn1,15626,209:20900:0:PV-004287122954;209:20900:0:PV-004287124997;209:20900:0:PV-004287156400;
C1COCCN1,58244,209:20900:0:PV-004287123033;209:20900:0:PV-004287129226;209:20900:0:PV-004287129911;
Cc1cccnc1,38668,209:20900:0:PV-004287123035;209:20900:0:PV-004287124385;209:20900:0:PV-004287127184;
C1CC2(C1)CNC2,27781,209:20900:0:PV-004287123035;209:20900:0:PV-004287123809;209:20900:0:PV-004287126040;
Clc1cccs1,17580,209:20900:0:PV-004287123035;209:20900:0:PV-004287129051;209:20900:0:PV-004287138461;
Clc1cn[nH]c1,24698,209:20900:0:PV-004287123071;209:20900:0:PV-004287125606;209:20900:0:PV-004287127353;
c1c[nH]nn1,99520,209:20900:0:PV-004287123091;209:20900:0:PV-004287124434;209:20900:0:PV-004287124435;
C1=NOCC1,8432,209:20900:0:PV-004287123093;209:20900:0:PV-004287127091;209:20900:0:PV-004287150205;
O=S1(=O)CCCCC1,4262,209:20900:0:PV-004287123093;209:20900:0:PV-004287141482;209:20900:0:PV-004287153231;
c1cc2sccc2s1,1375,209:20900:0:PV-004287123110;209:20900:0:PV-004287125498;209:20900:0:PV-004287131225;
Cc1cc(Cl)[nH]n1,4403,209:20900:0:PV-004287123130;209:20900:0:PV-004287139652;209:20900:0:PV-004287139653;
CC1CCCNC1,66009,209:20900:0:PV-004287123130;209:20900:0:PV-004287123818;209:20900:0:PV-004287125178;
Cn1ccnn1,14916,209:20900:0:PV-004287123130;209:20900:0:PV-004287143692;209:20900:0:PV-004287148984;
Cc1cnn(C)c1,12568,209:20900:0:PV-004287123140;209:20900:0:PV-004287126036;209:20900:0:PV-004287126037;
FC1(F)CCNC1,6422,209:20900:0:PV-004287123140;209:20900:0:PV-004287136695;209:20900:0:PV-004287155095;
CC1CCOC1,12937,209:20900:0:PV-004287123159;209:20900:0:PV-004287124385;209:20900:0:PV-004287127806;
C1CCC2(CC1)CNC2,3702,209:20900:0:PV-004287123159;209:20900:0:PV-004287124935;209:20900:0:PV-004287124936;
c1cocn1,80083,209:20900:0:PV-004287123160;209:20900:0:PV-004287123161;209:20900:0:PV-004287123904;
CC12CNCC1CNC2,7632,209:20900:0:PV-004287123160;209:20900:0:PV-004287123161;209:20900:0:PV-004287139152;
C1CNCC2(C1)CCNC2,4260,209:20900:0:PV-004287123171;209:20900:0:PV-004287131570;209:20900:0:PV-004287134767;
c1cnoc1,117489,209:20900:0:PV-004287123219;209:20900:0:PV-004287123579;209:20900:0:PV-004287124007;
C1CNCCNC1,27170,209:20900:0:PV-004287123220;209:20900:0:PV-004287128906;209:20900:0:PV-004287129146;
CC1CCOCC1,9458,209:20900:0:PV-004287123220;209:20900:0:PV-004287141812;209:20900:0:PV-004287141813;
C1NCC2CNCC12,8554,209:20900:0:PV-004287123230;209:20900:0:PV-004287123231;209:20900:0:PV-004287130023;
Cc1ccc(C)c(C)c1,4478,209:20900:0:PV-004287123239;209:20900:0:PV-004287138853;209:20900:0:PV-004287174532;
C1CC2CC2CN1,11918,209:20900:0:PV-004287123239;209:20900:0:PV-004287139090;209:20900:0:PV-004287147191;
C1CC2(C1)CCNC2,17643,209:20900:0:PV-004287123243;209:20900:0:PV-004287125938;209:20900:0:PV-004287130814;
Fc1cccnc1,41083,209:20900:0:PV-004287123243;209:20900:0:PV-004287123818;209:20900:0:PV-004287124171;
Clc1cnc2c(c1)CCCN2,9,209:20900:0:PV-004287123244;209:20903:4:PV-004288203973;209:20921:0:PV-004293857290;
Cc1ccsc1,38296,209:20900:0:PV-004287123267;209:20900:0:PV-004287123268;209:20900:0:PV-004287123902;
Cn1cccc1,31805,209:20900:0:PV-004287123269;209:20900:0:PV-004287123270;209:20900:0:PV-004287123271;
O=c1cc2c(c[nH]1)CCC2,519,209:20900:0:PV-004287123319;209:20900:3:PV-003091150158;209:20901:0:PV-004287499581;
Cc1ccns1,14749,209:20900:0:PV-004287123319;209:20900:0:PV-004287128466;209:20900:0:PV-004287130072;
CC1(C)CCCCO1,7940,209:20900:0:PV-004287123321;209:20900:0:PV-004287140124;209:20900:0:PV-004287140125;
CC1(C)CCCN1,32552,209:20900:0:PV-004287123321;209:20900:0:PV-004287126441;209:20900:0:PV-004287127184;
O=c1cc[nH]c(=O)[nH]1,2679,209:20900:0:PV-004287123359;209:20900:0:PV-004287123360;209:20900:0:PV-004287123361;
FC1CCC1,55951,209:20900:0:PV-004287123359;209:20900:0:PV-004287123360;209:20900:0:PV-004287123361;
CC1=CCCC1,8712,209:20900:0:PV-004287123366;209:20900:0:PV-004287171271;209:20900:1:PV-003091110227;
O=S1(=O)CCCC1,7584,209:20900:0:PV-004287123366;209:20900:0:PV-004287132552;209:20900:0:PV-004287136152;
C1CNC2(C1)CCNC2,6239,209:20900:0:PV-004287123379;209:20900:0:PV-004287133077;209:20900:0:PV-004287133883;
