fragment_smiles,occurences,example_ligands
Cc1cnc2ccccn12,3798,324:32400:0:PV-006243654613;324:32400:0:PV-006243654614;324:32400:1:PV-006243682406;
OC1CCCCC1,24547,324:32400:0:PV-006243654613;324:32400:0:PV-006243654614;324:32400:0:PV-006243654861;
Cn1cc(Cl)cn1,9888,324:32400:0:PV-006243654618;324:32400:0:PV-006243657480;324:32400:0:PV-006243659067;
C1CCNCC1,550666,324:32400:0:PV-006243654618;324:32400:0:PV-006243654661;324:32400:0:PV-006243654662;
Nc1cccnc1,14550,324:32400:0:PV-006243654628;324:32400:0:PV-006243657690;324:32400:0:PV-006243663861;
C1CCNC1,598526,324:32400:0:PV-006243654628;324:32400:0:PV-006243655163;324:32400:0:PV-006243655282;
Cc1ccn(C)c1,11854,324:32400:0:PV-006243654648;324:32400:0:PV-006243654649;324:32400:0:PV-006243655734;
C1NCC2CC12,104025,324:32400:0:PV-006243654648;324:32400:0:PV-006243654649;324:32400:0:PV-006243655447;
CC1(O)CCNC1,1577,324:32400:0:PV-006243654648;324:32400:0:PV-006243654649;324:32400:0:PV-006243680104;
C1CCC2NCCCC2C1,717,324:32400:0:PV-006243654656;324:32400:0:PV-006243672795;324:32400:2:PV-006243704862;
c1ccnnc1,24117,324:32400:0:PV-006243654656;324:32400:0:PV-006243654998;324:32400:0:PV-006243656845;
O=c1ccc(Cl)n[nH]1,1585,324:32400:0:PV-006243654661;324:32400:0:PV-006243654662;324:32400:0:PV-006243664580;
c1nn[nH]n1,4726,324:32400:0:PV-006243654667;324:32400:0:PV-006243654668;324:32400:0:PV-006243654669;
Clc1ccccc1,73743,324:32400:0:PV-006243654667;324:32400:0:PV-006243654668;324:32400:0:PV-006243654669;
Cc1cscn1,23746,324:32400:0:PV-006243654671;324:32400:0:PV-006243657801;324:32400:0:PV-006243658202;
C1CCOC1,138094,324:32400:0:PV-006243654681;324:32400:0:PV-006243654682;324:32400:0:PV-006243655459;
CC1CNC1,47296,324:32400:0:PV-006243654681;324:32400:0:PV-006243654682;324:32400:0:PV-006243656315;
Fc1cccn2ccnc12,1597,324:32400:0:PV-006243654681;324:32400:0:PV-006243654682;324:32400:1:PV-006243683216;
CC1CCCN1,105503,324:32400:0:PV-006243654683;324:32400:0:PV-006243654684;324:32400:0:PV-006243655093;
Clc1ccc2[nH]ccc2c1,1876,324:32400:0:PV-006243654683;324:32400:0:PV-006243654684;324:32400:1:PV-006243700106;
CC1CCOC1,12293,324:32400:0:PV-006243654702;324:32400:0:PV-006243656818;324:32400:0:PV-006243662730;
C1CNC2(C1)CCNCC2,4764,324:32400:0:PV-006243654702;324:32400:0:PV-006243655606;324:32400:0:PV-006243670361;
O=c1cccco1,11298,324:32400:0:PV-006243654702;324:32400:0:PV-006243655323;324:32400:0:PV-006243655353;
C1CC2(C1)CCNCC2,18040,324:32400:0:PV-006243654718;324:32400:0:PV-006243655394;324:32400:0:PV-006243655833;
c1ccoc1,131545,324:32400:0:PV-006243654718;324:32400:0:PV-006243655423;324:32400:0:PV-006243655588;
Cn1cccn1,130446,324:32400:0:PV-006243654740;324:32400:0:PV-006243654820;324:32400:0:PV-006243654851;
Cn1ncc2cncnc21,101,324:32400:0:PV-006243654743;324:32400:6:PV-006243801545;324:32401:6:PV-006244044893;
c1cocn1,85529,324:32400:0:PV-006243654778;324:32400:0:PV-006243655122;324:32400:0:PV-006243655123;
Clc1cccc2ccoc12,1662,324:32400:0:PV-006243654778;324:32400:1:PV-006243698640;324:32400:1:PV-006243702016;
CC1CCNC1,168325,324:32400:0:PV-006243654779;324:32400:0:PV-006243655343;324:32400:0:PV-006243656474;
C1CCCCC1,223817,324:32400:0:PV-006243654779;324:32400:0:PV-006243654868;324:32400:0:PV-006243654963;
Fc1ccccc1,170925,324:32400:0:PV-006243654802;324:32400:0:PV-006243654803;324:32400:0:PV-006243654926;
OC1CCNC1,91384,324:32400:0:PV-006243654802;324:32400:0:PV-006243654803;324:32400:0:PV-006243654861;
CC1=NOCC1,7993,324:32400:0:PV-006243654802;324:32400:0:PV-006243654803;324:32400:0:PV-006243662878;
c1cncnc1,63140,324:32400:0:PV-006243654804;324:32400:0:PV-006243655459;324:32400:0:PV-006243655501;
c1c[nH]cn1,96985,324:32400:0:PV-006243654812;324:32400:0:PV-006243655530;324:32400:0:PV-006243655531;
C1CNCCNC1,28174,324:32400:0:PV-006243654812;324:32400:0:PV-006243654908;324:32400:0:PV-006243655384;
c1cn[nH]c1,256063,324:32400:0:PV-006243654812;324:32400:0:PV-006243655023;324:32400:0:PV-006243655231;
C1CC2(CCNC2)CN1,5196,324:32400:0:PV-006243654820;324:32400:0:PV-006243656599;324:32400:0:PV-006243657801;
Oc1cccnc1,17103,324:32400:0:PV-006243654820;324:32400:0:PV-006243657056;324:32400:0:PV-006243657797;
FC1CCC2CCC1N2,3629,324:32400:0:PV-006243654840;324:32400:0:PV-006243656760;324:32400:0:PV-006243673192;
OC1CCCCNC1,12159,324:32400:0:PV-006243654851;324:32400:0:PV-006243658558;324:32400:0:PV-006243660453;
Nc1ccncc1F,1816,324:32400:0:PV-006243654861;324:32400:0:PV-006243657238;324:32400:0:PV-006243665273;
C1CC2(CN1)CNC2,20189,324:32400:0:PV-006243654868;324:32400:0:PV-006243657476;324:32400:0:PV-006243657477;
Cc1ncc[nH]1,22422,324:32400:0:PV-006243654868;324:32400:0:PV-006243656716;324:32400:0:PV-006243656717;
Cc1cnsc1,5415,324:32400:0:PV-006243654869;324:32400:0:PV-006243654870;324:32400:0:PV-006243654871;
C1CCCC1,238072,324:32400:0:PV-006243654869;324:32400:0:PV-006243654870;324:32400:0:PV-006243654871;
c1ccncc1,287626,324:32400:0:PV-006243654869;324:32400:0:PV-006243654870;324:32400:0:PV-006243654871;
CC1(C)CCCCO1,9581,324:32400:0:PV-006243654885;324:32400:0:PV-006243654886;324:32400:0:PV-006243654887;
O=c1cccn[nH]1,18822,324:32400:0:PV-006243654885;324:32400:0:PV-006243654886;324:32400:0:PV-006243654887;
C1CCOCC1,110376,324:32400:0:PV-006243654908;324:32400:0:PV-006243654998;324:32400:0:PV-006243655076;
Fc1cccnc1,49143,324:32400:0:PV-006243654922;324:32400:0:PV-006243656670;324:32400:0:PV-006243656968;
FC1CCNC1,70746,324:32400:0:PV-006243654926;324:32400:0:PV-006243654927;324:32400:0:PV-006243656977;
