fragment_smiles,occurences,example_ligands
c1ccccc1,440839,7:00700:0:Z3874761965;7:00700:0:Z4055265446;7:00700:0:Z1430935597;
OC1CCC1,28742,7:00700:0:Z3874761965;7:00700:0:Z4080021961;7:00700:0:Z4114566651;
c1cnc2c(c1)COCC2,1204,7:00700:0:Z3547541333;7:00700:0:Z3801222861;7:00700:1:Z4613178888;
c1cn[nH]c1,178232,7:00700:0:Z3385349759;7:00700:0:Z4827714878;7:00700:0:Z3601740574;
c1n[nH]c2c1CCCC2,4413,7:00700:0:Z4151959311;7:00700:0:Z3052515612;7:00700:1:Z4642076161;
C1CCCC1,123543,7:00700:0:Z2911807998;7:00700:0:Z1765292531;7:00700:0:Z4475030280;
c1ccncc1,248932,7:00700:0:Z2272427804;7:00700:0:Z1874503675;7:00700:0:Z3822579131;
OC1CNC1,10671,7:00700:0:Z2272427804;7:00700:0:Z4232966466;7:00700:0:Z1440436116;
Fc1ccccc1,127560,7:00700:0:Z1196482991;7:00700:0:Z1232952273;7:00700:0:Z1583459817;
C1CCNC1,261809,7:00700:0:Z1874503675;7:00700:0:Z2962670875;7:00700:0:Z4050438838;
c1cnccn1,27660,7:00700:0:Z4013681796;7:00700:0:Z4122545014;7:00700:0:Z3365802584;
C1CC2CNCC2CO1,1241,7:00700:0:Z3795499432;7:00700:3:Z4775898353;7:00700:3:Z3554567308;
Cc1cc(C)[nH]n1,12284,7:00700:0:Z1567220115;7:00700:0:Z1568301791;7:00700:0:Z2293009911;
C1CCN2CCNCC2C1,405,7:00700:0:Z1567220115;7:00700:0:Z2891646635;7:00700:3:Z4280570558;
O=C1CCCC1,3066,7:00700:0:Z4999970259;7:00700:0:Z2506873710;7:00700:0:Z1628764668;
NC1CCC2CCNC12,252,7:00700:0:Z4056276501;7:00700:7:Z3870783303;7:00701:0:Z3868988170;
Nc1ncc(N)c(Cl)n1,80,7:00700:0:Z3019152380;7:00701:0:Z3832016445;7:00702:0:Z3019064813;
C1CCOC1,138792,7:00700:0:Z3019152380;7:00700:0:Z3601740574;7:00700:0:Z3434163086;
C1CCNCC1,257696,7:00700:0:Z2067717656;7:00700:0:Z4028250904;7:00700:0:Z2481475645;
c1ccc2c(c1)CCN2,7128,7:00700:0:Z4909524630;7:00700:0:Z2377753612;7:00700:0:Z3045957490;
C1CC2(C1)CNC2,4595,7:00700:0:Z4827714878;7:00700:0:Z3354947092;7:00700:0:Z3471083740;
c1ccsc1,119238,7:00700:0:Z3621535558;7:00700:0:Z2632029176;7:00700:0:Z1138446592;
Cc1nn[nH]n1,956,7:00700:0:Z1424771187;7:00700:0:Z3552631297;7:00700:1:Z3575761803;
CC1CCCCC1,20541,7:00700:0:Z1424771187;7:00700:0:Z3475449839;7:00700:0:Z4216009754;
Cc1cnco1,9735,7:00700:0:Z2642942424;7:00700:0:Z2691433894;7:00700:0:Z2071591195;
FC1(F)CC1,15756,7:00700:0:Z3601740574;7:00700:0:Z3434163086;7:00700:0:Z2588994331;
Cc1ncc[nH]1,8238,7:00700:0:Z1232952273;7:00700:0:Z2046701743;7:00700:0:Z3653941512;
C1CCOCC1,113688,7:00700:0:Z2011155565;7:00700:0:Z1595376604;7:00700:0:Z2443798784;
Cn1cnnc1,15066,7:00700:0:Z2952407577;7:00700:0:Z1583459817;7:00700:0:Z1591190867;
c1cocn1,50536,7:00700:0:Z1727375141;7:00700:0:Z2711271978;7:00700:0:Z2365005319;
Cc1ccccc1,95582,7:00700:0:Z1727375141;7:00700:0:Z4154858520;7:00700:0:Z3522727710;
NC1CCCC12CCNCC2,154,7:00700:0:Z3498581337;7:00700:1:Z3807581385;7:00700:1:Z3829586472;
C1CCCCC1,107773,7:00700:0:Z4573663440;7:00700:0:Z4593669227;7:00700:0:Z4593639747;
c1c[nH]cn1,68795,7:00700:0:Z3524357794;7:00700:0:Z2770258565;7:00700:0:Z1359619824;
c1ccc2c(c1)CCNC2,6686,7:00700:0:Z3524357794;7:00700:0:Z1950638809;7:00700:0:Z1698953701;
C1CC2CNCC1C2,2148,7:00700:0:Z3741325640;7:00700:2:Z3548189928;7:00700:2:Z3652390029;
Clc1ccsc1Cl,1631,7:00700:0:Z3741325640;7:00700:0:Z3581344854;7:00700:2:Z1870643421;
c1nnc[nH]1,27606,7:00700:0:Z4488681048;7:00700:0:Z1345987677;7:00700:0:Z3190618960;
C1CC2CC1C2,2024,7:00700:0:Z4488681048;7:00700:0:Z4380640535;7:00700:2:Z4760902245;
Cc1cccnn1,6322,7:00700:0:Z3822579131;7:00700:0:Z2353175687;7:00700:0:Z2352731140;
FC1CNC1,5284,7:00700:0:Z3822579131;7:00700:0:Z4507030869;7:00700:0:Z4341896016;
Clc1cc2snnc2s1,229,7:00700:0:Z4028250904;7:00700:1:Z3358258552;7:00700:7:Z3349745435;
Clc1ccccc1,97004,7:00700:0:Z3837608312;7:00700:0:Z3577358072;7:00700:0:Z3577356998;
C1C2CC1C2,8891,7:00700:0:Z3837608312;7:00700:0:Z2965093337;7:00700:0:Z4232264724;
c1ncsn1,13373,7:00700:0:Z4119367304;7:00700:0:Z2869631573;7:00700:0:Z2763723721;
Cn1cccn1,106282,7:00700:0:Z2962670875;7:00700:0:Z2953157336;7:00700:0:Z3604304263;
CC12CCCC1C2,138,7:00700:0:Z4171375925;7:00702:1:Z4171309825;7:00702:2:Z4930921868;
c1cncnc1,74783,7:00700:0:Z1699010432;7:00700:0:Z2614299433;7:00700:0:Z3672187066;
Nc1cccnc1,2473,7:00700:0:Z2803468295;7:00700:0:Z2784684964;7:00700:0:Z2778901697;
OC1CCCC1,20241,7:00700:0:Z2803468295;7:00700:0:Z2784684964;7:00700:0:Z2778901697;
C1CC2(C1)CC2,11234,7:00700:0:Z3617564876;7:00700:0:Z4962100509;7:00700:0:Z3207449112;
CC1CNCCC1(F)F,613,7:00700:0:Z4061838938;7:00700:1:Z3943984726;7:00700:1:Z2179888126;
C1CCCNCC1,20118,7:00700:0:Z4061838938;7:00700:0:Z3718298341;7:00700:0:Z4066211286;
CC1CNCCCO1,1735,7:00700:0:Z2852036711;7:00700:2:Z3833016801;7:00700:2:Z1070434442;
C1COCO1,8666,7:00700:0:Z4050438838;7:00700:0:Z1827756331;7:00700:0:Z1700442789;
Cc1ccc(O)nc1,229,7:00700:0:Z2948232016;7:00700:0:Z2924237717;7:00700:2:Z2957214495;
c1ncon1,105800,7:00700:0:Z4996426335;7:00700:0:Z3346517527;7:00700:0:Z1686346291;
CC1CNCC1(F)F,885,7:00700:0:Z4996426335;7:00700:0:Z3552475708;7:00700:0:Z3680106690;
O=c1cccn[nH]1,3359,7:00700:0:Z2284207697;7:00700:1:Z1719591787;7:00700:1:Z4238138403;
Cc1ccoc1,10283,7:00700:0:Z3613048594;7:00700:0:Z3654042729;7:00700:0:Z2335335540;
CC1COCCN1,8117,7:00700:0:Z3613048594;7:00700:0:Z2862351114;7:00700:0:Z3312030831;
C1CNCCN1,57166,7:00700:0:Z4145113658;7:00700:0:Z3312368087;7:00700:0:Z4591129482;
c1cnc2sccc2c1,781,7:00700:0:Z4145113658;7:00700:4:Z4178439528;7:00700:4:Z4448500511;
Cc1nccs1,16971,7:00700:0:Z2272349587;7:00700:0:Z2272368098;7:00700:0:Z1170002197;
FC1(F)C2CCCCCC21,578,7:00700:0:Z3640713798;7:00700:0:Z3626022369;7:00700:1:Z3626022274;
Cn1ccnc1,27637,7:00700:0:Z3346517527;7:00700:0:Z2311037583;7:00700:0:Z1117422194;
NC1CC2CCC1C2,1439,7:00700:0:Z3346517527;7:00700:0:Z4194905636;7:00700:0:Z4213938792;
FC1(F)CCNC1,4746,7:00700:0:Z4030904869;7:00700:1:Z1602278472;7:00700:1:Z2739928944;
Clc1ccc2c(c1)CCC2,1395,7:00700:0:Z3176013942;7:00700:0:Z2077048590;7:00700:1:Z4165882733;
c1nnc2n1CC1CC21,12,7:00700:0:Z3773589388;7:00700:0:Z3773590876;7:00702:3:Z3773590366;
CC1CCCO1,21458,7:00700:0:Z2046615209;7:00700:0:Z2390672257;7:00700:0:Z3856219683;
c1c[nH]nn1,68721,7:00700:0:Z2481475645;7:00700:0:Z4263786304;7:00700:0:Z3603744890;
O=C1NCC2CCC12,517,7:00700:0:Z3577358072;7:00700:0:Z3577356998;7:00700:0:Z3543559552;
c1nnc2n1CCNC2,1866,7:00700:0:Z4225014162;7:00700:1:Z3372567859;7:00700:1:Z1139436244;
Clc1cn[nH]c1,8369,7:00700:0:Z4193117041;7:00700:0:Z4405975757;7:00700:0:Z2091674621;
Cc1csc(C)n1,4830,7:00700:0:Z4193117041;7:00700:0:Z1360937628;7:00700:0:Z2631535691;
