fragment_smiles,occurences,example_ligands
O=C1CCCN1,63342,44:04400:0:Z3364462797;44:04400:0:Z3368808719;44:04400:0:Z2731512202;
Cc1cc[nH]n1,27923,44:04400:0:Z3368808719;44:04400:0:Z2731512202;44:04400:0:Z3368807542;
c1ccc2c(c1)NCCO2,2974,44:04400:0:Z2919030953;44:04400:0:Z3798935317;44:04400:0:Z2057182460;
Cc1csc2ncncc12,299,44:04400:0:Z758304616;44:04400:4:Z3235238004;44:04400:6:Z3080313013;
c1c[nH]nn1,81007,44:04400:0:Z2014454671;44:04400:0:Z2368642294;44:04400:0:Z3642760282;
Clc1ccncc1,2915,44:04400:0:Z3876638279;44:04400:0:Z4031295414;44:04400:0:Z3591620749;
c1ccn2cnnc2c1,5151,44:04400:0:Z3876638279;44:04400:0:Z3407834132;44:04400:0:Z1417031728;
c1nnc[nH]1,41839,44:04400:0:Z4266650814;44:04400:0:Z3190644164;44:04400:0:Z2631437007;
c1cc[nH]c1,27676,44:04400:0:Z4266650814;44:04400:0:Z4237912130;44:04400:0:Z4954076014;
CC1(C)CCC1O,2226,44:04400:0:Z4913232799;44:04400:0:Z4913225058;44:04400:0:Z3540461942;
C1CCC2(CC2)NC1,2481,44:04400:0:Z3307969299;44:04400:0:Z4094359176;44:04400:1:Z4270274837;
C1CNCC2(C1)CC2,1500,44:04400:0:Z4194825591;44:04400:0:Z3879112833;44:04400:0:Z3493588293;
c1cscn1,161756,44:04400:0:Z5018042997;44:04400:0:Z4229514124;44:04400:0:Z2661446563;
Fc1cccc(F)c1,46201,44:04400:0:Z2965058620;44:04400:0:Z3648713177;44:04400:0:Z1397981479;
Oc1cccnc1,2833,44:04400:0:Z1927436043;44:04400:0:Z4232902563;44:04400:1:Z1005256726;
FC1(F)CCC1,13697,44:04400:0:Z3615439571;44:04400:0:Z4142052671;44:04400:0:Z4508533672;
CC1CCOC12CC2(F)F,216,44:04400:0:Z3435302263;44:04400:2:Z3612926099;44:04400:3:Z3612927421;
c1ncn2c1CCCC2,2912,44:04400:0:Z3323047426;44:04400:0:Z3603235440;44:04400:1:Z1882984442;
Cc1ccncc1,15007,44:04400:0:Z2835868317;44:04400:0:Z2368642294;44:04400:0:Z3368858980;
C1CCCNCC1,23662,44:04400:0:Z2835868317;44:04400:0:Z3559483008;44:04400:0:Z4909674242;
Cc1ccccc1O,3295,44:04400:0:Z1546050992;44:04400:0:Z4470792069;44:04400:0:Z2501108162;
c1ccc2c(c1)CCN2,14774,44:04400:0:Z3198935348;44:04400:0:Z4137260477;44:04400:0:Z1840148434;
Oc1ccccc1,37313,44:04400:0:Z4412481817;44:04400:0:Z4412481815;44:04400:0:Z2968923489;
CC1CCCCC1,17518,44:04400:0:Z2994917947;44:04400:0:Z4644078441;44:04400:0:Z1716436962;
O=C1NCC2NCCCC12,399,44:04400:0:Z2994917947;44:04400:1:Z2989252890;44:04401:1:Z2994917588;
C1CCC2(CC1)CC2,4049,44:04400:0:Z4639001245;44:04400:0:Z1431558746;44:04400:0:Z3173509080;
Cc1cc(C)[nH]n1,20955,44:04400:0:Z1212702342;44:04400:0:Z4651424982;44:04400:0:Z2950234937;
NC1CCC2(CC1)CC2,368,44:04400:0:Z4910606937;44:04400:0:Z4910604790;44:04400:2:Z3830869983;
Cc1n[nH]c2ncccc12,776,44:04400:0:Z1334685061;44:04400:0:Z4226746357;44:04400:0:Z4020679142;
CC1(O)CCNC1,503,44:04400:0:Z1334685061;44:04400:0:Z2700464554;44:04400:1:Z2705779333;
CC1(C)CCCCC1,3782,44:04400:0:Z1943714565;44:04400:0:Z1498373769;44:04400:0:Z3365901898;
C1CNC2CCCC2C1,1426,44:04400:0:Z3521391388;44:04400:1:Z2706415242;44:04400:1:Z3550812769;
Cc1ccccc1C,13258,44:04400:0:Z2621686560;44:04400:0:Z1256796771;44:04400:0:Z2829286358;
Cn1cccn1,142679,44:04400:0:Z2790591935;44:04400:0:Z2645245493;44:04400:0:Z4266520064;
Oc1ccccc1F,3048,44:04400:0:Z2790591935;44:04400:0:Z2817276908;44:04400:0:Z3669906361;
C1CC2(C1)CCOC2,3356,44:04400:0:Z4271399130;44:04400:0:Z4472458550;44:04400:1:Z4346015191;
CN1CCCCC1,18855,44:04400:0:Z4288302161;44:04400:0:Z2819895688;44:04400:0:Z3047045322;
