fragment_smiles,occurences,example_ligands
Cc1ccccn1,50845,332:33200:0:PV-006432211170;332:33200:0:PV-006432211171;332:33200:0:PV-006432211172;
C1CC2(C1)CCOC2,4948,332:33200:0:PV-006432211170;332:33200:0:PV-006432211171;332:33200:0:PV-006432211172;
Cn1ccc2ccccc21,7386,332:33200:0:PV-006432211189;332:33200:0:PV-006432211190;332:33200:0:PV-006432218922;
FC1CCNCC1,29690,332:33200:0:PV-006432211189;332:33200:0:PV-006432211190;332:33200:0:PV-006432211881;
c1cnsc1,38856,332:33200:0:PV-006432211189;332:33200:0:PV-006432211190;332:33200:0:PV-006432211230;
c1ccncc1,288619,332:33200:0:PV-006432211210;332:33200:0:PV-006432211211;332:33200:0:PV-006432211431;
C1NCC2CC12,103805,332:33200:0:PV-006432211210;332:33200:0:PV-006432211211;332:33200:0:PV-006432212605;
CN1CCCC1,28618,332:33200:0:PV-006432211210;332:33200:0:PV-006432211211;332:33200:0:PV-006432216200;
Cc1ccnn1C,17123,332:33200:0:PV-006432211214;332:33200:0:PV-006432211215;332:33200:0:PV-006432211216;
CC1CCNC1,168119,332:33200:0:PV-006432211214;332:33200:0:PV-006432211215;332:33200:0:PV-006432211216;
Cc1cccnc1O,3457,332:33200:0:PV-006432211230;332:33200:0:PV-006432220654;332:33200:1:PV-006432250762;
C1CNC2(C1)CCNCC2,4927,332:33200:0:PV-006432211230;332:33200:0:PV-006432224932;332:33200:0:PV-006432230062;
C1CC2CNCC2O1,7868,332:33200:0:PV-006432211237;332:33200:0:PV-006432214494;332:33200:0:PV-006432217984;
c1cscn1,95339,332:33200:0:PV-006432211237;332:33200:0:PV-006432211242;332:33200:0:PV-006432211244;
Cc1ccon1,33854,332:33200:0:PV-006432211238;332:33200:0:PV-006432211612;332:33200:0:PV-006432212946;
CC1CNC1,47523,332:33200:0:PV-006432211238;332:33200:0:PV-006432212767;332:33200:0:PV-006432214841;
