fragment_smiles,occurences,example_ligands
CC1(C)CC1(C)C,9432,363:36300:0:PV-004396490070;363:36300:0:PV-004396490182;363:36300:0:PV-004396490597;
C1CCCCC1,222577,363:36300:0:PV-004396490070;363:36300:0:PV-004396490353;363:36300:0:PV-004396490780;
O=C1CSCN1,1436,363:36300:0:PV-004396490070;363:36300:0:PV-004396512790;363:36300:2:PV-004396542321;
C1CCNC1,596094,363:36300:0:PV-004396490072;363:36300:0:PV-004396490146;363:36300:0:PV-004396490261;
C1COC2CNCC2N1,5732,363:36300:0:PV-004396490072;363:36300:0:PV-004396491795;363:36300:0:PV-004396492794;
c1cncnc1,63706,363:36300:0:PV-004396490086;363:36300:0:PV-004396490504;363:36300:0:PV-004396491303;
OC1CCNC1,92248,363:36300:0:PV-004396490095;363:36300:0:PV-004396490096;363:36300:0:PV-004396490713;
c1ccc2c(c1)CCS2,1947,363:36300:0:PV-004396490095;363:36300:0:PV-004396490096;363:36300:0:PV-004396512098;
C1NCC2CC12,104368,363:36300:0:PV-004396490111;363:36300:0:PV-004396490112;363:36300:0:PV-004396490136;
c1ccncc1,289737,363:36300:0:PV-004396490111;363:36300:0:PV-004396490112;363:36300:0:PV-004396490120;
C1CCC2(CC1)CCC2,7793,363:36300:0:PV-004396490120;363:36300:0:PV-004396494695;363:36300:0:PV-004396494943;
Cc1ccn2ncnc2n1,617,363:36300:0:PV-004396490121;363:36300:1:PV-004396538923;363:36300:2:PV-004396566334;
C1CNCCNC1,28336,363:36300:0:PV-004396490121;363:36300:0:PV-004396491113;363:36300:0:PV-004396493211;
C1CC2CCC1N2,25479,363:36300:0:PV-004396490130;363:36300:0:PV-004396490131;363:36300:0:PV-004396491839;
Cn1cccn1,130112,363:36300:0:PV-004396490136;363:36300:0:PV-004396490615;363:36300:0:PV-004396490616;
CC1CCNC1,167758,363:36300:0:PV-004396490146;363:36300:0:PV-004396490983;363:36300:0:PV-004396490984;
C1CCOC1,137482,363:36300:0:PV-004396490146;363:36300:0:PV-004396490193;363:36300:0:PV-004396490988;
C1CNCCN1,152811,363:36300:0:PV-004396490148;363:36300:0:PV-004396490193;363:36300:0:PV-004396490240;
C1=NOCC1,10087,363:36300:0:PV-004396490148;363:36300:0:PV-004396499979;363:36300:0:PV-004396499980;
Cc1ccccc1,112775,363:36300:0:PV-004396490148;363:36300:0:PV-004396490287;363:36300:0:PV-004396490481;
c1ccc2[nH]nnc2c1,4555,363:36300:0:PV-004396490149;363:36300:0:PV-004396490150;363:36300:0:PV-004396490151;
C1CC2CCC1C2,21740,363:36300:0:PV-004396490149;363:36300:0:PV-004396490150;363:36300:0:PV-004396490151;
Cc1cccc(F)c1,26153,363:36300:0:PV-004396490159;363:36300:0:PV-004396490856;363:36300:0:PV-004396492115;
C1CCCNCC1,97242,363:36300:0:PV-004396490159;363:36300:0:PV-004396490186;363:36300:0:PV-004396490187;
CC1COCCO1,4968,363:36300:0:PV-004396490168;363:36300:0:PV-004396491099;363:36300:0:PV-004396491303;
Clc1ccccc1,74397,363:36300:0:PV-004396490168;363:36300:0:PV-004396490339;363:36300:0:PV-004396490721;
C1CC2CC2CN1,11927,363:36300:0:PV-004396490170;363:36300:0:PV-004396494560;363:36300:0:PV-004396495960;
c1cc2c(cn1)COCC2,818,363:36300:0:PV-004396490170;363:36300:4:PV-004396597593;363:36300:4:PV-004396618596;
Cc1ccccn1,50677,363:36300:0:PV-004396490182;363:36300:0:PV-004396490931;363:36300:0:PV-004396490932;
C1COCCN1,63735,363:36300:0:PV-004396490182;363:36300:0:PV-004396490638;363:36300:0:PV-004396491095;
C1CNCCCNC1,8991,363:36300:0:PV-004396490184;363:36300:0:PV-004396496657;363:36300:0:PV-004396498674;
Oc1ccccc1Cl,6153,363:36300:0:PV-004396490184;363:36300:0:PV-004396513878;363:36300:0:PV-004396513879;
C1CNCC2(C1)CCNC2,5721,363:36300:0:PV-004396490192;363:36300:0:PV-004396508122;363:36300:0:PV-004396509759;
OC1CCCC1,32050,363:36300:0:PV-004396490192;363:36300:0:PV-004396490367;363:36300:0:PV-004396491059;
Cc1ccncc1,27114,363:36300:0:PV-004396490193;363:36300:0:PV-004396490954;363:36300:0:PV-004396491488;
Cc1ncc[nH]1,22724,363:36300:0:PV-004396490211;363:36300:0:PV-004396490212;363:36300:0:PV-004396490927;
C1CCNCC1,552464,363:36300:0:PV-004396490211;363:36300:0:PV-004396490212;363:36300:0:PV-004396490276;
O=C1NCCN1,12987,363:36300:0:PV-004396490211;363:36300:0:PV-004396490212;363:36300:0:PV-004396498982;
c1ccccc1,386886,363:36300:0:PV-004396490239;363:36300:0:PV-004396490255;363:36300:0:PV-004396490396;
OC1CNC1,36130,363:36300:0:PV-004396490239;363:36300:0:PV-004396490852;363:36300:0:PV-004396490908;
CC1(C)CCC1,21101,363:36300:0:PV-004396490239;363:36300:0:PV-004396490523;363:36300:0:PV-004396491214;
CC1CC(C)C1,5352,363:36300:0:PV-004396490240;363:36300:0:PV-004396497532;363:36300:0:PV-004396501076;
Cc1ccn[nH]1,44783,363:36300:0:PV-004396490246;363:36300:0:PV-004396497098;363:36300:0:PV-004396497782;
C1CCC2CCC2C1,1983,363:36300:0:PV-004396490246;363:36300:0:PV-004396503453;363:36300:0:PV-004396504201;
Fc1ccccc1,169715,363:36300:0:PV-004396490246;363:36300:0:PV-004396490579;363:36300:0:PV-004396490676;
