fragment_smiles,occurences,example_ligands
Cn1cnc2ccccc2c1=O,211,28:02800:0:Z3557658910;28:02800:3:Z4458903687;28:02800:7:Z2491571271;
Oc1ccncn1,2478,28:02800:0:Z3521505930;28:02800:0:Z3870453252;28:02800:0:Z2360870705;
c1n[nH]c2c1CCNC2,752,28:02800:0:Z1494977730;28:02800:1:Z1495306753;28:02800:2:Z4176007332;
Cc1ncc2ccsc2n1,244,28:02800:0:Z3559414697;28:02800:5:Z3557244926;28:02800:8:Z3557743076;
CC1C(O)CC2CCC1N2,303,28:02800:0:Z3559414697;28:02800:1:Z2784649556;28:02800:7:Z3671260191;
Cc1cocn1,8388,28:02800:0:Z3324125552;28:02800:0:Z2191941118;28:02800:0:Z3646719107;
CC1NCCc2cc(Cl)ccc21,58,28:02800:0:Z3324125552;28:02801:1:Z4028942759;28:02802:1:Z3386079109;
CC1=CCCO1,726,28:02800:0:Z3343706771;28:02800:2:Z3573133848;28:02800:2:Z3573134235;
O=c1ccnc[nH]1,2947,28:02800:0:Z3513434974;28:02800:1:Z4230930833;28:02800:1:Z4304534658;
CC12CNCC1CSC2,524,28:02800:0:Z2966561133;28:02800:0:Z2966559254;28:02800:2:Z4019151845;
c1cnc2c(c1)C1(CCNCC1)CO2,21,28:02800:0:Z3654280198;28:02809:1:Z4155877973;28:02815:0:Z3522053320;
NC1CCC2CNCC12,313,28:02800:0:Z3828858376;28:02801:3:Z2503880880;28:02802:5:Z2503880828;
c1cc2c(nn1)CCCC2,247,28:02800:0:Z3828858376;28:02802:0:Z4018796733;28:02802:2:Z3828013441;
FC1CCOCC1,1567,28:02800:0:Z2816940490;28:02800:0:Z2776057811;28:02800:2:Z2820633139;
NC1=CCNN1,294,28:02800:0:Z2961665599;28:02800:2:Z2961663578;28:02800:5:Z2961665105;
C1COC2(C1)CNC2,1705,28:02800:0:Z2718732802;28:02800:1:Z3575683844;28:02800:2:Z2977730039;
Cc1cc(F)ccc1F,788,28:02800:0:Z2588589224;28:02800:0:Z3382681841;28:02800:1:Z4195152888;
Cn1c(=O)cc[nH]c1=O,776,28:02800:0:Z4137994169;28:02800:3:Z1275952011;28:02800:4:Z3076016504;
c1cnc2occc2c1,460,28:02800:0:Z3298626520;28:02800:6:Z2256545917;28:02801:3:Z2256431186;
NC1CCc2ccccc21,588,28:02800:0:Z4224079174;28:02800:1:Z4055045376;28:02800:3:Z3888471307;
O=C1CC2CCC1C2,1437,28:02800:0:Z5013035465;28:02800:0:Z2302227059;28:02800:0:Z5013867713;
CN1CNc2cc(Cl)ccc2C1=O,8,28:02800:0:Z751898256;28:02813:5:Z2830880120;28:02814:9:Z1272836304;
CC1CCSC1,1992,28:02800:0:Z3572209144;28:02800:0:Z2077794754;28:02800:0:Z3068218925;
O=C1NCCCC12CCCNC2,109,28:02800:0:Z2261941895;28:02803:5:Z2835520356;28:02804:2:Z1767817698;
NC1CC(F)C1,1209,28:02800:0:Z3701051065;28:02800:0:Z3795863046;28:02800:0:Z3795944187;
c1ncc2nn[nH]c2n1,513,28:02800:0:Z3078507900;28:02800:1:Z2972443914;28:02800:3:Z4182991737;
CC1(C)CNCCOC1,583,28:02800:0:Z3078507900;28:02800:1:Z3103618069;28:02800:2:Z3301834292;
C1CNCC2CCOC2C1,368,28:02800:0:Z4312286123;28:02800:0:Z3587099281;28:02800:1:Z4312286005;
Cc1cn2cc(Cl)nc2s1,150,28:02800:0:Z4150824906;28:02800:2:Z4563110264;28:02800:5:Z4430209419;
FC1(F)CC12CCC2,4157,28:02800:0:Z3009094931;28:02800:0:Z4399369396;28:02800:0:Z2700057203;
OC1CC2CNCC2C1,1003,28:02800:0:Z4173950206;28:02800:0:Z4156815845;28:02800:5:Z4154373416;
FC1(F)CCCNC1,3381,28:02800:0:Z4178603321;28:02800:0:Z3390083433;28:02800:1:Z3792540022;
Clc1ccncn1,2218,28:02800:0:Z3562077978;28:02800:0:Z1558605043;28:02800:0:Z1721047482;
NC1CCOC1,2155,28:02800:0:Z3551083227;28:02800:1:Z4215806144;28:02800:1:Z4860168505;
CC1CC2CNCC2N1,237,28:02800:0:Z3365311678;28:02800:2:Z2789486815;28:02800:7:Z2790689362;
Cc1ccc(C)nc1,2157,28:02800:0:Z3359877308;28:02800:0:Z3047069731;28:02800:0:Z4191586927;
CC1CNCCC1(F)F,547,28:02800:0:Z2167320944;28:02800:2:Z4394521282;28:02800:2:Z3576830044;
CC1CCc2ccccc21,1108,28:02800:0:Z2043296470;28:02800:1:Z2581230977;28:02800:1:Z3597725086;
Cc1ccnc2ncnn12,168,28:02800:0:Z1146815162;28:02800:5:Z3143451554;28:02800:7:Z991711128;
Cn1ncc2cncnc21,513,28:02800:0:Z3833128618;28:02800:3:Z3383611096;28:02800:4:Z805425516;
Cc1ccc[nH]c1=O,1131,28:02800:0:Z4145510791;28:02800:1:Z3057523815;28:02800:1:Z2093751995;
O=C1CCC2CC12,786,28:02800:0:Z2923222327;28:02800:4:Z2904815671;28:02800:5:Z2906061703;
CC1CC(O)CN1,1389,28:02800:0:Z2958870688;28:02800:1:Z3514273454;28:02800:2:Z4205902607;
O=c1cccc2n1CCCCC2,40,28:02800:0:Z4168645659;28:02804:5:Z4307308276;28:02804:5:Z4175373329;
Clc1cncc(Cl)c1,2804,28:02800:0:Z3890529340;28:02800:2:Z3752967070;28:02800:3:Z2350026053;
Cc1c[nH]c(C)c1,1055,28:02800:0:Z3503524369;28:02800:1:Z2697698560;28:02800:1:Z1522481310;
c1ccc2c(c1)CCCC2,5296,28:02800:0:Z2254411419;28:02800:0:Z1966419367;28:02800:0:Z1268839570;
O=C1CNCC2CCCN12,391,28:02800:0:Z3595482490;28:02800:0:Z3521095131;28:02800:8:Z3622706512;
c1ncc2c(n1)C1CCC2C1,27,28:02800:0:Z4648749801;28:02800:5:Z4648755617;28:02802:8:Z4648755021;
Cc1ccn(C)c1,1055,28:02800:0:Z3583329089;28:02800:1:Z1933239850;28:02800:1:Z2232855292;
C1OCC2CC12,5862,28:02800:0:Z2480262588;28:02800:0:Z3204526758;28:02800:0:Z4078287181;
CN1CCC(N)C1,319,28:02800:0:Z3701182500;28:02800:0:Z2827253495;28:02800:3:Z2607442790;
c1cnon1,1215,28:02800:0:Z2275127165;28:02800:0:Z4275662165;28:02800:1:Z4091320509;
Cn1ncc2ncncc21,297,28:02800:0:Z3990026053;28:02800:0:Z4456116101;28:02800:0:Z3558987096;
C1CCCC2(CC1)OCCO2,184,28:02800:0:Z3366501341;28:02800:2:Z4101189396;28:02800:4:Z3394501788;
C1COC2(C1)CCNC2,835,28:02800:0:Z4446305504;28:02800:0:Z2977901076;28:02800:1:Z4446323794;
O=C1CC2(CCC2)C1,534,28:02800:0:Z2203310670;28:02800:0:Z2219881739;28:02800:1:Z2209501304;
FC1(F)CCOCC1,2319,28:02800:0:Z4000929227;28:02800:0:Z3789057664;28:02800:0:Z3685224592;
CC1CCCc2ccnn21,384,28:02800:0:Z4007957432;28:02800:1:Z4022300328;28:02800:1:Z3818527019;
CC1CCC2CN=CN2C1,44,28:02800:0:Z4209853356;28:02800:9:Z4209848612;28:02803:1:Z4209853515;
C1CC2CNC(C1)C2,2896,28:02800:0:Z4215275132;28:02800:1:Z2956904426;28:02800:1:Z2828420608;
CC1OCCO1,2504,28:02800:0:Z4405979220;28:02800:0:Z4186842943;28:02800:0:Z3299928657;
O=c1[nH]nc2n1CCCCC2,137,28:02800:0:Z3168618551;28:02800:1:Z2877483395;28:02800:5:Z2852082408;
Cc1ccc2c(c1)CCC2,586,28:02800:0:Z4104146174;28:02800:2:Z1556178700;28:02801:1:Z3390682625;
OC1CC2CCCC(C1)N2,336,28:02800:0:Z3681516829;28:02800:1:Z3615100089;28:02800:2:Z3816060897;
C1CCC2(C1)OCCO2,1701,28:02800:0:Z1606891641;28:02800:1:Z4100381954;28:02800:1:Z2027389786;
C1CC2(C1)CNC21CCC1,180,28:02800:0:Z4556778271;28:02800:7:Z4556780227;28:02801:2:Z4556539837;
CN1CC2CNCC2(C)C1,375,28:02800:0:Z3651546310;28:02800:3:Z2964307076;28:02800:9:Z3671971119;
CN1CCC(F)(F)CC1,270,28:02800:0:Z4273411540;28:02800:2:Z2973131378;28:02800:3:Z4115757466;
Cc1n[nH]c2ccccc12,423,28:02800:0:Z4058261546;28:02800:1:Z2621714381;28:02800:1:Z3585418955;
NC1CCNCC12CCC2,195,28:02800:0:Z3519706063;28:02800:0:Z3519708349;28:02800:8:Z3829585141;
c1ccc2[nH]cnc2c1,5780,28:02800:0:Z3519706063;28:02800:1:Z2458270912;28:02800:1:Z4142083389;
C1COCC2(C1)CCC2,1841,28:02800:0:Z3361868163;28:02800:1:Z3504037510;28:02800:2:Z4399438001;
C1CC2CNCC(C1)N2,631,28:02800:0:Z3700180343;28:02800:3:Z3632677246;28:02800:3:Z3700191652;
Oc1cccc2c1CCCNC2,129,28:02800:0:Z4908323519;28:02800:6:Z4907389033;28:02800:9:Z4907389790;
C1CC2CCC1CNC2,174,28:02800:0:Z3820698425;28:02800:5:Z3820695910;28:02800:9:Z3805500708;
Cc1ccc2sncc2c1,170,28:02800:0:Z2217359500;28:02800:3:Z2227225054;28:02800:8:Z5017956127;
CC1CNCCCN1,323,28:02800:0:Z2911513369;28:02800:9:Z4390647343;28:02801:0:Z2943572090;
FC1(F)C2(CCC2)C12CC2,395,28:02800:0:Z4138376439;28:02800:3:Z4980022150;28:02801:4:Z4197752845;
c1nnc2n1CCC2,2040,28:02800:0:Z2955807375;28:02800:0:Z4481306314;28:02800:1:Z2599369284;
OC1CNCC1F,741,28:02800:0:Z3619240445;28:02800:1:Z3316963410;28:02800:4:Z3391241621;
CC1CNCC(C)C1,1929,28:02800:0:Z2984300970;28:02800:3:Z3883210025;28:02800:3:Z2836790526;
Cc1ncsn1,2625,28:02800:0:Z4219666027;28:02800:0:Z5035332046;28:02800:0:Z4219675793;
CC1CC(C)C(C)O1,908,28:02800:0:Z2792650307;28:02800:3:Z2703068732;28:02800:4:Z3060650624;
O=c1ccc(Cl)n[nH]1,624,28:02800:0:Z2792650307;28:02800:2:Z2040155868;28:02800:6:Z4289067888;
CC1(C)CCC2(CCN2)CC1,103,28:02800:0:Z3622688218;28:02800:4:Z3645842699;28:02800:6:Z4295380448;
O=C1CNC2(CCNCC2)N1,84,28:02800:0:Z3551392135;28:02800:7:Z3511041804;28:02804:4:Z4205279405;
CC1NCCn2cnnc21,377,28:02800:0:Z1845873072;28:02800:2:Z1840428472;28:02800:2:Z1844362840;
C1COC2CC2C1,1352,28:02800:0:Z3053925692;28:02800:0:Z4268357804;28:02800:2:Z4263833108;
Cn1c(=O)ccc2ccccc21,246,28:02800:0:Z2457035469;28:02800:2:Z3868953828;28:02800:6:Z4230119219;
Fc1ccncc1,1030,28:02800:0:Z4482416521;28:02800:1:Z4481861430;28:02800:2:Z4261581750;
C1CC2COCC2N1,970,28:02800:0:Z3520031162;28:02800:1:Z4406974030;28:02800:1:Z3520025247;
FC=C1CCCNC1,276,28:02800:0:Z4228518986;28:02800:1:Z4274063975;28:02800:3:Z4870944382;
c1ccc2nonc2c1,1778,28:02800:0:Z3301781890;28:02800:0:Z3301749785;28:02800:0:Z3301917578;
C1=NC2CCCCC2N1,269,28:02800:0:Z3301781890;28:02800:0:Z3301749785;28:02800:0:Z3301917578;
Cc1ccncc1O,220,28:02800:0:Z2892342750;28:02800:5:Z2890772042;28:02800:8:Z2907462797;
O=C1CC2CCC1CC2,582,28:02800:0:Z4516945956;28:02800:0:Z4076725573;28:02800:3:Z4113702168;
Cc1cc2[nH]ccc2s1,226,28:02800:0:Z4055996295;28:02800:4:Z3362821460;28:02801:3:Z4056006906;
CC1(C)CCCCN1,2772,28:02800:0:Z4055996295;28:02800:0:Z3880341828;28:02800:0:Z4410236358;
Nc1ccc(Cl)cn1,375,28:02800:0:Z2969616941;28:02800:1:Z3831834777;28:02800:4:Z2969888237;
C1SC2CC1C2,882,28:02800:0:Z4018422582;28:02800:0:Z4018685447;28:02800:0:Z4017830365;
Cc1ccnc(C)n1,3520,28:02800:0:Z1666505522;28:02800:0:Z3710784484;28:02800:1:Z2598713050;
Cn1ccn2nccc12,308,28:02800:0:Z4104111078;28:02800:1:Z4105140192;28:02800:2:Z4224468497;
Cc1cccc2c1CCO2,230,28:02800:0:Z2335433602;28:02800:2:Z2335288174;28:02800:7:Z3254641467;
CC1CC2CCC1O2,789,28:02800:0:Z2388057216;28:02800:1:Z2388057608;28:02800:2:Z3551719604;
c1cc2c(o1)CCCC2,1496,28:02800:0:Z2388057216;28:02800:0:Z3899565327;28:02800:0:Z3085624602;
Cc1coc(C)c1,1820,28:02800:0:Z3898503850;28:02800:1:Z3803789698;28:02800:1:Z2045453189;
Nc1cc[nH]n1,1098,28:02800:0:Z4050961052;28:02800:0:Z4456064983;28:02800:1:Z4225781528;
c1cc2cn[nH]c2s1,271,28:02800:0:Z3583326009;28:02800:5:Z4054862776;28:02801:0:Z3551294023;
Cc1n[nH]c(C)n1,1479,28:02800:0:Z1346691265;28:02800:1:Z4153731369;28:02800:1:Z2483375772;
Cn1nc(O)c2c1CNCC2,190,28:02800:0:Z2915461235;28:02800:4:Z2973973977;28:02800:6:Z4106480532;
CC1(C)OCC2CC21,791,28:02800:0:Z3671137549;28:02800:1:Z2718246658;28:02800:1:Z3623866088;
CC1CN=CNC1,132,28:02800:0:Z3301936810;28:02800:4:Z3301939688;28:02800:6:Z3301942299;
Fc1cc[nH]c1,629,28:02800:0:Z3610440811;28:02800:2:Z2227307764;28:02800:2:Z2218998439;
Cc1[nH]c(=O)sc1C,639,28:02800:0:Z1276156897;28:02800:3:Z4646990145;28:02800:5:Z4576194277;
Cc1cc2ccccc2[nH]1,955,28:02800:0:Z4232582497;28:02800:0:Z1482524774;28:02800:0:Z1482522572;
O=C1NCCc2ccncc21,136,28:02800:0:Z3537087211;28:02800:4:Z4264817636;28:02803:2:Z4239361850;
Cc1ccc2nsnc2c1,232,28:02800:0:Z3643864966;28:02800:0:Z3407179308;28:02800:5:Z4614165563;
CN1CCC2(CCNCC2)CC1,181,28:02800:0:Z3077717503;28:02800:3:Z4401297365;28:02800:8:Z4022558480;
Fc1cccc2c1OCCC2,369,28:02800:0:Z2986716824;28:02800:0:Z1188523516;28:02800:0:Z1796352924;
CC1CNC(C)(C)CO1,372,28:02800:0:Z4268088090;28:02800:1:Z1682034847;28:02800:8:Z4249756357;
c1cnc2c(c1)CCCCC2,86,28:02800:0:Z4347774863;28:02802:5:Z2373201235;28:02802:7:Z4152118011;
OC1CCC2CNCCC2C1,166,28:02800:0:Z2297707303;28:02800:9:Z2950100030;28:02801:5:Z3471394025;
Clc1ccc2c(c1)OCCC2,322,28:02800:0:Z2645585684;28:02800:8:Z5057569127;28:02801:2:Z4256361177;
Cc1cccc2cn(C)nc12,23,28:02800:0:Z3710784484;28:02801:8:Z3710784618;28:02806:1:Z3777134473;
C1CCc2[nH]nnc2C1,1243,28:02800:0:Z2624055803;28:02800:0:Z3367431098;28:02800:1:Z4089422340;
NC1CCCCNC1,439,28:02800:0:Z3639644906;28:02800:2:Z3699843670;28:02800:3:Z3699862478;
CC1CCC(=O)NC1,821,28:02800:0:Z1984207709;28:02800:1:Z3554258160;28:02800:1:Z3947881800;
O=c1cc[nH]cn1,448,28:02800:0:Z3513013842;28:02800:0:Z1855651712;28:02800:2:Z4005887887;
C1CC12CNC2,1113,28:02800:0:Z5018329854;28:02800:3:Z3815240698;28:02800:5:Z4116967100;
C1COC2(CCN1)CCSC2,245,28:02800:0:Z3881773098;28:02800:4:Z3833283358;28:02800:4:Z3822098947;
CC1CNCc2cn[nH]c2C1,211,28:02800:0:Z3870365850;28:02800:1:Z3314063085;28:02800:6:Z3314055395;
O=c1ccc2c([nH]1)CCCC2,401,28:02800:0:Z2475321135;28:02800:6:Z3380477592;28:02801:1:Z1711833623;
c1ccc2c(c1)CNCCO2,1015,28:02800:0:Z2020357464;28:02800:0:Z3308377952;28:02800:4:Z4210576630;
O=C1NCCOC2CCCNC12,177,28:02800:0:Z2840569487;28:02800:0:Z4315075521;28:02800:2:Z4315077003;
CC1CCNCC(C)C1,318,28:02800:0:Z2931819132;28:02800:5:Z3135122661;28:02801:1:Z3797204282;
Cc1ccc(Cl)c(O)c1,168,28:02800:0:Z3842032113;28:02801:0:Z4142262665;28:02801:2:Z3919387065;
Cc1nncn1C,3115,28:02800:0:Z3842032113;28:02800:1:Z1994607463;28:02800:2:Z2843437108;
CC1(C)CCOCCN1,293,28:02800:0:Z4119526219;28:02800:0:Z4119485324;28:02801:1:Z4181320434;
CN1CC2(C)CNCC2(C)C1,157,28:02800:0:Z2915788636;28:02800:1:Z2915791133;28:02800:7:Z3576484229;
Nc1nccs1,2654,28:02800:0:Z4106898817;28:02800:0:Z3830202853;28:02800:0:Z3101915377;
c1cnn2cnnc2c1,1504,28:02800:0:Z1517709034;28:02800:0:Z4226237864;28:02800:1:Z4646756168;
CC12CNC(C1)C2,811,28:02800:0:Z5013378521;28:02800:0:Z4935181360;28:02800:0:Z4935193850;
CC1(C)CC(N)CN1,279,28:02800:0:Z3700126547;28:02800:2:Z3700124820;28:02801:1:Z3639353367;
C1CC2CCC(CN1)N2,1038,28:02800:0:Z2440787217;28:02800:1:Z2368427929;28:02800:1:Z1498660710;
O=C1Cc2ccccc2N1,1097,28:02800:0:Z3833028927;28:02800:0:Z3851494760;28:02800:1:Z1816823288;
C1NCC2CNCC12,930,28:02800:0:Z4053812646;28:02800:1:Z3571780072;28:02800:2:Z2842637180;
Cc1nc2n(n1)CCNC2,344,28:02800:0:Z3770425676;28:02800:6:Z1367082859;28:02800:6:Z4484347902;
OC1C2CCC(C2)C1O,830,28:02800:0:Z4294380690;28:02800:0:Z3839068748;28:02800:1:Z4231935537;
Cc1ncn(C)c1C,643,28:02800:0:Z3806455038;28:02800:1:Z3801981914;28:02800:1:Z4452948270;
O=C1CCC2(CCNC2)N1,371,28:02800:0:Z3806455038;28:02800:6:Z3321693812;28:02800:7:Z3395314732;
CC1CCNCC1O,1409,28:02800:0:Z3601726117;28:02800:0:Z3542849684;28:02800:2:Z2510056725;
CC1NCCN(C)C1=O,587,28:02800:0:Z3095066364;28:02800:0:Z1816132357;28:02800:7:Z3938522135;
C1CCC2(CCOC2)NC1,219,28:02800:0:Z3317897428;28:02800:9:Z3619555302;28:02801:0:Z3091934801;
Fc1ccc2c(c1)CCCS2,164,28:02800:0:Z3861384093;28:02800:6:Z1442477271;28:02801:0:Z3511995701;
NC1CCNCC1,3043,28:02800:0:Z3383616028;28:02800:0:Z3779346272;28:02800:0:Z3519692999;
C1CCC2CNCC2C1,2155,28:02800:0:Z3383616028;28:02800:0:Z4317468107;28:02800:1:Z2506528546;
C1CN2C3CCC(C3)C2CN1,76,28:02800:0:Z4251739927;28:02801:9:Z4251718286;28:02802:0:Z4251722043;
Cc1ccc2cnccc2c1,214,28:02800:0:Z3152065410;28:02800:5:Z3793383591;28:02800:8:Z2645611311;
c1cc2n(n1)CCO2,949,28:02800:0:Z4114805305;28:02800:1:Z3715889750;28:02800:2:Z4477523269;
OC1CCNCC1F,734,28:02800:0:Z2974499820;28:02800:1:Z3518372645;28:02800:3:Z2957194784;
CC1OC2(C)CC1C2,588,28:02800:0:Z3639018287;28:02800:1:Z3443799539;28:02800:3:Z3578395204;
Fc1ccc2c(c1)CCC2,1716,28:02800:0:Z3205429781;28:02800:0:Z3205429452;28:02800:0:Z3186802046;
OC1CCCCC1O,681,28:02800:0:Z4475219321;28:02800:1:Z4665479889;28:02800:4:Z4312005931;
C1CC2(C1)CC1(CCC1)C2,287,28:02800:0:Z4475219321;28:02800:2:Z3052026942;28:02800:3:Z3049818000;
C1CC2CNC1CN2,645,28:02800:0:Z4392358854;28:02800:2:Z4156565663;28:02800:5:Z2376815982;
C1CCC2(CC1)CNC2,753,28:02800:0:Z2364260664;28:02800:0:Z3543355887;28:02800:3:Z4473496563;
C1CCC2(CCCC2)OC1,902,28:02800:0:Z3592595630;28:02800:1:Z2913285708;28:02800:2:Z3361784160;
C1CC2CC(C2)O1,2713,28:02800:0:Z4040511013;28:02800:0:Z4506586461;28:02800:0:Z5039965472;
C1CC2COCC(C2)N1,463,28:02800:0:Z4344029590;28:02800:1:Z4352911575;28:02800:2:Z4347003758;
C1CC2(CCO1)CC2,1461,28:02800:0:Z2722142373;28:02800:0:Z3617714298;28:02800:0:Z4630190051;
NC1CC2CCCC12,1297,28:02800:0:Z4878971970;28:02800:0:Z3823771934;28:02800:5:Z4079674693;
c1cnc2[nH]cnc2c1,1290,28:02800:0:Z4878971970;28:02800:0:Z2230729391;28:02800:2:Z2604806196;
O=c1[nH]cnc2ccccc12,1034,28:02800:0:Z2839641574;28:02800:0:Z1220644394;28:02800:1:Z2610035819;
C1NCC2CC1CO2,660,28:02800:0:Z2839641574;28:02800:3:Z3982386455;28:02800:4:Z4099515749;
CC1CC2CCC(C1)S2,447,28:02800:0:Z4294747598;28:02800:2:Z3366624293;28:02800:6:Z3049677924;
Cc1cccc(F)c1F,788,28:02800:0:Z3890102980;28:02800:0:Z4298521203;28:02800:1:Z2700058211;
C1CCC2(C1)CCCN2,1087,28:02800:0:Z3719297897;28:02800:0:Z3719297898;28:02800:0:Z3719296129;
Cc1sc2ncncc2c1C,180,28:02800:0:Z3080063862;28:02800:2:Z4176772762;28:02800:7:Z31209237;
C1CCC2(CNC2)OC1,949,28:02800:0:Z3080063862;28:02800:1:Z2902176915;28:02800:2:Z3175386077;
c1ncc2scnc2n1,314,28:02800:0:Z3561810023;28:02800:3:Z4250434971;28:02800:4:Z3830240613;
Cc1ccnc(N)c1,281,28:02800:0:Z4106565535;28:02800:1:Z4106733085;28:02800:4:Z2997568631;
C1CCNNC1,487,28:02800:0:Z2639169141;28:02800:0:Z4135587570;28:02800:4:Z2639166953;
Fc1cncc(F)c1,1704,28:02800:0:Z5061674291;28:02800:0:Z4456393437;28:02800:1:Z2872159854;
C1=NOC2(C1)CNC2,356,28:02800:0:Z4273076319;28:02800:0:Z4273074261;28:02800:3:Z3534062150;
CN1CCNC2(CCCCC2)C1,86,28:02800:0:Z3253365959;28:02800:0:Z3103953655;28:02800:7:Z2488671453;
NC1CNCC(O)C1,360,28:02800:0:Z3797194623;28:02800:3:Z4392173762;28:02800:5:Z3797196666;
C1CCOC2(CC1)CCNC2,245,28:02800:0:Z4158031072;28:02800:4:Z4156021485;28:02800:6:Z4187054137;
c1nnn2c1COC1CNCC12,116,28:02800:0:Z4474983954;28:02805:3:Z4474985841;28:02805:9:Z4474974309;
Cc1ccc2nncn2n1,125,28:02800:0:Z3939579199;28:02800:7:Z2481148613;28:02801:4:Z1865852601;
O=c1[nH]cnc2cnccc12,185,28:02800:0:Z1743158413;28:02800:5:Z3493991060;28:02800:8:Z2977053137;
C1CCC2(CC1)CCC2,3723,28:02800:0:Z3481621563;28:02800:0:Z1829235953;28:02800:0:Z3505984501;
OC1CCCC1F,517,28:02800:0:Z4079246054;28:02800:0:Z4079435009;28:02800:0:Z4079434958;
CC1CNCC1N,1112,28:02800:0:Z3105840933;28:02800:0:Z3135937044;28:02800:1:Z3045675192;
c1cc2n(n1)CCN2,277,28:02800:0:Z3105840933;28:02800:0:Z3135937044;28:02800:2:Z4212227017;
CC1CCS(=O)(=O)CC1,436,28:02800:0:Z3640034477;28:02800:4:Z3367481136;28:02800:6:Z3293868972;
Cc1cnc(C)cn1,606,28:02800:0:Z4435984664;28:02800:3:Z4035873913;28:02800:6:Z3831432084;
O=c1ccc2ccc(F)cc2[nH]1,120,28:02800:0:Z3361652707;28:02803:4:Z3384546883;28:02803:6:Z3361888795;
Cc1ccc2cc[nH]c2c1,700,28:02800:0:Z2589884458;28:02800:6:Z3597084358;28:02800:7:Z2286119469;
CC1CNCc2nncn21,360,28:02800:0:Z5041849143;28:02800:2:Z5059655231;28:02800:5:Z5051432817;
c1[nH]nc2c1CCNC2,280,28:02800:0:Z4644336941;28:02800:0:Z4029094352;28:02801:2:Z4029081577;
C1CC2(C1)COCCN2,1353,28:02800:0:Z1488241878;28:02800:1:Z3495821693;28:02800:1:Z4065387163;
C1CC2COCC2CN1,594,28:02800:0:Z2615674514;28:02800:1:Z3555388355;28:02800:4:Z2604715927;
Cc1nc2ccccn2n1,745,28:02800:0:Z3608023190;28:02800:0:Z3134060688;28:02800:4:Z3640887930;
C1COC2(CC2)CN1,723,28:02800:0:Z4233065452;28:02800:2:Z3783441465;28:02800:3:Z3879119991;
Cc1nc2c(s1)NCCCC2,98,28:02800:0:Z3603890894;28:02800:7:Z4269730654;28:02801:3:Z4667433872;
CC1CCCCS1,2746,28:02800:0:Z3534763581;28:02800:0:Z4229674424;28:02800:0:Z4170010761;
c1ccn2ncnc2c1,2234,28:02800:0:Z3626908647;28:02800:0:Z3841380973;28:02800:1:Z3309413358;
C1CNC2CCOCC2C1,358,28:02800:0:Z1486803927;28:02800:3:Z3539585523;28:02800:5:Z1401756905;
CC1CC2CNCCN2C1,347,28:02800:0:Z4077816284;28:02800:1:Z4077817061;28:02800:2:Z4077812390;
C1CC2(CCN1)CC2,2849,28:02800:0:Z1839643362;28:02800:1:Z1274324950;28:02800:1:Z2635009271;
O=S1(=O)CC2CCN1C2,252,28:02800:0:Z4022208121;28:02800:1:Z4021879056;28:02800:2:Z4021961991;
c1ccn2nncc2c1,1043,28:02800:0:Z3381235280;28:02800:3:Z4267685466;28:02800:3:Z4267746819;
CC1CCCCC1(F)F,672,28:02800:0:Z4029094352;28:02800:1:Z3774386240;28:02800:3:Z3795564810;
C1CC2(CNC2)CO1,483,28:02800:0:Z3052200189;28:02800:1:Z2232855292;28:02800:2:Z4311431497;
Fc1cccc2ncsc12,240,28:02800:0:Z3363138713;28:02800:3:Z4236525294;28:02801:1:Z3362153481;
Fc1ccc2cc[nH]c2c1,601,28:02800:0:Z3789593037;28:02800:0:Z955747608;28:02800:5:Z1332792278;
CC1(C)CC(O)CCN1,410,28:02800:0:Z4230361145;28:02800:5:Z4278269878;28:02801:7:Z3711809457;
C1CC2OCCNC2CN1,543,28:02800:0:Z4189223528;28:02800:2:Z4209490512;28:02800:5:Z4215725776;
CC1CC(O)CCN1,487,28:02800:0:Z2775303092;28:02800:1:Z2781982314;28:02800:3:Z2781988003;
CC12CCC(CC1)CO2,274,28:02800:0:Z3172615266;28:02800:0:Z3050152944;28:02800:5:Z4113685163;
Cc1ccnnc1C,1124,28:02800:0:Z2345989087;28:02800:1:Z1798331026;28:02800:2:Z3845263517;
C1CCC2(C1)CCNC2,1508,28:02800:0:Z4310654073;28:02800:1:Z3792400325;28:02800:2:Z4063843812;
Cc1n[nH]c(=O)[nH]1,319,28:02800:0:Z3851064186;28:02800:1:Z3380574463;28:02800:3:Z2169076934;
c1cc2n(c1)CCNC2,923,28:02800:0:Z2933077962;28:02800:0:Z2953802892;28:02800:1:Z3784966812;
Fc1cnccn1,1146,28:02800:0:Z4232810360;28:02800:2:Z2613914120;28:02800:2:Z2613377255;
C1CC2CNC2C1,1174,28:02800:0:Z1240560572;28:02800:3:Z1390648410;28:02800:4:Z1240563274;
C1CCCCNCCC1,352,28:02800:0:Z2297811432;28:02800:4:Z3788243725;28:02800:5:Z4317155587;
c1cc2c(cn1)NCCS2,176,28:02800:0:Z2318683565;28:02800:3:Z4114458163;28:02800:5:Z4169689882;
FC1(F)C2CCCOC21,585,28:02800:0:Z4614846290;28:02800:1:Z2636198093;28:02800:2:Z2844039659;
Clc1cnn2c1NCCC2,112,28:02800:0:Z3086524740;28:02800:9:Z4652864851;28:02802:4:Z3086528732;
C=C1CCCCN1,247,28:02800:0:Z4220934040;28:02800:1:Z4220935455;28:02800:1:Z4220936113;
