fragment_smiles,occurences,example_ligands
c1cc[nH]c1,25762,28:02800:0:Z2717974155;28:02800:0:Z2108778133;28:02800:0:Z3298434861;
CC1(C)CCC(C)(C)NC1,160,28:02800:0:Z2717974155;28:02801:0:Z4324657446;28:02801:7:Z3359932193;
c1cscn1,145186,28:02800:0:Z2738247676;28:02800:0:Z1506230825;28:02800:0:Z2920178111;
Cc1ccccc1,95962,28:02800:0:Z3187839367;28:02800:0:Z4062550970;28:02800:0:Z4600296552;
Cc1cnc(C)c(C)n1,781,28:02800:0:Z4572566804;28:02800:1:Z3656733542;28:02800:1:Z2299484020;
Fc1ccccc1,127677,28:02800:0:Z1506230825;28:02800:0:Z4139704858;28:02800:0:Z4870348442;
Cc1ccnn1C,10037,28:02800:0:Z4782877079;28:02800:0:Z1530130464;28:02800:0:Z1850636709;
c1cc2cncnc2cn1,235,28:02800:0:Z4782877079;28:02800:0:Z2347693449;28:02801:6:Z4026939294;
C1CCNC1,262057,28:02800:0:Z1609266682;28:02800:0:Z3642262301;28:02800:0:Z4289132429;
Cc1cccc(Cl)c1,6639,28:02800:0:Z1851546288;28:02800:0:Z4084783933;28:02800:0:Z3857182743;
c1cnoc1,79970,28:02800:0:Z2274295517;28:02800:0:Z2767009392;28:02800:0:Z3356678475;
CC1CCNCCS1,673,28:02800:0:Z2274295517;28:02800:1:Z4021824593;28:02800:4:Z4212516204;
CC1CNCC1C,2949,28:02800:0:Z3520924963;28:02800:0:Z3520936009;28:02800:0:Z2604272604;
C1CCOC1,139417,28:02800:0:Z3520924963;28:02800:0:Z3520936009;28:02800:0:Z3552742115;
FC1(F)CCC1,16242,28:02800:0:Z3807033164;28:02800:0:Z3880623834;28:02800:0:Z3864539550;
c1ccc2c(c1)CCCO2,4187,28:02800:0:Z3807033164;28:02800:0:Z2633505809;28:02800:0:Z3711719447;
Clc1cccc(Cl)c1,12507,28:02800:0:Z2496961851;28:02800:0:Z1423803090;28:02800:0:Z2479540496;
C1CC2CCC1O2,8933,28:02800:0:Z4104189297;28:02800:0:Z2479540496;28:02800:0:Z3176454190;
O=C1CCCN1,46859,28:02800:0:Z4104189297;28:02800:0:Z4643225614;28:02800:0:Z4423933169;
FC1CNCC(F)C1,704,28:02800:0:Z4139704858;28:02800:0:Z4150914918;28:02800:1:Z4137534964;
N=S1(=O)CCCC1,1901,28:02800:0:Z2774843476;28:02800:0:Z3617312689;28:02800:0:Z4205914255;
Cc1ccc(C)o1,2764,28:02800:0:Z3365878027;28:02800:0:Z2209119867;28:02800:1:Z2919754295;
c1ccc2c(c1)CCC2,11491,28:02800:0:Z3300192078;28:02800:0:Z1728670763;28:02800:0:Z2703494314;
Cn1cccn1,105341,28:02800:0:Z3300192078;28:02800:0:Z1728670763;28:02800:0:Z3503841962;
Nc1nncs1,1272,28:02800:0:Z3340145344;28:02800:3:Z4484315993;28:02800:5:Z2573904188;
C1CCC2(C1)CCOCC2,1275,28:02800:0:Z3340145344;28:02800:0:Z3052765609;28:02800:0:Z3503563971;
c1nncs1,33164,28:02800:0:Z2108778133;28:02800:0:Z2890887794;28:02800:0:Z1779534038;
C1CC2(C1)CCC2,13577,28:02800:0:Z3552742115;28:02800:0:Z4269653270;28:02800:0:Z4064567965;
Cc1ccns1,2345,28:02800:0:Z3594277185;28:02800:1:Z3610566982;28:02800:1:Z3503847487;
C1CC2CC(CO2)N1,588,28:02800:0:Z3594277185;28:02800:4:Z4269568027;28:02800:4:Z3590848067;
CN1CCNCC1,11404,28:02800:0:Z3320622543;28:02800:0:Z3519907445;28:02800:0:Z4408430528;
OC1CCOC1,8706,28:02800:0:Z3320622543;28:02800:0:Z2878275402;28:02800:0:Z3352430781;
O=C1CCc2ccccc2N1,1243,28:02800:0:Z2890887794;28:02800:1:Z2881688677;28:02800:2:Z2215727188;
CC1(C)CNCCC(O)C1,360,28:02800:0:Z4870348442;28:02800:0:Z4137994169;28:02800:1:Z2278830527;
C1CC2CNCC2C1,5660,28:02800:0:Z3137461690;28:02800:0:Z2441366174;28:02800:0:Z3592614948;
CN1CCCC1,13152,28:02800:0:Z4220247330;28:02800:0:Z3535615852;28:02800:0:Z3535408443;
Cc1cn[nH]c1,9317,28:02800:0:Z2626275903;28:02800:0:Z930950112;28:02800:0:Z1698756636;
Cn1cccc1,9793,28:02800:0:Z2626275903;28:02800:0:Z1423803090;28:02800:0:Z5034090390;
Clc1cccnc1,20938,28:02800:0:Z3653825584;28:02800:0:Z4602718289;28:02800:0:Z4226951239;
c1cn2c(n1)CCCC2,5367,28:02800:0:Z3653825584;28:02800:1:Z4912863887;28:02800:1:Z4912863888;
C1CNCCN1,57148,28:02800:0:Z4185069741;28:02800:0:Z3144613477;28:02800:0:Z1281459617;
Cc1ccn(C)n1,11645,28:02800:0:Z3620944846;28:02800:0:Z4223112074;28:02800:0:Z3378471604;
c1ccoc1,76307,28:02800:0:Z3620944846;28:02800:0:Z2647654161;28:02800:0:Z3503841962;
c1ccc2occc2c1,7280,28:02800:0:Z4255237511;28:02800:0:Z4255225666;28:02800:0:Z4251252271;
C1CCSCC1,15977,28:02800:0:Z1653990753;28:02800:0:Z4489713924;28:02800:0:Z2708706167;
C1=CCNCC1,3449,28:02800:0:Z4061670112;28:02800:0:Z1656731493;28:02800:0:Z3808227992;
CC1CCCO1,21330,28:02800:0:Z4490067710;28:02800:0:Z3552481035;28:02800:0:Z3583514078;
CC1CCCCC1,20603,28:02800:0:Z2479988055;28:02800:0:Z2911495271;28:02800:0:Z2911397155;
Cc1ccc2occc2n1,197,28:02800:0:Z4353646669;28:02800:6:Z3855694903;28:02800:9:Z1447832064;
Cc1cc(C)n(C)n1,4753,28:02800:0:Z3366475908;28:02800:0:Z236921056;28:02800:0:Z3323332213;
CC1CCCN1,24927,28:02800:0:Z5061418986;28:02800:0:Z4294698979;28:02800:0:Z2371130427;
c1cnccn1,27726,28:02800:0:Z5061418986;28:02800:0:Z2273767128;28:02800:0:Z2142263479;
Cc1ccc(Cl)cc1,3706,28:02800:0:Z3202413509;28:02800:0:Z3202694972;28:02800:0:Z1336469265;
C1COCCN1,81080,28:02800:0:Z3202413509;28:02800:0:Z3202694972;28:02800:0:Z4401341504;
c1nnco1,23647,28:02800:0:Z4235817710;28:02800:0:Z3076419469;28:02800:0:Z4115876586;
Clc1ccccc1,96874,28:02800:0:Z1445245532;28:02800:0:Z1445394756;28:02800:0:Z1445008051;
c1cncnc1,74560,28:02800:0:Z3392488867;28:02800:0:Z2346953486;28:02800:0:Z4223450141;
OC1CCC2NC1CCC2O,186,28:02800:0:Z4269653270;28:02800:8:Z4274327979;28:02800:8:Z4278672647;
