fragment_smiles,occurences,example_ligands
Cc1cccc(C)c1,29335,140:14000:0:Z1834964291;140:14000:0:Z3175161883;140:14000:0:Z2846054540;
Clc1ccccc1,218216,140:14000:0:Z4595836386;140:14000:0:Z1780411246;140:14000:0:Z2493626590;
c1ccc2c(c1)CC1(CCCN1)C2,81,140:14000:0:Z2771937676;140:14000:1:Z3053720034;140:14000:4:Z2803032842;
O=c1cccc[nH]1,28000,140:14000:0:Z2719836596;140:14000:0:Z2770891538;140:14000:0:Z1239680545;
c1c[nH]cn1,72861,140:14000:0:Z4623000578;140:14000:0:Z1224568885;140:14000:0:Z3610755780;
C1CCC2NCCCC2C1,1767,140:14000:0:Z4623000578;140:14000:0:Z5004674257;140:14000:0:Z4060029707;
Cc1cccnc1,21793,140:14000:0:Z4112507292;140:14000:0:Z4451588733;140:14000:0:Z4702946741;
c1cnc2c(c1)NCCO2,300,140:14000:0:Z4112507292;140:14000:0:Z4570225042;140:14000:4:Z1337322200;
c1c[nH]nn1,88133,140:14000:0:Z2210230740;140:14000:0:Z2700229113;140:14000:0:Z1425788459;
Cc1noc2ncccc12,1876,140:14000:0:Z5004995812;140:14000:0:Z288607454;140:14000:0:Z3830653695;
CC1CNCC1(F)F,329,140:14000:0:Z5004995812;140:14000:0:Z4072518765;140:14000:3:Z5005006766;
CN1C(=O)CSC12CCNCC2,427,140:14000:0:Z1645641113;140:14000:8:Z3469109353;140:14001:2:Z1645639391;
Clc1cccc2ncccc12,736,140:14000:0:Z1645641113;140:14000:2:Z1224830494;140:14000:3:Z794687390;
CN1CCNCC1,28361,140:14000:0:Z2783112360;140:14000:0:Z4611078737;140:14000:0:Z3175161883;
c1cnoc1,75652,140:14000:0:Z2783112360;140:14000:0:Z2372441248;140:14000:0:Z4269392262;
CC1(C)CCC(O)CC1,515,140:14000:0:Z2783112360;140:14000:4:Z3915490432;140:14000:6:Z3555347924;
c1ccoc1,91311,140:14000:0:Z2493626590;140:14000:0:Z4402729614;140:14000:0:Z3747967019;
C1CCCCC1,155439,140:14000:0:Z3612477821;140:14000:0:Z3294135616;140:14000:0:Z2283292248;
c1ccc2[nH]cnc2c1,23076,140:14000:0:Z3612477821;140:14000:0:Z1271508221;140:14000:0:Z1616027476;
C1CCCC1,132904,140:14000:0:Z2169880972;140:14000:0:Z1431509166;140:14000:0:Z3187724501;
Cc1cc(C)c2c(=O)[nH]n(C)c2n1,417,140:14000:0:Z1127036948;140:14000:3:Z3657250699;140:14000:4:Z3913393065;
Cc1cccc2cc[nH]c12,1335,140:14000:0:Z1255861966;140:14000:0:Z2019966457;140:14000:1:Z4866817343;
Cn1cnc2c1CCCC2,1300,140:14000:0:Z3360216977;140:14000:4:Z4235804998;140:14000:5:Z5001139932;
Cc1nnc2n1CCC2,645,140:14000:0:Z3577361870;140:14000:1:Z3551988527;140:14000:4:Z3538416236;
c1cscn1,170592,140:14000:0:Z3577361870;140:14000:0:Z1693096794;140:14000:0:Z1891371983;
Cc1cc[nH]n1,31317,140:14000:0:Z4347683909;140:14000:0:Z1238905291;140:14000:0:Z4269221861;
c1ccc2c(c1)COC2,4153,140:14000:0:Z4347683909;140:14000:0:Z1441901991;140:14000:0:Z3819912415;
C1CC2(CC2)CN1,4178,140:14000:0:Z3317795969;140:14000:0:Z4457336156;140:14000:0:Z4487811292;
C1NCC2COCC12,1804,140:14000:0:Z3360302569;140:14000:1:Z2179817569;140:14000:2:Z4511132888;
Cc1ccco1,23201,140:14000:0:Z3871459172;140:14000:0:Z1275777338;140:14000:0:Z4621145019;
C1CCSC1,6562,140:14000:0:Z4395883940;140:14000:0:Z2478599863;140:14000:0:Z4964301000;
c1nn[nH]n1,33706,140:14000:0:Z4395883940;140:14000:0:Z4424939976;140:14000:0:Z4408096782;
Cc1cn2c(=O)ccnc2s1,476,140:14000:0:Z2922005996;140:14000:0:Z3907216112;140:14000:1:Z4620903405;
c1nnco1,29453,140:14000:0:Z1960620114;140:14000:0:Z1665117711;140:14000:0:Z2069898810;
O=c1cc(O)cco1,79,140:14000:0:Z2027419957;140:14000:1:Z2027616149;140:14000:7:Z2027587917;
c1ccn2cnnc2c1,7339,140:14000:0:Z2027419957;140:14000:0:Z4286350839;140:14000:0:Z3044639836;
O=C1CCCCCN1,4422,140:14000:0:Z3256459845;140:14000:0:Z1926867007;140:14000:0:Z3547695123;
C1CCC2CNCC2C1,3341,140:14000:0:Z2147314231;140:14000:0:Z3497708474;140:14000:0:Z3475439784;
Cc1ccncn1,16894,140:14000:0:Z4109039334;140:14000:0:Z4109012521;140:14000:0:Z1217929828;
C1CC2CCNC2C1,2860,140:14000:0:Z4109039334;140:14000:0:Z4109012521;140:14000:0:Z3588357302;
C1CCC2(CC1)CCNCC2,1808,140:14000:0:Z3294135616;140:14000:0:Z4574115896;140:14000:1:Z1024852360;
CC1CCn2nccc2N1,692,140:14000:0:Z3187724501;140:14000:3:Z3635067928;140:14000:4:Z3188755348;
c1ccsc1,126341,140:14000:0:Z2600797385;140:14000:0:Z1147928445;140:14000:0:Z3653959747;
c1ncon1,153597,140:14000:0:Z2823885156;140:14000:0:Z1891371983;140:14000:0:Z1103039152;
CN1CCCC1=O,10653,140:14000:0:Z2928629190;140:14000:0:Z2646246924;140:14000:0:Z1631669409;
Cc1cncs1,9861,140:14000:0:Z2770891538;140:14000:0:Z2705569538;140:14000:0:Z1068474480;
c1ccc2c(c1)CCCO2,14961,140:14000:0:Z3610755780;140:14000:0:Z3610676949;140:14000:0:Z3362823575;
CC1CCCCN1,16078,140:14000:0:Z2372441248;140:14000:0:Z2103203243;140:14000:0:Z1719785866;
c1ccc2[nH]ncc2c1,9887,140:14000:0:Z4390849321;140:14000:0:Z2073039163;140:14000:0:Z2620306966;
c1cocn1,50142,140:14000:0:Z4251519758;140:14000:0:Z4277425392;140:14000:0:Z4055599072;
CC1(C)CNCCN1,4146,140:14000:0:Z1675787867;140:14000:0:Z2714324870;140:14000:0:Z3372863698;
Clc1cccc2cnccc12,91,140:14000:0:Z4710791220;140:14000:3:Z3361677916;140:14002:8:Z3383532473;
C1CC2CNCC2CO1,1458,140:14000:0:Z4710791220;140:14000:0:Z4403594664;140:14000:0:Z3519640918;
Cc1ccccn1,28679,140:14000:0:Z3580999767;140:14000:0:Z1147928445;140:14000:0:Z2293645787;
c1nc2c([nH]1)CCNC2,1846,140:14000:0:Z3580999767;140:14000:0:Z4245982406;140:14000:0:Z4394994620;
Fc1ccccc1F,28146,140:14000:0:Z1891371983;140:14000:0:Z4264022667;140:14000:0:Z2905774776;
Cc1cscn1,39087,140:14000:0:Z3993296891;140:14000:0:Z3874845553;140:14000:0:Z3874845491;
NC1CCNC1,3705,140:14000:0:Z3365328880;140:14000:0:Z4080037438;140:14000:0:Z3385050871;
Cc1ccn(C)n1,14679,140:14000:0:Z1746363685;140:14000:0:Z2096045151;140:14000:0:Z3471454994;
c1ccc2nsnc2c1,1427,140:14000:0:Z2835145763;140:14000:0:Z4192093518;140:14000:1:Z3357580019;
C1NC2CC1C2,2946,140:14000:0:Z3838674342;140:14000:0:Z3395468313;140:14000:0:Z4329137834;
c1cnccn1,32141,140:14000:0:Z4046470364;140:14000:0:Z2096045151;140:14000:0:Z1575792102;
CN1CCOCC1,4172,140:14000:0:Z1633033182;140:14000:0:Z3783185059;140:14000:0:Z1463198791;
Cc1nc[nH]c1C,3089,140:14000:0:Z3789911247;140:14000:0:Z2498929204;140:14000:0:Z2890937533;
Cn1c(=O)oc2ccccc21,2475,140:14000:0:Z3789911247;140:14000:0:Z3324044524;140:14000:0:Z1506139575;
Cc1ccc2ccccc2n1,2806,140:14000:0:Z1271508221;140:14000:0:Z1748494469;140:14000:0:Z2004337630;
c1ccc2c(c1)CCO2,13752,140:14000:0:Z1975129606;140:14000:0:Z1716052410;140:14000:0:Z1580474044;
FC1(F)CCC1,12036,140:14000:0:Z4045324396;140:14000:0:Z3780826137;140:14000:0:Z4142958212;
CC1(C)CCC(N)C1,72,140:14000:0:Z4065797403;140:14000:4:Z3103119821;140:14001:9:Z3100873031;
c1nnc2n1CCCC2,8741,140:14000:0:Z4065797403;140:14000:0:Z1268708780;140:14000:0:Z4874508758;
O=S1(=O)CCC2(CCNC2)C1,333,140:14000:0:Z3862341192;140:14000:2:Z3585503985;140:14000:6:Z3585512017;
c1ncsn1,8376,140:14000:0:Z4299402227;140:14000:0:Z26804026;140:14000:0:Z1634954865;
Cn1cnnc1,28944,140:14000:0:Z1778561827;140:14000:0:Z4205037781;140:14000:0:Z1583715295;
Fc1cccc(F)c1,62481,140:14000:0:Z3105461580;140:14000:0:Z1955811058;140:14000:0:Z3627123065;
C1CC2CC2CN1,1585,140:14000:0:Z3105461580;140:14000:0:Z4456105766;140:14000:1:Z4929291728;
c1cnn2cnnc2c1,3283,140:14000:0:Z2637163009;140:14000:0:Z1731130683;140:14000:1:Z4288599679;
CC1(C)CCC1,8371,140:14000:0:Z2080153112;140:14000:0:Z2140644781;140:14000:0:Z3519505001;
c1ccc2c(c1)CCNC2,29904,140:14000:0:Z1769542354;140:14000:0:Z4003035569;140:14000:0:Z2804697684;
Cn1ccnc1,40320,140:14000:0:Z3699964708;140:14000:0:Z4871434960;140:14000:0:Z4008361763;
O=C1CCCN1,92812,140:14000:0:Z4350904716;140:14000:0:Z1262367000;140:14000:0:Z2850049200;
C1CNCCNC1,32047,140:14000:0:Z4000339501;140:14000:0:Z3878134148;140:14000:0:Z4461213295;
Cn1ncc2c(=O)[nH]cnc21,1820,140:14000:0:Z1653311293;140:14000:0:Z4351503725;140:14000:1:Z1272606850;
c1ncc2nc[nH]c2n1,16638,140:14000:0:Z4769738622;140:14000:0:Z4770036509;140:14000:0:Z4772223979;
O=c1[nH]nco1,1375,140:14000:0:Z2335123650;140:14000:0:Z1504876767;140:14000:1:Z3808002830;
Fc1ccccc1Cl,15673,140:14000:0:Z2143229719;140:14000:0:Z3575951103;140:14000:0:Z3725238315;
c1ccc2c(c1)NCCO2,4912,140:14000:0:Z3380948143;140:14000:0:Z2170529491;140:14000:0:Z4064526266;
c1nc[nH]n1,52537,140:14000:0:Z4142054611;140:14000:0:Z1772272837;140:14000:0:Z4641323320;
Cc1cn[nH]c1,14831,140:14000:0:Z3362823575;140:14000:0:Z4137248691;140:14000:0:Z1719785866;
Cc1cccs1,12011,140:14000:0:Z4430809114;140:14000:0:Z594575746;140:14000:0:Z3591400039;
OC1CCNCC1,22613,140:14000:0:Z2441832476;140:14000:0:Z3077876506;140:14000:0:Z4638418495;
C1CCN2CCCC2C1,2591,140:14000:0:Z872459610;140:14000:0:Z2877680732;140:14000:0:Z3584991927;
C1CCC2(CCCC2)OC1,1162,140:14000:0:Z2923008366;140:14000:1:Z3633391457;140:14000:2:Z2906180010;
Cc1ccccc1F,12994,140:14000:0:Z1103039152;140:14000:0:Z1641050719;140:14000:0:Z4147297055;
c1cc[nH]c1,27215,140:14000:0:Z3627024307;140:14000:0:Z2213388162;140:14000:0:Z4404441758;
C1CCC2NCCC2C1,3074,140:14000:0:Z3627024307;140:14000:1:Z3708014288;140:14000:1:Z3708003898;
C1COC2COCC2N1,1256,140:14000:0:Z3634522903;140:14000:0:Z4203538595;140:14000:1:Z3708093960;
Cc1cc2cccc(C)c2s1,49,140:14000:0:Z3820664985;140:14003:9:Z2370597857;140:14005:1:Z2371505521;
C1CC2(C1)CNC2,5403,140:14000:0:Z3820664985;140:14000:0:Z3907980972;140:14000:0:Z3579990867;
FC1(F)CCNCC1,3550,140:14000:0:Z3365183835;140:14000:0:Z2026108078;140:14000:0:Z3622596157;
OC1CCNC1,22929,140:14000:0:Z2829653350;140:14000:0:Z5045759037;140:14000:0:Z3317031597;
Cc1ccno1,14861,140:14000:0:Z3849705509;140:14000:0:Z1957295048;140:14000:0:Z2669645690;
FC1CCNCC1,4330,140:14000:0:Z4323633722;140:14000:0:Z2077873975;140:14000:0:Z3707288843;
c1nnc[nH]1,71066,140:14000:0:Z2182609454;140:14000:0:Z4993699869;140:14000:0:Z3168382740;
C1CCC2CCCC2C1,257,140:14000:0:Z3996648768;140:14000:0:Z3598640921;140:14000:0:Z3573190182;
O=c1ccc2ccccc2[nH]1,2548,140:14000:0:Z4269427786;140:14000:0:Z3289783075;140:14000:1:Z2112557873;
C1CC2COCC2O1,1383,140:14000:0:Z3621864457;140:14000:0:Z3709473068;140:14000:1:Z4157534053;
c1cnsc1,7997,140:14000:0:Z3621864457;140:14000:0:Z4061308763;140:14000:0:Z3359256427;
C1CCC2(CC1)CNC2,749,140:14000:0:Z3623101015;140:14000:2:Z4600515166;140:14000:3:Z4415857312;
c1ccnnc1,19883,140:14000:0:Z1238905291;140:14000:0:Z4646985392;140:14000:0:Z2234864864;
Cc1ccn2c(=O)ccnc2c1,466,140:14000:0:Z2457062786;140:14000:0:Z3712195798;140:14000:2:Z45293396;
O=C1COc2ccccc2N1,6396,140:14000:0:Z2174790773;140:14000:0:Z604680070;140:14000:0:Z3615648942;
c1ncc2nn[nH]c2n1,584,140:14000:0:Z2970912666;140:14000:2:Z5061438844;140:14000:5:Z1212729803;
c1ccc2c(c1)CCC2,23030,140:14000:0:Z2820423179;140:14000:0:Z4087244221;140:14000:0:Z3386301273;
Cc1cnn[nH]1,9947,140:14000:0:Z1438407822;140:14000:0:Z2266363191;140:14000:0:Z4477485081;
O=C1Nc2ccccc2C12CCCCC2,173,140:14000:0:Z1782517736;140:14000:7:Z3950670067;140:14000:9:Z3607364788;
Cn1cnc2ccccc21,6618,140:14000:0:Z3586791404;140:14000:0:Z1579295261;140:14000:0:Z2996702313;
c1[nH]nc2c1COCC2,238,140:14000:0:Z2883894621;140:14000:1:Z3394704118;140:14000:5:Z2870138453;
Clc1ccccc1Cl,12438,140:14000:0:Z1262367000;140:14000:0:Z2494181623;140:14000:0:Z2600554754;
Oc1cccnc1,2092,140:14000:0:Z3550449971;140:14000:0:Z1927075786;140:14000:1:Z1926664191;
O=C1CCNC(=O)N1,27758,140:14000:0:Z3531613846;140:14000:0:Z3783185059;140:14000:0:Z4315152706;
C1CCCCCC1,372,140:14000:0:Z3612915371;140:14000:3:Z3408742308;140:14000:7:Z4993914837;
CC1COc2ccccc21,1365,140:14000:0:Z4702946741;140:14000:0:Z4208871573;140:14000:1:Z2314332728;
c1ccc2scnc2c1,13473,140:14000:0:Z2772327520;140:14000:0:Z2350552982;140:14000:0:Z1401791224;
c1cnc2[nH]ncc2c1,3815,140:14000:0:Z2907737599;140:14000:0:Z4503008893;140:14000:0:Z1944216002;
CN1CCNCC1=O,3049,140:14000:0:Z3133159186;140:14000:0:Z4591192304;140:14000:0:Z2914519841;
c1ccc2ccccc2c1,19502,140:14000:0:Z3133159186;140:14000:0:Z1103275234;140:14000:0:Z2361500949;
FC1CCC1,8536,140:14000:0:Z3653527786;140:14000:0:Z4274737546;140:14000:0:Z4274737418;
C1COCC2(CN1)COCCN2,386,140:14000:0:Z3653527786;140:14000:0:Z3701402808;140:14000:1:Z4055842558;
c1ncc2c(n1)CCCC2,1685,140:14000:0:Z3896937854;140:14000:0:Z3368326891;140:14000:0:Z3831966216;
c1ccc2cnccc2c1,11233,140:14000:0:Z4034924343;140:14000:0:Z3077876506;140:14000:0:Z4315113340;
Cn1c(N)cc(=O)n(C)c1=O,161,140:14000:0:Z1416780442;140:14001:6:Z2278959587;140:14001:9:Z840372328;
Cc1cccc(C)n1,2737,140:14000:0:Z1724383319;140:14000:0:Z4259982804;140:14000:0:Z3475295813;
O=S1CCCCC1,410,140:14000:0:Z3167463415;140:14000:0:Z1565733212;140:14000:2:Z3565600052;
C1CC2(C1)CCN2,2505,140:14000:0:Z2811905455;140:14000:0:Z3713805858;140:14000:0:Z3356812413;
O=c1[nH]c2ccccc2[nH]1,6016,140:14000:0:Z2175403003;140:14000:0:Z2295149382;140:14000:0:Z1367273309;
Cc1nnco1,6875,140:14000:0:Z4383340664;140:14000:0:Z3647796293;140:14000:0:Z3647745321;
O=C1CCC2(CC1)CC2,311,140:14000:0:Z4383340664;140:14000:0:Z3893153391;140:14000:4:Z3832110054;
Cc1cnc(C)s1,1068,140:14000:0:Z3621099673;140:14000:0:Z4001142662;140:14000:0:Z1504713632;
CC1(C)CCS1(=O)=O,262,140:14000:0:Z3605553611;140:14000:7:Z3605568676;140:14000:7:Z2233038403;
CC1(C)CCCC(C)(C)O1,1242,140:14000:0:Z3382919223;140:14000:0:Z3339376208;140:14000:1:Z3187710717;
OC1CCCn2nccc21,227,140:14000:0:Z3296947691;140:14000:0:Z3296547412;140:14000:1:Z4248671329;
Cc1n[nH]cc1Cl,235,140:14000:0:Z3667317215;140:14000:3:Z4599851227;140:14000:9:Z1933262149;
Cc1ccc(C)s1,2601,140:14000:0:Z2077504520;140:14000:0:Z1422790711;140:14000:0:Z4266921634;
O=C1NCc2ccccc21,2186,140:14000:0:Z2077504520;140:14000:0:Z4096455330;140:14000:0:Z3370586384;
OC1COC1,1704,140:14000:0:Z4601745665;140:14000:0:Z4320404663;140:14000:0:Z3344364689;
Cc1ncc2ccsc2n1,158,140:14000:0:Z3834128890;140:14000:2:Z2615288286;140:14001:7:Z1958557609;
