fragment_smiles,occurences,example_ligands
c1ccc2[nH]ccc2c1,23952,51:05100:0:Z4603077231;51:05100:0:Z1038621428;51:05100:0:Z1955266997;
OC1COC1,2054,51:05100:0:Z4603077231;51:05100:0:Z3857110383;51:05100:0:Z4324393686;
Cn1ncc2c1CCCC2,2411,51:05100:0:Z3512867185;51:05100:0:Z3655388845;51:05100:1:Z1291513559;
CC1Cc2ccccc2S1(=O)=O,46,51:05100:0:Z4863633298;51:05102:2:Z4257317203;51:05102:8:Z4257051618;
FC1(F)CCNCC1,3260,51:05100:0:Z4262011407;51:05100:0:Z4414705632;51:05100:0:Z4062086948;
C1CCOC1,141119,51:05100:0:Z4262011407;51:05100:0:Z2964970156;51:05100:0:Z2504601268;
Cc1ccncc1,15084,51:05100:0:Z4118619559;51:05100:0:Z3571585699;51:05100:0:Z2643956840;
C1CNCCN1,114222,51:05100:0:Z4118619559;51:05100:0:Z2945505058;51:05100:0:Z1583348003;
Cc1nccn2nccc12,256,51:05100:0:Z4994683034;51:05100:2:Z4994991037;51:05100:4:Z5004702859;
Oc1ccncn1,2365,51:05100:0:Z4994683034;51:05100:0:Z3298302232;51:05100:0:Z2303442046;
O=C1CNCCN1,14510,51:05100:0:Z2373757950;51:05100:0:Z3048646532;51:05100:0:Z2093464933;
C1CCC2NCCC2C1,2948,51:05100:0:Z4024800855;51:05100:0:Z3708014008;51:05100:0:Z3708020069;
CC1(C)CCCO1,4796,51:05100:0:Z2624335189;51:05100:0:Z4211854362;51:05100:0:Z2590939222;
Cn1cncn1,13245,51:05100:0:Z4279085510;51:05100:0:Z4068194910;51:05100:0:Z1629687725;
O=C1NCC2CC1C2,210,51:05100:0:Z3561318663;51:05100:3:Z3552293668;51:05100:4:Z3583102356;
C1NC2CC1C2,4290,51:05100:0:Z3805376720;51:05100:0:Z2612959760;51:05100:0:Z5014546602;
C1CC2CNCC2C1,6085,51:05100:0:Z2964318253;51:05100:0:Z3345790044;51:05100:0:Z2634959564;
c1occ2c1CCCC2,291,51:05100:0:Z2964318253;51:05100:4:Z2621642281;51:05100:4:Z4365801972;
Cc1cccc2ccsc12,251,51:05100:0:Z4278351505;51:05101:6:Z2435831416;51:05102:0:Z4055291179;
c1c[nH]cn1,70990,51:05100:0:Z4278351505;51:05100:0:Z4417771039;51:05100:0:Z4417770886;
Clc1ccc(Cl)s1,1058,51:05100:0:Z4910545497;51:05100:2:Z2298017494;51:05100:2:Z3807796986;
Cn1nccc1Cl,3957,51:05100:0:Z3837674753;51:05100:0:Z2304508046;51:05100:0:Z4047153733;
Cc1cc(C)nc(C)c1,677,51:05100:0:Z3643449778;51:05100:0:Z4155743913;51:05100:3:Z2838820115;
OC1CCNCC1,16637,51:05100:0:Z3019653749;51:05100:0:Z3315655239;51:05100:0:Z2298416646;
CC1(C)CC=NO1,713,51:05100:0:Z3650133303;51:05100:1:Z3713851955;51:05100:2:Z3882387916;
CC1CNCCS1=O,595,51:05100:0:Z4666092363;51:05100:1:Z1247172363;51:05100:2:Z1247168231;
CC1CCCN1,19345,51:05100:0:Z4666092363;51:05100:0:Z1315805042;51:05100:0:Z4251492411;
Fc1ccc2c(c1F)NCC2,168,51:05100:0:Z4063271105;51:05100:3:Z2274242164;51:05100:4:Z4132494363;
Cc1cccc(C)c1F,1004,51:05100:0:Z2000037068;51:05100:0:Z2955460789;51:05100:3:Z1395779010;
c1ccc2c(c1)CCCO2,10534,51:05100:0:Z5013399927;51:05100:0:Z1160168843;51:05100:0:Z1271078322;
Cc1nc[nH]c1C,3008,51:05100:0:Z3357197607;51:05100:0:Z2884419684;51:05100:1:Z2285401651;
c1nnc2n1CCCC2,5956,51:05100:0:Z3548556875;51:05100:0:Z3537886572;51:05100:0:Z3857137075;
CC1(C)CCCOC1,3971,51:05100:0:Z3437757672;51:05100:0:Z3571312682;51:05100:0:Z3541280943;
c1ccc2sccc2c1,8088,51:05100:0:Z2641100555;51:05100:0:Z4597568486;51:05100:0:Z2308365330;
OC1CCC1,17665,51:05100:0:Z2836255265;51:05100:0:Z3056486705;51:05100:0:Z1884165817;
OC1C2CCC(C2)C1O,996,51:05100:0:Z4271433584;51:05100:0:Z4960394482;51:05100:5:Z4294446826;
Cc1ccnc2ccnn12,485,51:05100:0:Z4229722415;51:05100:0:Z2928631079;51:05100:1:Z3948200841;
c1nncs1,31367,51:05100:0:Z4229722415;51:05100:0:Z2982453594;51:05100:0:Z3206596452;
Cc1cc[nH]c(=O)c1,928,51:05100:0:Z2372573901;51:05100:0:Z3567063609;51:05100:2:Z3588029713;
Cc1ncon1,11431,51:05100:0:Z2712232620;51:05100:0:Z1265039195;51:05100:0:Z3584094071;
O=C1NCCc2ccccc21,2024,51:05100:0:Z2712232620;51:05100:0:Z2952356544;51:05100:0:Z3895600271;
c1cnccn1,30027,51:05100:0:Z3537194410;51:05100:0:Z3536243095;51:05100:0:Z245484152;
Cc1cccs1,15011,51:05100:0:Z1400537417;51:05100:0:Z4117680720;51:05100:0:Z3595657423;
CC1CCO1,711,51:05100:0:Z4273155214;51:05100:0:Z4163482912;51:05100:1:Z4273132998;
C1CC2COCC2C1,1376,51:05100:0:Z4273155214;51:05100:0:Z2840992550;51:05100:0:Z3780829024;
O=c1[nH]c2ccccc2o1,4002,51:05100:0:Z3235790234;51:05100:0:Z3577355985;51:05100:0:Z1401391906;
Cc1cccnc1,22820,51:05100:0:Z1819490217;51:05100:0:Z1750664651;51:05100:0:Z3627277497;
c1ccc2[nH]cnc2c1,13780,51:05100:0:Z2187765742;51:05100:0:Z3609349563;51:05100:0:Z4468413323;
Cc1ccco1,22677,51:05100:0:Z3619807464;51:05100:0:Z3137714903;51:05100:0:Z3627411108;
CC1(C)CCC(=O)N1,1213,51:05100:0:Z3610931277;51:05100:1:Z4350759150;51:05100:1:Z4883572006;
c1cc2cc[nH]c2cn1,1148,51:05100:0:Z3610931277;51:05100:0:Z2874301832;51:05100:0:Z2881969700;
O=C1CCCN1,63289,51:05100:0:Z594851370;51:05100:0:Z1685725469;51:05100:0:Z1529357916;
CC1CNCC2(CCOC2C)O1,282,51:05100:0:Z1934725664;51:05101:3:Z1930122479;51:05101:6:Z1929720572;
O=c1cncc[nH]1,985,51:05100:0:Z1583348003;51:05100:1:Z4216162599;51:05100:1:Z1583385916;
CC1CCCCC1,17614,51:05100:0:Z4643694122;51:05100:0:Z4317762010;51:05100:0:Z3173705369;
c1cnc2c(c1)NCCC2,702,51:05100:0:Z4643694122;51:05100:4:Z4108968880;51:05100:7:Z4642766460;
NC12CCC(CC1)C2,230,51:05100:0:Z4055934326;51:05100:2:Z4421538323;51:05102:4:Z4709259089;
c1nc[nH]n1,47487,51:05100:0:Z3595533757;51:05100:0:Z1023980542;51:05100:0:Z4317762010;
Cc1ccn(C)n1,12871,51:05100:0:Z3365683455;51:05100:0:Z2588351055;51:05100:0:Z3406055420;
Cc1cccc2c1CCO2,296,51:05100:0:Z3610537015;51:05100:1:Z2706727373;51:05100:6:Z3652104979;
C1=NOCC1,8362,51:05100:0:Z3610537015;51:05100:0:Z1204298200;51:05100:0:Z3694816963;
CC1CCCC(C)O1,2838,51:05100:0:Z4975228554;51:05100:0:Z4975228846;51:05100:0:Z4975085762;
C1CC2CCNC2C1,3672,51:05100:0:Z3345790044;51:05100:0:Z4362517867;51:05100:0:Z2825024867;
Cn1ncc2c(=O)[nH]cnc21,1091,51:05100:0:Z1576775865;51:05100:0:Z1560872996;51:05100:1:Z3363339065;
C1COC2(C1)CCC2,4547,51:05100:0:Z2836087809;51:05100:0:Z4137624560;51:05100:0:Z2778573123;
O=C1CCCCCN1,4803,51:05100:0:Z3315655239;51:05100:0:Z751417534;51:05100:0:Z4349108812;
OC1CNC1,9442,51:05100:0:Z3383460055;51:05100:0:Z3621911638;51:05100:0:Z4205874054;
CC1CCCC(C)N1,2606,51:05100:0:Z3206191533;51:05100:0:Z4218131241;51:05100:0:Z2898480462;
Fc1cccc(F)c1,46278,51:05100:0:Z3613615121;51:05100:0:Z3548589540;51:05100:0:Z3541919555;
NC1CCC1,6848,51:05100:0:Z3380496797;51:05100:0:Z3364221974;51:05100:0:Z3381588659;
CN1CCCCC1,18791,51:05100:0:Z3708014008;51:05100:0:Z3708020069;51:05100:0:Z3950863937;
CC1CC2(CC2)C1,300,51:05100:0:Z3577355985;51:05100:1:Z3555493833;51:05100:2:Z3544236568;
O=S1(=O)CCCC1,13418,51:05100:0:Z4214175132;51:05100:0:Z1350385841;51:05100:0:Z2176293312;
CN1CCNc2c(F)cccc21,98,51:05100:0:Z3519151713;51:05100:1:Z4774843726;51:05100:1:Z4342858329;
CC1CCCNC1,19031,51:05100:0:Z4516003046;51:05100:0:Z31715840;51:05100:0:Z1438512229;
CC1(C)OCCO1,4513,51:05100:0:Z4199357769;51:05100:0:Z4255366459;51:05100:0:Z3393357562;
c1cn2c(n1)COCC2,1890,51:05100:0:Z4199357769;51:05100:0:Z2641443527;51:05100:0:Z2594531253;
Cc1cn2ccnc2s1,745,51:05100:0:Z3547408056;51:05100:6:Z3519825289;51:05100:8:Z3839572640;
C1CCC2(C1)OCCO2,2260,51:05100:0:Z4325736428;51:05100:0:Z1583723484;51:05100:0:Z4266935908;
O=C1NCCOC2CCCNC12,330,51:05100:0:Z4315074315;51:05100:0:Z3651045279;51:05101:8:Z4329901152;
Fc1cccnc1,27703,51:05100:0:Z2960854254;51:05100:0:Z1373430022;51:05100:0:Z4421554529;
Oc1ccccn1,4460,51:05100:0:Z2960854254;51:05100:0:Z2877941291;51:05100:0:Z4175936534;
CC1CNc2ccccc2C1,292,51:05100:0:Z3322544767;51:05100:1:Z1882000577;51:05100:6:Z1998172366;
O=c1ccocc1O,290,51:05100:0:Z3322544767;51:05100:2:Z1235849516;51:05100:3:Z1700523912;
Cc1ccsc1,9206,51:05100:0:Z4602515883;51:05100:0:Z4602515880;51:05100:0:Z2232227035;
CC1COCC2CCCN12,524,51:05100:0:Z4602515883;51:05100:0:Z4602515880;51:05101:1:Z4556524217;
Clc1cccc(Cl)c1,17365,51:05100:0:Z1529357916;51:05100:0:Z4640130323;51:05100:0:Z3820401311;
c1ccn2ccnc2c1,8909,51:05100:0:Z4063308412;51:05100:0:Z1483472253;51:05100:0:Z1687470583;
Cc1ncn[nH]1,4657,51:05100:0:Z1840340193;51:05100:0:Z1522195070;51:05100:0:Z2479975144;
CN1CCNCC1,17032,51:05100:0:Z4472167322;51:05100:0:Z1367098157;51:05100:0:Z2830187596;
c1ccsc1,125705,51:05100:0:Z4472167322;51:05100:0:Z2186746153;51:05100:0:Z4601908424;
Cc1cn(C)cn1,928,51:05100:0:Z2032746363;51:05100:1:Z3540212020;51:05100:3:Z3709145674;
O=C1NCC2(CCNCC2)C1O,239,51:05100:0:Z3345724129;51:05100:2:Z3623166371;51:05100:3:Z4153586777;
OC1CCCn2nccc21,201,51:05100:0:Z3641960249;51:05100:3:Z3585679654;51:05100:3:Z4472275087;
c1nnco1,25937,51:05100:0:Z4268873544;51:05100:0:Z4596281549;51:05100:0:Z3878882932;
Nc1ccncn1,3268,51:05100:0:Z4268873544;51:05100:0:Z1915467493;51:05100:1:Z4959324069;
Cc1cc(C)[nH]n1,20916,51:05100:0:Z3541403207;51:05100:0:Z2978800471;51:05100:0:Z3700593612;
FC1CC2CC12,292,51:05100:0:Z3541403207;51:05100:4:Z4573887757;51:05100:5:Z3832217823;
Clc1cccc2c1CCC2,992,51:05100:0:Z3093624774;51:05100:0:Z3093620893;51:05100:0:Z3047604185;
Cc1cc(C)n(C)n1,7156,51:05100:0:Z3102038623;51:05100:0:Z4574358603;51:05100:0:Z1579133352;
Clc1ccco1,1619,51:05100:0:Z3102038623;51:05100:0:Z2643494444;51:05100:1:Z2916835824;
Fc1cccc2c1CCCN2,158,51:05100:0:Z1883403357;51:05101:0:Z4112632964;51:05102:8:Z4382374763;
C1CCC2(C1)CCC2,2567,51:05100:0:Z3611367135;51:05100:0:Z3774705456;51:05100:0:Z3997798154;
C1CC2(CCOCC2)CN1,2708,51:05100:0:Z3611367135;51:05100:0:Z3843247560;51:05100:0:Z3057996282;
Cc1ccno1,13882,51:05100:0:Z2482901636;51:05100:0:Z3368897826;51:05100:0:Z3638891917;
Fc1cccc2sccc12,455,51:05100:0:Z2482901636;51:05100:1:Z1542261698;51:05100:4:Z3625613556;
NC1CCNC1,4132,51:05100:0:Z3120172097;51:05100:0:Z3385465072;51:05100:1:Z3386149349;
