fragment_smiles,occurences,example_ligands
NC1CNCCc2ccccc21,112,199:19900:0:Z3798080273;199:19900:1:Z3798062727;199:19900:1:Z4029140204;
O=C1CCCN1,105679,199:19900:0:Z3798080273;199:19900:0:Z1481711522;199:19900:0:Z1834148245;
c1ccoc1,94749,199:19900:0:Z3798080273;199:19900:0:Z3521322307;199:19900:0:Z318452622;
C1CCCC1,127399,199:19900:0:Z3045021722;199:19900:0:Z2478042558;199:19900:0:Z1354694265;
C1CCNC1,405227,199:19900:0:Z1241540806;199:19900:0:Z1905247994;199:19900:0:Z1236439868;
c1ccsc1,123509,199:19900:0:Z1241540806;199:19900:0:Z1316673585;199:19900:0:Z2702187978;
Clc1cn2ccccc2n1,653,199:19900:0:Z2069581880;199:19900:0:Z3360420912;199:19900:1:Z1021113106;
Cc1cc[nH]n1,31804,199:19900:0:Z1625392664;199:19900:0:Z2200510079;199:19900:0:Z2801833766;
Cc1cc(C)[nH]n1,37125,199:19900:0:Z1250740129;199:19900:0:Z3299134932;199:19900:0:Z4313282146;
c1c[nH]cn1,73350,199:19900:0:Z1250740129;199:19900:0:Z3674092882;199:19900:0:Z3597204618;
Clc1cccs1,6411,199:19900:0:Z2711298657;199:19900:0:Z1282450090;199:19900:0:Z3011183895;
c1cn[nH]c1,298483,199:19900:0:Z2711298657;199:19900:0:Z1889487931;199:19900:0:Z3803108892;
C1CCOCC1,188053,199:19900:0:Z2711298657;199:19900:0:Z2870314656;199:19900:0:Z1630278599;
Cc1nncn1C,3377,199:19900:0:Z3057807814;199:19900:0:Z1478710673;199:19900:1:Z2107181859;
O=C1NCCN1,12492,199:19900:0:Z3051523565;199:19900:0:Z1989658232;199:19900:0:Z3651352341;
Cc1cn[nH]c1,15443,199:19900:0:Z3051523565;199:19900:0:Z1437279077;199:19900:0:Z3295623670;
Cc1cccc2cc[nH]c12,1247,199:19900:0:Z3611206407;199:19900:0:Z3367696707;199:19900:0:Z1655903463;
c1cncnc1,92754,199:19900:0:Z1244534778;199:19900:0:Z2439129213;199:19900:0:Z4352509627;
C1CC2(CCO1)CNC2,3300,199:19900:0:Z2360398440;199:19900:0:Z2585136711;199:19900:0:Z4195313129;
CN1C2CCCC1CNC2,180,199:19900:0:Z4232018855;199:19900:6:Z4264118492;199:19900:9:Z4232055514;
Cn1c(=O)c2ccn(C)c2n(C)c1=O,322,199:19900:0:Z4232018855;199:19900:0:Z1727442059;199:19900:1:Z4078616053;
FC1(F)CCCOCC1,298,199:19900:0:Z3601947635;199:19900:2:Z3444014910;199:19900:4:Z3598047791;
Cc1cccc2cccnc12,696,199:19900:0:Z2698197703;199:19900:2:Z5007308770;199:19900:2:Z4349843004;
FC1(F)CCCCC1,7415,199:19900:0:Z2698197703;199:19900:0:Z2282652020;199:19900:0:Z4834312431;
Cc1ccccc1Cl,6024,199:19900:0:Z643661848;199:19900:0:Z4448945144;199:19900:0:Z4220028446;
O=c1[nH]nccc1Cl,1148,199:19900:0:Z643661848;199:19900:0:Z2094469127;199:19900:0:Z1822599256;
c1c[nH]nn1,91932,199:19900:0:Z2383378740;199:19900:0:Z3597204618;199:19900:0:Z2783543897;
Cc1ccccn1,29513,199:19900:0:Z3724630545;199:19900:0:Z1571414819;199:19900:0:Z4315120609;
CC1CCCCN1,17061,199:19900:0:Z3724630545;199:19900:0:Z643989772;199:19900:0:Z1282450090;
Cc1ccn(C)n1,15294,199:19900:0:Z3724630545;199:19900:0:Z4143179156;199:19900:0:Z4474178934;
Clc1ccccc1,231593,199:19900:0:Z1481711522;199:19900:0:Z1236439868;199:19900:0:Z2406716439;
c1ccc2nccnc2c1,3676,199:19900:0:Z4226138488;199:19900:0:Z2179906129;199:19900:0:Z1905714799;
C1CC2CNCC2CN1,1131,199:19900:0:Z3658319100;199:19900:0:Z4295478110;199:19900:3:Z3044007470;
C1CC2(C1)CC2,4421,199:19900:0:Z3997278797;199:19900:0:Z3051931225;199:19900:0:Z3205941762;
Fc1cccc2[nH]ccc12,985,199:19900:0:Z3997278797;199:19900:1:Z3864071060;199:19900:1:Z2070876245;
C1CC2CCC1CO2,1327,199:19900:0:Z3509227693;199:19900:0:Z3650784984;199:19900:0:Z3504175632;
C1CCCOCC1,922,199:19900:0:Z3509227693;199:19900:1:Z3358573098;199:19900:3:Z4031385453;
c1nc2c(s1)CCCC2,4391,199:19900:0:Z1563460603;199:19900:0:Z1129457120;199:19900:1:Z4194423673;
O=C1CNCCN1,20247,199:19900:0:Z1266791005;199:19900:0:Z2871815843;199:19900:0:Z3050927895;
CN1CCNCC1,35516,199:19900:0:Z4275184715;199:19900:0:Z3597205519;199:19900:0:Z4255112189;
Clc1cn[nH]c1,5841,199:19900:0:Z1556424917;199:19900:0:Z4295478110;199:19900:0:Z2870568328;
c1cn2c(n1)CCCC2,12434,199:19900:0:Z1556424917;199:19900:0:Z3434796544;199:19900:0:Z2690971130;
c1nc[nH]n1,55661,199:19900:0:Z955435362;199:19900:0:Z3530850754;199:19900:0:Z1014255948;
c1ccc2cnccc2c1,11687,199:19900:0:Z955435362;199:19900:0:Z4295341283;199:19900:0:Z4218313479;
Cc1ccc(N)nc1,140,199:19900:0:Z1556187645;199:19900:1:Z2010448448;199:19900:4:Z1556093339;
Cc1ccncc1,13387,199:19900:0:Z1577365673;199:19900:0:Z2828912285;199:19900:0:Z2839597587;
Cc1ncno1,8849,199:19900:0:Z2804994688;199:19900:0:Z3842124103;199:19900:0:Z1137090090;
C1CCC2(C1)OCCO2,1708,199:19900:0:Z3436758844;199:19900:0:Z3535103561;199:19900:1:Z3194925469;
O=C1CCOc2ccccc2N1,896,199:19900:0:Z3696532449;199:19900:0:Z3699095366;199:19900:1:Z1692798611;
Cc1cccc(C)c1,30702,199:19900:0:Z3803108892;199:19900:0:Z1994645351;199:19900:0:Z3381178080;
C1CC2CNCC2O1,3100,199:19900:0:Z3803108892;199:19900:0:Z5052475729;199:19900:0:Z5049497641;
CC1CNC1,6923,199:19900:0:Z1918565328;199:19900:0:Z1930153777;199:19900:0:Z4142864848;
Cc1ccccc1F,13166,199:19900:0:Z2862281104;199:19900:0:Z1569134646;199:19900:0:Z4138229954;
c1cocn1,49444,199:19900:0:Z2862281104;199:19900:0:Z2494460914;199:19900:0:Z2071725669;
O=c1cccn[nH]1,7541,199:19900:0:Z1212075377;199:19900:0:Z4448945144;199:19900:0:Z1409696837;
C1CC2CNCC2C1,5007,199:19900:0:Z2473743526;199:19900:0:Z3204522549;199:19900:1:Z3561793034;
c1cnoc1,69732,199:19900:0:Z2473743526;199:19900:0:Z3633548696;199:19900:0:Z4335886689;
Cc1cccnc1,21426,199:19900:0:Z4600122352;199:19900:0:Z1355717312;199:19900:0:Z3542906062;
Cc1cnn[nH]1,13049,199:19900:0:Z2494460914;199:19900:0:Z2410173478;199:19900:0:Z2710402704;
Cc1cc(N)n[nH]1,172,199:19900:0:Z4231216532;199:19900:2:Z4149428175;199:19900:3:Z4149368089;
C1COC2(CCOC2)CN1,812,199:19900:0:Z4318808293;199:19900:0:Z2622628983;199:19900:0:Z3669457507;
c1cc2n(c1)CCCC2,1020,199:19900:0:Z4390499499;199:19900:0:Z2453392202;199:19900:5:Z4095589514;
c1nn[nH]n1,32881,199:19900:0:Z4390499499;199:19900:0:Z3721748656;199:19900:0:Z4403068366;
C1CNC2(C1)CC2,1078,199:19900:0:Z3515308423;199:19900:0:Z4477416794;199:19900:0:Z3781667324;
O=C1CCCc2ccccc2N1,2485,199:19900:0:Z3362261214;199:19900:0:Z3600294610;199:19900:0:Z384457000;
Cc1cnc[nH]1,2450,199:19900:0:Z3609950765;199:19900:0:Z3724630550;199:19900:0:Z3207029574;
FC1(F)CCC1,10964,199:19900:0:Z3609950765;199:19900:0:Z3295958903;199:19900:0:Z3356879685;
Oc1cccnc1,1770,199:19900:0:Z3714332640;199:19900:0:Z3655850184;199:19900:1:Z1944284186;
Cc1cscn1,39339,199:19900:0:Z4109845942;199:19900:0:Z1890480395;199:19900:0:Z1188584599;
c1ccc2c(c1)OCCCO2,6746,199:19900:0:Z4109845942;199:19900:0:Z3597388132;199:19900:0:Z3168037253;
Cn1ncc2c1CCC2,269,199:19900:0:Z4959971152;199:19900:4:Z4963407794;199:19900:7:Z4954133102;
Cn1ncc2ccccc21,3784,199:19900:0:Z3835526279;199:19900:0:Z2119760489;199:19900:0:Z1767358218;
CC1(C)CC2(CCNCC2)CO1,253,199:19900:0:Z3835526279;199:19900:4:Z3867006320;199:19900:7:Z3867009420;
c1ccc2[nH]ccc2c1,38105,199:19900:0:Z2903501282;199:19900:0:Z2697677908;199:19900:0:Z4474298404;
c1cn[nH]n1,8118,199:19900:0:Z3654596818;199:19900:0:Z3696622376;199:19900:0:Z781999120;
CC1(C)CNCCO1,6540,199:19900:0:Z3654596818;199:19900:0:Z3996445549;199:19900:0:Z3996445548;
CC1CCCS1(=O)=O,355,199:19900:0:Z2806535155;199:19900:3:Z2708441899;199:19901:2:Z2818177131;
Cn1ccnc1,45361,199:19900:0:Z2806535155;199:19900:0:Z4947548296;199:19900:0:Z3293298621;
Nc1cc(Cl)ccn1,13,199:19900:0:Z4614612122;199:19937:7:Z4614610650;199:19938:9:Z4614607847;
