fragment_smiles,occurences,example_ligands
FC1CCNCC1,3953,62:06200:0:Z4227360101;62:06200:0:Z1928429430;62:06200:0:Z3381438830;
Cc1cc2cccc(C)c2[nH]1,161,62:06200:0:Z4913231307;62:06201:7:Z4912919582;62:06204:0:Z4912985022;
Cc1ccncn1,17693,62:06200:0:Z4227058188;62:06200:0:Z2185999247;62:06200:0:Z2298392530;
CC12CCC(=O)N1CCCN2,159,62:06200:0:Z4227058188;62:06200:4:Z4227062221;62:06200:5:Z4227059974;
Cc1[nH]c(=O)sc1C,852,62:06200:0:Z2804418012;62:06200:0:Z1239712127;62:06200:0:Z3626648732;
C1CC2CCOC2C1,3193,62:06200:0:Z2804418012;62:06200:0:Z2919326121;62:06200:0:Z3573749826;
Cc1cccs1,14739,62:06200:0:Z2483929929;62:06200:0:Z965664322;62:06200:0:Z1713570425;
C1CC2CC1CN2,6126,62:06200:0:Z3100247924;62:06200:0:Z3512964727;62:06200:0:Z4140559026;
CC1CCCCO1,5814,62:06200:0:Z4168964436;62:06200:0:Z1601815046;62:06200:0:Z4349346799;
C1CC2CC1CO2,4780,62:06200:0:Z4611001310;62:06200:0:Z5004992389;62:06200:0:Z4933205862;
CC1CCCO1,12147,62:06200:0:Z3551926887;62:06200:0:Z1785945729;62:06200:0:Z4266593994;
CC1CCC(F)(F)CC1,762,62:06200:0:Z2711097135;62:06200:1:Z4413177414;62:06200:3:Z4351797221;
C1COCCN1,118637,62:06200:0:Z2711097135;62:06200:0:Z1896565068;62:06200:0:Z2312396490;
Cc1csc2ncccc12,236,62:06200:0:Z1323635798;62:06200:9:Z2369986348;62:06202:5:Z3564169814;
Cc1ccno1,13901,62:06200:0:Z2912181310;62:06200:0:Z1902324261;62:06200:0:Z1407770487;
Cc1ccsn1,2896,62:06200:0:Z3384702485;62:06200:0:Z5048798195;62:06200:0:Z3363049226;
c1ccc2c(c1)OCO2,11867,62:06200:0:Z3384702485;62:06200:0:Z2206382658;62:06200:0:Z1615062999;
Cc1ccc2cccnc2c1,939,62:06200:0:Z3611130718;62:06200:1:Z2200830147;62:06200:2:Z3649909185;
O=C1CCNCC12CCC2,323,62:06200:0:Z3611130718;62:06200:0:Z3611133861;62:06200:2:Z4931634063;
Clc1cncnc1,3270,62:06200:0:Z2476339907;62:06200:0:Z1347787013;62:06200:0:Z1344920554;
Cc1ccn[nH]1,30695,62:06200:0:Z3592046753;62:06200:0:Z2898825564;62:06200:0:Z3384264084;
Cn1ccncc1=O,696,62:06200:0:Z3592046753;62:06200:2:Z4232745242;62:06200:4:Z1309586605;
Cc1nncs1,5041,62:06200:0:Z2842461701;62:06200:0:Z3361840224;62:06200:0:Z2312964575;
c1cnccn1,29980,62:06200:0:Z2842461701;62:06200:0:Z1902324261;62:06200:0:Z1231510379;
CN1CCNCC1,17259,62:06200:0:Z1579723478;62:06200:0:Z3616904155;62:06200:0:Z1915815243;
Cc1csnn1,1726,62:06200:0:Z2207919127;62:06200:0:Z3010450653;62:06200:0:Z3010488866;
Cc1cc(C)n(C)n1,7222,62:06200:0:Z2090089725;62:06200:0:Z4612203068;62:06200:0:Z903109804;
CC1(C)NCC(O)C1O,280,62:06200:0:Z4070762933;62:06200:0:Z4451399524;62:06200:4:Z4069863803;
Clc1cc2ccccc2o1,283,62:06200:0:Z4070762933;62:06200:6:Z2966946534;62:06200:7:Z1537304460;
C1CC2CCC(C1)N2,8472,62:06200:0:Z4066314953;62:06200:0:Z3640428372;62:06200:0:Z3798394718;
c1ccnnc1,19063,62:06200:0:Z4066314953;62:06200:0:Z3560142637;62:06200:0:Z3830958578;
c1cnn2nccc2c1,936,62:06200:0:Z1712363764;62:06200:0:Z4599880504;62:06200:2:Z2449397032;
CS(C)(=N)=O,4478,62:06200:0:Z3670353898;62:06200:0:Z3870385023;62:06200:0:Z3087560681;
C1CN2CCC1CC2,866,62:06200:0:Z3670353898;62:06200:1:Z2911994702;62:06200:3:Z4035538299;
c1ncsn1,10659,62:06200:0:Z4380232468;62:06200:0:Z4216774698;62:06200:0:Z4232585330;
Cc1ccc2[nH]ncc2c1,506,62:06200:0:Z4124807804;62:06200:1:Z3888403757;62:06200:3:Z1627312358;
CC1(C)CCS1(=O)=O,558,62:06200:0:Z4124807804;62:06200:4:Z4129745845;62:06200:4:Z4294890781;
Cc1nn2c(c1N)NCCC2,107,62:06200:0:Z4448473752;62:06200:1:Z4448472312;62:06202:2:Z4448466650;
CC1CCCc2ccnn21,681,62:06200:0:Z4448473752;62:06200:2:Z3830718432;62:06200:3:Z3841129551;
Fc1ccc2c(c1)OCC2,765,62:06200:0:Z4459138130;62:06200:0:Z4489256884;62:06200:0:Z3057198857;
Cn1nccc1F,608,62:06200:0:Z4112146281;62:06200:0:Z4113938995;62:06200:5:Z3296671410;
C1=CCCCC1,741,62:06200:0:Z962783096;62:06200:1:Z1171406414;62:06200:1:Z3388900040;
Fc1ccc2cc[nH]c2c1,1267,62:06200:0:Z2285140843;62:06200:2:Z1984581943;62:06200:2:Z1614062879;
OC1CNC2(CCOCC2)CC1O,99,62:06200:0:Z4097337326;62:06200:0:Z4140519201;62:06201:8:Z4035095124;
Cc1ccc2c(c1)NCC2,254,62:06200:0:Z2206382658;62:06200:2:Z944129408;62:06200:6:Z942527840;
Cc1cc(=O)cn[nH]1,390,62:06200:0:Z2717855767;62:06200:2:Z4770150802;62:06200:4:Z3168622564;
C1NCC2CC12,13328,62:06200:0:Z2717855767;62:06200:0:Z3550995860;62:06200:0:Z4311846656;
CC1CNc2ccnn2C1,531,62:06200:0:Z3594621287;62:06200:0:Z5055427374;62:06200:1:Z4195328883;
FC1(F)CC1,14421,62:06200:0:Z3594621287;62:06200:0:Z3511270927;62:06200:0:Z2712168883;
Cn1ccccc1=O,4716,62:06200:0:Z3613165541;62:06200:0:Z384578212;62:06200:0:Z4054042932;
CC1(C)CNCC2CCOC2C1,236,62:06200:0:Z3613165541;62:06200:1:Z3613165442;62:06200:1:Z4325941562;
CN1CCNc2cccc(F)c21,116,62:06200:0:Z4132428512;62:06200:9:Z4326444668;62:06200:9:Z3712356729;
