fragment_smiles,occurences,example_ligands
O=C1CC2(CCNCC2)CN1,425,62:06200:1:Z2956224372;62:06200:5:Z4173237423;62:06200:8:Z1589864246;
Oc1cc(O)ncn1,112,62:06200:1:Z2906720236;62:06201:0:Z2882905410;62:06201:4:Z2891019831;
CC1CCc2ccsc2S1(=O)=O,209,62:06200:1:Z4643220038;62:06201:1:Z2185028493;62:06202:1:Z2908955649;
O=C1CC2CCC1C2,1077,62:06200:1:Z5013860445;62:06200:1:Z2301800200;62:06200:1:Z3742454189;
Cc1coc(C)c1,946,62:06200:1:Z4620901566;62:06200:1:Z3204239387;62:06200:3:Z3597347501;
Cc1cnc2ccccc2n1,625,62:06200:1:Z3342571387;62:06200:5:Z1560469486;62:06200:5:Z4488818735;
Clc1nccs1,1775,62:06200:1:Z5000758885;62:06200:1:Z5012358497;62:06200:2:Z2166875401;
CC1NCc2ccccc21,511,62:06200:1:Z2605435439;62:06200:1:Z1320181699;62:06200:6:Z2601231726;
CC1CN(C)CC(C)N1,118,62:06200:1:Z3608663332;62:06201:2:Z4136831679;62:06201:4:Z3608663509;
C1CC2(CCSCC2)CN1,897,62:06200:1:Z4621612991;62:06200:2:Z3821393034;62:06200:6:Z3909863109;
Fc1cc(F)c2c(c1)CCCO2,825,62:06200:1:Z2774351458;62:06200:1:Z3549768124;62:06200:2:Z5057597707;
NC1CCC(O)C1,361,62:06200:1:Z4387044350;62:06200:5:Z3384896794;62:06201:7:Z4386852330;
CC1Cc2cccc(F)c2O1,284,62:06200:1:Z1712106472;62:06200:2:Z2777560700;62:06201:0:Z1445926597;
CC1CCNCC1C,622,62:06200:1:Z4600904786;62:06200:3:Z4575437565;62:06200:8:Z3792924057;
c1cnc2[nH]nnc2c1,275,62:06200:1:Z2212538682;62:06200:7:Z4096597881;62:06200:8:Z2456497568;
O=C1CCCNCC1,170,62:06200:1:Z3633087793;62:06200:4:Z3633075808;62:06200:6:Z3633081475;
C1CCC2SCCNC2C1,190,62:06200:1:Z2270212251;62:06201:0:Z1371078456;62:06201:3:Z1952412093;
CC1CC2CCC1O2,807,62:06200:1:Z2413729610;62:06200:4:Z2382631514;62:06200:5:Z3580735782;
Cn1ccc(=O)n(C)c1=O,1704,62:06200:1:Z1951094409;62:06200:1:Z4134336468;62:06200:1:Z4193340039;
O=C1CC=CC=N1,112,62:06200:1:Z2903061307;62:06202:9:Z3775754863;62:06202:9:Z3775754872;
C1CCC2CCC2CC1,465,62:06200:1:Z4906186442;62:06200:1:Z4906869978;62:06200:2:Z5050363601;
CC1CNc2ccccc2NC1=O,129,62:06200:1:Z1362006733;62:06200:6:Z4040902622;62:06201:2:Z2226585558;
C1CNC2CCCC2C1,1429,62:06200:1:Z3642636567;62:06200:1:Z3550644855;62:06200:1:Z4100533461;
Oc1ccon1,240,62:06200:1:Z3595117956;62:06200:7:Z3560332198;62:06200:8:Z3595095910;
O=c1cccc2n1CCCC2,317,62:06200:1:Z4303207319;62:06200:2:Z4114806377;62:06200:4:Z4114779014;
C1CCC2CCC(C1)N2,54,62:06200:1:Z5059933378;62:06202:1:Z4055523828;62:06202:6:Z4914757473;
CC12COC(C1)C2,490,62:06200:1:Z3351878810;62:06200:3:Z4261357448;62:06200:3:Z4596351075;
CN1CC2(C)CNCC2(C)C1,223,62:06200:1:Z2915791240;62:06200:2:Z3576486139;62:06200:4:Z2918698122;
O=S1CCCCC1,619,62:06200:1:Z2000552309;62:06200:1:Z2289609687;62:06200:1:Z4045324812;
CC12CCC(=O)N1CCN2,203,62:06200:1:Z3626911813;62:06200:5:Z3626920156;62:06200:7:Z3626912580;
FC1(F)C2CCCOC21,822,62:06200:1:Z4324499946;62:06200:1:Z2879292164;62:06200:2:Z4175176781;
CC1(C)OC2CCCC2O1,517,62:06200:1:Z2985931793;62:06200:1:Z2962637340;62:06200:4:Z2962638825;
Oc1ncnc2ncccc12,68,62:06200:1:Z3636882306;62:06200:6:Z4228572116;62:06203:5:Z4228606897;
FC1(F)CCCCNCC1,198,62:06200:1:Z4446293460;62:06200:5:Z5017810663;62:06201:0:Z5017800856;
CC12CCCC1C2,32,62:06200:1:Z4171362351;62:06201:2:Z4171302634;62:06207:8:Z4171298012;
c1scc2c1CCC2,592,62:06200:1:Z3788323784;62:06200:1:Z3788323497;62:06200:2:Z3908996972;
O=C1CC2(CCC2)C1,418,62:06200:1:Z2213855547;62:06200:4:Z2320033108;62:06200:6:Z2209398801;
Cc1ccc2c(c1)COCC2,217,62:06200:1:Z5007890768;62:06201:0:Z5007547404;62:06201:4:Z5007606402;
CC1(C)CC2(CNCCO2)CO1,305,62:06200:1:Z3395913291;62:06200:6:Z3794922113;62:06200:7:Z3897219968;
Clc1ncc2[nH]cnc2n1,92,62:06200:1:Z3395913291;62:06200:2:Z3395001287;62:06201:2:Z3393603053;
CN1CCC2(CCCN2)CC1,288,62:06200:1:Z3668512734;62:06201:3:Z4109445672;62:06201:5:Z2177002665;
CN1CCC(F)(F)CC1,407,62:06200:1:Z2481475114;62:06200:3:Z2484732272;62:06200:4:Z2484732556;
NC1CNCC1N,155,62:06200:1:Z2874405911;62:06200:2:Z2873051511;62:06201:2:Z4207713967;
Fc1ccsc1,1071,62:06200:1:Z4876762911;62:06200:1:Z5013324507;62:06200:1:Z4504872255;
C1NCC2COCC12,1578,62:06200:1:Z3660178328;62:06200:1:Z2793230154;62:06200:2:Z2791651250;
CN1CCC(N)C1,174,62:06200:1:Z3140906982;62:06200:3:Z4216845607;62:06200:7:Z4215496330;
O=c1[nH]ncn2cccc12,16,62:06200:1:Z3800176541;62:06201:0:Z1828319908;62:06203:6:Z2010636639;
Cc1ccc2c(c1)CNCC2,393,62:06200:1:Z2643861945;62:06200:1:Z3696506478;62:06200:3:Z2643861457;
Fc1ccc2ccccc2c1,360,62:06200:1:Z4021353363;62:06200:3:Z4576724982;62:06200:3:Z4008928198;
C1CC2(CCOC2)CN1,1104,62:06200:1:Z4021353363;62:06200:4:Z3298418314;62:06200:7:Z4573342332;
CN1C(=O)CCNc2ccccc21,190,62:06200:1:Z1770243917;62:06200:8:Z1715853036;62:06200:8:Z3513961416;
FC12CCC(CC1)C2,553,62:06200:1:Z3656893333;62:06200:2:Z3467162336;62:06200:4:Z3553923969;
FC1(F)C2CCNCC21,787,62:06200:1:Z2307502403;62:06200:2:Z2596263595;62:06200:2:Z2596268234;
Cc1nc(N)c2c(C)csc2n1,101,62:06200:1:Z4483985875;62:06200:7:Z3593431849;62:06204:4:Z2914123426;
CC1CNC(C)(C)CO1,233,62:06200:1:Z2191472621;62:06200:4:Z1584289299;62:06201:0:Z4268087676;
Cc1ccc(Cl)c(C)c1,113,62:06200:1:Z4013729679;62:06200:2:Z4010012119;62:06202:1:Z4013726434;
C1CC2CCNC2CN1,438,62:06200:1:Z3046668272;62:06200:1:Z3045705154;62:06200:4:Z3793978838;
CC(C)=CF,355,62:06200:1:Z4221238626;62:06200:2:Z4246443697;62:06200:3:Z4265909125;
CC1(C)CC(O)c2ccccc2O1,87,62:06200:1:Z2962853825;62:06200:7:Z2962854623;62:06200:7:Z2962853087;
C1=NCCN1,290,62:06200:1:Z2883452564;62:06200:5:Z4263011923;62:06200:8:Z4211694832;
Oc1ccc2c(c1)CNCCO2,261,62:06200:1:Z2647763309;62:06200:5:Z3289717964;62:06200:5:Z3472708851;
CN1CC2(CCNCC2)C1,209,62:06200:1:Z3879501815;62:06200:6:Z3898850331;62:06200:7:Z3831995027;
Cc1ccc2c(n1)NCCC2,100,62:06200:1:Z4126121984;62:06203:2:Z4126126833;62:06203:3:Z2851686389;
C1CC2(CCN1)COC2,550,62:06200:1:Z4126121984;62:06200:4:Z3054847794;62:06200:5:Z3314845085;
Cc1cc2cnccc2[nH]1,124,62:06200:1:Z4214463043;62:06200:2:Z4216257508;62:06200:2:Z4214318953;
O=C1CCNc2ccccc2N1,534,62:06200:1:Z4503871301;62:06200:1:Z4503855356;62:06200:1:Z4467676505;
Cc1cccc2cc[nH]c12,1119,62:06200:1:Z3577252737;62:06200:3:Z3358586876;62:06200:4:Z1259482080;
Cc1c[nH]c(=O)[nH]1,627,62:06200:1:Z4151995440;62:06200:5:Z1470619190;62:06200:5:Z3339207516;
O=C1NCCOc2ccccc21,516,62:06200:1:Z4426859256;62:06200:1:Z4437468968;62:06200:2:Z3164909066;
O=c1[nH]nco1,1037,62:06200:1:Z3549768124;62:06200:1:Z2776641195;62:06200:1:Z1419625149;
O=C1NCCn2nccc21,493,62:06200:1:Z3535688656;62:06200:2:Z3081679765;62:06200:3:Z3087743938;
Clc1cccc2c1CCN2,214,62:06200:1:Z4141900223;62:06200:1:Z3407995036;62:06200:2:Z1949950505;
Cc1ccsc1C,2188,62:06200:1:Z3655612355;62:06200:1:Z4001531849;62:06200:1:Z3588961588;
Cc1ccc2cnoc2n1,233,62:06200:1:Z2289609687;62:06200:1:Z2498287839;62:06200:6:Z1334199692;
Cn1ccc(=O)c(O)c1,94,62:06200:1:Z4484393582;62:06201:4:Z2222737743;62:06202:7:Z1498751436;
C1COCC2(C1)CCCO2,451,62:06200:1:Z3592795215;62:06200:3:Z3592807712;62:06200:4:Z4621293379;
c1cc2c(o1)CSC2,292,62:06200:1:Z3592795215;62:06200:7:Z4573461319;62:06200:8:Z3298614482;
c1ccc2c(c1)CCSC2,595,62:06200:1:Z4151908410;62:06200:1:Z1273419936;62:06200:2:Z2193970269;
Oc1ccnc2ccnn12,143,62:06200:1:Z3709860806;62:06200:5:Z3640506218;62:06201:2:Z3714118558;
Cc1nc2c([nH]1)CCCC2,757,62:06200:1:Z3584973584;62:06200:4:Z3584968927;62:06200:4:Z4350118812;
Cc1csc(Cl)c1,243,62:06200:1:Z1764096776;62:06201:4:Z4086876485;62:06201:6:Z1764452912;
O=C1COc2ccc(Cl)cc2N1,535,62:06200:1:Z1764096776;62:06200:2:Z3159777338;62:06200:3:Z4841716039;
C1CNC2(CC2)CN1,161,62:06200:1:Z3520124523;62:06201:6:Z3625254123;62:06201:6:Z4055650637;
Cc1cc(O)ncn1,409,62:06200:1:Z2614326392;62:06200:7:Z1425837363;62:06201:3:Z4253069120;
Oc1ccc2[nH]ncc2c1,89,62:06200:1:Z4309511696;62:06201:0:Z4311059313;62:06202:3:Z4311824095;
CC1OCCC1F,347,62:06200:1:Z3186665695;62:06200:3:Z3086717750;62:06200:4:Z4365956477;
Cc1ccc2c(c1)CC(C)C2,188,62:06200:1:Z2307265428;62:06201:0:Z2073840415;62:06201:8:Z1633965761;
Cc1c2ccccc2nn1C,226,62:06200:1:Z2927539051;62:06200:4:Z2474801591;62:06200:4:Z3595274438;
CC1(C)NCCNC1=O,560,62:06200:1:Z3471534234;62:06200:3:Z1744905747;62:06200:9:Z1926932983;
C1CSCSC1,751,62:06200:1:Z2874650218;62:06200:2:Z2884773736;62:06200:2:Z2284147261;
Cc1cc2c([nH]1)CCCC2,102,62:06200:1:Z1495193966;62:06200:4:Z4112478029;62:06201:3:Z1607125600;
Nc1cc[nH]n1,795,62:06200:1:Z4135314214;62:06200:3:Z2605962751;62:06200:6:Z4099212845;
C1NCC2CC1CO2,368,62:06200:1:Z4135314214;62:06202:1:Z4349790273;62:06202:1:Z1654264053;
Fc1cccs1,363,62:06200:1:Z2589877227;62:06200:3:Z3774416494;62:06201:1:Z3588021040;
Cc1cc(C)c2c(C)nn(C)c2n1,52,62:06200:1:Z2588337493;62:06204:1:Z3856434308;62:06204:1:Z2100666803;
CN1C(C)(C)CCS1(=O)=O,249,62:06200:1:Z4508277194;62:06202:3:Z3685654965;62:06202:4:Z3878418307;
c1ccc2c(c1)CCCNC2,1123,62:06200:1:Z1506260902;62:06200:1:Z4217009294;62:06200:3:Z3519815804;
Cc1ncsn1,1224,62:06200:1:Z4481717415;62:06200:1:Z4444340394;62:06200:2:Z3878639775;
NC12COC(C1)C2,33,62:06200:1:Z3696940415;62:06200:7:Z3697452017;62:06201:1:Z3796222183;
O=S1(=O)NC=Nc2ccccc21,145,62:06200:1:Z1994406780;62:06202:3:Z1408836978;62:06202:9:Z2148653652;
OC1CC(O)C12CCNCC2,257,62:06200:1:Z4271538280;62:06200:3:Z4279169367;62:06201:0:Z4279169854;
FC1(F)CC12CCCC2,1626,62:06200:1:Z3564245191;62:06200:2:Z3470544955;62:06200:3:Z3883541307;
FC1CC2(CCNC2)C1,347,62:06200:1:Z4097070118;62:06200:2:Z4034941462;62:06200:2:Z4034868522;
Cn1ccn2nccc12,367,62:06200:1:Z4277695945;62:06200:6:Z4224473053;62:06200:7:Z2735862551;
c1cnc2ncoc2c1,222,62:06200:1:Z2149156809;62:06200:6:Z2149245450;62:06200:9:Z4402476810;
NC1CC2CNCC2C1,110,62:06200:1:Z3046169738;62:06200:1:Z4185103588;62:06200:2:Z3134615884;
Nc1nccc2c1CNCC2,142,62:06200:1:Z3393950304;62:06201:8:Z2692038124;62:06202:7:Z4124221511;
O=S1CCNCC1,1345,62:06200:1:Z1987440517;62:06200:3:Z3470049700;62:06200:3:Z4059842803;
Cn1ccc(=O)[nH]c1=O,858,62:06200:1:Z2711371537;62:06200:1:Z1743961306;62:06200:1:Z2711376921;
Clc1ccc2c(c1)CCCC2,342,62:06200:1:Z2711371537;62:06200:1:Z1743961306;62:06200:1:Z2711376921;
Fc1ccc2scnc2c1,647,62:06200:1:Z3845133815;62:06200:2:Z3795044956;62:06200:2:Z3861037805;
c1cnc2c(c1)CNC2,882,62:06200:1:Z4447825262;62:06200:2:Z3669518605;62:06200:2:Z4448171044;
CN1C2CCCC1CNC2,365,62:06200:1:Z4276375211;62:06200:5:Z4232047355;62:06200:5:Z4232031626;
c1scc2c1CCCC2,262,62:06200:1:Z3654664873;62:06200:1:Z3655457818;62:06200:2:Z4876826511;
CC1OCCc2sccc21,291,62:06200:1:Z2774341443;62:06200:1:Z2175121166;62:06200:2:Z2841211228;
Cc1ccc2c(n1)CCCC2=O,132,62:06200:1:Z3602117588;62:06200:2:Z3577123386;62:06201:2:Z5007977778;
C1OC2CNCC2O1,393,62:06200:1:Z3602117588;62:06201:0:Z4128579986;62:06201:2:Z3602100861;
O=C1NCC2(CCNCC2)C1O,186,62:06200:1:Z3396199329;62:06200:1:Z3623166202;62:06202:9:Z3629919680;
C1COC2(C1)CC2,502,62:06200:1:Z3623030648;62:06200:4:Z3382643865;62:06201:2:Z3656814085;
Cc1cc2ncccn2n1,1254,62:06200:1:Z3596715338;62:06200:1:Z2870003952;62:06200:1:Z2869996361;
FC12CNCC(C1)C2,449,62:06200:1:Z4010870266;62:06200:1:Z4096106330;62:06200:3:Z3793550820;
O=C1CCCC2CCCN12,305,62:06200:1:Z4506185114;62:06200:9:Z4664424551;62:06201:6:Z4423806222;
c1cc2sccn2n1,195,62:06200:1:Z3653029644;62:06200:4:Z3352795826;62:06201:2:Z3611358353;
OC1COC2(CCNC2)CC1O,199,62:06200:1:Z4157767607;62:06200:1:Z4156063695;62:06200:4:Z4155603831;
OC1CNCC12CCC2,309,62:06200:1:Z4639566227;62:06200:4:Z3856085445;62:06200:7:Z3879691023;
CN1CCC12CCC2,238,62:06200:1:Z4096218373;62:06200:2:Z4096219757;62:06200:8:Z4096208871;
O=c1[nH]ccn2nccc12,426,62:06200:1:Z3637165991;62:06200:1:Z3104736921;62:06200:6:Z3612426413;
c1ncn2c1CCC2,909,62:06200:1:Z3856656247;62:06200:2:Z3856659340;62:06200:2:Z4324899504;
Cn1c2ccccc2c2ccsc21,61,62:06200:1:Z4054530310;62:06201:9:Z1263803548;62:06203:9:Z4024393352;
C1CCC2(CC1)CCNCC2,1304,62:06200:1:Z3513940125;62:06200:1:Z3346501032;62:06200:1:Z3773952309;
CC1CC(=O)c2cccc(Cl)c21,16,62:06200:1:Z363067474;62:06200:3:Z3799087166;62:06203:4:Z4630010530;
Cn1nccn1,2505,62:06200:1:Z3714075371;62:06200:1:Z3535628900;62:06200:1:Z4123255992;
NC12CCCC(CC1)C2,203,62:06200:1:Z4923565676;62:06200:3:Z4923672997;62:06201:4:Z4923630254;
CN1CC2(CCCNC2)CC1=O,302,62:06200:1:Z3561457165;62:06200:2:Z3561458084;62:06200:6:Z3628532457;
c1cnc2cncnc2c1,130,62:06200:1:Z3561457165;62:06200:8:Z3559964828;62:06202:3:Z3559662242;
O=C1CCCc2scnc21,209,62:06200:1:Z3093265571;62:06201:2:Z4138625097;62:06202:2:Z3093263032;
CN1CCc2ccccc2C1=O,823,62:06200:1:Z4504277472;62:06200:1:Z2800576998;62:06200:2:Z2646077887;
C1COC2CCNCC2C1,441,62:06200:1:Z2700245678;62:06200:3:Z2473099814;62:06200:4:Z2634277921;
CC1=CC(C)n2ncnc2N1C,159,62:06200:1:Z1986960940;62:06200:8:Z3597499047;62:06201:1:Z1987036979;
N=S1(=O)CCCC1,1353,62:06200:1:Z3138711017;62:06200:2:Z2774525662;62:06200:2:Z2904016420;
CC12CNC(C1)C2,422,62:06200:1:Z4949404525;62:06200:4:Z4578050275;62:06200:5:Z4949465614;
CC1CCNCCS1(=O)=O,409,62:06200:1:Z3829370397;62:06200:7:Z1882424640;62:06201:0:Z2225588610;
OC1CCNCC1O,1193,62:06200:1:Z4598247708;62:06200:2:Z3671288293;62:06200:2:Z4599113041;
c1cc2c(s1)CCCNC2,650,62:06200:1:Z3513992594;62:06200:5:Z3518695568;62:06200:6:Z4116753388;
FC1(F)CCCCCC1,1044,62:06200:1:Z3603223351;62:06200:3:Z4277369269;62:06200:4:Z4112698985;
C1CCN2CCNCC2C1,459,62:06200:1:Z1725352534;62:06200:3:Z3466833470;62:06200:7:Z908776964;
O=C1NCCC12CCCN2,313,62:06200:1:Z2640759727;62:06200:5:Z2493786451;62:06200:7:Z4487066214;
OC1CNCC2(CC2)C1,403,62:06200:1:Z3622529891;62:06200:4:Z3639460689;62:06200:6:Z3520463040;
Fc1ccc2c(c1)OCO2,478,62:06200:1:Z2999716792;62:06200:6:Z2843851542;62:06200:8:Z3338921652;
C1CCC2(CC1)CCCCO2,871,62:06200:1:Z4257692354;62:06200:1:Z3574324261;62:06200:1:Z1798865381;
CC1CCS(=O)(=O)CC1,642,62:06200:1:Z4343239510;62:06200:1:Z3295243541;62:06200:4:Z3367481808;
CC1CNCC(C)NC1,343,62:06200:1:Z3561126971;62:06200:2:Z4055940927;62:06200:5:Z4194498468;
OC12CCCCC1CNCC2,338,62:06200:1:Z4314929169;62:06200:2:Z4329395998;62:06200:2:Z4312952723;
O=c1cc[nH]c(=O)[nH]1,2802,62:06200:1:Z3687517685;62:06200:1:Z3687517681;62:06200:1:Z1613411117;
C1CC2CCOCC2CN1,408,62:06200:1:Z4191094249;62:06200:2:Z4192219298;62:06200:5:Z4195700582;
Cc1cnc2ccccn12,1089,62:06200:1:Z4322920705;62:06200:1:Z2639197592;62:06200:2:Z4179115649;
c1ccc2c(c1)CNCCS2,246,62:06200:1:Z4641826409;62:06200:7:Z1816912646;62:06200:9:Z1447393094;
Cc1ncc2ccccc2n1,122,62:06200:1:Z1958493222;62:06200:2:Z2065987185;62:06200:8:Z2975835778;
NC1CCOC1,1470,62:06200:1:Z4054102906;62:06200:4:Z2826002193;62:06200:5:Z4205220917;
OC1CC2(CCC2)C1,1018,62:06200:1:Z3680059395;62:06200:1:Z4286885348;62:06200:1:Z5014436025;
c1nnn2c1COC1CNCC12,214,62:06200:1:Z4598957288;62:06200:3:Z4474983123;62:06202:6:Z4474975714;
Oc1ccccc1Cl,1771,62:06200:1:Z3595336517;62:06200:1:Z3621386686;62:06200:2:Z2839615438;
Cc1ccc2cccc(F)c2n1,208,62:06200:1:Z4042689940;62:06201:1:Z2480042148;62:06201:4:Z2479673961;
Fc1cc(Cl)cc(Cl)c1,382,62:06200:1:Z1973631568;62:06200:6:Z2229423926;62:06201:0:Z1973673100;
Cn1cnc2sc3c(c2c1=O)CCC3,20,62:06200:1:Z4235735179;62:06201:1:Z1047635296;62:06202:0:Z1981566217;
O=C1NCCc2ncccc21,207,62:06200:1:Z4643283504;62:06200:4:Z4643652866;62:06203:6:Z4642786143;
Oc1ccc(F)c2c1CCNC2,222,62:06200:1:Z4353378510;62:06200:1:Z4343807464;62:06200:3:Z4412492758;
Cc1cc2c(=O)[nH]cnc2o1,145,62:06200:1:Z2716705506;62:06200:3:Z3856761220;62:06203:2:Z899854776;
Nc1cnsc1,210,62:06200:1:Z4284628985;62:06200:5:Z4280586339;62:06200:7:Z4284030811;
O=C1CCNCCN1,696,62:06200:1:Z1220659811;62:06200:5:Z2767589705;62:06200:8:Z4430211381;
NC12CCNCC1C2,168,62:06200:1:Z4453719224;62:06201:4:Z4454624389;62:06201:7:Z4448604906;
O=S1(=O)Nc2ccccc2N1,77,62:06200:1:Z2789409928;62:06201:1:Z2273854036;62:06201:3:Z3339607317;
Fc1cnccn1,382,62:06200:1:Z4272805601;62:06200:2:Z4272863856;62:06200:3:Z4272848681;
Cc1cc(Cl)on1,650,62:06200:1:Z2961793795;62:06200:2:Z998004728;62:06200:2:Z3204281170;
c1cnc2ncccc2c1,1044,62:06200:1:Z3821178381;62:06200:2:Z3821178819;62:06200:3:Z2913687482;
OC1C2CCC(CC2)C1O,131,62:06200:1:Z4934486032;62:06201:4:Z4934453453;62:06201:5:Z4934500636;
CC1CSc2ccccc2CN1,157,62:06200:1:Z2599216305;62:06200:5:Z1832106470;62:06200:6:Z2189963776;
CC1CNS(=O)(=O)C1,263,62:06200:1:Z3091556380;62:06200:2:Z2288505020;62:06201:8:Z2288504950;
C1CC2(C1)CCNCCN2,238,62:06200:1:Z3888403757;62:06200:4:Z3134145589;62:06200:5:Z4204579366;
Cc1scnc1O,133,62:06200:1:Z3615924682;62:06200:5:Z3192127454;62:06202:3:Z3198779078;
Cc1c(F)ccc2c(=O)cc[nH]c12,67,62:06200:1:Z5000438212;62:06200:7:Z5000769459;62:06202:0:Z5001292388;
C1CNCC2(C1)CCOCC2,1120,62:06200:1:Z4328803148;62:06200:4:Z1277589527;62:06200:4:Z3046247167;
Cc1cc2n(n1)CCCC2,397,62:06200:1:Z4137957358;62:06200:2:Z4326703742;62:06200:3:Z4147676064;
Cc1cc(=O)n2ncsc2n1,350,62:06200:1:Z3649640196;62:06200:2:Z2015979665;62:06200:2:Z2861747081;
Nc1ccc2ccccc2n1,153,62:06200:1:Z4208790928;62:06201:2:Z5036672917;62:06201:3:Z3809194790;
c1nc2c(s1)CNCC2,1362,62:06200:1:Z2311028338;62:06200:1:Z3202803461;62:06200:2:Z4058725224;
FC12CC(C1)C2,116,62:06200:1:Z3047861421;62:06201:9:Z3594992225;62:06201:9:Z3050518292;
Fc1ccc2cnccc2c1,731,62:06200:1:Z3809488977;62:06200:1:Z4166801332;62:06200:1:Z4018204222;
O=S1(=O)CCC2(CCCO2)CC1,199,62:06200:1:Z3359801642;62:06201:6:Z3116090285;62:06201:9:Z3057278665;
CN1CCNC1=O,372,62:06200:1:Z2630798755;62:06200:2:Z3627313486;62:06200:4:Z2606726985;
CC1NCCCNC1=O,599,62:06200:1:Z2966755382;62:06200:1:Z1823103742;62:06200:4:Z4769986333;
NC1CNCC(F)(F)C1,547,62:06200:1:Z4387231881;62:06200:1:Z4168198666;62:06200:1:Z4387226496;
O=c1[nH]nc2n1CCCCC2,374,62:06200:1:Z1454924185;62:06200:3:Z2177901243;62:06200:5:Z1781401468;
c1ccc2nnccc2c1,642,62:06200:1:Z3175884595;62:06200:2:Z4478947523;62:06200:4:Z2094768039;
Cn1ncc2c(O)cccc21,151,62:06200:1:Z4027608617;62:06200:4:Z4467258550;62:06200:7:Z2644363443;
CC1=NOC2(CNC2)C1,355,62:06200:1:Z3586276920;62:06200:2:Z3620917797;62:06200:6:Z3187025138;
O=c1[nH]ccc2cccnc12,133,62:06200:1:Z3586276920;62:06200:7:Z3361811376;62:06200:9:Z4226605919;
O=S1(=O)CCC2(CCNC2)CC1,504,62:06200:1:Z3633219849;62:06200:3:Z3633226008;62:06200:7:Z3385369050;
C1CC2(C1)CNCCN2,186,62:06200:1:Z3365858680;62:06200:9:Z3596313277;62:06201:4:Z3596318774;
Clc1cnccn1,1037,62:06200:1:Z2119659168;62:06200:1:Z4909172877;62:06200:2:Z2615394327;
Cc1cn2ncsc2n1,155,62:06200:1:Z909616168;62:06201:2:Z1252434432;62:06202:4:Z3079300386;
Nc1nccs1,1609,62:06200:1:Z3138854351;62:06200:2:Z4289240627;62:06200:2:Z4004748082;
Cc1cccc2c1CCCN2,427,62:06200:1:Z4093860772;62:06200:3:Z1361754019;62:06200:3:Z4256188312;
O=C1CCC2CNCCN12,463,62:06200:1:Z2914535776;62:06200:3:Z4198671576;62:06200:3:Z2583795197;
FC1(F)COC1,180,62:06200:1:Z4329788965;62:06200:7:Z4329789629;62:06200:7:Z4506339704;
Cc1ccc2c(c1)CCO2,622,62:06200:1:Z3506540118;62:06200:2:Z5059590826;62:06200:3:Z4085187842;
NC1CCCC12CNC2,121,62:06200:1:Z4210666178;62:06200:7:Z4210658677;62:06201:3:Z4210677392;
O=C1CNc2ncccc2N1,160,62:06200:1:Z4305380723;62:06200:3:Z4125698742;62:06200:6:Z4125700086;
Cc1cccc(N)n1,58,62:06200:1:Z3404731026;62:06200:9:Z5058617514;62:06204:3:Z3816263180;
CC1OC2CC1C2,713,62:06200:1:Z4347487896;62:06200:1:Z4320174595;62:06200:2:Z4326370479;
Cc1ccnc(=O)[nH]1,245,62:06200:1:Z654063220;62:06200:2:Z2915945270;62:06200:4:Z4227345344;
C1CNC2(C1)CCCOC2,370,62:06200:1:Z4258936875;62:06200:6:Z2954470356;62:06201:2:Z4127556600;
FC1CCC2CNCC12,386,62:06200:1:Z1950606427;62:06200:3:Z2625682576;62:06200:6:Z1499083952;
C1CCC2(CC1)COCCO2,644,62:06200:1:Z3371055115;62:06200:2:Z3685329152;62:06200:5:Z3602929935;
Cc1nncn1C,2920,62:06200:1:Z954417310;62:06200:1:Z4467489344;62:06200:2:Z4571315812;
CC1CCNCC1F,300,62:06200:1:Z5034868020;62:06200:2:Z3621105019;62:06200:4:Z3607172741;
c1ccc2c(c1)NCC1(CC1)O2,162,62:06200:1:Z2966040553;62:06200:3:Z4132769650;62:06200:7:Z2966039919;
O=C1C2CCCC1CNC2,195,62:06200:1:Z4064032017;62:06200:6:Z3890105069;62:06200:9:Z4059326072;
Cc1cccc2cccnc12,900,62:06200:1:Z5006702913;62:06200:2:Z3834112243;62:06200:3:Z4571516500;
Fc1cccc2c1CCC2,1165,62:06200:1:Z3362639733;62:06200:1:Z3806094722;62:06200:1:Z3806094805;
CN1CC2CCC1C2,314,62:06200:1:Z3615779259;62:06200:5:Z3615776086;62:06200:5:Z3615781255;
CN=S1(=O)CCC2(CC1)CNCCO2,123,62:06200:1:Z3415737834;62:06201:3:Z3416612596;62:06202:9:Z3416613314;
OC1CNCC(F)C1,716,62:06200:1:Z4612529610;62:06200:1:Z4022431656;62:06200:2:Z4612525578;
Cc1cn2ncccc2n1,369,62:06200:1:Z4273389461;62:06200:6:Z2194523104;62:06201:0:Z4233795477;
Cc1cccc(Cl)c1C,359,62:06200:1:Z2159108836;62:06200:2:Z4194765310;62:06200:2:Z3802376486;
FC1(F)CCC2CCCNC2C1,146,62:06200:1:Z4031614260;62:06201:0:Z4296248125;62:06201:5:Z4153848000;
CN1CCC(C)(C)C1,372,62:06200:1:Z4292189869;62:06200:2:Z4289551297;62:06200:9:Z4906753742;
Cn1cnc2ccc(Cl)cc21,403,62:06200:1:Z3797628867;62:06200:3:Z3808537734;62:06200:4:Z3351444843;
CC1CCc2ccccc2O1,274,62:06200:1:Z3641557234;62:06200:8:Z3945240068;62:06200:9:Z2774478022;
O=S1(=O)NCc2ccccc21,138,62:06200:1:Z5058332220;62:06201:1:Z3522799057;62:06201:9:Z3505859479;
