fragment_smiles,occurences,example_ligands
C1CCOC1,141020,52:05200:0:Z2923516810;52:05200:0:Z3338442557;52:05200:0:Z2969692027;
C1COCCN1,117568,52:05200:0:Z2923516810;52:05200:0:Z2273447933;52:05200:0:Z4263863367;
c1cscn1,161327,52:05200:0:Z2623227036;52:05200:0:Z3782476222;52:05200:0:Z3805840992;
C1CCCCC1,143798,52:05200:0:Z4171511535;52:05200:0:Z2485171264;52:05200:0:Z2457531400;
C1CCC2(C1)CCOCC2,1990,52:05200:0:Z4171511535;52:05200:0:Z2003250830;52:05200:1:Z2913060814;
Fc1cccc(F)c1,46209,52:05200:0:Z4870344147;52:05200:0:Z1533753525;52:05200:0:Z4380248506;
Cn1cncc1Cl,2376,52:05200:0:Z1877882758;52:05200:0:Z2643539285;52:05200:0:Z3086203191;
c1ccc2c(c1)OCCCO2,3264,52:05200:0:Z291741268;52:05200:0:Z3475254369;52:05200:1:Z2898107197;
CN1C(=O)NCC12CCNCC2,280,52:05200:0:Z4076695586;52:05200:3:Z2842764949;52:05200:8:Z2411877483;
Cn1cnc2sccc21,293,52:05200:0:Z4076695586;52:05200:0:Z4045202195;52:05200:7:Z4240682741;
C1CCNCC1,423358,52:05200:0:Z1440842396;52:05200:0:Z1440816663;52:05200:0:Z219280506;
c1ccc2sccc2c1,8380,52:05200:0:Z1440842396;52:05200:0:Z1440816663;52:05200:0:Z219280506;
Cc1nnco1,6346,52:05200:0:Z606109968;52:05200:0:Z1466771267;52:05200:0:Z1647167083;
Clc1cccc(Cl)c1,17344,52:05200:0:Z606109968;52:05200:0:Z2175872088;52:05200:0:Z4484953569;
Fc1ccccc1,249435,52:05200:0:Z3307920203;52:05200:0:Z3619848218;52:05200:0:Z2785187672;
C1CNCCN1,114040,52:05200:0:Z3307920203;52:05200:0:Z3573559362;52:05200:0:Z4050071062;
c1c[nH]nn1,80988,52:05200:0:Z3307920203;52:05200:0:Z4218611277;52:05200:0:Z2864078354;
CC1(C)CCCCNC1,526,52:05200:0:Z1781225026;52:05200:0:Z4054742677;52:05200:5:Z3698223018;
c1ccccc1,999827,52:05200:0:Z1781225026;52:05200:0:Z2313681758;52:05200:0:Z3000267152;
c1nnn[nH]1,24391,52:05200:0:Z1781225026;52:05200:0:Z1251121229;52:05200:0:Z1032305928;
OC1CCNCC1,16729,52:05200:0:Z2313681758;52:05200:0:Z3627799603;52:05200:0:Z3358557001;
C1CCCC1,132685,52:05200:0:Z2313681758;52:05200:0:Z3817290478;52:05200:0:Z2616464453;
CC1(C)OCCO1,4498,52:05200:0:Z4276134328;52:05200:0:Z4469167543;52:05200:0:Z4468857159;
CC1(C)COCCO1,4538,52:05200:0:Z4395349114;52:05200:0:Z4391988901;52:05200:0:Z3849073106;
O=C1CCCc2sccc21,346,52:05200:0:Z4395349114;52:05200:0:Z2297753382;52:05200:3:Z3670231017;
Cc1ccccn1,29121,52:05200:0:Z2659716165;52:05200:0:Z3503490056;52:05200:0:Z2305824385;
CC1(C)CCCNC1=O,1062,52:05200:0:Z4019050844;52:05200:0:Z3795096066;52:05200:0:Z4199387700;
