fragment_smiles,occurences,example_ligands
C1CC2CCC(C1)N2,34605,368:36800:0:PV-000564055431;368:36800:0:PV-000443528118;368:36800:0:PV-001716571424;
O=c1cccc[nH]1,43127,368:36800:0:PV-000564055431;368:36800:0:PV-001051121340;368:36800:0:PV-000478684756;
c1ccccc1,385533,368:36800:0:PV-000564055431;368:36800:0:PV-000347735688;368:36800:0:PV-001770620617;
Cn1ccc(Cl)n1,3554,368:36800:0:PV-000495847870;368:36800:0:PV-004514361718;368:36800:0:PV-004514379306;
c1ccc2c(c1)CCOC2,7776,368:36800:0:PV-000495847870;368:36800:0:PV-004514364816;368:36800:0:PV-004514367146;
C1CCCNCCC1,18080,368:36800:0:PV-000347735688;368:36800:0:PV-000347759903;368:36800:0:PV-004514356494;
C1CCOCC1,111043,368:36800:0:PV-000347735688;368:36800:0:PV-001074377770;368:36800:0:PV-001706034018;
C1CCNC1,598321,368:36800:0:PV-002299318814;368:36800:0:PV-000514569977;368:36800:0:PV-000514413889;
Fc1ccccc1,170285,368:36800:0:PV-002299318814;368:36800:0:PV-001748104780;368:36800:0:PV-000514413889;
Fc1cncc(F)c1,4263,368:36800:0:PV-000470358563;368:36800:0:PV-000562790658;368:36800:0:PV-004514360447;
C1CCNCC1,552306,368:36800:0:PV-000470358563;368:36800:0:PV-000585898764;368:36800:0:PV-000488072412;
CC1CCC(=O)N1,6090,368:36800:0:PV-000470358563;368:36800:1:PV-004514384415;368:36800:1:PV-004514384416;
Cc1cncc(C)c1,7853,368:36800:0:PV-001501849385;368:36800:0:PV-000356651851;368:36800:0:PV-000493473822;
c1ncon1,3483,368:36800:0:PV-001501849385;368:36800:0:PV-002144070634;368:36800:0:PV-002092323046;
CC1CCNCC1,56926,368:36800:0:PV-001051303805;368:36800:0:PV-001696656545;368:36800:0:PV-001066291250;
c1ccn2ccnc2c1,14137,368:36800:0:PV-001051303805;368:36800:0:PV-000493632581;368:36800:0:PV-001742872266;
Cc1cc[nH]n1,46588,368:36800:0:PV-000493632581;368:36800:0:PV-000491100286;368:36800:0:PV-000541298083;
c1ccncc1,288432,368:36800:0:PV-001561999542;368:36800:0:PV-001678543742;368:36800:0:PV-000419526626;
C1CCCC1,240559,368:36800:0:PV-001561999542;368:36800:0:PV-001678543742;368:36800:0:PV-000265316846;
Cc1cnc(C)o1,5613,368:36800:0:PV-001561999542;368:36800:0:PV-004514357618;368:36800:0:PV-004514357619;
c1cncnc1,64619,368:36800:0:PV-000585898764;368:36800:0:PV-000488072412;368:36800:0:PV-000423884374;
Fc1cccc(Cl)c1,13469,368:36800:0:PV-000585898764;368:36800:0:PV-000488072412;368:36800:0:PV-000423884374;
Cn1cccn1,131060,368:36800:0:PV-001695979024;368:36800:0:PV-001151164090;368:36800:0:PV-000504921671;
CC1CCNC1,167803,368:36800:0:PV-001695979024;368:36800:0:PV-001692286940;368:36800:0:PV-001696210106;
Fc1cn[nH]c1,6687,368:36800:0:PV-001695979024;368:36800:0:PV-004514356609;368:36800:0:PV-004514357350;
c1cnsc1,38609,368:36800:0:PV-001628015747;368:36800:0:PV-001636717349;368:36800:0:PV-001409128501;
Cc1ccc2ccccc2n1,2013,368:36800:0:PV-001628015747;368:36800:0:PV-001636717349;368:36800:0:PV-001409128501;
c1cocn1,85403,368:36800:0:PV-000481217240;368:36800:0:PV-000579394618;368:36800:0:PV-003942346683;
C1COC2(C1)CNC2,8638,368:36800:0:PV-001755700513;368:36800:0:PV-004514355979;368:36800:0:PV-004514368904;
CC1CCCN1,105475,368:36800:0:PV-001755700513;368:36800:0:PV-001125724914;368:36800:0:PV-000350983936;
Cc1ccco1,50701,368:36800:0:PV-001770620617;368:36800:0:PV-001716571424;368:36800:0:PV-000249428311;
Cc1cnc(C)s1,5985,368:36800:0:PV-000493107656;368:36800:0:PV-004514356494;368:36800:0:PV-004514369547;
Cc1ccn[nH]1,45081,368:36800:0:PV-000493107656;368:36800:0:PV-000270813372;368:36800:0:PV-002247569141;
c1ccoc1,130750,368:36800:0:PV-000514569977;368:36800:0:PV-000238464933;368:36800:0:PV-001631550859;
C1CC2(CCO1)CC2,2197,368:36800:0:PV-000514569977;368:36800:2:PV-004514417496;368:36800:2:PV-004514423803;
Cc1ccccc1,112812,368:36800:0:PV-001502729703;368:36800:0:PV-001125724914;368:36800:0:PV-000284211090;
C1CCC2CC2C1,4150,368:36800:0:PV-001502729703;368:36800:0:PV-004514357689;368:36800:0:PV-004514358983;
Fc1cc[nH]c1,8341,368:36800:0:PV-001787818727;368:36800:0:PV-004514360942;368:36800:0:PV-004514363313;
O=S1(=O)CCCCC1,1610,368:36800:0:PV-001635399555;368:36800:0:PV-001409899906;368:36800:0:PV-001626699952;
c1cnc2ccncc2c1,3885,368:36800:0:PV-001635399555;368:36800:0:PV-001409899906;368:36800:0:PV-001626699952;
C1CCCNCC1,97299,368:36800:0:PV-001748104780;368:36800:0:PV-000579394618;368:36800:0:PV-001074377770;
CC1(C)CC1,27211,368:36800:0:PV-001131188442;368:36800:0:PV-001131188440;368:36800:0:PV-000574476244;
C1CNCCN1,152322,368:36800:0:PV-001131188442;368:36800:0:PV-001131188440;368:36800:0:PV-003942346833;
C1CCCCC1,222670,368:36800:0:PV-001131188442;368:36800:0:PV-001131188440;368:36800:0:PV-000589787600;
Cc1cnn(C)c1,13403,368:36800:0:PV-000514413889;368:36800:0:PV-000473334566;368:36800:0:PV-004514359855;
Cc1cccnc1,46444,368:36800:0:PV-001696656545;368:36800:0:PV-003942346901;368:36800:0:PV-000447411137;
Cc1ccn(C)n1,19745,368:36800:0:PV-001696656545;368:36800:0:PV-001742872266;368:36800:0:PV-003942347610;
Cc1ccccn1,50454,368:36800:0:PV-000593641383;368:36800:0:PV-003167674561;368:36800:0:PV-003942347323;
CC1CCCNC1,73591,368:36800:0:PV-000593641383;368:36800:0:PV-000284211090;368:36800:0:PV-001770096829;
Clc1ccccc1,74276,368:36800:0:PV-000593641383;368:36800:0:PV-000512797105;368:36800:0:PV-001659208934;
Cc1ccc(C)cc1,8828,368:36800:0:PV-000265316846;368:36800:0:PV-004514364684;368:36800:0:PV-004514364685;
Cc1c[nH]c(C)c1,4964,368:36800:0:PV-000265316846;368:36800:0:PV-004514363654;368:36800:0:PV-004514377946;
c1ccc2ncccc2c1,13610,368:36800:0:PV-002144070634;368:36800:0:PV-004514363036;368:36800:0:PV-004514374866;
CC1(C)CCC1,21056,368:36800:0:PV-000579394618;368:36800:0:PV-000586519386;368:36800:0:PV-000425466782;
Cc1ncc2ccccn12,1857,368:36800:0:PV-000529821356;368:36800:2:PV-004514426496;368:36800:2:PV-004514430581;
c1cn[nH]c1,256176,368:36800:0:PV-000529821356;368:36800:0:PV-000478684756;368:36800:0:PV-002299318914;
Cc1cccc2c1CCC2,2110,368:36800:0:PV-001066291250;368:36800:0:PV-004514366701;368:36800:0:PV-004514369175;
Cc1c[nH]c(=O)[nH]1,4039,368:36800:0:PV-001125724914;368:36800:0:PV-004514370084;368:36800:0:PV-004514370085;
Fc1ccc2ccoc2c1,3801,368:36800:0:PV-001051121340;368:36800:0:PV-004514365333;368:36800:0:PV-004514365334;
C1CC2CNCC1N2,22664,368:36800:0:PV-000478684756;368:36800:0:PV-004514358915;368:36800:0:PV-004514360022;
Cc1ncccc1O,11,368:36800:0:PV-001854009757;368:36834:2:PV-004522431598;368:36839:6:PV-004523708730;
Cc1csc2cccc(F)c12,183,368:36800:0:PV-001854009757;368:36801:7:PV-004514782812;368:36801:9:PV-004514814028;
c1cscn1,95612,368:36800:0:PV-000284211090;368:36800:0:PV-002618449815;368:36800:0:PV-000450659501;
O=C1COCCN1,2950,368:36800:0:PV-002092323046;368:36800:0:PV-004514368048;368:36800:0:PV-004514368049;
C1CC2CCCN2C1,4140,368:36800:0:PV-001043551528;368:36800:0:PV-004514357197;368:36800:0:PV-004514357398;
CC1CNC(=O)C1,3536,368:36800:0:PV-001043551528;368:36800:0:PV-004514361707;368:36800:0:PV-004514376963;
c1ccsc1,124183,368:36800:0:PV-001730064722;368:36800:0:PV-000470017051;368:36800:0:PV-000472987839;
c1cc2occc2cn1,3231,368:36800:0:PV-001730064722;368:36800:0:PV-000588604650;368:36800:0:PV-004514359742;
C1CCC2(CCC2)NC1,3777,368:36800:0:PV-002618449815;368:36800:0:PV-002618450020;368:36800:0:PV-004514369495;
Fc1ccccc1F,20605,368:36800:0:PV-002618449815;368:36800:0:PV-000415813004;368:36800:0:PV-000575491659;
c1c[nH]cn1,97739,368:36800:0:PV-001506729390;368:36800:0:PV-003942346833;368:36800:0:PV-000421720731;
c1ccc2[nH]ccc2c1,18396,368:36800:0:PV-001506729390;368:36800:0:PV-000520832890;368:36800:0:PV-000551251149;
CC1(C)CC1(C)C,9306,368:36800:0:PV-000450659501;368:36800:0:PV-004514359323;368:36800:0:PV-004514359324;
C1COCCN1,63572,368:36800:0:PV-001500875139;368:36800:0:PV-000347759903;368:36800:0:PV-000249428311;
Cc1ccncn1,23428,368:36800:0:PV-000490815900;368:36800:0:PV-003942347564;368:36800:0:PV-000595883470;
c1noc2c1CCCCC2,866,368:36800:0:PV-001563676878;368:36800:0:PV-004514369332;368:36800:5:PV-004514482460;
O=c1cccn[nH]1,18198,368:36800:0:PV-003942346817;368:36800:0:PV-000332048503;368:36800:0:PV-000329797232;
c1ccc2nccnc2c1,3048,368:36800:0:PV-003942346833;368:36800:0:PV-004514378648;368:36800:0:PV-004514378649;
Nc1cccnc1,14615,368:36800:0:PV-003942346848;368:36800:0:PV-004514356627;368:36800:0:PV-004514356920;
C1CC2CNCCC2CN1,1160,368:36800:0:PV-003942346848;368:36800:0:PV-004514364784;368:36800:0:PV-004514370991;
