fragment_smiles,occurences,example_ligands
Cc1cccc(F)c1,20224,255:25500:0:PV-005759310349;255:25500:0:PV-005759310350;255:25500:0:PV-005759310351;
C1CCCC1,231502,255:25500:0:PV-005759310349;255:25500:0:PV-005759310350;255:25500:0:PV-005759310351;
Nc1nccs1,9700,255:25500:0:PV-005759310349;255:25500:0:PV-005759310350;255:25500:0:PV-005759310351;
C1COC2(C1)CCNCC2,2839,255:25500:0:PV-005759310355;255:25500:1:PV-005759386322;255:25500:1:PV-005759390542;
c1cn[nH]c1,224077,255:25500:0:PV-005759310355;255:25500:0:PV-005759310436;255:25500:0:PV-005759311993;
c1cnc2[nH]ccc2c1,7607,255:25500:0:PV-005759310356;255:25500:0:PV-005759341064;255:25500:0:PV-005759341065;
C1CCNCC1,495583,255:25500:0:PV-005759310356;255:25500:0:PV-005759310585;255:25500:0:PV-005759310662;
Cc1cn[nH]c1,19182,255:25500:0:PV-005759310359;255:25500:0:PV-005759322335;255:25500:0:PV-005759327728;
C1CCOC1,143827,255:25500:0:PV-005759310359;255:25500:0:PV-005759310467;255:25500:0:PV-005759310468;
Fc1ccsc1,15454,255:25500:0:PV-005759310359;255:25500:0:PV-005759319523;255:25500:0:PV-005759324494;
CC1CCNC1,164681,255:25500:0:PV-005759310360;255:25500:0:PV-005759310361;255:25500:0:PV-005759310362;
c1cn2c(n1)SCC2,2755,255:25500:0:PV-005759310360;255:25500:0:PV-005759310361;255:25500:0:PV-005759310362;
FC1CCCCC1,12500,255:25500:0:PV-005759310360;255:25500:0:PV-005759310361;255:25500:0:PV-005759310362;
c1cc[nH]c1,96341,255:25500:0:PV-005759310386;255:25500:0:PV-005759310467;255:25500:0:PV-005759310468;
CC1CCCCN1,57542,255:25500:0:PV-005759310386;255:25500:0:PV-005759311746;255:25500:0:PV-005759314740;
FC1CCCNC1,62642,255:25500:0:PV-005759310404;255:25500:0:PV-005759310405;255:25500:0:PV-005759310702;
C1CCNC1,588508,255:25500:0:PV-005759310404;255:25500:0:PV-005759310405;255:25500:0:PV-005759310837;
c1cnoc1,116874,255:25500:0:PV-005759310404;255:25500:0:PV-005759310405;255:25500:0:PV-005759313183;
c1ccc2c(c1)COC2,3610,255:25500:0:PV-005759310418;255:25500:0:PV-005759313523;255:25500:0:PV-005759313524;
c1cocn1,79266,255:25500:0:PV-005759310418;255:25500:0:PV-005759312283;255:25500:0:PV-005759312284;
CC1CCNCCN1,12971,255:25500:0:PV-005759310436;255:25500:0:PV-005759311616;255:25500:0:PV-005759317149;
O=S1(=O)CCC1,11519,255:25500:0:PV-005759310436;255:25500:0:PV-005759318932;255:25500:0:PV-005759320117;
CC1CCCS1,5145,255:25500:0:PV-005759310464;255:25500:0:PV-005759314594;255:25500:0:PV-005759316731;
Oc1ccc2ncccc2c1,306,255:25500:0:PV-005759310464;255:25500:3:PV-003586898889;255:25500:3:PV-003586900386;
Cc1cc[nH]n1,38942,255:25500:0:PV-005759310467;255:25500:0:PV-005759310468;255:25500:0:PV-005759311572;
Cc1cc(C)n2ncnc2n1,258,255:25500:0:PV-005759310504;255:25502:6:PV-002919296333;255:25502:6:PV-002919296334;
Cc1ncon1,1560,255:25500:0:PV-005759310507;255:25500:0:PV-005759339303;255:25500:0:PV-005759365016;
FC12CCCC1CNC2,3031,255:25500:0:PV-005759310507;255:25500:0:PV-005759366700;255:25500:0:PV-005759366901;
Cc1ccns1,14404,255:25500:0:PV-005759310553;255:25500:0:PV-005759310554;255:25500:0:PV-005759312734;
OC1CCNC1,92127,255:25500:0:PV-005759310553;255:25500:0:PV-005759310554;255:25500:0:PV-005759310689;
c1ccsc1,168021,255:25500:0:PV-005759310553;255:25500:0:PV-005759310554;255:25500:0:PV-005759310647;
c1ncc2sccc2n1,998,255:25500:0:PV-005759310575;255:25500:4:PV-005759458570;255:25500:4:PV-005759466690;
c1cscn1,128228,255:25500:0:PV-005759310589;255:25500:0:PV-005759311238;255:25500:0:PV-005759311791;
C1CNCCN1,140259,255:25500:0:PV-005759310589;255:25500:0:PV-005759310904;255:25500:0:PV-005759311739;
CC1CC(F)C1,4903,255:25500:0:PV-005759310589;255:25500:0:PV-005759328423;255:25500:0:PV-005759328424;
C1CC2NCCOC2C1,953,255:25500:0:PV-005759310592;255:25500:1:PV-005759380326;255:25500:1:PV-005759384093;
FC1(F)CCCNC1,5726,255:25500:0:PV-005759310626;255:25500:0:PV-005759312959;255:25500:0:PV-005759315521;
Cc1ccno1,28151,255:25500:0:PV-005759310630;255:25500:0:PV-005759311616;255:25500:0:PV-005759312242;
C1COC2CNCC2N1,5469,255:25500:0:PV-005759310630;255:25500:0:PV-005759316625;255:25500:0:PV-005759317790;
CC1(C)CC1,30545,255:25500:0:PV-005759310630;255:25500:0:PV-005759314738;255:25500:0:PV-005759317758;
Clc1ccc2ncccc2c1,695,255:25500:0:PV-005759310644;255:25500:0:PV-005759310645;255:25500:0:PV-005759352522;
CC1CNCC(C)C1,2707,255:25500:0:PV-005759310647;255:25500:0:PV-005759327728;255:25500:0:PV-005759332575;
Cc1n[nH]c2ccccc12,1882,255:25500:0:PV-005759310662;255:25500:0:PV-005759351400;255:25500:1:PV-005759393388;
O=c1ccnc[nH]1,4225,255:25500:0:PV-005759310662;255:25500:1:PV-005759423489;255:25500:2:PV-005759437405;
Cc1ncc[nH]1,20972,255:25500:0:PV-005759310663;255:25500:0:PV-005759310664;255:25500:0:PV-005759316786;
Cn1cc2ccccc2n1,2529,255:25500:0:PV-005759310663;255:25500:0:PV-005759310664;255:25500:0:PV-005759327694;
