fragment_smiles,occurences,example_ligands
O=C1CNCCN1,16478,93:09300:0:Z4115787563;93:09300:0:Z4239726013;93:09300:0:Z4223865888;
c1ccccc1,1352830,93:09300:0:Z4115787563;93:09300:0:Z3497855924;93:09300:0:Z1618068226;
c1ccsc1,124475,93:09300:0:Z2437604518;93:09300:0:Z3010310436;93:09300:0:Z4088181601;
CC1CNCC2(CCOC2)O1,462,93:09300:0:Z2437604518;93:09300:7:Z3983676506;93:09300:9:Z2494042350;
C1CC2(CCN1)CCO2,190,93:09300:0:Z4971945105;93:09302:9:Z4971911541;93:09303:3:Z4971929538;
Clc1ccccc1,202731,93:09300:0:Z4971945105;93:09300:0:Z1478670923;93:09300:0:Z3820471209;
O=C1CCCN1,79339,93:09300:0:Z1460243738;93:09300:0:Z25525662;93:09300:0:Z2436922127;
O=c1[nH]cnc2sccc12,1313,93:09300:0:Z1460243738;93:09300:1:Z3574570989;93:09300:2:Z2298313729;
c1ccoc1,87597,93:09300:0:Z1460243738;93:09300:0:Z183345142;93:09300:0:Z1260283264;
Cc1ccccc1,212783,93:09300:0:Z1603743828;93:09300:0:Z2146667173;93:09300:0:Z2146647043;
C1=CCNCC1,7954,93:09300:0:Z1603743828;93:09300:0:Z4026978788;93:09300:0:Z298639842;
c1ccncc1,422764,93:09300:0:Z1603743828;93:09300:0:Z3055263225;93:09300:0:Z2927168548;
C1CCNCC1,534376,93:09300:0:Z1640114057;93:09300:0:Z4577281359;93:09300:0:Z4278490007;
C1CCNC1,357801,93:09300:0:Z3497855924;93:09300:0:Z4031380775;93:09300:0:Z4638892319;
c1cscn1,166011,93:09300:0:Z3497855924;93:09300:0:Z1912108641;93:09300:0:Z4248667057;
c1ccc2c(c1)CCOC2,11371,93:09300:0:Z3010310436;93:09300:0:Z3255035675;93:09300:0:Z3712006610;
C1CC2CCC(CN1)N2,1344,93:09300:0:Z1998394986;93:09300:0:Z2904652658;93:09300:0:Z1643396593;
c1nnco1,27918,93:09300:0:Z1618068226;93:09300:0:Z4396234236;93:09300:0:Z4907238734;
Cn1cccn1,155395,93:09300:0:Z3055263225;93:09300:0:Z3076428104;93:09300:0:Z2992430629;
Fc1ccccc1,308515,93:09300:0:Z4577281359;93:09300:0:Z3076428104;93:09300:0:Z1908298058;
Cn1cccc1,12846,93:09300:0:Z4278490007;93:09300:0:Z1852535768;93:09300:0:Z4238110768;
Cc1ccccn1,28339,93:09300:0:Z2497824935;93:09300:0:Z3049739903;93:09300:0:Z2180842976;
CC1Cc2ccccc2C1,833,93:09300:0:Z2497824935;93:09300:3:Z3389235526;93:09300:3:Z3523265436;
C1CNC2(C1)CCSCC2,312,93:09300:0:Z3777229161;93:09300:6:Z3795076268;93:09300:8:Z5005223892;
CC1CCCCC1,15771,93:09300:0:Z1333113138;93:09300:0:Z2931628056;93:09300:0:Z4993883777;
c1cn[nH]c1,271525,93:09300:0:Z1333113138;93:09300:0:Z2220918228;93:09300:0:Z3408880717;
C1CCC2(C1)CCNC2,1681,93:09300:0:Z4023299040;93:09300:1:Z3890146876;93:09300:1:Z3625778348;
CC1CCCc2ccnn21,655,93:09300:0:Z4023299040;93:09300:0:Z4022204382;93:09300:0:Z4022204318;
C1CCCCC1,152654,93:09300:0:Z3504369984;93:09300:0:Z4959683860;93:09300:0:Z2637248100;
C1CCOCC1,168603,93:09300:0:Z3504369984;93:09300:0:Z4166847691;93:09300:0:Z3606964708;
c1c[nH]nn1,87187,93:09300:0:Z2146667173;93:09300:0:Z2146647043;93:09300:0:Z2146501966;
CC1CCC1,5875,93:09300:0:Z1478670923;93:09300:0:Z3992528602;93:09300:1:Z2755421600;
c1[nH]nc2c1CCCC2,2783,93:09300:0:Z4088181601;93:09300:0:Z3440473177;93:09300:1:Z4073922076;
C1CNCCN1,158527,93:09300:0:Z4879209666;93:09300:0:Z2069235226;93:09300:0:Z3820471209;
C1CC2CC1CO2,4119,93:09300:0:Z4879209666;93:09300:0:Z5035041754;93:09300:0:Z3535160411;
c1nc[nH]n1,50766,93:09300:0:Z1908298058;93:09300:0:Z5046977487;93:09300:0:Z2011679762;
c1cnccn1,31304,93:09300:0:Z1966707752;93:09300:0:Z4200093870;93:09300:0:Z3140018842;
c1ccc2c(c1)CCN2,20111,93:09300:0:Z1966707752;93:09300:0:Z5046977487;93:09300:0:Z1616695076;
CC1NCCc2c(F)cc(F)cc21,130,93:09300:0:Z1411765845;93:09300:3:Z3581948914;93:09303:8:Z2834232278;
c1cnc2nccn2c1,2027,93:09300:0:Z1411765845;93:09300:0:Z3672155119;93:09300:0:Z4124075969;
O=c1[nH]ccc2occc12,135,93:09300:0:Z4613154540;93:09300:0:Z2769736183;93:09300:4:Z3799379587;
c1ccc2c(c1)CCNC2,24735,93:09300:0:Z1165944274;93:09300:0:Z3667183006;93:09300:0:Z3588275329;
c1ccc2c(c1)CCC2,22192,93:09300:0:Z4959683860;93:09300:0:Z2883962607;93:09300:0:Z4329336148;
Fc1ccc2[nH]ccc2c1,1718,93:09300:0:Z4638892319;93:09300:0:Z1483107883;93:09300:0:Z2112912701;
c1ncsn1,9253,93:09300:0:Z2220918228;93:09300:0:Z2167566569;93:09300:0:Z2804926362;
c1cnoc1,79601,93:09300:0:Z2220918228;93:09300:0:Z2291989977;93:09300:0:Z3395468712;
c1ccc2oncc2c1,1906,93:09300:0:Z1980575942;93:09300:0:Z3500942727;93:09300:0:Z3622906272;
FC1(F)CCCCC1,9311,93:09300:0:Z2644028283;93:09300:0:Z4863521977;93:09300:0:Z2002497804;
Cn1nccc1Cl,3398,93:09300:0:Z2644028283;93:09300:0:Z2532340375;93:09300:1:Z3622392650;
O=S1(=O)CCCC2(CCCN2)C1,283,93:09300:0:Z3408880717;93:09300:1:Z4466040929;93:09300:4:Z3627376190;
O=C1COCCN1,2682,93:09300:0:Z2273616596;93:09300:0:Z3093471864;93:09300:0:Z4505870415;
c1nnc[nH]1,56780,93:09300:0:Z2273616596;93:09300:0:Z1426627432;93:09300:0:Z3314657950;
Oc1ccccc1Cl,1384,93:09300:0:Z2273616596;93:09300:0:Z1960769816;93:09300:2:Z2718854780;
C1CC2CC3(CC3)CC(C1)N2,70,93:09300:0:Z4200093870;93:09301:4:Z4476983117;93:09302:1:Z4192698911;
c1cnc2[nH]ccc2c1,3697,93:09300:0:Z2227927429;93:09300:0:Z3298298111;93:09300:0:Z298639842;
CC1CCc2ccccc2O1,312,93:09300:0:Z2291989977;93:09300:1:Z3173273384;93:09300:2:Z3052302076;
Cc1nccc(N)n1,541,93:09300:0:Z1912108641;93:09300:1:Z2335246429;93:09300:3:Z4451144426;
O=c1[nH]c2ccccc2[nH]1,4596,93:09300:0:Z2606177512;93:09300:0:Z3143944247;93:09300:0:Z1685084681;
C1CC2CCC1N2,4787,93:09300:0:Z3208591836;93:09300:0:Z2270918973;93:09300:0:Z3520037444;
c1ncon1,147695,93:09300:0:Z1722731344;93:09300:0:Z2457968852;93:09300:0:Z3255035675;
Fc1cccc(F)c1,56575,93:09300:0:Z1722731344;93:09300:0:Z3863821058;93:09300:0:Z4347827162;
O=C1CCCCN1,31575,93:09300:0:Z4048955333;93:09300:0:Z1433316098;93:09300:0:Z3083188701;
c1cc2c(s1)CCOC2,1644,93:09300:0:Z2208169052;93:09300:0:Z2454165922;93:09300:0:Z3093291676;
Cn1ccnc1,36437,93:09300:0:Z2208169052;93:09300:0:Z3058771898;93:09300:0:Z3712313861;
c1ccc2c(c1)OCCS2,966,93:09300:0:Z2454165922;93:09300:0:Z2875467486;93:09300:5:Z4572984978;
CC1(C)CNCCO1,7209,93:09300:0:Z2163312148;93:09300:0:Z3395468712;93:09300:0:Z2008674870;
CC1(C)CC1,5068,93:09300:0:Z2163312148;93:09300:0:Z2368693440;93:09300:0:Z4365784417;
C1COC2(C1)CCC2,3971,93:09300:0:Z4453645943;93:09300:0:Z3785571925;93:09300:0:Z2852141881;
C1COCCN1,145537,93:09300:0:Z2953767676;93:09300:0:Z4215934349;93:09300:0:Z3844190393;
C1CCOC1,143877,93:09300:0:Z2953767676;93:09300:0:Z2853469787;93:09300:0:Z3052960234;
Fc1cccn2ccnc12,950,93:09300:0:Z1518019212;93:09300:0:Z4489681964;93:09300:1:Z4118449629;
Cc1cscn1,38095,93:09300:0:Z1260283264;93:09300:0:Z3180060229;93:09300:0:Z2706350284;
Cc1ccc(C)cc1,7950,93:09300:0:Z2069235226;93:09300:0:Z1161533228;93:09300:0:Z1538665071;
Cc1ncnc2c1CNCC2,208,93:09300:0:Z4227856812;93:09300:8:Z4491981463;93:09301:6:Z4273691593;
c1c[nH]cn1,72357,93:09300:0:Z4227856812;93:09300:0:Z4264765798;93:09300:0:Z4252075592;
CC1CCOCC1,2236,93:09300:0:Z1729298784;93:09300:1:Z3087598276;93:09300:2:Z2838215313;
c1cncnc1,89930,93:09300:0:Z3686945048;93:09300:0:Z2292666744;93:09300:0:Z3475455955;
OC1CCNC1,23675,93:09300:0:Z3686945048;93:09300:0:Z2838276977;93:09300:0:Z3347003168;
Clc1ccsc1,1696,93:09300:0:Z3686945048;93:09300:0:Z4248210167;93:09300:0:Z3723604260;
c1ccnnc1,20121,93:09300:0:Z4350929199;93:09300:0:Z4348896406;93:09300:0:Z3585208477;
OC1CCCC1,11820,93:09300:0:Z4259262398;93:09300:0:Z3513911565;93:09300:0:Z3171762800;
C1CCN2CCCC2C1,3081,93:09300:0:Z4259262398;93:09300:0:Z2879750086;93:09300:0:Z1643073374;
Cc1ccc2ccc(F)cc2n1,463,93:09300:0:Z1533976663;93:09300:1:Z3612896494;93:09300:2:Z1344589634;
c1cc2[nH]cnc2cn1,546,93:09300:0:Z1533976663;93:09300:0:Z2912833746;93:09300:0:Z3209182358;
Cc1cc2ccccc2n1C,635,93:09300:0:Z2992430629;93:09300:1:Z2453547736;93:09300:4:Z4085599321;
C1CC2(C1)CCOC2,2904,93:09300:0:Z3784142885;93:09300:0:Z3674039161;93:09300:0:Z2869291661;
c1nnn2c1CNCC2,579,93:09300:0:Z3784142885;93:09300:0:Z2829502562;93:09300:0:Z2801978951;
CN1CCC2CNCCC21,393,93:09300:0:Z2802890318;93:09300:0:Z4507907335;93:09300:4:Z2802889657;
Cc1ccnc(C)n1,2853,93:09300:0:Z932256434;93:09300:0:Z4114664365;93:09300:1:Z318795612;
Cc1csc(=O)[nH]1,981,93:09300:0:Z932256434;93:09300:0:Z1781066557;93:09300:1:Z2781488898;
Cn1cncc1Cl,1989,93:09300:0:Z1212712459;93:09300:1:Z4099292617;93:09300:3:Z1170586997;
C1CNCCNC1,25298,93:09300:0:Z1212712459;93:09300:0:Z3784377398;93:09300:0:Z2890540542;
c1nncs1,30532,93:09300:0:Z1631921103;93:09300:0:Z4240506231;93:09300:0:Z3347003168;
