fragment_smiles,occurences,example_ligands
c1ccccc1,998255,58:05800:0:Z1185696994;58:05800:0:Z1831649240;58:05800:0:Z2636977287;
CC1COCCN1,7238,58:05800:0:Z1185696994;58:05800:0:Z2957436471;58:05800:0:Z2089684973;
c1cncnc1,85397,58:05800:0:Z4343165881;58:05800:0:Z4170153152;58:05800:0:Z3560105150;
C1COC2CC2N1,916,58:05800:0:Z4343165881;58:05800:0:Z3798633037;58:05800:4:Z3102888415;
CC1CCNCCS1=O,393,58:05800:0:Z4059941224;58:05800:2:Z2981133490;58:05800:4:Z2312191405;
c1ccn2nccc2c1,4725,58:05800:0:Z4059941224;58:05800:0:Z2839982525;58:05800:0:Z4206108087;
Cc1ccno1,13906,58:05800:0:Z3536832640;58:05800:0:Z3821918585;58:05800:0:Z3906904172;
Fc1ccccc1,248889,58:05800:0:Z3536832640;58:05800:0:Z3101674434;58:05800:0:Z2306991091;
c1nc[nH]n1,47082,58:05800:0:Z3500132929;58:05800:0:Z3493977994;58:05800:0:Z1961309579;
c1cocn1,51702,58:05800:0:Z3500132929;58:05800:0:Z2621736356;58:05800:0:Z2161530185;
C1CCOCC1,150941,58:05800:0:Z4256390035;58:05800:0:Z5039626567;58:05800:0:Z5014095701;
c1cn[nH]c1,244125,58:05800:0:Z4256390035;58:05800:0:Z2479053232;58:05800:0:Z2625959132;
C1CCCCC1,144336,58:05800:0:Z1831649240;58:05800:0:Z2977536425;58:05800:0:Z3104290194;
c1cnoc1,83146,58:05800:0:Z3101674434;58:05800:0:Z2613300018;58:05800:0:Z2305533005;
CN1CCc2ccccc21,1827,58:05800:0:Z2278209914;58:05800:1:Z3594639244;58:05800:1:Z3203617374;
c1cn2c(n1)CCC2,3637,58:05800:0:Z2278209914;58:05800:0:Z2721547186;58:05800:0:Z3949436429;
CC1CCNC2CCCCC12,155,58:05800:0:Z1447337045;58:05800:5:Z1263018351;58:05801:0:Z4302340838;
CC1CNCCO1,15998,58:05800:0:Z2636977287;58:05800:0:Z2790743446;58:05800:0:Z747104234;
c1c[nH]nn1,80791,58:05800:0:Z2636977287;58:05800:0:Z4107151098;58:05800:0:Z2453569936;
Cn1cccn1,141251,58:05800:0:Z2838158516;58:05800:0:Z2350749018;58:05800:0:Z2434161140;
C1CCNC1,320290,58:05800:0:Z2838158516;58:05800:0:Z2959823002;58:05800:0:Z4263453340;
CC1Nc2ccccc2SC1C,52,58:05800:0:Z1355231151;58:05802:7:Z1886434639;58:05803:5:Z4114421749;
Cn1ncccc1=O,820,58:05800:0:Z1355231151;58:05800:3:Z4048011287;58:05800:3:Z2849917634;
OC1CNC1,9285,58:05800:0:Z4313011597;58:05800:0:Z2655339146;58:05800:0:Z4478520687;
c1ncsn1,10497,58:05800:0:Z4313011597;58:05800:0:Z4577735688;58:05800:0:Z4331669470;
CC1CCNCC1,18137,58:05800:0:Z2207288286;58:05800:0:Z3104290194;58:05800:0:Z2924281949;
Fc1cccnc1,27534,58:05800:0:Z3781337894;58:05800:0:Z3694717573;58:05800:0:Z4475326981;
c1cn2c(n1)CCCC2,9629,58:05800:0:Z3781337894;58:05800:0:Z2186925202;58:05800:0:Z2679222005;
