fragment_smiles,occurences,example_ligands
C1CCNCC1,550769,328:32800:0:PV-001343574271;328:32800:0:PV-001341045014;328:32800:0:PV-000440390136;
c1nc[nH]n1,44181,328:32800:0:PV-001343574271;328:32800:0:PV-004108950772;328:32800:0:PV-004108950780;
c1ccsc1,124758,328:32800:0:PV-000535788100;328:32800:0:PV-000558553539;328:32800:0:PV-000431796857;
Cc1cc(C)cc(C)c1,3104,328:32800:0:PV-000535788100;328:32800:0:PV-006337940106;328:32800:0:PV-006337945419;
C1CCCNCC1,97205,328:32800:0:PV-002693067158;328:32800:0:PV-000516633204;328:32800:0:PV-001074225106;
c1cscn1,95895,328:32800:0:PV-002693067158;328:32800:0:PV-000516633204;328:32800:0:PV-000576903985;
Cc1cc(C)on1,10944,328:32800:0:PV-002693067158;328:32800:0:PV-000516633204;328:32800:0:PV-001730128557;
Cc1ccc2cc[nH]c2c1,2672,328:32800:0:PV-001074225106;328:32800:0:PV-004108952630;328:32800:0:PV-000503874497;
Cc1cnoc1,25208,328:32800:0:PV-001341045014;328:32800:0:PV-001738508253;328:32800:0:PV-002693067884;
Cn1cccn1,129621,328:32800:0:PV-001341045014;328:32800:0:PV-001758202761;328:32800:0:PV-000261912945;
C1COCCN1,64356,328:32800:0:PV-000440390136;328:32800:0:PV-000446006974;328:32800:0:PV-000576903985;
Fc1ccc2c(c1F)NCC2,15,328:32800:0:PV-002284308529;328:32800:6:PV-002439563719;328:32800:9:PV-006338147290;
c1ccc2c(c1)OCO2,4824,328:32800:0:PV-002284308529;328:32800:0:PV-006337946818;328:32800:0:PV-006337947298;
C1CC2(CN1)CNC2,19967,328:32800:0:PV-001165629896;328:32800:0:PV-000278020834;328:32800:0:PV-000278446926;
c1ccn2ccnc2c1,14502,328:32800:0:PV-001165629896;328:32800:0:PV-000474565586;328:32800:0:PV-000473465973;
Cc1ccco1,50916,328:32800:0:PV-001711629503;328:32800:0:PV-000431253778;328:32800:0:PV-000563583239;
OC1CNC1,36151,328:32800:0:PV-001711629503;328:32800:0:PV-004108950966;328:32800:0:PV-001711468413;
c1ccc2[nH]ccc2c1,18166,328:32800:0:PV-001711629503;328:32800:0:PV-000419430294;328:32800:0:PV-000521044911;
C1CCOCC1,110601,328:32800:0:PV-000422735027;328:32800:0:PV-001340985785;328:32800:0:PV-001471561762;
Clc1ccccc1,73739,328:32800:0:PV-000422735027;328:32800:0:PV-000512389419;328:32800:0:PV-000496001516;
Cn1ccnn1,14866,328:32800:0:PV-001298869397;328:32800:0:PV-001674467159;328:32800:0:PV-000347804640;
C1CCCCC1,223203,328:32800:0:PV-001298869397;328:32800:0:PV-000571181849;328:32800:0:PV-000579850786;
Fc1cncc(F)c1,4294,328:32800:0:PV-001298869397;328:32800:0:PV-001642001141;328:32800:0:PV-000275423882;
CN1CCCC1,29186,328:32800:0:PV-000474565586;328:32800:0:PV-001142999031;328:32800:0:PV-004108952037;
C1CCNC1,597275,328:32800:0:PV-000474565586;328:32800:0:PV-000473478900;328:32800:0:PV-000576903985;
CN1CCOCC1,8981,328:32800:0:PV-000473478900;328:32800:0:PV-001573419201;328:32800:0:PV-001369243654;
c1ccncc1,288394,328:32800:0:PV-000473478900;328:32800:0:PV-002284308549;328:32800:0:PV-002693067205;
c1ccccc1,385093,328:32800:0:PV-000431328158;328:32800:0:PV-004108949173;328:32800:0:PV-001747538553;
C1CC2(CCN1)CC2,12277,328:32800:0:PV-000431328158;328:32800:0:PV-000431253778;328:32800:0:PV-000431024319;
c1c[nH]nn1,95480,328:32800:0:PV-000431328158;328:32800:0:PV-002693067205;328:32800:0:PV-002693067219;
Cc1ncc(Cl)cn1,2305,328:32800:0:PV-000562475679;328:32800:0:PV-006337936410;328:32800:0:PV-006337942668;
Fc1cccnc1,49353,328:32800:0:PV-000562475679;328:32800:0:PV-002693067252;328:32800:0:PV-000505348283;
O=c1ccocc1,1816,328:32800:0:PV-000571181849;328:32800:0:PV-006337935355;328:32800:0:PV-006337948931;
C1CCCC1,239371,328:32800:0:PV-000571181849;328:32800:0:PV-000492172717;328:32800:0:PV-000417936062;
CC1CCNC1,168351,328:32800:0:PV-000558691227;328:32800:0:PV-000558553539;328:32800:0:PV-000558005256;
c1cn[nH]c1,256369,328:32800:0:PV-002491312262;328:32800:0:PV-002284308549;328:32800:0:PV-004108949173;
Fc1ccccc1,169256,328:32800:0:PV-000584724980;328:32800:0:PV-000425461384;328:32800:0:PV-000489669259;
Cc1ncco1,20061,328:32800:0:PV-000584724980;328:32800:0:PV-000425461384;328:32800:0:PV-000489669259;
C1CNCCN1,151844,328:32800:0:PV-002284308549;328:32800:0:PV-000592262435;328:32800:0:PV-001488966700;
Cc1cc[nH]n1,47152,328:32800:0:PV-000448908770;328:32800:0:PV-000443293018;328:32800:0:PV-000261912945;
c1n[nH]c2c1CCCC2,7950,328:32800:0:PV-000448908770;328:32800:0:PV-000443293018;328:32800:0:PV-001677043587;
c1ccc2c(c1)CCO2,15043,328:32800:0:PV-004108949173;328:32800:0:PV-000546331683;328:32800:0:PV-004108950585;
C1CNCC2(C1)CCNC2,5842,328:32800:0:PV-001758921465;328:32800:0:PV-001758921461;328:32800:0:PV-000583852292;
Fc1ccccc1F,20236,328:32800:0:PV-002693067205;328:32800:0:PV-001641223245;328:32800:0:PV-000270467038;
c1cc[nH]c1,107782,328:32800:0:PV-001747538553;328:32800:0:PV-002129061310;328:32800:0:PV-000239720572;
Cc1cccs1,36133,328:32800:0:PV-000469439912;328:32800:0:PV-000406987133;328:32800:0:PV-001756754974;
c1cnc2ccnn2c1,6715,328:32800:0:PV-000469439912;328:32800:0:PV-006337943348;328:32800:0:PV-006337947274;
