fragment_smiles,occurences,example_ligands
O=C1CCCN1,66855,162:16200:0:PV-003348283107;162:16200:0:PV-003348283108;162:16200:0:PV-003348284827;
C1CCCCC1,175275,162:16200:0:PV-003348283107;162:16200:0:PV-003348283108;162:16200:0:PV-002826707266;
FC1(F)CCC1,24860,162:16200:0:PV-003348283107;162:16200:0:PV-003348283108;162:16200:0:PV-003348284023;
Fc1cc[nH]c1,8911,162:16200:0:PV-003348283110;162:16200:0:PV-003348283111;162:16200:0:PV-003348286963;
OC1CNC1,37877,162:16200:0:PV-003348283110;162:16200:0:PV-003348283111;162:16200:0:PV-003991341906;
C1CC2CCC1C2,20620,162:16200:0:PV-003348283110;162:16200:0:PV-003348283111;162:16200:0:PV-003348284259;
Fc1cccnc1,35308,162:16200:0:PV-003348283125;162:16200:0:PV-003348285113;162:16200:0:PV-002103130436;
C1CCNCC1,445082,162:16200:0:PV-003348283125;162:16200:0:PV-002640399550;162:16200:0:PV-003348283386;
c1cncnc1,53202,162:16200:0:PV-003348283126;162:16200:0:PV-003348283127;162:16200:0:PV-003348283128;
C1CC2NCCC2CN1,5350,162:16200:0:PV-003348283126;162:16200:0:PV-003348283127;162:16200:0:PV-003348283128;
OC1CCOCC1,4770,162:16200:0:PV-002826707251;162:16200:0:PV-002826707253;162:16200:0:PV-002826708432;
C1COCCN1,52905,162:16200:0:PV-002826707251;162:16200:0:PV-002826707253;162:16200:0:PV-000573204588;
C1CC2CCC2N1,8596,162:16200:0:PV-003348283143;162:16200:0:PV-003348284294;162:16200:0:PV-003348292515;
Cc1ccncc1Cl,343,162:16200:0:PV-003991341876;162:16200:3:PV-003348343095;162:16200:6:PV-003991375435;
c1ccnnc1,23621,162:16200:0:PV-003991341876;162:16200:0:PV-003348287128;162:16200:0:PV-003348287801;
C1COCCO1,8542,162:16200:0:PV-003348283170;162:16200:0:PV-003348283171;162:16200:0:PV-003348285653;
OC1CCNC1,91381,162:16200:0:PV-003348283170;162:16200:0:PV-003348283171;162:16200:0:PV-003348283816;
CC1CNCCN1,83169,162:16200:0:PV-002826707266;162:16200:0:PV-003348283173;162:16200:0:PV-002826707267;
C1CCOC1,150129,162:16200:0:PV-002826707266;162:16200:0:PV-003348283173;162:16200:0:PV-002826707267;
c1n[nH]c2c1CCCC2,4281,162:16200:0:PV-002826707270;162:16200:0:PV-003348291194;162:16200:0:PV-003348291195;
CC1CCNC1,159645,162:16200:0:PV-003348283182;162:16200:0:PV-003991341967;162:16200:0:PV-002826707414;
C1=CSCC1,12028,162:16200:0:PV-003348283182;162:16200:0:PV-003991342476;162:16200:0:PV-003348289639;
c1ccn2nncc2c1,2557,162:16200:0:PV-003348283182;162:16200:0:PV-003348293920;162:16200:0:PV-003348301109;
C1CC2CNCC2C1,11838,162:16200:0:PV-003348283183;162:16200:0:PV-003348289619;162:16200:0:PV-002826710012;
Cc1cc[nH]n1,33146,162:16200:0:PV-003348283183;162:16200:0:PV-003991341967;162:16200:0:PV-003348284694;
FC1CCNC1,73759,162:16200:0:PV-002361878688;162:16200:0:PV-003991342329;162:16200:0:PV-003348285148;
c1cc2c(s1)CNCC2,155,162:16200:0:PV-002361878688;162:16200:0:PV-002465374403;162:16200:0:PV-002206626091;
