fragment_smiles,occurences,example_ligands
Clc1ccccc1,202355,99:09900:0:Z3435989860;99:09900:0:Z1860298141;99:09900:0:Z2091745996;
C1CNCCOC1,12902,99:09900:0:Z3435989860;99:09900:0:Z2910852299;99:09900:0:Z4308843851;
c1cn[nH]c1,271864,99:09900:0:Z3435989860;99:09900:0:Z2273385194;99:09900:0:Z3620573542;
c1nnco1,27932,99:09900:0:Z4094942893;99:09900:0:Z4079418062;99:09900:0:Z3512309135;
C1CC2CCC2N1,2537,99:09900:0:Z4094942893;99:09900:0:Z3643535912;99:09900:0:Z3054218664;
O=C1CCCC1,2374,99:09900:0:Z4094942893;99:09900:0:Z2443751030;99:09900:0:Z4021756914;
C1CSCCN1,10991,99:09900:0:Z2863671305;99:09900:0:Z953893904;99:09900:0:Z1128939789;
c1ccc2c(c1)CCO2,13420,99:09900:0:Z2863671305;99:09900:0:Z4570495558;99:09900:0:Z2851345590;
c1ccc2c(c1)CCCN2,14720,99:09900:0:Z1999915135;99:09900:0:Z4652694146;99:09900:0:Z3584608957;
c1cnccn1,31435,99:09900:0:Z2273385194;99:09900:0:Z4652694146;99:09900:0:Z4602558261;
O=c1[nH]cnc2sccc12,1292,99:09900:0:Z1363110512;99:09900:1:Z1195233958;99:09900:1:Z4291043406;
c1ccsc1,124697,99:09900:0:Z1363110512;99:09900:0:Z4570495558;99:09900:0:Z2699449493;
c1ncc2nc[nH]c2n1,11273,99:09900:0:Z4771181750;99:09900:0:Z4769645564;99:09900:0:Z4769100157;
C1CCC2CNCC2C1,3261,99:09900:0:Z4211195960;99:09900:0:Z2445140706;99:09900:0:Z2155098462;
c1cocn1,50821,99:09900:0:Z4211195960;99:09900:0:Z4351428296;99:09900:0:Z2272264248;
c1ccccc1,1351816,99:09900:0:Z4211195960;99:09900:0:Z1860298141;99:09900:0:Z5065382543;
Cc1ccco1,22779,99:09900:0:Z3873221874;99:09900:0:Z1983071259;99:09900:0:Z3308912375;
FC1CCNCC1,4110,99:09900:0:Z3873221874;99:09900:0:Z5044201985;99:09900:0:Z3625231695;
c1c[nH]nn1,87197,99:09900:0:Z3670662130;99:09900:0:Z2712822189;99:09900:0:Z4935454655;
CC1CNCCc2ccc(F)cc21,198,99:09900:0:Z3670662130;99:09900:3:Z2476405344;99:09900:5:Z5001042808;
c1ccncc1,422960,99:09900:0:Z4316014820;99:09900:0:Z1498337450;99:09900:0:Z4305549766;
C1CCNC1,357281,99:09900:0:Z4316014820;99:09900:0:Z3537939058;99:09900:0:Z4598025854;
Fc1ccccc1,308839,99:09900:0:Z4316014820;99:09900:0:Z2356027891;99:09900:0:Z1497326879;
O=c1[nH]cnc2[nH]ncc12,517,99:09900:0:Z3537939058;99:09900:0:Z1900034103;99:09900:2:Z1431723716;
