fragment_smiles,occurences,example_ligands
OC1CCNCC1,26117,201:20100:0:Z4858766215;201:20100:0:Z3007857583;201:20100:0:Z2836293218;
c1cc[nH]c1,26587,201:20100:0:Z3613299409;201:20100:0:Z3364848701;201:20100:0:Z1185751382;
O=C1CNCCN1,20310,201:20100:0:Z3613299409;201:20100:0:Z1644973722;201:20100:0:Z1745479101;
CN1CC2CNCC2(C)C1,277,201:20100:0:Z2964314647;201:20100:7:Z3171052479;201:20100:8:Z3137159421;
O=C1Cc2ccccc2N1,5183,201:20100:0:Z1413250621;201:20100:0:Z840834994;201:20100:0:Z4134175806;
C1CCOC1,148682,201:20100:0:Z1413250621;201:20100:0:Z2922304810;201:20100:0:Z5020519637;
Cc1cscn1,39424,201:20100:0:Z1144535009;201:20100:0:Z1479284884;201:20100:0:Z1616142219;
O=C1CCCCN1,42273,201:20100:0:Z3536535951;201:20100:0:Z3855588915;201:20100:0:Z4771497352;
c1ccc2cnncc2c1,741,201:20100:0:Z4223139037;201:20100:0:Z4228780465;201:20100:0:Z4228780117;
Cn1cnnc1,32122,201:20100:0:Z3829771850;201:20100:0:Z4135078742;201:20100:0:Z411036530;
c1ccc2c(c1)OCO2,18930,201:20100:0:Z3541364877;201:20100:0:Z1905057698;201:20100:0:Z2269439355;
Oc1ccc2ccccc2n1,1027,201:20100:0:Z809753332;201:20100:0:Z3711503322;201:20100:2:Z4475554860;
c1c[nH]cn1,73018,201:20100:0:Z4135078742;201:20100:0:Z4009820487;201:20100:0:Z1271093500;
Cc1cc(Cl)n(C)n1,1243,201:20100:0:Z3007857583;201:20100:0:Z2370210584;201:20100:1:Z1419138109;
Fc1ccccc1F,30225,201:20100:0:Z3544083576;201:20100:0:Z1616142219;201:20100:0:Z3596499374;
Nc1cccnc1,1036,201:20100:0:Z4057622155;201:20100:2:Z2438667020;201:20100:5:Z2433826855;
OC1CCCC1,9879,201:20100:0:Z1344051858;201:20100:0:Z2294215562;201:20100:0:Z2190324144;
Clc1ccccc1Cl,11439,201:20100:0:Z1344051858;201:20100:0:Z2232879452;201:20100:0:Z1170680671;
C1COCCN1,196463,201:20100:0:Z4574201354;201:20100:0:Z4255683670;201:20100:0:Z3523816020;
Cc1cocn1,7535,201:20100:0:Z2923600865;201:20100:0:Z2203155854;201:20100:0:Z4129568742;
c1ccc2c(c1)CCO2,13211,201:20100:0:Z2923600865;201:20100:0:Z2408197034;201:20100:0:Z1533668837;
FC1(F)CCCCC1,7452,201:20100:0:Z3634746171;201:20100:0:Z4934474077;201:20100:0:Z3706131371;
Cc1cccnn1,4092,201:20100:0:Z2625343914;201:20100:0:Z2674346345;201:20100:0:Z1446684383;
c1cc2n(n1)CCC2,2009,201:20100:0:Z3055601450;201:20100:0:Z3504947497;201:20100:1:Z4887233456;
CC1CCCCC1O,441,201:20100:0:Z2841345369;201:20100:3:Z2581197275;201:20100:3:Z4769958144;
N=S1(=O)CCCC1,1024,201:20100:0:Z2841345369;201:20100:0:Z3616664930;201:20100:2:Z2841342887;
Cc1ccn[nH]1,40229,201:20100:0:Z954568530;201:20100:0:Z1143011771;201:20100:0:Z1642266716;
c1ccn2cnnc2c1,8398,201:20100:0:Z954568530;201:20100:0:Z606007914;201:20100:0:Z5020638159;
CC1CCCNC1,22618,201:20100:0:Z3840072857;201:20100:0:Z1212330892;201:20100:0:Z2186049097;
Cc1nnco1,7057,201:20100:0:Z3599042485;201:20100:0:Z3599042498;201:20100:0:Z3176634701;
c1cnc2cnccc2c1,994,201:20100:0:Z1984676273;201:20100:1:Z2092559318;201:20100:1:Z2961684403;
c1ccc2ccccc2c1,20531,201:20100:0:Z1261927852;201:20100:0:Z4402398593;201:20100:0:Z3313063823;
c1cocn1,49250,201:20100:0:Z4255683670;201:20100:0:Z5045288864;201:20100:0:Z3554497827;
Fc1cccc(F)c1,67357,201:20100:0:Z4255683670;201:20100:0:Z2605824755;201:20100:0:Z201621364;
O=C1CCCN1,106889,201:20100:0:Z1333616976;201:20100:0:Z4261596782;201:20100:0:Z1473099884;
CN1CCC2(CCN2)CC1,291,201:20100:0:Z1333616976;201:20100:1:Z4150024803;201:20100:4:Z3609567751;
c1ccc2c(c1)CCNC2,34822,201:20100:0:Z3650236269;201:20100:0:Z2228597495;201:20100:0:Z2408197034;
c1cc2nccnc2cn1,169,201:20100:0:Z3650236269;201:20100:0:Z2654662357;201:20101:8:Z3686243808;
Cc1ccccc1,261706,201:20100:0:Z2922304810;201:20100:0:Z2391707893;201:20100:0:Z3316874692;
c1nc[nH]n1,55835,201:20100:0:Z2922304810;201:20100:0:Z3627443054;201:20100:0:Z3627441837;
O=c1[nH]c2c([nH]1)CNCC2,151,201:20100:0:Z4009820487;201:20102:9:Z4027034505;201:20103:6:Z3996560344;
C1CC2CNC(C1)C2,1948,201:20100:0:Z3855588915;201:20100:0:Z3441334746;201:20100:0:Z2966919598;
O=C1CNCC2CCCN12,227,201:20100:0:Z3622707763;201:20100:0:Z3521092703;201:20100:9:Z3664943897;
O=c1[nH]cnc2ccccc12,7591,201:20100:0:Z3622707763;201:20100:0:Z1498568544;201:20100:0:Z3207057410;
C1CSCCN1,12004,201:20100:0:Z2391707893;201:20100:0:Z3872626401;201:20100:0:Z2065887766;
C1CCC2(CCOC2)OC1,1323,201:20100:0:Z2456142271;201:20100:0:Z3539880054;201:20100:0:Z3308045697;
Oc1ccnc2c(F)c(F)ccc12,72,201:20100:0:Z2456142271;201:20100:9:Z2456278278;201:20102:6:Z2456242068;
Cc1cc(C)cc(C)c1,4915,201:20100:0:Z1233963382;201:20100:0:Z2063862858;201:20100:0:Z2897907973;
C1COCO1,8614,201:20100:0:Z1091757668;201:20100:0:Z1317797641;201:20100:0:Z3597118809;
c1cnc2c(c1)OCCO2,1223,201:20100:0:Z4481798869;201:20100:0:Z4909516215;201:20100:1:Z2617230075;
Cc1ccccn1,29221,201:20100:0:Z2497315996;201:20100:0:Z3193084564;201:20100:0:Z3638108413;
c1ccc2c(c1)CCCO2,15365,201:20100:0:Z1892742308;201:20100:0:Z3567224587;201:20100:0:Z1823965909;
c1ccc2[nH]ccc2c1,38123,201:20100:0:Z1286191158;201:20100:0:Z1244096941;201:20100:0:Z3193084564;
OC1CCOCC1,5691,201:20100:0:Z1286191158;201:20100:0:Z3550186628;201:20100:0:Z4232873195;
Cn1nccn1,1449,201:20100:0:Z5020519637;201:20100:0:Z2269439355;201:20100:1:Z2045383426;
Cc1ccn2nccc2n1,1755,201:20100:0:Z4472434088;201:20100:0:Z1088097962;201:20100:0:Z4351149235;
CC1CNCCN1,15490,201:20100:0:Z4472434088;201:20100:0:Z2275700600;201:20100:0:Z4915945762;
OC1CCNC1,24127,201:20100:0:Z1752413788;201:20100:0:Z3685988278;201:20100:0:Z3673023787;
CC1CCCCN1,17267,201:20100:0:Z3536636376;201:20100:0:Z3055821299;201:20100:0:Z2444290416;
C1CCC2(CCC2)OC1,2747,201:20100:0:Z2872483103;201:20100:0:Z2911842962;201:20100:0:Z4173655491;
CC1CCC(F)(F)CC1,392,201:20100:0:Z2872483103;201:20100:1:Z1657074635;201:20100:4:Z1652020124;
c1occ2c1CCOC2,287,201:20100:0:Z2072183155;201:20100:6:Z2068412075;201:20101:1:Z2081003698;
c1cc2[nH]ccn2n1,251,201:20100:0:Z2457787212;201:20100:0:Z1929165014;201:20100:3:Z3094920743;
Clc1cccc2nonc12,77,201:20100:0:Z2214040218;201:20103:1:Z2214089418;201:20105:1:Z2214079108;
CC1CCOC1,3169,201:20100:0:Z1190666595;201:20100:0:Z1966813023;201:20100:1:Z3547125704;
c1ncc2[nH]cnc2n1,714,201:20100:0:Z3560096353;201:20100:7:Z746296502;201:20100:7:Z1729862968;
c1nc2c(s1)COCC2,1396,201:20100:0:Z3523816020;201:20100:0:Z3393174538;201:20100:0:Z3174743779;
c1cscn1,170878,201:20100:0:Z1378429303;201:20100:0:Z2231819133;201:20100:0:Z1627801024;
c1ccc2cnccc2c1,11554,201:20100:0:Z1657000196;201:20100:0:Z4614315565;201:20100:0:Z4984241576;
O=S1(=O)CCCCC1,8277,201:20100:0:Z1657000196;201:20100:0:Z4193233521;201:20100:0:Z2166895943;
NC1CCC1,2597,201:20100:0:Z2658017738;201:20100:0:Z3792909405;201:20100:0:Z3808036696;
CC1CCNC1,23187,201:20100:0:Z2014881290;201:20100:0:Z2642311887;201:20100:0:Z1481850157;
c1ccc2[nH]nnc2c1,3736,201:20100:0:Z2014881290;201:20100:0:Z1185140857;201:20100:0:Z4121984434;
O=C1NCCn2nccc21,384,201:20100:0:Z3542675856;201:20100:3:Z3535946342;201:20101:4:Z3540457672;
c1nn[nH]n1,32744,201:20100:0:Z4507166790;201:20100:0:Z509940134;201:20100:0:Z4510496600;
FC1(F)CCCCCC1,623,201:20100:0:Z4112705682;201:20100:5:Z3788459375;201:20101:4:Z3603216303;
Cc1ccncc1Cl,341,201:20100:0:Z4112705682;201:20100:0:Z2295393194;201:20100:7:Z2439441976;
c1nnc[nH]1,91637,201:20100:0:Z3259263351;201:20100:0:Z1479284884;201:20100:0:Z3138544906;
Cc1ncnn1C,338,201:20100:0:Z3259263351;201:20100:1:Z3259265963;201:20100:1:Z2294673158;
Cc1nn(C)c2sccc12,584,201:20100:0:Z2715035142;201:20100:0:Z1445614862;201:20100:3:Z3057346419;
C1CNOC1,994,201:20100:0:Z2715035142;201:20100:3:Z3782681122;201:20100:3:Z3782681331;
Cn1nnc2c1CCCC2,1879,201:20100:0:Z2495801165;201:20100:0:Z3887841861;201:20100:1:Z3588915120;
Cc1cc(C)[nH]n1,36734,201:20100:0:Z1841962432;201:20100:0:Z2719059347;201:20100:0:Z3837131105;
Cc1cc(=O)cc[nH]1,1424,201:20100:0:Z3570443845;201:20100:0:Z2915816657;201:20100:1:Z1269899801;
CC1CCCCC1,13469,201:20100:0:Z3570443845;201:20100:0:Z4979094993;201:20100:0:Z1190506452;
Cn1cnc2[nH]ccc21,117,201:20100:0:Z4913422179;201:20100:0:Z4913416426;201:20100:0:Z4288409501;
CC1(C)CCNC1,4761,201:20100:0:Z3883846833;201:20100:0:Z3385232244;201:20100:0:Z2843843449;
C1=CCNCC1,8930,201:20100:0:Z3883846833;201:20100:0:Z4229248834;201:20100:0:Z4620294154;
