fragment_smiles,occurences,example_ligands
CC12CNCC1CNC2,355,201:20100:1:Z2873323398;201:20100:6:Z4488955740;201:20100:8:Z2789176712;
CC1(C)OCC2(CCNCC2)CO1,378,201:20100:1:Z4907249690;201:20100:2:Z4909063244;201:20100:4:Z4909397043;
Cc1ccc(C)c(C)n1,163,201:20100:1:Z4021017191;201:20100:1:Z4020469699;201:20100:7:Z4105031620;
C1CC2(C1)NCCS2,165,201:20100:1:Z4312430651;201:20100:5:Z4250091498;201:20100:6:Z4250096960;
c1nc2n(n1)CCCN2,596,201:20100:1:Z4312430651;201:20100:1:Z2386008461;201:20100:4:Z4650526392;
c1ccc2nnccc2c1,436,201:20100:1:Z2773874444;201:20100:2:Z4088180524;201:20100:3:Z2869552033;
Cc1csc2ncsc12,26,201:20100:1:Z2494521435;201:20100:2:Z2494521066;201:20100:9:Z2494520651;
Clc1ccc2c(c1)CC1CC21,160,201:20100:1:Z2708242940;201:20100:2:Z2816558688;201:20101:2:Z2704196270;
CN1CCC(F)(F)CC1,445,201:20100:1:Z2490233863;201:20100:3:Z2475134227;201:20100:5:Z2475333830;
Cc1cccc(C)c1Cl,190,201:20100:1:Z1768547550;201:20100:1:Z1995976886;201:20100:5:Z1996014938;
O=C1NCC(=O)N2CCCC12,79,201:20100:1:Z2783838411;201:20100:3:Z4962164517;201:20100:8:Z3171479994;
C1COCC2(C1)CC2,246,201:20100:1:Z4212656219;201:20100:7:Z4601686391;201:20100:8:Z4652047717;
CC1(C)CC2CCNC21,322,201:20100:1:Z3996722339;201:20100:3:Z4964731614;201:20100:3:Z4964762081;
Cc1cc2c(cn1)CCN2,143,201:20100:1:Z3627624958;201:20100:5:Z4132612872;201:20101:2:Z3627619937;
OC1COC1,1538,201:20100:1:Z4240606103;201:20100:1:Z4230582426;201:20100:1:Z2141498643;
OC1CCC2(CCCN2)CC1,273,201:20100:1:Z4867370813;201:20100:1:Z4832097497;201:20100:3:Z4832162907;
Oc1ccc2cn[nH]c2c1,45,201:20100:1:Z2233665816;201:20106:2:Z2233664242;201:20110:0:Z2233666532;
CN1CCCC12CCOCC2,550,201:20100:1:Z3638750181;201:20100:2:Z3494951502;201:20100:2:Z4639536582;
Cc1nc2ncccn2n1,706,201:20100:1:Z1904088253;201:20100:2:Z3590778248;201:20100:2:Z1665636748;
O=C1CCC2(CCC2)CC1,332,201:20100:1:Z4344943757;201:20100:3:Z4350949631;201:20100:7:Z4350398688;
OC1CCOc2ccccc21,1167,201:20100:1:Z4403145065;201:20100:1:Z2151015039;201:20100:1:Z2270984708;
FC1COC1,597,201:20100:1:Z4207099286;201:20100:3:Z4210567443;201:20100:4:Z4092800009;
O=S1(=O)CCC2(CCC2)C1,263,201:20100:1:Z4460444021;201:20100:5:Z4453289713;201:20100:7:Z4503179436;
Cn1ncc2ncncc21,175,201:20100:1:Z3559569360;201:20100:3:Z4419059612;201:20100:8:Z4269645048;
Cc1ccc2ccnn2c1C,166,201:20100:1:Z2960140909;201:20100:2:Z4241913505;201:20101:1:Z2961789906;
O=c1[nH]ncc2c1CCNC2,582,201:20100:1:Z3650021571;201:20100:3:Z3692942789;201:20100:4:Z3713337766;
Cc1cccc2ocnc12,287,201:20100:1:Z1276396425;201:20100:5:Z1276398385;201:20100:7:Z1276396390;
O=C1Cc2ccccc2CN1,66,201:20100:1:Z4238677460;201:20102:6:Z4238690124;201:20103:3:Z4238709056;
CC1(C)C(=O)NC2CCCCC21,254,201:20100:1:Z3559135595;201:20100:5:Z3741320038;201:20100:6:Z3580969445;
Fc1ccc2c(c1)NCC2,306,201:20100:1:Z1264444326;201:20100:5:Z4649984173;201:20100:7:Z4394911272;
CC1CNCC2(CCOCC2)O1,455,201:20100:1:Z1929717358;201:20100:2:Z4303679802;201:20100:2:Z1930906417;
O=S1(=O)CCNCCCCN1,195,201:20100:1:Z3713489338;201:20100:5:Z3713489323;201:20100:9:Z3653750689;
Fc1cccc2ccsc12,39,201:20100:1:Z1378614169;201:20103:7:Z1376548343;201:20106:4:Z1376547224;
CC1CC(=O)NCCN1,255,201:20100:1:Z1554047109;201:20100:4:Z1846654841;201:20101:2:Z2624081427;
O=C1CC2CCC1CC2,151,201:20100:1:Z4111907222;201:20102:4:Z4508909755;201:20102:4:Z4076243221;
Cc1ccc2ncncc2c1,166,201:20100:1:Z1576584148;201:20100:6:Z1883508938;201:20100:8:Z4311775550;
c1nnc2n1CCOC2,2189,201:20100:1:Z1845355388;201:20100:2:Z3538938996;201:20100:2:Z3384389941;
c1ccc2c(c1)NCCCO2,143,201:20100:1:Z1881337476;201:20100:7:Z4111098781;201:20100:9:Z1483901059;
C1CC2(CCN1)OCCO2,1112,201:20100:1:Z2838585571;201:20100:1:Z792841150;201:20100:1:Z797209626;
Cn1ncc2c1CNCC2,1052,201:20100:1:Z3522990907;201:20100:2:Z3522991214;201:20100:2:Z3587335595;
C1CNCC2(C1)CCC2,1484,201:20100:1:Z3350449620;201:20100:3:Z3577292176;201:20100:3:Z3517433503;
c1[nH]nc2c1CCC2,598,201:20100:1:Z3592886128;201:20100:2:Z2774877699;201:20100:4:Z4403200699;
C1CCOC2(CC1)CCNC2,192,201:20100:1:Z4309208920;201:20100:1:Z4154326859;201:20100:5:Z4155888114;
Cc1cccc2scnc12,180,201:20100:1:Z2011011021;201:20100:3:Z410664114;201:20100:4:Z410662926;
c1n[nH]c2c1CCNC2,504,201:20100:1:Z1495309473;201:20100:6:Z4175928129;201:20100:8:Z3514770339;
Clc1ccc2cnncc2c1,27,201:20100:1:Z4224556378;201:20104:0:Z4224501891;201:20105:8:Z4456124284;
O=S1(=O)CC2CC1CN2,212,201:20100:1:Z3784033734;201:20100:7:Z2299571718;201:20101:6:Z2306832692;
Clc1ccc2c(c1)cc1n2CCNC1,92,201:20100:1:Z2602958399;201:20101:4:Z3573785658;201:20101:5:Z2294602048;
O=C1CC2CCCCC2N1,318,201:20100:1:Z3368453169;201:20100:5:Z3088253724;201:20100:9:Z3080551994;
FC12CCOCC1CNC2,434,201:20100:1:Z4060699903;201:20100:3:Z4031428692;201:20100:4:Z4000240182;
CC1CC(N)CCO1,60,201:20100:1:Z3381263656;201:20102:4:Z4216980321;201:20103:0:Z3831939974;
c1ccc2c(c1)CCC21CNCCO1,204,201:20100:1:Z1506283563;201:20100:6:Z1506280772;201:20100:6:Z3139620747;
Cc1ccnc(N)c1,282,201:20100:1:Z2997568196;201:20100:1:Z4294832434;201:20100:3:Z2997566746;
Cc1cccn2nccc12,126,201:20100:1:Z3308650751;201:20101:6:Z4246100979;201:20101:9:Z3641630432;
CN1CCCC2(CCNC2)C1=O,497,201:20100:1:Z3095368106;201:20100:2:Z3551086146;201:20100:3:Z4139474846;
Clc1cccc2ncoc12,74,201:20100:1:Z3579793111;201:20100:6:Z1844772520;201:20101:1:Z1715553252;
c1cc2c(o1)CCCC2,517,201:20100:1:Z1613027180;201:20100:3:Z3192383856;201:20100:3:Z3186266105;
O=S1(=O)CCOCC1,340,201:20100:1:Z1564923520;201:20100:2:Z1565173064;201:20101:3:Z2000121917;
Clc1ncco1,54,201:20100:1:Z5035731034;201:20100:8:Z5035736458;201:20104:7:Z4220848780;
Cc1nncc2ccccc12,117,201:20100:1:Z4048997812;201:20102:0:Z1580293994;201:20102:7:Z1556981885;
O=S1(=O)CCC2CCCN21,237,201:20100:1:Z4163259263;201:20100:2:Z4351238620;201:20100:5:Z4154210901;
O=C1COc2cc(F)ccc2N1,245,201:20100:1:Z4472701852;201:20100:5:Z3866189419;201:20100:5:Z3706891801;
Fc1cccc2c1C1(CCC1)CN2,89,201:20100:1:Z1321651723;201:20100:9:Z2773021048;201:20103:4:Z1887241011;
Cc1nnc2n1CCNC2C,309,201:20100:1:Z3437105569;201:20100:3:Z3682607893;201:20100:3:Z3434556625;
Cn1ccc(N)c1,46,201:20100:1:Z4206211767;201:20102:7:Z4206439795;201:20102:9:Z4203714654;
FC1(F)CCC2CNCC21,226,201:20100:1:Z3177601890;201:20100:3:Z2977165441;201:20101:1:Z4083998599;
Cc1cc2nccn2cc1C,126,201:20100:1:Z4471493438;201:20100:1:Z4599506883;201:20101:6:Z5060252625;
Cc1ccsc1C,1645,201:20100:1:Z1583402414;201:20100:1:Z4079582086;201:20100:2:Z1583498170;
CC1(C)CCc2ccccc2O1,1172,201:20100:1:Z1562548631;201:20100:1:Z2495181440;201:20100:2:Z3175917347;
FC1(F)CC12CCOCC2,675,201:20100:1:Z3612032517;201:20100:2:Z3612033612;201:20100:2:Z4278592137;
CC1(O)CCCC1,106,201:20100:1:Z3602669573;201:20100:4:Z3629160640;201:20100:4:Z4770305382;
c1cc2c(cn1)NCC21CCC1,63,201:20100:1:Z4218475062;201:20100:6:Z4218465207;201:20101:0:Z4217219587;
Fc1ccc(F)c2ncccc12,241,201:20100:1:Z3208342259;201:20100:6:Z2221997758;201:20101:2:Z2299704382;
O=c1cccco1,291,201:20100:1:Z4294183004;201:20100:4:Z4217365713;201:20101:1:Z4286209055;
O=c1ccc2cc(Cl)ccc2[nH]1,248,201:20100:1:Z1655245199;201:20100:4:Z1303446125;201:20100:6:Z1643363624;
Cc1cccn(C)c1=O,379,201:20100:1:Z3500044747;201:20100:2:Z3550166133;201:20100:3:Z4733226193;
O=C1CCNCC12CCOCC2,397,201:20100:1:Z3830566761;201:20100:6:Z3436931374;201:20100:8:Z3615317814;
C1CNCC2(C1)CCNC2,845,201:20100:1:Z2097743810;201:20100:2:Z2773495595;201:20100:2:Z1324030700;
OC1CCNC2(CC2)C1,192,201:20100:1:Z3434502151;201:20100:5:Z3593192000;201:20101:1:Z3608745011;
C1CNCC2(CC2)CN1,98,201:20100:1:Z5058186704;201:20100:3:Z5058231411;201:20100:5:Z5060673611;
OC1CCCC2CCCNC12,61,201:20100:1:Z4450382857;201:20101:9:Z4353070328;201:20104:6:Z4353070104;
O=C1CCNCCCN1,324,201:20100:1:Z3185805064;201:20100:1:Z4111127958;201:20100:2:Z4770599427;
C1=CSCCO1,154,201:20100:1:Z2801182368;201:20101:0:Z4372598922;201:20101:7:Z4404656306;
c1cc2c(cn1)OCCNC2,135,201:20100:1:Z3050664578;201:20100:6:Z1987305619;201:20101:9:Z1642287280;
C1=NNCC1,814,201:20100:1:Z953544354;201:20100:3:Z1803275396;201:20100:4:Z4267419203;
Cc1ccc2ncsc2n1,76,201:20100:1:Z2954092821;201:20100:1:Z3832773781;201:20100:5:Z5048860869;
O=c1cc[nH]c2ccc(F)cc12,147,201:20100:1:Z3897382331;201:20100:3:Z4126901509;201:20100:3:Z3984782321;
O=c1ccc2c([nH]1)CCNC2,679,201:20100:1:Z3351306485;201:20100:2:Z4489253010;201:20100:2:Z3434779272;
FC1(F)CCCC2(CC1)OCCO2,352,201:20100:1:Z4004464049;201:20100:1:Z3504244223;201:20100:3:Z3367706749;
NC1CCOC2(CCNCC2)C1,188,201:20100:1:Z3384663328;201:20100:2:Z3384668488;201:20100:6:Z4156733947;
Fc1cccc2c1CNCC2,923,201:20100:1:Z1559047349;201:20100:1:Z3793496059;201:20100:2:Z3794962076;
O=C1COc2ncccc2N1,548,201:20100:1:Z1634227081;201:20100:2:Z1575906702;201:20100:4:Z4084362130;
Cc1sc2nccc(=O)n2c1C,407,201:20100:1:Z1592743130;201:20100:4:Z5033250688;201:20100:4:Z1716439822;
FC1CNCC12CCC2,638,201:20100:1:Z2622981505;201:20100:1:Z2643274700;201:20100:2:Z3793386780;
CC1CCC(=O)CN1,114,201:20100:1:Z2916952598;201:20101:6:Z3193500059;201:20101:7:Z4019085535;
CN1CCC2(CC1)CNC1COCC12,193,201:20100:1:Z3443044440;201:20100:4:Z3439361013;201:20101:5:Z3609961403;
Cc1cc(C)n2cccc2n1,179,201:20100:1:Z3048694890;201:20100:4:Z3051519568;201:20100:4:Z3051520261;
CC1(C)CNc2ccccc2S1,64,201:20100:1:Z2318761329;201:20100:4:Z1627909955;201:20101:3:Z1393247325;
CC1(C)CNC(=O)C1,448,201:20100:1:Z3541931983;201:20100:3:Z3589426028;201:20100:5:Z3572372628;
OC1CCNC12CCCCC2,257,201:20100:1:Z2703919543;201:20100:2:Z2581242358;201:20100:2:Z2623212069;
Cc1cnc2ccccc2c1,895,201:20100:1:Z2852293668;201:20100:2:Z3864253490;201:20100:3:Z1815682965;
C1CC2(CCN1)CCOCC2,1457,201:20100:1:Z3911490281;201:20100:2:Z3808097055;201:20100:3:Z3385891644;
CN1CCCNCC1,1935,201:20100:1:Z1978393440;201:20100:2:Z2189950214;201:20100:2:Z2189950252;
CC1(O)CNOC1,33,201:20100:1:Z3587232895;201:20103:2:Z3587234835;201:20106:8:Z3587230184;
c1ccc2c(c1)CCC1(CCCNC1)O2,128,201:20100:1:Z3360471154;201:20101:4:Z2719615452;201:20102:0:Z2719617725;
Cc1cccc2occc12,213,201:20100:1:Z4238852318;201:20100:2:Z2959128688;201:20101:2:Z3290685894;
FC1(F)CCCOCC1,300,201:20100:1:Z3435363751;201:20100:1:Z3568289736;201:20101:5:Z3598020287;
Cc1cc(C)cc(Cl)c1,606,201:20100:1:Z3651923167;201:20100:3:Z2220499435;201:20100:3:Z1512214808;
Cc1csc(C)c1,220,201:20100:1:Z3623019848;201:20100:3:Z3725319566;201:20100:3:Z2288406562;
Cc1cc(C)c(C)cc1C,432,201:20100:1:Z4125223875;201:20100:2:Z910033934;201:20100:7:Z614457658;
CC1NCCc2cc(F)ccc21,170,201:20100:1:Z1241808262;201:20100:1:Z1240720678;201:20100:1:Z1639535268;
Cc1cc(=O)[nH]nc1C,211,201:20100:1:Z2346542161;201:20101:1:Z2040896131;201:20101:5:Z2298410466;
Cc1ccc2cccc(Cl)c2n1,68,201:20100:1:Z3611611768;201:20100:2:Z4576825175;201:20102:5:Z4577118642;
CC1(C)NC(=O)C2(CCNCC2)N1,212,201:20100:1:Z4261276663;201:20100:3:Z4642582302;201:20100:3:Z4261258171;
O=C1CCc2ccccc2CN1,415,201:20100:1:Z4329412924;201:20100:2:Z3508450056;201:20100:3:Z4403722967;
c1cn2ccnc2cn1,771,201:20100:1:Z3352816494;201:20100:5:Z1748163760;201:20100:7:Z3721368718;
c1ccc2c(c1)CCCS2,581,201:20100:1:Z3433874941;201:20100:2:Z2650298983;201:20100:2:Z382942274;
CN1CC2CCCCC2C1,326,201:20100:1:Z3192265896;201:20100:7:Z3600579057;201:20100:9:Z3044025625;
Clc1ccc2c(c1)COC2,282,201:20100:1:Z4478368602;201:20100:2:Z2496804003;201:20100:3:Z4998956370;
OC1COC2(CCNCC2)CC1O,313,201:20100:1:Z4478368602;201:20100:3:Z4478369810;201:20100:4:Z4456152606;
Cc1cnon1,586,201:20100:1:Z3537129401;201:20100:2:Z2794447972;201:20100:3:Z1258351971;
OC1CNC2(CCOCC2)C1O,166,201:20100:1:Z4231944666;201:20100:3:Z4271530021;201:20100:4:Z4275426177;
CC1(F)CC2(CNC2)C1,152,201:20100:1:Z4478535962;201:20101:3:Z4478546999;201:20101:5:Z4465882333;
CC1(C)CC=NO1,422,201:20100:1:Z4403681954;201:20100:4:Z3713857917;201:20100:4:Z3679387744;
CC1COc2ccccc2C1,545,201:20100:1:Z1653948344;201:20100:2:Z1658214427;201:20100:3:Z5048313139;
CC1CNC(=O)CO1,217,201:20100:1:Z2066200619;201:20100:4:Z4322710901;201:20101:1:Z4465024897;
Fc1ccc(F)c2c1CCCO2,730,201:20100:1:Z2187616052;201:20100:1:Z2188145783;201:20100:3:Z2187614970;
CC1CC(=O)Nc2ccccc2N1,740,201:20100:1:Z3657899590;201:20100:3:Z2906514827;201:20100:9:Z4600981747;
Clc1ccncc1Cl,45,201:20100:1:Z1297120678;201:20102:1:Z1297117986;201:20102:7:Z2041170130;
CC1COCCCN1,173,201:20100:1:Z1733683805;201:20100:4:Z1829357680;201:20100:7:Z1658526500;
FC1(F)CC12CCNCC2,289,201:20100:1:Z2476357795;201:20100:1:Z2476362016;201:20100:5:Z2476372218;
CC1CNc2ncnn2C1,48,201:20100:1:Z3086588063;201:20103:8:Z3086586330;201:20104:8:Z3086589442;
Oc1ccc(F)cn1,96,201:20100:1:Z2661886681;201:20101:9:Z4255798519;201:20102:9:Z2658504835;
Cc1cccc2cc[nH]c12,1288,201:20100:1:Z1565876288;201:20100:4:Z5034824699;201:20100:4:Z4089126931;
Cc1n[nH]c(C)c1C,429,201:20100:1:Z3518091617;201:20100:4:Z3539842738;201:20100:7:Z3408369476;
Cc1coc(=O)o1,39,201:20100:1:Z3879492572;201:20103:2:Z3511418859;201:20104:8:Z3517408148;
CC12CCC(=O)N1CCS2,271,201:20100:1:Z4109058583;201:20100:6:Z4108610520;201:20101:2:Z4113952366;
O=C1CCC2CNCC2N1,226,201:20100:1:Z3597597984;201:20100:3:Z3589756077;201:20100:3:Z3597575952;
Clc1ncc2nc[nH]c2n1,93,201:20100:1:Z2769610058;201:20101:3:Z3394569118;201:20102:0:Z2769770466;
CC1(C)CCc2sccc2C1,148,201:20100:1:Z1559848240;201:20100:5:Z1337241422;201:20101:6:Z2614868049;
Clc1cccc2c1OCCC2,272,201:20100:1:Z809315782;201:20100:7:Z815179458;201:20101:4:Z814045832;
Fc1cc(F)c2c(c1)CCCO2,990,201:20100:1:Z3550836738;201:20100:2:Z2170362887;201:20100:8:Z2187829562;
CC1CNCC(N)C1,32,201:20100:1:Z4215552591;201:20102:3:Z4215570834;201:20103:9:Z4215548675;
ClC1=CCCNC1,55,201:20100:1:Z3621714681;201:20101:6:Z4132562804;201:20102:8:Z3407916164;
Nc1ncnc2[nH]ncc12,105,201:20100:1:Z2611520358;201:20100:4:Z2612294156;201:20102:9:Z3383757970;
c1ncc2scnc2n1,287,201:20100:1:Z3829540330;201:20101:0:Z4273989842;201:20101:6:Z3829392990;
Clc1ccc2c(c1)OCCCO2,588,201:20100:1:Z1224914775;201:20100:1:Z2275465701;201:20100:5:Z3467052964;
Cc1cccn1C,1631,201:20100:1:Z1985709136;201:20100:2:Z2868951610;201:20100:2:Z3725319307;
NC1CC12CCCCC2,245,201:20100:1:Z4115335367;201:20102:1:Z3140503554;201:20102:2:Z4114647040;
N=c1cccc[nH]1,123,201:20100:1:Z1116762828;201:20102:1:Z287328384;201:20102:7:Z1320304404;
Cc1nccc2c1OC(C)(C)OC2,714,201:20100:1:Z4934509956;201:20100:4:Z4934508992;201:20100:5:Z3049711488;
CC1CCCC1(C)C,599,201:20100:1:Z4911706812;201:20100:3:Z4076951879;201:20100:4:Z4906096046;
OC1COC2(CNC2)CC1O,196,201:20100:1:Z4600949694;201:20100:1:Z4465917647;201:20101:5:Z4482781772;
C1=COCCN1,164,201:20100:1:Z3472337185;201:20100:8:Z3552089936;201:20102:9:Z3542965483;
Clc1cn2ccsc2n1,608,201:20100:1:Z288131426;201:20100:2:Z1302617236;201:20100:5:Z15386355;
O=C1CCOc2ccccc21,1590,201:20100:1:Z2777323948;201:20100:1:Z1904193948;201:20100:2:Z1904185996;
O=S1(=O)CCNCC12CCCCC2,435,201:20100:1:Z4400707071;201:20100:8:Z3699918643;201:20101:2:Z2218438003;
Cc1ncn(C)n1,76,201:20100:1:Z1667545641;201:20100:5:Z3994375747;201:20101:4:Z2978091971;
Cc1cnn2c1CCCC2,305,201:20100:1:Z3906835590;201:20100:6:Z4010312897;201:20101:0:Z4008175941;
O=C1CCCCC2CCCN12,242,201:20100:1:Z4574546720;201:20100:7:Z3893059979;201:20100:8:Z4577771974;
Cn1cnc2[nH]c(=O)[nH]c(=O)c21,135,201:20100:1:Z1693065454;201:20100:3:Z1230432453;201:20100:9:Z2080257129;
CN1Cc2ccccc2NC1=O,593,201:20100:1:Z3080900209;201:20100:3:Z4906337692;201:20100:3:Z1730012312;
NC1CCCC2CC12,88,201:20100:1:Z3519205508;201:20100:3:Z3516485775;201:20104:4:Z3513277084;
C1CC2CCCN2C1,678,201:20100:1:Z4287561255;201:20100:1:Z4325868140;201:20100:1:Z4325867452;
c1cc2n(n1)CCCO2,1148,201:20100:1:Z1870268588;201:20100:2:Z1870083777;201:20100:2:Z2358914135;
c1ccc2c(c1)oc1ccccc12,447,201:20100:1:Z1937783874;201:20100:2:Z1522236144;201:20100:2:Z1522261618;
CC1CC(C)C(C)O1,327,201:20100:1:Z2699237436;201:20100:2:Z2701704620;201:20100:4:Z4113219767;
C1COCC2(C1)CNCCO2,780,201:20100:1:Z4135577952;201:20100:1:Z2600577861;201:20100:2:Z3547394738;
O=c1[nH][nH]c(=O)c2ccccc12,531,201:20100:1:Z4472175524;201:20100:4:Z2312573016;201:20101:1:Z4351969159;
Cc1cc(=O)n(C)nc1C,688,201:20100:1:Z1444493914;201:20100:4:Z1869978043;201:20100:4:Z2645100153;
CC1(C)Nc2ccccc2NC1=O,250,201:20100:1:Z3292308365;201:20100:5:Z1460231681;201:20101:4:Z1783605885;
CC1CCN(C)C1,519,201:20100:1:Z4417337728;201:20100:5:Z4609139946;201:20100:8:Z1401857878;
CN1CCC2(CCNC2)C1,413,201:20100:1:Z5014049116;201:20100:2:Z4448861352;201:20100:2:Z2230096069;
C1CC2CNCC1N2,955,201:20100:1:Z4233068122;201:20100:2:Z3832538932;201:20100:2:Z2782889337;
Fc1ccc2scnc2c1,437,201:20100:1:Z3861255040;201:20100:1:Z3861257198;201:20100:2:Z1404571664;
Cc1ccnc2ncnn12,416,201:20100:1:Z4322306647;201:20100:2:Z394186798;201:20100:8:Z263277840;
CC1CCOC2(CCC2)C1,283,201:20100:1:Z4507987379;201:20100:4:Z2860217559;201:20100:7:Z3782586250;
C1=CNCC1,387,201:20100:1:Z4507987379;201:20100:3:Z4508295787;201:20100:6:Z3702595815;
CC12CCCCC1C2,5,201:20100:1:Z2002933031;201:20128:6:Z4170666867;201:20150:8:Z2002892410;
Cc1nn2ccnc2s1,148,201:20100:1:Z3352336436;201:20101:7:Z2590542485;201:20102:0:Z3358431101;
O=S1(=O)CCC2(CCCCO2)C1,367,201:20100:1:Z4176881921;201:20100:3:Z1773455761;201:20100:4:Z1596613546;
O=S1(=O)CCCC12CNC2,985,201:20100:1:Z3416062436;201:20100:3:Z3494026965;201:20100:4:Z3416438933;
C1Cc2[nH]nnc2CN1,662,201:20100:1:Z4271785578;201:20100:2:Z2214195085;201:20100:3:Z4467832523;
c1ccc2c(c1)OCC21CCNCC1,142,201:20100:1:Z3568492441;201:20100:7:Z3436366691;201:20102:6:Z3628899327;
CC1=NOC2(CCC2)C1,240,201:20100:1:Z3668513645;201:20100:4:Z3669921713;201:20100:6:Z4694530520;
CC1CCCc2ccccc21,620,201:20100:1:Z998392458;201:20100:4:Z3180013540;201:20100:6:Z997450310;
c1cc2c(o1)CCCNC2,350,201:20100:1:Z4491995474;201:20100:5:Z3354805315;201:20100:8:Z2203562933;
C1CNC2CCNCC2C1,795,201:20100:1:Z3674137467;201:20100:1:Z3674137696;201:20100:3:Z2828158780;
Cc1c[nH]nc1C,288,201:20100:1:Z2995633852;201:20100:5:Z3410115857;201:20100:6:Z1731728275;
CN1CCCC(C)(C)C1,487,201:20100:1:Z3653802730;201:20100:2:Z3632927699;201:20100:3:Z3692973672;
CC1(C)CC2CNCC21,78,201:20100:1:Z4011946391;201:20100:5:Z4011613372;201:20100:6:Z4031194430;
Cn1cc2c(n1)CCNC2,978,201:20100:1:Z3298075442;201:20100:2:Z4061731027;201:20100:2:Z3514610038;
CC1CCc2c(sc3ncnc(N)c23)C1,72,201:20100:1:Z1745552310;201:20101:5:Z3521340820;201:20105:4:Z1579639798;
CC1NCCN(C)C1=O,367,201:20100:1:Z1745552310;201:20100:4:Z1744961671;201:20100:7:Z3193774200;
Cc1cc2[nH]ccc2s1,308,201:20100:1:Z3295287458;201:20100:3:Z3295326063;201:20101:2:Z4161575586;
CN1CC2(CNC2)C1,44,201:20100:1:Z4217958198;201:20101:8:Z4217965388;201:20107:6:Z4218001997;
NC1CCc2ccccc2C1,167,201:20100:1:Z4429820002;201:20103:6:Z4429339133;201:20104:0:Z4429770129;
Cn1ncc2c1CCS(=O)(=O)C2,204,201:20100:1:Z5037788166;201:20100:2:Z5035081543;201:20100:8:Z5034684512;
Cc1cccc2nn[nH]c12,77,201:20100:1:Z3524206737;201:20100:5:Z3534663089;201:20101:1:Z3545147915;
Cn1ccc(=O)cc1,531,201:20100:1:Z3348708747;201:20100:4:Z4023760561;201:20100:5:Z3602971078;
Cc1cc(C)n(C)c(=O)c1,477,201:20100:1:Z4171376874;201:20100:3:Z4174724415;201:20100:3:Z4176016012;
Cc1cc2ccccc2cn1,267,201:20100:1:Z3580002121;201:20100:5:Z3796220611;201:20100:5:Z4142309208;
Oc1ccc2c(c1)CCCO2,452,201:20100:1:Z4256814452;201:20100:1:Z4256813513;201:20100:3:Z3699440797;
c1ccc2c3c(ccc2c1)CCCCO3,97,201:20100:1:Z2800502698;201:20100:5:Z1942204572;201:20104:6:Z1460296399;
Cc1cc(=O)[nH]c2ccccc12,568,201:20100:1:Z2640413455;201:20100:4:Z3593371798;201:20100:5:Z3093824588;
c1nc2c(s1)CCCCCC2,111,201:20100:1:Z1995647255;201:20100:3:Z1995643187;201:20101:1:Z2111657026;
C1CC2CNCCN2C1,581,201:20100:1:Z3364114037;201:20100:5:Z3646859927;201:20100:6:Z3646861308;
Clc1cc(Cl)cc(Cl)c1,124,201:20100:1:Z1601821577;201:20100:3:Z1254024880;201:20100:7:Z1371218651;
C1CC2NC1C1CCC2O1,55,201:20100:1:Z4556754922;201:20102:7:Z4598754818;201:20104:7:Z4556748867;
OC1CCC2CC1CN2,139,201:20100:1:Z2951126969;201:20100:1:Z2951091980;201:20100:1:Z2951149394;
Oc1ccncc1,585,201:20100:1:Z1937888015;201:20100:2:Z1025530550;201:20100:4:Z4099110588;
Cn1cnc2nc(Cl)ncc21,37,201:20100:1:Z3718940801;201:20100:9:Z4961627337;201:20104:7:Z3718853861;
O=C1Nc2ccccc2C12CCNC2,275,201:20100:1:Z1748290510;201:20100:2:Z3095618343;201:20100:9:Z4035343859;
Cn1c(=O)c2ccsc2n(C)c1=O,288,201:20100:1:Z2997490513;201:20100:5:Z4503506379;201:20101:8:Z4229153290;
CC1CNc2ccccc2SC1,64,201:20100:1:Z2642734518;201:20100:6:Z1511582887;201:20101:4:Z4996908517;
CC1(C)CCc2ccc(=O)[nH]c2C1,231,201:20100:1:Z4876803047;201:20100:5:Z3384371093;201:20100:6:Z3300200572;
OC1CNCC2(CC2)C1,177,201:20100:1:Z3435566393;201:20100:2:Z3639416783;201:20100:7:Z3639423868;
c1ccc2c(c1)nc1n2CCC1,142,201:20100:1:Z1543348485;201:20102:3:Z1818196441;201:20102:5:Z649145432;
O=S1(=O)CCc2sccc2C1,393,201:20100:1:Z1630742273;201:20100:2:Z1426107696;201:20100:4:Z4472159615;
C1CCC2(C1)CCCOC2,492,201:20100:1:Z3658300437;201:20100:2:Z3574782682;201:20100:3:Z3611005054;
c1ncc2nn[nH]c2n1,409,201:20100:1:Z2971847026;201:20100:3:Z2968254238;201:20100:4:Z2974184787;
Cc1nc2cccnc2[nH]1,733,201:20100:1:Z2918617476;201:20100:2:Z2989176682;201:20100:4:Z3390585090;
Fc1ccc2c(c1)OCCN2,412,201:20100:1:Z2950574463;201:20100:3:Z1228494604;201:20100:4:Z4132567551;
O=C1CNc2ncccc2N1,150,201:20100:1:Z4297580618;201:20100:4:Z4280755821;201:20100:7:Z4305611368;
Cc1coc2c1C(=O)CC(C)(C)C2,268,201:20100:1:Z450637658;201:20100:5:Z4047917605;201:20100:6:Z1328690668;
Fc1cnccn1,125,201:20100:1:Z4630078884;201:20100:5:Z4414531464;201:20101:0:Z4330873715;
OC1CCNCC1(F)F,233,201:20100:1:Z2644210482;201:20100:2:Z2644209379;201:20101:3:Z2628544238;
