fragment_smiles,occurences,example_ligands
C1CCOCC1,188658,195:19500:0:Z3616815101;195:19500:0:Z3983470965;195:19500:0:Z3983469131;
c1cocn1,49129,195:19500:0:Z3616815101;195:19500:0:Z1248808057;195:19500:0:Z4293930663;
c1ccccc1,1810820,195:19500:0:Z3616815101;195:19500:0:Z1902404054;195:19500:0:Z1957568414;
Cc1ccccc1,261666,195:19500:0:Z686073572;195:19500:0:Z2931175465;195:19500:0:Z2647270016;
c1nnco1,32055,195:19500:0:Z686073572;195:19500:0:Z4027204143;195:19500:0:Z4099434035;
Cc1cn2ccccc2n1,1624,195:19500:0:Z686073572;195:19500:1:Z3839780898;195:19500:1:Z4108595586;
Nc1ncnc2[nH]cnc12,1015,195:19500:0:Z2917724791;195:19500:2:Z4459245452;195:19500:6:Z2642233960;
C1CCOC1,148194,195:19500:0:Z2917724791;195:19500:0:Z2612008374;195:19500:0:Z3898886538;
C1CCNCC1,712062,195:19500:0:Z2917724791;195:19500:0:Z2612008374;195:19500:0:Z2008665275;
O=c1[nH]c2ccccc2[nH]1,7144,195:19500:0:Z3366935405;195:19500:0:Z1368866898;195:19500:0:Z2452336401;
c1cn2c(n1)CCC2,2168,195:19500:0:Z3366935405;195:19500:1:Z3356030848;195:19500:1:Z3835849113;
CC1CNCCN1,15669,195:19500:0:Z3983470965;195:19500:0:Z3983469131;195:19500:0:Z2162997259;
c1ccncc1,484027,195:19500:0:Z3983470965;195:19500:0:Z3983469131;195:19500:0:Z2612008374;
c1nncs1,29146,195:19500:0:Z2202859928;195:19500:0:Z797657060;195:19500:0:Z4231885295;
O=S1(=O)CCc2ccccc21,3370,195:19500:0:Z2202859928;195:19500:0:Z4629984470;195:19500:0:Z3591031448;
c1nc[nH]n1,55625,195:19500:0:Z1902404054;195:19500:0:Z269466290;195:19500:0:Z1672637416;
c1c[nH]cn1,72459,195:19500:0:Z1902404054;195:19500:0:Z2608488930;195:19500:0:Z4066481774;
Fc1ccc2nccnc2c1,625,195:19500:0:Z1957568414;195:19500:4:Z2966680665;195:19500:7:Z1957556666;
OC1CCOCC1,5621,195:19500:0:Z3580969175;195:19500:0:Z2737468379;195:19500:0:Z5034978456;
C1CNCCN1,245063,195:19500:0:Z2931175465;195:19500:0:Z2951253421;195:19500:0:Z2414649599;
CC1(C)CNC1,4388,195:19500:0:Z2608488930;195:19500:0:Z2876535711;195:19500:0:Z2289052035;
C1CCC2(CCC2)NC1,2521,195:19500:0:Z4056485262;195:19500:0:Z4002694341;195:19500:0:Z3803993466;
c1cnc2[nH]ncc2c1,4270,195:19500:0:Z1953205410;195:19500:0:Z4503576980;195:19500:0:Z4612772207;
c1cnc2[nH]cnc2c1,1890,195:19500:0:Z1953205410;195:19500:0:Z2095274326;195:19500:2:Z1574843089;
Cc1cnccn1,4913,195:19500:0:Z2951253421;195:19500:0:Z2615697238;195:19500:0:Z1994809631;
C1OC2CC1C2,2643,195:19500:0:Z4934557146;195:19500:2:Z3646801204;195:19500:2:Z4476832716;
N=S1(=O)CCNCC1,197,195:19500:0:Z4934557146;195:19500:8:Z4061743646;195:19501:8:Z3604138481;
Cn1cnnc1,32480,195:19500:0:Z2008665275;195:19500:0:Z3496135435;195:19500:0:Z3095091075;
Clc1ccccc1,231787,195:19500:0:Z2008665275;195:19500:0:Z3898886538;195:19500:0:Z1786006319;
c1cscn1,170071,195:19500:0:Z3209282045;195:19500:0:Z2414649599;195:19500:0:Z1409861885;
O=C1CCCN1,106309,195:19500:0:Z1593108943;195:19500:0:Z3087663496;195:19500:0:Z1408094135;
Cn1cccn1,168972,195:19500:0:Z1593108943;195:19500:0:Z4112131130;195:19500:0:Z1940951804;
C1CCNC1,405581,195:19500:0:Z3898896834;195:19500:0:Z3898886538;195:19500:0:Z1765447668;
c1cc2c3c(cccc3c1)CC2,188,195:19500:0:Z3898896834;195:19500:0:Z4478852057;195:19500:0:Z1280351206;
CN1CCNCC1,35154,195:19500:0:Z3343411435;195:19500:0:Z3608983924;195:19500:0:Z2907451729;
c1c[nH]nn1,92415,195:19500:0:Z3343411435;195:19500:0:Z2631428266;195:19500:0:Z4021657080;
c1cc2c(s1)CNCC2,903,195:19500:0:Z4057332678;195:19500:0:Z4362733658;195:19500:0:Z4362732459;
C1CCC2(C1)CCNC2,1160,195:19500:0:Z3794741029;195:19500:4:Z1286253636;195:19500:5:Z3390304570;
O=C1NCCc2occc21,166,195:19500:0:Z3051076703;195:19500:1:Z3092216624;195:19500:1:Z3052125677;
Clc1cnccn1,866,195:19500:0:Z3051076703;195:19500:0:Z4267616018;195:19500:0:Z3818552805;
Fc1cccc(F)c1,67632,195:19500:0:Z1409861885;195:19500:0:Z1786006319;195:19500:0:Z3803046930;
C1CCCNCC1,30057,195:19500:0:Z2631587782;195:19500:0:Z3475023824;195:19500:0:Z2360803127;
c1cn[nH]c1,297788,195:19500:0:Z4559848507;195:19500:0:Z3360832442;195:19500:0:Z3360445652;
c1ccc2[nH]ccc2c1,38386,195:19500:0:Z4559848507;195:19500:0:Z2605746428;195:19500:0:Z1901268031;
C1CCCC1,128287,195:19500:0:Z2647270016;195:19500:0:Z2130323959;195:19500:0:Z509845340;
OC1CCCOC1,1399,195:19500:0:Z2647270016;195:19500:1:Z2485489940;195:19500:2:Z2476284858;
Cc1nccs1,13738,195:19500:0:Z4408206294;195:19500:0:Z4477098054;195:19500:0:Z744390516;
C1CC2CCC1C2,9361,195:19500:0:Z2781514355;195:19500:0:Z5019155257;195:19500:0:Z4148985324;
CN1CCCCC1,26651,195:19500:0:Z3358100232;195:19500:0:Z3320987533;195:19500:0:Z1183010175;
OC1CCCC1,10193,195:19500:0:Z3358100232;195:19500:0:Z3686170448;195:19500:0:Z3687351688;
O=C1CCCCN1,42081,195:19500:0:Z3360445652;195:19500:0:Z4453234983;195:19500:0:Z3807394204;
Cc1cscn1,39086,195:19500:0:Z2802095893;195:19500:0:Z2647174246;195:19500:0:Z2622872710;
OC1CCNCC1,26029,195:19500:0:Z2802095893;195:19500:0:Z4289803423;195:19500:0:Z4127634342;
Fc1ccc2nn[nH]c2c1,256,195:19500:0:Z2802095893;195:19500:8:Z2304493939;195:19500:9:Z2002703762;
