fragment_smiles,occurences,example_ligands
c1ccccc1,440153,5:00500:0:Z1208180757;5:00500:0:Z1669659422;5:00500:0:Z4168891393;
c1cn[nH]c1,178166,5:00500:0:Z1208180757;5:00500:0:Z3039597365;5:00500:0:Z3620980453;
Cc1ccc(C)nn1,1607,5:00500:0:Z3039597365;5:00500:0:Z2918044752;5:00500:0:Z4133831992;
CC1CSc2ccccc2N1,79,5:00500:0:Z1884578153;5:00505:7:Z1884563312;5:00506:1:Z1884557004;
c1ccoc1,76369,5:00500:0:Z4241665055;5:00500:0:Z2499129520;5:00500:0:Z2045078286;
C1CCOCC1,113928,5:00500:0:Z4241665055;5:00500:0:Z4385342088;5:00500:0:Z4033529046;
Cc1cc2c(cc1C)NCC2,144,5:00500:0:Z2077465735;5:00502:7:Z4061343172;5:00503:3:Z2088451027;
Cc1cscn1,29155,5:00500:0:Z2077465735;5:00500:0:Z3540092489;5:00500:0:Z2272271270;
Cn1cccn1,105646,5:00500:0:Z4267842396;5:00500:0:Z2610623128;5:00500:0:Z2979140192;
c1cnsc1,22564,5:00500:0:Z3515339971;5:00500:0:Z3500762321;5:00500:0:Z3685408466;
CC1CCS(=O)(=O)N1,432,5:00500:0:Z4385342088;5:00500:0:Z3913414450;5:00500:4:Z3504108289;
c1ccc2c(c1)CCN2,7164,5:00500:0:Z1273972361;5:00500:0:Z4824527424;5:00500:0:Z4065192066;
CC1(C)CCNC1,9234,5:00500:0:Z3345301500;5:00500:0:Z3561758206;5:00500:0:Z3145408507;
CN1C2CNCC1C2,529,5:00500:0:Z4473618356;5:00500:3:Z4401981480;5:00500:5:Z4393610426;
c1cscn1,144795,5:00500:0:Z4473618356;5:00500:0:Z4335220808;5:00500:0:Z4174664112;
Clc1ccnc(Cl)n1,69,5:00500:0:Z4225311211;5:00500:5:Z4929662373;5:00504:8:Z4225784110;
CC1CCCCN1,16055,5:00500:0:Z4575806793;5:00500:0:Z1437591467;5:00500:0:Z3835599383;
Clc1cn[nH]c1,8432,5:00500:0:Z4575806793;5:00500:0:Z2905474707;5:00500:0:Z3598282990;
Oc1cc(F)c2c(c1)CCNC2,117,5:00500:0:Z3517962146;5:00500:0:Z3560968476;5:00501:1:Z4101390566;
