fragment_smiles,occurences,example_ligands
CC1CCN(C)CC1,463,143:14300:0:Z3607004298;143:14300:6:Z1630198055;143:14300:6:Z1631161865;
C1CC2(CCN1)COCCO2,888,143:14300:0:Z4422448418;143:14300:3:Z2921665912;143:14300:4:Z2843367437;
c1ccccc1,1603695,143:14300:0:Z4422448418;143:14300:0:Z2797704362;143:14300:0:Z1518807142;
CN1CCCC1,9808,143:14300:0:Z2797704362;143:14300:0:Z3154655441;143:14300:0:Z2632142704;
c1ncon1,153845,143:14300:0:Z2797704362;143:14300:0:Z1518807142;143:14300:0:Z1686168181;
C1CCOCC1,178547,143:14300:0:Z1518807142;143:14300:0:Z2602120634;143:14300:0:Z1187044573;
Fc1ccccc1,352825,143:14300:0:Z2949397541;143:14300:0:Z1833607107;143:14300:0:Z2965206967;
O=C1CCCN1,92647,143:14300:0:Z2949397541;143:14300:0:Z739204608;143:14300:0:Z1229102261;
c1ccoc1,92362,143:14300:0:Z2949397541;143:14300:0:Z3528792244;143:14300:0:Z2349985503;
c1nnc[nH]1,71129,143:14300:0:Z3154655441;143:14300:0:Z4088073155;143:14300:0:Z4313814679;
FC1(F)CCC2CNCC21,285,143:14300:0:Z3154655441;143:14300:4:Z2975911858;143:14300:5:Z4276040901;
Cc1ncco1,3636,143:14300:0:Z3726138111;143:14300:1:Z1675611030;143:14300:1:Z3173712813;
CC1CCCN1,18492,143:14300:0:Z3726138111;143:14300:0:Z3726138118;143:14300:0:Z3618049530;
Fc1ccc(Cl)cc1,3583,143:14300:0:Z3726138111;143:14300:0:Z106369720;143:14300:0:Z2453527514;
CC12CNCC1COC2,312,143:14300:0:Z2645903421;143:14300:0:Z2631024472;143:14300:2:Z2645900980;
Cc1ncc2c(n1)CCNC2,406,143:14300:0:Z1336049532;143:14300:1:Z648129840;143:14300:3:Z1440359531;
C1CCCCC1,154827,143:14300:0:Z1336049532;143:14300:0:Z1283313829;143:14300:0:Z1510245079;
CN1CCCC1=O,10930,143:14300:0:Z1548997397;143:14300:0:Z3042166380;143:14300:0:Z4917442955;
O=C1CCNC(=O)N1,27971,143:14300:0:Z3528792244;143:14300:0:Z3541857853;143:14300:0:Z3463149661;
c1cn2c(n1)CCCC2,11960,143:14300:0:Z3528792244;143:14300:0:Z3008608366;143:14300:0:Z2637319117;
O=S1(=O)CCC2(CCNC2)CC1,767,143:14300:0:Z3587365688;143:14300:0:Z4059239627;143:14300:1:Z3346800670;
c1c[nH]nn1,88885,143:14300:0:Z1454844087;143:14300:0:Z2012230487;143:14300:0:Z1389552082;
CC1CNCC(C)N1,2189,143:14300:0:Z4231972717;143:14300:0:Z4079902247;143:14300:0:Z1856612080;
c1nnco1,29482,143:14300:0:Z21996793;143:14300:0:Z1179747855;143:14300:0:Z2089998337;
