fragment_smiles,occurences,example_ligands
C1CCNCC1,422390,63:06300:0:Z1893736404;63:06300:0:Z2783390262;63:06300:0:Z2784383479;
C1CCCCC1,144334,63:06300:0:Z1893736404;63:06300:0:Z1840789113;63:06300:0:Z2370934336;
Cc1cscn1,35777,63:06300:0:Z2893303938;63:06300:0:Z4353371259;63:06300:0:Z1667122009;
c1ccccc1,997969,63:06300:0:Z2965164158;63:06300:0:Z2781856861;63:06300:0:Z1193545981;
Cc1ncon1,11639,63:06300:0:Z2965164158;63:06300:0:Z1796845687;63:06300:0:Z4482829286;
C1CNCCN1,114446,63:06300:0:Z4343589330;63:06300:0:Z1796845687;63:06300:0:Z1575520525;
c1ncc2nc[nH]c2n1,5626,63:06300:0:Z4343589330;63:06300:0:Z2760972523;63:06300:0:Z3392958630;
Cc1ccno1,13946,63:06300:0:Z2781856861;63:06300:0:Z1204126867;63:06300:0:Z4255846019;
c1ccsc1,125975,63:06300:0:Z3576851669;63:06300:0:Z2815563261;63:06300:0:Z4576928552;
c1cnoc1,82666,63:06300:0:Z3576851669;63:06300:0:Z4129785323;63:06300:0:Z3059972592;
C1=NOC2(C1)CCNC2,315,63:06300:0:Z4353371259;63:06300:0:Z4344170803;63:06300:0:Z4344170732;
Fc1ccccc1,249119,63:06300:0:Z1193545981;63:06300:0:Z2264469312;63:06300:0:Z2892441106;
c1cscn1,161316,63:06300:0:Z1193545981;63:06300:0:Z2356811754;63:06300:0:Z1657237482;
CC1(C)CC1,6202,63:06300:0:Z2649918289;63:06300:0:Z1908012987;63:06300:0:Z5019316340;
C1CCNC1,320462,63:06300:0:Z2649918289;63:06300:0:Z4960064688;63:06300:0:Z2478640622;
Clc1cccnc1,20784,63:06300:0:Z2497976241;63:06300:0:Z2254813672;63:06300:0:Z3836985962;
CC1CCCN(C)C1,807,63:06300:0:Z4126714152;63:06300:0:Z4041224098;63:06300:1:Z4265706758;
c1cnc2c(c1)NCCCC2,149,63:06300:0:Z4126714152;63:06300:9:Z4126711049;63:06301:0:Z4126710323;
c1cc2n(c1)CCC2,324,63:06300:0:Z4020309903;63:06300:1:Z4022298607;63:06300:1:Z4022456368;
C1=CCNCC1,6558,63:06300:0:Z4020309903;63:06300:0:Z2767220427;63:06300:0:Z2619633588;
c1ccc2c(c1)CCCCO2,1262,63:06300:0:Z4876153064;63:06300:0:Z2180213037;63:06300:0:Z2180212843;
FC=C1CCOCC1,437,63:06300:0:Z4876153064;63:06300:0:Z4888124532;63:06300:0:Z4876355845;
O=C1CCCOc2ccccc21,11,63:06300:0:Z4169274897;63:06307:6:Z2618127633;63:06322:6:Z4387276559;
Oc1ccccc1,37260,63:06300:0:Z2493319760;63:06300:0:Z1418015250;63:06300:0:Z4231985989;
CC1CNCCN1,12198,63:06300:0:Z2815563261;63:06300:0:Z3552853133;63:06300:0:Z5018922158;
Cc1ccccc1F,12388,63:06300:0:Z345693898;63:06300:0:Z3548466462;63:06300:0:Z2957494355;
c1cn[nH]c1,245729,63:06300:0:Z1779825531;63:06300:0:Z3702783546;63:06300:0:Z1141110827;
FC1=CCCNC1,979,63:06300:0:Z4269217852;63:06300:0:Z3794576431;63:06300:1:Z4577043112;
Cn1cnnc1,22310,63:06300:0:Z2784383479;63:06300:0:Z2605518879;63:06300:0:Z3094682837;
Cc1csc(C)n1,3505,63:06300:0:Z2880058786;63:06300:0:Z3186113360;63:06300:1:Z4152601285;
c1cn2c(n1)CCCC2,9563,63:06300:0:Z2880058786;63:06300:0:Z1933412382;63:06300:0:Z4199307437;
OC1CCNC2(CC2)C1,350,63:06300:0:Z4129785323;63:06300:7:Z3572466914;63:06301:3:Z3608739754;
Clc1ccccc1,176220,63:06300:0:Z3815732839;63:06300:0:Z3816196863;63:06300:0:Z17416779;
Cc1cccc(C)c1,24629,63:06300:0:Z4960064688;63:06300:0:Z3547503944;63:06300:0:Z4287161985;
c1ccncc1,371541,63:06300:0:Z1996655494;63:06300:0:Z4226745971;63:06300:0:Z4470773108;
Fc1cccc2c1CCNC2,824,63:06300:0:Z2356811754;63:06300:1:Z3883718193;63:06300:4:Z1522937561;
c1nncs1,31773,63:06300:0:Z3666833269;63:06300:0:Z4479143572;63:06300:0:Z1180129619;
O=c1cccc[nH]1,21420,63:06300:0:Z3666833269;63:06300:0:Z2961160873;63:06300:0:Z3609576599;
CC1CCCN1,19246,63:06300:0:Z3784184474;63:06300:0:Z3520280480;63:06300:0:Z2404162213;
C1COCCN1,118083,63:06300:0:Z3784184474;63:06300:0:Z2874103147;63:06300:0:Z3857189557;
Fc1cccc(F)c1,46644,63:06300:0:Z3887851358;63:06300:0:Z4078987265;63:06300:0:Z2918551381;
C1CCOCC1,150616,63:06300:0:Z3887851358;63:06300:0:Z3652522058;63:06300:0:Z4348816629;
c1ccc2c(c1)CCCO2,10456,63:06300:0:Z2331910341;63:06300:0:Z1872416736;63:06300:0:Z3787659928;
C1CCOC1,140924,63:06300:0:Z3515317187;63:06300:0:Z1269808501;63:06300:0:Z3309677256;
C1=CC2CCC(C1)N2,424,63:06300:0:Z3515317187;63:06300:1:Z3878503123;63:06300:3:Z2001253889;
c1c[nH]nn1,80881,63:06300:0:Z4107215122;63:06300:0:Z3699893174;63:06300:0:Z3505222401;
Cn1cc(Cl)cn1,4904,63:06300:0:Z4107215122;63:06300:0:Z2625387816;63:06300:0:Z2636479547;
Cc1ccsc1,9287,63:06300:0:Z1903164719;63:06300:0:Z3505739068;63:06300:0:Z4907650527;
CC1(C)Cc2ccccc2O1,1999,63:06300:0:Z1903164719;63:06300:0:Z4204911481;63:06300:0:Z1834230973;
Cc1ccccc1,173867,63:06300:0:Z2292992657;63:06300:0:Z4470773108;63:06300:0:Z3651928719;
CC1CNCC(C)N1,2198,63:06300:0:Z2292992657;63:06300:0:Z4231985989;63:06300:0:Z3356346984;
c1ccc2c(c1)NCCO2,3003,63:06300:0:Z4048243207;63:06300:0:Z2772924719;63:06300:0:Z1289701375;
C1CC2(CCS1)CC2,709,63:06300:0:Z4048243207;63:06300:0:Z2253203817;63:06300:0:Z2371418520;
