fragment_smiles,occurences,example_ligands
C1CCNCC1,623235,429:42900:0:PV-004706500741;429:42900:0:PV-004706500748;429:42900:0:PV-004706500749;
OC1CNC1,33337,429:42900:0:PV-004706500741;429:42900:0:PV-004706501354;429:42900:0:PV-004706501946;
C1CC2CC2C1,18171,429:42900:0:PV-004706500741;429:42900:0:PV-004706501841;429:42900:0:PV-004706501842;
c1ccc2occc2c1,24463,429:42900:0:PV-004706500747;429:42900:0:PV-004706501571;429:42900:0:PV-004706502473;
C1CC2CC1CN2,24581,429:42900:0:PV-004706500747;429:42900:0:PV-004706501391;429:42900:0:PV-004706501835;
C1CCNC1,598709,429:42900:0:PV-004706500748;429:42900:0:PV-004706500749;429:42900:0:PV-004706500878;
Cc1cnc2ccccn12,6464,429:42900:0:PV-004706500761;429:42900:0:PV-004706500762;429:42900:0:PV-004706501702;
CC1(C)C(F)C1(C)C,3277,429:42900:0:PV-004706500761;429:42900:0:PV-004706513503;429:42900:0:PV-004706513504;
C1CNC2(C1)CCC2,18827,429:42900:0:PV-004706500762;429:42900:0:PV-004706503155;429:42900:0:PV-004706505141;
Cc1ccccc1,158339,429:42900:0:PV-004706500789;429:42900:0:PV-004706500883;429:42900:0:PV-004706501539;
CC1CCCN1,106829,429:42900:0:PV-004706500789;429:42900:0:PV-004706501220;429:42900:0:PV-004706501221;
Oc1cccc(F)c1,9791,429:42900:0:PV-004706500789;429:42900:0:PV-004706500903;429:42900:0:PV-004706503394;
Cc1ccon1,36103,429:42900:0:PV-004706500795;429:42900:0:PV-004706501208;429:42900:0:PV-004706501805;
FC1CCCCNC1,2732,429:42900:0:PV-004706500795;429:42900:0:PV-004706503296;429:42900:0:PV-004706507721;
c1occ2c1CCOC2,1875,429:42900:0:PV-004706500795;429:42900:0:PV-004706504968;429:42900:1:PV-001500960175;
CC1CNCC(C)NC1,4818,429:42900:0:PV-004706500803;429:42900:0:PV-004706501240;429:42900:0:PV-004706516646;
Fc1ccccc1,232157,429:42900:0:PV-004706500803;429:42900:0:PV-004706500900;429:42900:0:PV-004706500901;
CC1CNC(C)CN1,3522,429:42900:0:PV-004706500804;429:42900:0:PV-004706505285;429:42900:0:PV-004706513110;
Cn1ncc2ccncc21,595,429:42900:0:PV-004706500804;429:42900:1:PV-004706526779;429:42900:3:PV-004706602361;
c1ccccc1,531355,429:42900:0:PV-004706500805;429:42900:0:PV-004706500806;429:42900:0:PV-004706500807;
CC1CCC1,46160,429:42900:0:PV-004706500815;429:42900:0:PV-004706501049;429:42900:0:PV-004706501385;
Cc1cccc(O)c1,15033,429:42900:0:PV-004706500815;429:42900:0:PV-004706504109;429:42900:0:PV-004706506246;
C1CCCCC1,256978,429:42900:0:PV-004706500815;429:42900:0:PV-004706500858;429:42900:0:PV-004706501318;
Cc1ccco1,52872,429:42900:0:PV-004706500816;429:42900:0:PV-004706501330;429:42900:0:PV-004706503671;
OC1CNCCNC1,7874,429:42900:0:PV-004706500816;429:42900:0:PV-004706501959;429:42900:0:PV-004706503715;
Cn1ccnc1,42790,429:42900:0:PV-004706500816;429:42900:0:PV-004706500902;429:42900:0:PV-004706502095;
Cn1ccnn1,14994,429:42900:0:PV-004706500819;429:42900:0:PV-004706501597;429:42900:0:PV-004706502784;
C1CC2(CCN1)CNC2,14847,429:42900:0:PV-004706500819;429:42900:0:PV-004706510237;429:42900:0:PV-004706510418;
CC1CCCC1,22554,429:42900:0:PV-004706500819;429:42900:0:PV-004706501017;429:42900:0:PV-004706501237;
c1cc[nH]c1,118862,429:42900:0:PV-004706500828;429:42900:0:PV-004706500944;429:42900:0:PV-004706501345;
CC1(C)CCCNC1,32981,429:42900:0:PV-004706500828;429:42900:0:PV-004706503206;429:42900:0:PV-004706503495;
Cc1ccn[nH]1,56474,429:42900:0:PV-004706500828;429:42900:0:PV-004706501133;429:42900:0:PV-004706501386;
Cc1cnoc1,27516,429:42900:0:PV-004706500841;429:42900:0:PV-004706502466;429:42900:0:PV-004706503296;
CC1(C)CCCN1,39640,429:42900:0:PV-004706500841;429:42900:0:PV-004706501063;429:42900:0:PV-004706502720;
Cc1cccn2ccnc12,4762,429:42900:0:PV-004706500841;429:42900:0:PV-004706505608;429:42900:0:PV-002199687334;
CC1CCCCN1C,3298,429:42900:0:PV-004706500849;429:42900:0:PV-004706509014;429:42900:0:PV-004706517880;
