fragment_smiles,occurences,example_ligands
c1cnccn1,30462,56:05600:0:Z2960347755;56:05600:0:Z2961231976;56:05600:0:Z1433833070;
O=C1CCCCCN1,4677,56:05600:0:Z4600998855;56:05600:0:Z4387976037;56:05600:0:Z2827107732;
C1CC2(C1)CCC21CCC1,144,56:05600:0:Z4600998855;56:05600:7:Z4601008199;56:05602:0:Z4574468444;
C1CC2(CCN1)CC2,3446,56:05600:0:Z5061504899;56:05600:1:Z1578917928;56:05600:1:Z5053612363;
c1ccnnc1,18927,56:05600:0:Z5061504899;56:05600:0:Z4300438693;56:05600:0:Z3105312287;
C1CCNC1,319599,56:05600:0:Z5061504899;56:05600:0:Z3642009242;56:05600:0:Z3707954687;
c1nnc[nH]1,41783,56:05600:0:Z3098231146;56:05600:0:Z3169780725;56:05600:0:Z1486935599;
C1CC2CNCC(C1)NC2,185,56:05600:0:Z3795293283;56:05600:0:Z4056020273;56:05600:8:Z3795287745;
OC1CCOC1,5811,56:05600:0:Z4279428018;56:05600:0:Z3661409501;56:05600:0:Z2477360275;
Cn1cncn1,13234,56:05600:0:Z4399245690;56:05600:0:Z3532885407;56:05600:0:Z2710863568;
CC1CC(F)(F)C1,1273,56:05600:0:Z4399245690;56:05600:0:Z3086627025;56:05600:0:Z4399245998;
O=S1(=O)CCCC1,13695,56:05600:0:Z3642009242;56:05600:0:Z2811419085;56:05600:0:Z3800619516;
CC1CCNC1,20610,56:05600:0:Z2309612728;56:05600:0:Z2921905609;56:05600:0:Z3725158648;
Clc1cnc2ccccc2c1,238,56:05600:0:Z2169863560;56:05600:0:Z4570599479;56:05600:2:Z2174226364;
c1n[nH]c2c1CNCC2,1144,56:05600:0:Z2169863560;56:05600:0:Z4226631631;56:05600:0:Z2825156400;
c1ccc2ncccc2c1,18385,56:05600:0:Z3133436041;56:05600:0:Z2581163682;56:05600:0:Z3084311085;
c1nc[nH]n1,47547,56:05600:0:Z4246870548;56:05600:0:Z3626205192;56:05600:0:Z1677969028;
OC1CCc2ccccc21,1414,56:05600:0:Z3205275211;56:05600:0:Z4292770985;56:05600:0:Z2457220176;
O=c1cc2c(n[nH]1)CCC2,162,56:05600:0:Z3205275211;56:05600:7:Z3082054169;56:05603:6:Z3132015440;
Cc1cccnn1,4646,56:05600:0:Z1607754688;56:05600:0:Z4612063393;56:05600:0:Z2159122463;
