fragment_smiles,occurences,example_ligands
C1COC2CC2N1,921,56:05600:0:Z3797617979;56:05600:1:Z3103941396;56:05600:2:Z4025925028;
Cc1nc2cc(Cl)ccc2s1,108,56:05600:0:Z2151249800;56:05600:8:Z2320743106;56:05601:6:Z3841778050;
O=c1cncc[nH]1,938,56:05600:0:Z2655477151;56:05600:3:Z4589725183;56:05600:4:Z1672561782;
c1[nH]cc2c1CCCC2,220,56:05600:0:Z3469300256;56:05600:6:Z4352236079;56:05601:1:Z3578347534;
Cc1cc2ccccc2n1C,513,56:05600:0:Z2996006686;56:05600:3:Z3622943615;56:05600:4:Z2792741878;
O=C1NCCC12CCCN2,358,56:05600:0:Z2836599406;56:05600:4:Z2640760414;56:05601:1:Z2640759565;
CC1CCN(C)CCN1,383,56:05600:0:Z4613806635;56:05600:0:Z1289505961;56:05600:3:Z1191987636;
O=c1ccnc[nH]1,4301,56:05600:0:Z2915574956;56:05600:1:Z2497788492;56:05600:1:Z4238043081;
O=c1[nH]ncc2ccccc12,1591,56:05600:0:Z5007768379;56:05600:0:Z5007804283;56:05600:1:Z3612072020;
Fc1cccc2c1SCCC2,272,56:05600:0:Z3509753320;56:05601:3:Z397846974;56:05602:4:Z1028218330;
C1CNCC2(CC2)CN1,222,56:05600:0:Z5060677528;56:05600:3:Z5060670122;56:05601:0:Z5060655923;
Cc1ncsc1C,2681,56:05600:0:Z1654562392;56:05600:1:Z3475064444;56:05600:1:Z1506816175;
c1cnc2ccncc2c1,1202,56:05600:0:Z4329344724;56:05600:4:Z2348345092;56:05600:4:Z3484573291;
CC1CCC1(C)C,578,56:05600:0:Z2601346412;56:05600:0:Z2357745052;56:05600:2:Z1303353211;
C1CC2CCC2C1,5784,56:05600:0:Z4614986588;56:05600:0:Z4245512617;56:05600:0:Z4645049258;
O=C1NCCNCC1(F)F,345,56:05600:0:Z3174877607;56:05600:5:Z3391000369;56:05601:0:Z3105366950;
FC1(F)C2CCC1CNC2,370,56:05600:0:Z4157004889;56:05600:6:Z4153216536;56:05600:7:Z4457344703;
c1nnc2n1CCCCC2,2239,56:05600:0:Z3180217983;56:05600:0:Z2434070180;56:05600:0:Z2839049000;
O=S1(=O)CCC2CNCC2C1,325,56:05600:0:Z4216505844;56:05600:3:Z3095033884;56:05600:4:Z4230004912;
Cc1cc2nccc(C)n2n1,394,56:05600:0:Z3054603122;56:05600:0:Z240323192;56:05600:2:Z1577478990;
C1CCC2CC2CC1,1240,56:05600:0:Z3054603122;56:05600:2:Z3054596233;56:05600:2:Z2945985144;
Oc1ccc2c(c1)CCCC2,945,56:05600:0:Z2406784112;56:05600:1:Z3712252668;56:05600:2:Z4079988434;
C1=NOC2COCC12,1039,56:05600:0:Z4388070734;56:05600:0:Z4095148431;56:05600:2:Z3842809291;
FC1(F)CCCOCC1,442,56:05600:0:Z3598021067;56:05600:0:Z3569027728;56:05600:5:Z3784448706;
c1cnon1,425,56:05600:0:Z3651535808;56:05600:4:Z3580411051;56:05601:5:Z4277818645;
CC1CCS(=O)CCN1,351,56:05600:0:Z2055909028;56:05600:2:Z1870483662;56:05600:3:Z3788440181;
CC1CCCC1(C)C,532,56:05600:0:Z4076639894;56:05600:0:Z4911704022;56:05600:2:Z4911711629;
Cc1cc(C)c2c(c1)NCCO2,157,56:05600:0:Z3086128811;56:05600:2:Z4132582223;56:05600:9:Z2476578227;
Fc1cn[nH]c1,713,56:05600:0:Z4642502284;56:05600:2:Z4639010773;56:05600:5:Z5005060437;
CN1C(=O)CCc2ccccc21,1307,56:05600:0:Z1462743809;56:05600:0:Z2437119023;56:05600:1:Z3180255372;
c1cc2c(s1)COCC2,401,56:05600:0:Z2484952577;56:05600:1:Z2595341918;56:05600:1:Z1421815365;
CC1CCCCC1=O,426,56:05600:0:Z4240174021;56:05600:2:Z3640950423;56:05600:2:Z1743504829;
C1CCC2(C1)OCCO2,2278,56:05600:0:Z4240174021;56:05600:1:Z2870532331;56:05600:1:Z4240242393;
Cc1cnc(C)[nH]1,396,56:05600:0:Z4517144498;56:05600:6:Z3206052985;56:05600:6:Z3207865525;
Clc1ccsn1,297,56:05600:0:Z3634113549;56:05600:4:Z3671717362;56:05600:7:Z3357391048;
C1COC2(C1)CCOCC2,1745,56:05600:0:Z3634113549;56:05600:1:Z4112711708;56:05600:2:Z2979560173;
CN1CCC2CCNCC21,513,56:05600:0:Z4393022942;56:05600:2:Z4082326520;56:05600:5:Z4081525337;
Cn1nccc1O,677,56:05600:0:Z2625631530;56:05600:1:Z2962687409;56:05600:2:Z5047250988;
Cc1cc(C)c2c(c1)CNCC2,185,56:05600:0:Z1740707481;56:05600:9:Z3373263105;56:05601:1:Z2294301023;
Fc1ccncc1,459,56:05600:0:Z4268216816;56:05600:3:Z4481349069;56:05600:3:Z4268205666;
Clc1csc2cccnc12,175,56:05600:0:Z3543626018;56:05600:3:Z4051788227;56:05601:3:Z3503849510;
C1CC2CCC1CN2,2580,56:05600:0:Z3775656076;56:05600:1:Z3131932819;56:05600:1:Z4250625317;
c1cc2scnc2cn1,324,56:05600:0:Z3580467377;56:05600:3:Z2229050214;56:05601:4:Z4960066406;
Cn1ncc2c1CCCC2,2297,56:05600:0:Z2785227638;56:05600:1:Z1986085884;56:05600:2:Z4118166264;
Cc1cccc2[nH]cnc12,519,56:05600:0:Z3526825645;56:05600:2:Z1704291972;56:05600:6:Z4014813064;
CN1CCC2(CCNCC2)C1=O,321,56:05600:0:Z4559659320;56:05600:5:Z2917783861;56:05600:8:Z1888431291;
Oc1ccnc2ccccc12,358,56:05600:0:Z1520095413;56:05600:0:Z4139664167;56:05600:4:Z2961186762;
Cc1cccc(C)c1O,726,56:05600:0:Z4107331024;56:05600:1:Z912714632;56:05600:2:Z1816250562;
Cc1ccc2[nH]cnc2c1,929,56:05600:0:Z3361662466;56:05600:1:Z3552945251;56:05600:2:Z2362358606;
C1CC2(CCS1)CNC2,454,56:05600:0:Z3186845430;56:05600:2:Z3610880150;56:05600:8:Z3435118111;
c1n[nH]c2c1CCC2,2001,56:05600:0:Z2045217606;56:05600:0:Z4135242825;56:05600:0:Z3816595727;
CC1(C)CCNCCS1=O,375,56:05600:0:Z2297938716;56:05600:2:Z2274193106;56:05600:5:Z3009020557;
C1=Cc2ccccc2CC1,638,56:05600:0:Z2297938716;56:05600:1:Z1852378495;56:05600:6:Z3582634064;
Nc1ncnc(N)n1,265,56:05600:0:Z135091418;56:05600:1:Z153408778;56:05600:3:Z2698975018;
c1[nH]nc2c1CNCCC2,342,56:05600:0:Z3601743229;56:05601:0:Z2608364369;56:05601:5:Z4128789679;
c1cc2nc[nH]c2cn1,377,56:05600:0:Z4186844608;56:05600:8:Z2964970433;56:05601:0:Z4294035570;
Cc1cc(C)ncn1,3613,56:05600:0:Z2473130997;56:05600:0:Z2879610225;56:05600:0:Z2497760621;
C1CNC2CCCN2C1,225,56:05600:0:Z4268469681;56:05601:7:Z4220079766;56:05601:8:Z4220093517;
Oc1cccc2c1CCCC2,438,56:05600:0:Z1669609095;56:05600:0:Z2160274745;56:05600:1:Z3363025392;
CC1CCCC(C)N1,2586,56:05600:0:Z4608817505;56:05600:0:Z3048687407;56:05600:1:Z4643494200;
CC1CCNCC1(C)O,727,56:05600:0:Z4590263100;56:05600:0:Z4403531297;56:05600:5:Z4601673552;
C1CC2CCC(C1)S2,1145,56:05600:0:Z2871898934;56:05600:2:Z2977847007;56:05600:3:Z2977939573;
CN1CC2(CCNC2)C1,302,56:05600:0:Z4171729786;56:05600:0:Z3198310493;56:05600:0:Z4262335565;
O=C1CCCC12CCNCC2,248,56:05600:0:Z4350369340;56:05600:9:Z2646739736;56:05601:7:Z2851517929;
Cc1ncc2cnn(C)c2n1,230,56:05600:0:Z2615378708;56:05600:0:Z2615376854;56:05601:9:Z2479755858;
CN1CCc2ccccc2C1=O,793,56:05600:0:Z2626520723;56:05600:0:Z3843996149;56:05600:0:Z1422695010;
Cc1cc(C)sn1,842,56:05600:0:Z2647221674;56:05600:0:Z4466090861;56:05600:3:Z2298807835;
CN1CCC2NCCC2C1,363,56:05600:0:Z3841184364;56:05600:2:Z3842897753;56:05600:5:Z4491967359;
C1CC2CNC1CN2,538,56:05600:0:Z3113905024;56:05600:0:Z2378819841;56:05600:1:Z5008509192;
CN1CCNCCC1=O,284,56:05600:0:Z2715594172;56:05600:3:Z2646320313;56:05601:4:Z2646323255;
C1OCC2CC12,2609,56:05600:0:Z2876364432;56:05600:0:Z1948515373;56:05600:1:Z3661285889;
OC1CCNC12CCCC2,323,56:05600:0:Z2701916335;56:05601:1:Z2231209652;56:05601:3:Z2214839795;
O=C1NCCCC1(F)F,489,56:05600:0:Z3568456964;56:05600:1:Z3575735234;56:05600:4:Z3621600830;
c1nc2c([nH]1)CCOC2,362,56:05600:0:Z3598450082;56:05600:0:Z3093060775;56:05600:1:Z3598454840;
CC1Cc2ccccc2C1,909,56:05600:0:Z2635453892;56:05600:2:Z2635453638;56:05600:2:Z4267741247;
CC1CNc2cccnc21,265,56:05600:0:Z4096481341;56:05600:1:Z4132981556;56:05600:6:Z4132972544;
CC1(C)CC1N,210,56:05600:0:Z4065489345;56:05601:2:Z4003880096;56:05601:2:Z3550448010;
CC1CCC(C)C1,489,56:05600:0:Z3296750899;56:05600:3:Z4408322754;56:05600:4:Z1369848735;
Cn1ccncc1=O,745,56:05600:0:Z4083464529;56:05600:1:Z1578917928;56:05600:2:Z2861786091;
C1CC2(CCNC2)CN1,321,56:05600:0:Z2362521118;56:05600:1:Z2439154800;56:05600:1:Z2439148912;
O=c1cnc2ccccc2[nH]1,666,56:05600:0:Z1737960059;56:05600:0:Z4322862724;56:05600:3:Z3194185573;
c1cnc2nc[nH]c2c1,191,56:05600:0:Z2972215541;56:05600:1:Z4017062282;56:05600:1:Z4223270460;
OC1CCCCC12CCCNC2,201,56:05600:0:Z3533426613;56:05601:8:Z3640918368;56:05602:2:Z3640917057;
O=c1[nH]cnc2[nH]ncc12,361,56:05600:0:Z4236383436;56:05600:1:Z1083966214;56:05600:1:Z4026746902;
O=c1cc[nH]c2ncnn12,27,56:05600:0:Z1513952549;56:05601:0:Z1607349610;56:05602:5:Z1513949856;
CC1(C)OCc2cn[nH]c21,260,56:05600:0:Z3298301599;56:05600:0:Z3298292714;56:05600:0:Z3293362346;
CC1CCC(=O)N1,1602,56:05600:0:Z2310861549;56:05600:0:Z1844185500;56:05600:0:Z1286567976;
CN1CCCC12CCNCC2,239,56:05600:0:Z3542818683;56:05600:1:Z1613883588;56:05600:7:Z1613882883;
Oc1c(F)cccc1F,502,56:05600:0:Z3542818683;56:05600:2:Z3869499548;56:05600:3:Z3706680359;
Cc1c(Cl)cnn1C,576,56:05600:0:Z4960871779;56:05600:6:Z4476859977;56:05600:6:Z3504884469;
c1ccc2c(c1)CCC21CNCCO1,103,56:05600:0:Z1817322204;56:05600:2:Z2612298940;56:05601:5:Z3541906650;
O=c1[nH]nc2n1CCCCC2,365,56:05600:0:Z3540962339;56:05600:2:Z2975013243;56:05600:3:Z1353350088;
Cc1cn2cc(Cl)nc2s1,210,56:05600:0:Z4267881300;56:05600:0:Z4267940208;56:05600:0:Z4266904482;
O=c1nc[nH][nH]1,835,56:05600:0:Z2442494856;56:05600:2:Z2456495114;56:05600:5:Z2027285441;
CC1(F)CCNC1,518,56:05600:0:Z4223331490;56:05600:2:Z4223320346;56:05601:5:Z4223295427;
Clc1ccc2c(c1)OCCCC2,186,56:05600:0:Z2812132713;56:05600:0:Z2920160646;56:05600:0:Z2615821170;
OC1CCCCC1O,496,56:05600:0:Z4402366300;56:05600:1:Z3205180960;56:05600:2:Z4477028747;
CC1(C)CCCCC1,3875,56:05600:0:Z3819188627;56:05600:0:Z3787565919;56:05600:0:Z4472688885;
CC1=CC(C)(C)CCC1,114,56:05600:0:Z4999193542;56:05601:1:Z4999313610;56:05601:9:Z4999229073;
CC1(C)CCNC1,7108,56:05600:0:Z3885798932;56:05600:0:Z4065704638;56:05600:0:Z4065704665;
Cc1ccc2ccc(F)cc2n1,355,56:05600:0:Z4576360010;56:05600:1:Z1250641732;56:05601:4:Z1852524203;
C1CC2CNCCN2C1,912,56:05600:0:Z2656426291;56:05600:2:Z3351693256;56:05600:3:Z3099917660;
C1CNC2CC2C1,2079,56:05600:0:Z3601363499;56:05600:0:Z2295359571;56:05600:1:Z3051937746;
CN1CCCC12CCCC2,367,56:05600:0:Z4444590248;56:05600:2:Z3701935594;56:05600:3:Z4127131128;
CN1C(=O)NC2CNCCC21,355,56:05600:0:Z4960125627;56:05600:1:Z4835150815;56:05600:1:Z4869831843;
Cn1ncc2c1CCC2,442,56:05600:0:Z4960125627;56:05600:0:Z4959585838;56:05600:3:Z4954043068;
NC1CCCNCC1,189,56:05600:0:Z4055912927;56:05600:2:Z3829715811;56:05600:3:Z3699822640;
O=C1CCc2ccccc21,3007,56:05600:0:Z2361118855;56:05600:0:Z2295491199;56:05600:1:Z5001314354;
Cc1cncc(=O)[nH]1,53,56:05600:0:Z3181336858;56:05600:2:Z4236502169;56:05604:1:Z4236502774;
Cc1cccc2c1OCCC2,1365,56:05600:0:Z2634900764;56:05600:0:Z3865843149;56:05600:0:Z3864773382;
C1CC2CNCC1N2,757,56:05600:0:Z2634900764;56:05600:1:Z2838712104;56:05600:3:Z2607434509;
c1cc2scnc2[nH]1,180,56:05600:0:Z4486298051;56:05600:2:Z4491466371;56:05602:2:Z4484079430;
Cc1ncno1,6439,56:05600:0:Z3648826000;56:05600:0:Z4304624309;56:05600:0:Z3470145896;
Cc1ccc2c(ccn2C)c1,81,56:05600:0:Z4087694449;56:05600:2:Z4518339177;56:05603:1:Z4423929893;
CN1CCCNCCC1,204,56:05600:0:Z4218349564;56:05600:2:Z4218322135;56:05600:2:Z4218386107;
OC1C2CCC(C2)C1O,983,56:05600:0:Z4326886607;56:05600:2:Z4292265026;56:05600:3:Z4093927285;
CC1CCNCC1O,757,56:05600:0:Z1580301478;56:05601:0:Z3603176756;56:05601:0:Z3603167757;
CC1(C)OC2CNCC2O1,370,56:05600:0:Z4615273422;56:05600:3:Z4609295901;56:05600:6:Z4612179112;
Cc1ncn[nH]1,4638,56:05600:0:Z4106184005;56:05600:0:Z2313463134;56:05600:0:Z2877327856;
CC1CCOC(C)CN1,342,56:05600:0:Z3060675224;56:05600:0:Z3060675496;56:05600:5:Z3091247667;
Cc1cc(F)cc(F)c1,631,56:05600:0:Z3809504903;56:05600:8:Z2962985652;56:05601:3:Z2721300213;
c1nnn2c1COC1CNCC12,199,56:05600:0:Z4456115766;56:05600:2:Z4456113948;56:05600:3:Z4451474719;
CC1CNCCS(=O)C1,388,56:05600:0:Z2928212131;56:05601:6:Z1874528760;56:05601:8:Z4059971120;
c1nc2c(s1)CCC2,2379,56:05600:0:Z2928212131;56:05600:0:Z2921288522;56:05600:1:Z1535345704;
CN1C2CCCC1CNCC2,207,56:05600:0:Z4350797324;56:05600:2:Z4876389543;56:05600:2:Z4277690585;
C1CC2(CN1)COC2,1196,56:05600:0:Z3597546455;56:05600:0:Z4118334607;56:05600:2:Z2275848833;
Cc1cnccc1Cl,453,56:05600:0:Z4182709892;56:05600:1:Z4152639190;56:05600:5:Z4105414242;
Cc1nccc(N)n1,673,56:05600:0:Z3808897473;56:05600:0:Z2804179883;56:05600:0:Z4451254293;
Cn1nc(O)c2c1CNCC2,295,56:05600:0:Z3053520163;56:05600:2:Z4251045742;56:05600:5:Z2994556324;
O=S1(=O)NCCOc2ccccc21,23,56:05600:0:Z3500335582;56:05604:3:Z3500334443;56:05605:7:Z3500334827;
c1nc2c(s1)CCCCCC2,112,56:05600:0:Z2266873176;56:05600:0:Z2068019828;56:05602:1:Z3594544705;
c1ccc2[nH]nnc2c1,3289,56:05600:0:Z4187620303;56:05600:0:Z3625025670;56:05600:0:Z3704431633;
CC1(C)CCCS1(=O)=O,872,56:05600:0:Z3324539115;56:05600:1:Z3314004131;56:05600:1:Z3357857876;
C1=CCNC1,1343,56:05600:0:Z2308961851;56:05600:3:Z4224002178;56:05600:3:Z4387141417;
c1ncc2cn[nH]c2n1,943,56:05600:0:Z1554645219;56:05600:1:Z1124154086;56:05600:2:Z1272510113;
Cn1ccc2c1CNCC2,192,56:05600:0:Z4328445684;56:05600:2:Z4328452383;56:05600:3:Z4328436766;
Cc1nnc[nH]1,3956,56:05600:0:Z1765155441;56:05600:0:Z2497904410;56:05600:0:Z2025258574;
Clc1ccc2[nH]ccc2c1,1385,56:05600:0:Z1954276989;56:05600:0:Z4055354763;56:05600:2:Z2014279550;
O=C1NCCCc2cc[nH]c21,317,56:05600:0:Z4253627479;56:05600:2:Z4255906843;56:05600:8:Z3627803197;
C1CCC2CCCCC2C1,766,56:05600:0:Z2065575188;56:05600:1:Z1517150769;56:05600:2:Z4289237165;
Cn1cnc2cccnc21,1025,56:05600:0:Z4002462430;56:05600:3:Z2098360799;56:05600:4:Z1625400099;
CN1C(=O)CCOc2ccccc21,242,56:05600:0:Z3640837243;56:05600:0:Z3626830340;56:05600:7:Z3509082075;
C1CC2CC2N1,1647,56:05600:0:Z3522058460;56:05600:0:Z1334278268;56:05600:1:Z4082396212;
c1ncc2c(n1)CCC2,1119,56:05600:0:Z2701603091;56:05600:0:Z2093513107;56:05600:0:Z1665976843;
c1cc2sccc2o1,531,56:05600:0:Z4248172460;56:05600:0:Z2771292681;56:05600:0:Z2122260083;
CC1CC(F)(F)CCN1,353,56:05600:0:Z3313376093;56:05600:3:Z2699660779;56:05600:8:Z2704964559;
O=S1(=O)NC=Nc2cccc(F)c21,82,56:05600:0:Z3313376093;56:05602:6:Z4084244714;56:05602:8:Z3653107504;
c1cc2c(cn1)CCCC2,1948,56:05600:0:Z4209059107;56:05600:1:Z3383454130;56:05600:1:Z2012874262;
CC1CCNCCS1=O,356,56:05600:0:Z4139664167;56:05600:2:Z1867075280;56:05600:3:Z1867071434;
c1ncc2c(n1)COC2,170,56:05600:0:Z2821716044;56:05600:7:Z3342014718;56:05600:8:Z5023308043;
CC1CCc2sccc2C1,201,56:05600:0:Z1391615501;56:05600:2:Z1657328102;56:05601:3:Z3091735619;
CN1CCNC(C)(C)C1=O,331,56:05600:0:Z1391615501;56:05600:2:Z4116331078;56:05601:1:Z4289335707;
c1cc2n(n1)CCOC2,1122,56:05600:0:Z4225720327;56:05600:1:Z2969063096;56:05600:1:Z3609053374;
Cc1sc2nc[nH]c(=O)c2c1C,511,56:05600:0:Z1780185114;56:05600:0:Z2996478145;56:05600:3:Z3310157376;
O=c1cc[nH][nH]1,1434,56:05600:0:Z2961516807;56:05600:0:Z4385352317;56:05600:1:Z4092031150;
CC1COC2(CCNCC2)O1,402,56:05600:0:Z2349204113;56:05600:0:Z2624833716;56:05600:4:Z3785049196;
C1NCC2C1C1COCC21,254,56:05600:0:Z2780707765;56:05600:1:Z2704227259;56:05601:1:Z2705637273;
O=C1CCCc2sccc21,376,56:05600:0:Z2297758945;56:05600:2:Z5005006232;56:05600:2:Z2860100747;
CC1CCNCC1C,685,56:05600:0:Z1557595539;56:05600:1:Z1554324336;56:05600:1:Z2018958466;
Cc1cn2c(n1)CCCC2,1812,56:05600:0:Z1390020143;56:05600:0:Z986614272;56:05600:1:Z2700501065;
Cc1c(Cl)cccc1Cl,223,56:05600:0:Z4985203600;56:05600:1:Z4353163785;56:05601:4:Z4080635545;
O=S1(=O)CCC12CCNCC2,482,56:05600:0:Z4985203600;56:05600:1:Z3385192622;56:05600:2:Z3836405707;
C1CNC2CCC2C1,1088,56:05600:0:Z2996478145;56:05600:1:Z4352809204;56:05600:1:Z4420634032;
O=C1CCc2cc(F)ccc2N1,218,56:05600:0:Z4258962941;56:05600:1:Z3602794719;56:05600:3:Z1724589666;
c1ncc2c(n1)CNC2,667,56:05600:0:Z4961259300;56:05600:1:Z2499944576;56:05600:1:Z4394356952;
CC1(C)CNCc2ccccc2O1,180,56:05600:0:Z4026004801;56:05600:1:Z2373753584;56:05600:1:Z2801703344;
Nc1cncnc1N,24,56:05600:0:Z4026004801;56:05601:0:Z4025938795;56:05603:1:Z4024871421;
Cc1c[nH]c2cc(F)cc(F)c12,122,56:05600:0:Z3650659443;56:05600:0:Z3650511876;56:05600:0:Z3575763073;
Cc1ccc(C)c(C)c1,1463,56:05600:0:Z1204814406;56:05600:0:Z3944539369;56:05600:1:Z4906184531;
c1cnn2cccc2c1,466,56:05600:0:Z3861999653;56:05600:3:Z3606958918;56:05600:4:Z2187401849;
c1occ2c1CCC2,332,56:05600:0:Z2069832118;56:05600:2:Z2883504185;56:05600:4:Z3603442171;
CC1(C)CNCC2(CCOC2)O1,293,56:05600:0:Z3783518478;56:05600:1:Z2277213693;56:05600:5:Z2627571970;
c1cc2c(cn1)CCC2,1637,56:05600:0:Z4614271943;56:05600:1:Z4421151904;56:05600:1:Z3595460992;
c1cc2c(s1)CCC2,1223,56:05600:0:Z2950038798;56:05600:0:Z2072633756;56:05600:1:Z1442235348;
CC1CNCC(C)(C)C1,232,56:05600:0:Z4058749128;56:05600:7:Z4058750181;56:05600:9:Z4173139855;
O=S1(=O)CCC2(CCNC2)CC1,474,56:05600:0:Z4058749128;56:05600:1:Z3700952516;56:05600:8:Z3104511320;
c1nnn2c1CNCC2,648,56:05600:0:Z2494616000;56:05600:2:Z2494759354;56:05600:2:Z3516048467;
C1CCC2OCCNC2C1,519,56:05600:0:Z1514460057;56:05600:1:Z994251326;56:05600:2:Z1798368515;
c1cc2n(n1)CC1(CC1)C2,262,56:05600:0:Z3646102119;56:05600:1:Z4460107183;56:05600:7:Z3666605703;
CC1CCC2(CCNC2)C1,247,56:05600:0:Z2371535677;56:05600:3:Z4303437360;56:05600:4:Z2358804885;
C1CC2CCC(C2)N1,247,56:05600:0:Z3880322042;56:05600:4:Z3787448177;56:05601:4:Z4039791788;
O=C1NCCc2ccncc21,349,56:05600:0:Z3544228899;56:05600:2:Z4272665104;56:05600:4:Z4264819736;
Cc1cc2c(cn1)CCN2,245,56:05600:0:Z4132604384;56:05600:1:Z3627621863;56:05601:1:Z3627617100;
FC1(F)C2CCCC1CC2,454,56:05600:0:Z4909337717;56:05600:0:Z4508528962;56:05600:3:Z4907618195;
C1CC2(CCN1)CCOC2,1663,56:05600:0:Z1535784017;56:05600:1:Z3623340311;56:05600:2:Z4962481120;
CC1(C)CCCCO1,5152,56:05600:0:Z5055477039;56:05600:0:Z3514142216;56:05600:0:Z3538531868;
O=c1[nH]nc2ccccn12,1452,56:05600:0:Z5055477039;56:05600:1:Z2442509998;56:05600:2:Z4232385201;
O=c1[nH]cn[nH]1,2031,56:05600:0:Z3311902477;56:05600:1:Z2851729270;56:05600:2:Z2913580595;
C1CSC2(C1)CNC2,229,56:05600:0:Z3435454366;56:05600:3:Z3597389924;56:05600:4:Z3344347036;
Cc1cc(C)cc(F)c1,742,56:05600:0:Z4590088192;56:05600:3:Z2629276744;56:05600:3:Z4876322152;
CC1CCNC1=O,118,56:05600:0:Z3637693022;56:05602:7:Z3537679109;56:05603:0:Z2610766933;
CC1=CSCCO1,705,56:05600:0:Z2118866760;56:05600:0:Z3204240526;56:05600:2:Z4256078317;
Cc1cc(C)nc(C)c1,746,56:05600:0:Z2835049693;56:05600:0:Z4097259022;56:05600:2:Z2780593903;
C1COCC2(C1)CCCO2,474,56:05600:0:Z3592804529;56:05600:1:Z4611451310;56:05600:3:Z3592804469;
Fc1ccc2occc2c1,1649,56:05600:0:Z3627039069;56:05600:0:Z2453842959;56:05600:1:Z1738688333;
Cc1ccc2c(n1)CCCC2,419,56:05600:0:Z3808303901;56:05601:2:Z3588139192;56:05601:4:Z4209562773;
Cc1cnn2c1CNCC2,376,56:05600:0:Z3808303901;56:05600:1:Z4112257101;56:05600:3:Z3783351839;
Cc1cc(C)n2ccnc2n1,344,56:05600:0:Z3320956899;56:05600:8:Z1668780724;56:05601:2:Z3346614599;
O=C1NCCC2CCNCC12,386,56:05600:0:Z3320956899;56:05600:0:Z3568219364;56:05600:2:Z3320958704;
CC1CC2(CC2)C1,312,56:05600:0:Z3531773815;56:05600:3:Z3539232190;56:05600:6:Z3595411101;
O=C1CC2CCCC2CN1,121,56:05600:0:Z3639783658;56:05601:0:Z3639564830;56:05601:0:Z3639546850;
Cc1ccn2nccc2c1,270,56:05600:0:Z1556699619;56:05600:5:Z2304391262;56:05600:6:Z1556693970;
Cc1nc2ccccc2s1,1729,56:05600:0:Z4000649911;56:05600:1:Z3346708157;56:05600:2:Z1856233991;
C1NCC2CNCC12,1122,56:05600:0:Z3665959268;56:05600:2:Z3516295218;56:05600:3:Z2853966594;
C1CCC2(CC2)NC1,2510,56:05600:0:Z4094353803;56:05600:0:Z3057094789;56:05600:1:Z3625714191;
Cc1noc2ncccc12,1296,56:05600:0:Z2802892699;56:05600:1:Z2097777539;56:05600:2:Z3509873857;
CN1CCC2CNCCC21,413,56:05600:0:Z2802892699;56:05600:1:Z3095073951;56:05600:3:Z2802883871;
Clc1cnn2c1CNCC2,360,56:05600:0:Z3322196309;56:05600:3:Z3385504737;56:05600:5:Z5001325430;
Cc1cnc(C)nc1,515,56:05600:0:Z4867235442;56:05600:2:Z2506320663;56:05600:2:Z4172479606;
Fc1cc(F)cc(Cl)c1,348,56:05600:0:Z4867235442;56:05600:1:Z1969704163;56:05600:3:Z1589873644;
FC1(F)CC12CNCCOC2,364,56:05600:0:Z4870031362;56:05600:1:Z4574472204;56:05600:4:Z4580014113;
CC1CN2CCCC2CN1,406,56:05600:0:Z2295491199;56:05600:1:Z1193240626;56:05600:3:Z1196639724;
c1nc2c([nH]1)CNCC2,417,56:05600:0:Z2234743291;56:05600:0:Z3670032552;56:05600:3:Z3200855927;
CC1CCCS1(=O)=O,683,56:05600:0:Z2719783297;56:05600:2:Z2700822289;56:05600:6:Z4178632151;
c1ccc2c(c1)COCCN2,579,56:05600:0:Z4165381805;56:05600:1:Z4164848730;56:05600:5:Z4103762807;
CC1CCC(F)(F)CN1,262,56:05600:0:Z4557674584;56:05601:1:Z3057060673;56:05601:2:Z3174801726;
OC1CC2CCC(C1)N2,529,56:05600:0:Z3627229076;56:05600:1:Z3435478221;56:05600:2:Z3438142991;
C1CCC2COCCC2C1,988,56:05600:0:Z4023047392;56:05600:2:Z3561146402;56:05600:2:Z4023181794;
CC1(C)CC1(C)C,801,56:05600:0:Z2701655328;56:05600:1:Z1366386614;56:05600:3:Z2642731051;
C1CC2(CCO1)CNC2,2041,56:05600:0:Z3898920925;56:05600:1:Z2584160875;56:05600:1:Z4996501232;
C1CC2CCC(CN1)N2,1173,56:05600:0:Z2364589101;56:05600:0:Z2862354678;56:05600:0:Z3365029666;
C1CC2NCCOC2C1,656,56:05600:0:Z3575763073;56:05600:1:Z5012910331;56:05600:2:Z2718902180;
C1COCCC2(CC2)N1,197,56:05600:0:Z3627504104;56:05600:1:Z3627505292;56:05600:3:Z3622231854;
C1CN2CCC(C2)N1,370,56:05600:0:Z3201706825;56:05600:1:Z4317122039;56:05600:2:Z2640788345;
Cc1cc(=O)n2ncsc2n1,376,56:05600:0:Z1929719547;56:05600:2:Z1603271000;56:05600:4:Z1994159247;
CC1CNCC2(CCOC2C)O1,245,56:05600:0:Z1929719547;56:05600:9:Z1930725584;56:05601:6:Z2479164147;
CC1Cc2ccccc2CN1,562,56:05600:0:Z1260484714;56:05600:1:Z4643226680;56:05600:2:Z3093822316;
CC1(O)CCC1,760,56:05600:0:Z3697979165;56:05600:4:Z3694947294;56:05600:5:Z3608364013;
Cc1ccc2ccccc2n1,2442,56:05600:0:Z4187659175;56:05600:0:Z4187655146;56:05600:0:Z3060675496;
Cc1ccc2c(c1F)NCCC2,65,56:05600:0:Z4132422214;56:05601:4:Z2326382383;56:05602:0:Z4132421320;
