fragment_smiles,occurences,example_ligands
Cc1ccccc1,95064,2:00200:0:Z2720867685;2:00200:0:Z3670170180;2:00200:0:Z3321546293;
CC1CCCO1,21305,2:00200:0:Z3540175090;2:00200:0:Z1964399328;2:00200:0:Z3570864701;
Clc1cccc(Cl)c1,12110,2:00200:0:Z3540175090;2:00200:0:Z46161324;2:00200:0:Z2358889589;
Cc1cnc2ccnn2c1,270,2:00200:0:Z4472899851;2:00201:0:Z4449068751;2:00201:1:Z4472901695;
c1c[nH]cn1,67858,2:00200:0:Z4472899851;2:00200:0:Z3321546293;2:00200:0:Z3791910139;
Cc1nccs1,16662,2:00200:0:Z3080751451;2:00200:0:Z1590341192;2:00200:0:Z3322870411;
CC1CNc2ccccc2C1,185,2:00200:0:Z3080751451;2:00200:0:Z3609009628;2:00200:0:Z3231133778;
C1CSCN1,5170,2:00200:0:Z4291301383;2:00200:0:Z3604289824;2:00200:0:Z3857120240;
O=c1ccc(Cl)n[nH]1,625,2:00200:0:Z4291301383;2:00200:2:Z2792649859;2:00200:9:Z4984791843;
Cc1ccccc1F,10981,2:00200:0:Z2763165527;2:00200:0:Z2684595837;2:00200:0:Z2282855410;
c1ncon1,105955,2:00200:0:Z2763165527;2:00200:0:Z1675302806;2:00200:0:Z1682355136;
C1CCCC1,124149,2:00200:0:Z2458244172;2:00200:0:Z4913393949;2:00200:0:Z3471033835;
C1CCOCC1,113321,2:00200:0:Z4462756410;2:00200:0:Z4462756312;2:00200:0:Z2911401582;
ClC1=CCC1,610,2:00200:0:Z4471797571;2:00200:4:Z4320244027;2:00200:6:Z4317330124;
C1CCNCC1,257488,2:00200:0:Z3168132046;2:00200:0:Z2851605824;2:00200:0:Z3516733648;
CC1CCNC(=O)C1,1732,2:00200:0:Z3168132046;2:00200:0:Z1998088541;2:00200:0:Z3666761162;
c1nc[nH]n1,40713,2:00200:0:Z4913393949;2:00200:0:Z3297643775;2:00200:0:Z1481732534;
c1cc2n(n1)CCCC2,5268,2:00200:0:Z1494903317;2:00200:0:Z4275202983;2:00200:0:Z4275202985;
CC1=NOC(C)C1,1071,2:00200:0:Z3656867956;2:00200:2:Z3656865369;2:00200:3:Z2996190493;
Cc1ncc[nH]1,8191,2:00200:0:Z3656867956;2:00200:0:Z3561262606;2:00200:0:Z4421553017;
NC1CCCC1,7081,2:00200:0:Z3697686212;2:00200:0:Z2605763106;2:00200:0:Z2354432292;
c1ccncc1,249517,2:00200:0:Z3697686212;2:00200:0:Z2605763106;2:00200:0:Z3358032636;
C1COC2(C1)CCC2,4811,2:00200:0:Z3670170180;2:00200:0:Z2960833925;2:00200:0:Z3627929090;
C1CC2COC(C1)C2,3184,2:00200:0:Z3697101774;2:00200:0:Z3817861981;2:00200:0:Z3531144005;
Cc1nncs1,7275,2:00200:0:Z3835605152;2:00200:0:Z2648492477;2:00200:0:Z1699939329;
