fragment_smiles,occurences,example_ligands
C1CCNCC1,310056,76:07600:0:PV-003397965879;76:07600:0:PV-002845967061;76:07600:0:PV-001738827351;
Cn1ncc2ccccc21,1287,76:07600:0:PV-003397965879;76:07600:0:PV-003397974155;76:07600:0:PV-003397988512;
Cc1ccns1,13353,76:07600:0:PV-003397965905;76:07600:0:PV-005198322234;76:07600:0:PV-005198322235;
Cc1ccon1,22544,76:07600:0:PV-003397965905;76:07600:0:PV-003397968520;76:07600:0:PV-003397969262;
OC1CCCC1,24844,76:07600:0:PV-003397965911;76:07600:0:PV-003397965948;76:07600:0:PV-003397966049;
Clc1ncc[nH]1,4715,76:07600:0:PV-003397965911;76:07600:0:PV-002845969423;76:07600:0:PV-005198251655;
CN1CCCCC1,18152,76:07600:0:PV-003397965930;76:07600:0:PV-005198292485;76:07600:0:PV-005198303346;
Cc1cccnc1C,2619,76:07600:0:PV-003397965930;76:07600:0:PV-002845975172;76:07600:1:PV-005198522990;
C1NC2CNC1C2,12677,76:07600:0:PV-003397965931;76:07600:0:PV-003397968306;76:07600:0:PV-000503520470;
c1cc2n(c1)CCSC2,635,76:07600:0:PV-003397965931;76:07600:1:PV-003398007114;76:07600:2:PV-003398033848;
Clc1ccn[nH]1,1275,76:07600:0:PV-002845967061;76:07600:0:PV-005198244276;76:07600:2:PV-002106107814;
Cc1cccc(O)c1,3209,76:07600:0:PV-002157850993;76:07600:0:PV-003397985457;76:07600:0:PV-002416602650;
CN1CCc2ccccc2C1,191,76:07600:0:PV-002157850993;76:07600:1:PV-002157853882;76:07604:9:PV-002364953369;
C1CNCCNC1,18036,76:07600:0:PV-002845967066;76:07600:0:PV-000405777008;76:07600:0:PV-002845967577;
c1cc2ccsc2s1,1177,76:07600:0:PV-002845967067;76:07600:0:PV-002845967068;76:07600:0:PV-002845967069;
c1ccc2c(c1)CNCC21CC1,61,76:07600:0:PV-002845967070;76:07604:3:PV-005202726145;76:07604:5:PV-005202892882;
Cc1cnccc1F,59,76:07600:0:PV-002845967070;76:07600:5:PV-003398155548;76:07600:7:PV-002846061426;
c1ccc2[nH]ccc2c1,10622,76:07600:0:PV-003397965965;76:07600:0:PV-003397967566;76:07600:0:PV-003397968774;
c1cc2c(cn1)CCO2,103,76:07600:0:PV-003397965965;76:07600:2:PV-002845994599;76:07601:4:PV-003398453603;
Cc1cccnc1,22875,76:07600:0:PV-001738827351;76:07600:0:PV-001399891040;76:07600:0:PV-001790289568;
C1CC2(CC2)CN1,12166,76:07600:0:PV-003397965993;76:07600:0:PV-005198259085;76:07600:0:PV-005198362013;
CC1(C)CC1,35881,76:07600:0:PV-003397965993;76:07600:0:PV-002209597136;76:07600:0:PV-003397966511;
c1ccnnc1,22953,76:07600:0:PV-002571845447;76:07600:0:PV-003397967935;76:07600:0:PV-000584330049;
C1CC2(CCO1)CC2,865,76:07600:0:PV-002571845447;76:07600:0:PV-005198375352;76:07600:1:PV-003398014205;
Cc1cnc(N)nc1C,117,76:07600:0:PV-003397966046;76:07600:8:PV-002846078099;76:07601:0:PV-002846111039;
Clc1ccon1,7464,76:07600:0:PV-003397966049;76:07600:0:PV-005198240843;76:07600:0:PV-005198274059;
CC1(C)CCCN1,19101,76:07600:0:PV-003397966070;76:07600:0:PV-002845968008;76:07600:0:PV-003397971141;
C1CC2CCCN2C1,1255,76:07600:0:PV-002845967120;76:07600:0:PV-002845977104;76:07600:0:PV-002845977105;
c1cnc2cc[nH]c2c1,3174,76:07600:0:PV-002845967125;76:07600:1:PV-003398005664;76:07600:1:PV-003398024149;
c1ncc2c(n1)CCCC2,422,76:07600:0:PV-002845967132;76:07600:1:PV-002845979488;76:07600:1:PV-002845979489;
CC1CCCNC1,37966,76:07600:0:PV-002845967135;76:07600:0:PV-002845967136;76:07600:0:PV-002845967137;
Clc1cc[nH]c1,8047,76:07600:0:PV-002845967135;76:07600:0:PV-002845967136;76:07600:0:PV-002845967137;
C1CCOC1,143632,76:07600:0:PV-002845967135;76:07600:0:PV-002845967136;76:07600:0:PV-002845967137;
Cc1nc[nH]n1,9956,76:07600:0:PV-003397966118;76:07600:0:PV-002845967422;76:07600:0:PV-003397967827;
CC1(C)CCCO1,3689,76:07600:0:PV-003397966118;76:07600:0:PV-005198240875;76:07600:0:PV-005198240876;
Cc1cnc2ccccn12,1191,76:07600:0:PV-003397966118;76:07600:0:PV-005198375910;76:07600:0:PV-003397986675;
c1cnc2ncccc2c1,1053,76:07600:0:PV-002845967139;76:07600:0:PV-002845967140;76:07600:0:PV-002845967141;
Cn1ccnc1,31595,76:07600:0:PV-002845967142;76:07600:0:PV-003397970324;76:07600:0:PV-002845969481;
Cc1cccs1,29982,76:07600:0:PV-002261349736;76:07600:0:PV-003397972455;76:07600:0:PV-005198272776;
Clc1cccn2nccc12,444,76:07600:0:PV-002261349736;76:07600:0:PV-002845973406;76:07601:6:PV-001472852569;
C1CC2(CCN1)CCNC2,1383,76:07600:0:PV-003397966191;76:07600:2:PV-001676103565;76:07600:2:PV-002845997552;
CC1(C)CCNC1,17390,76:07600:0:PV-003397966211;76:07600:0:PV-003397966941;76:07600:0:PV-003397969421;
OC1CCNC1,73109,76:07600:0:PV-003397966235;76:07600:0:PV-003397966236;76:07600:0:PV-003397966483;
c1cnsc1,68171,76:07600:0:PV-003397966238;76:07600:0:PV-003397966239;76:07600:0:PV-003397967097;
O=C1CNc2ccncc2N1,61,76:07600:0:PV-002845967193;76:07603:3:PV-002157920205;76:07604:6:PV-002571939299;
c1c[nH]cn1,65116,76:07600:0:PV-002845967193;76:07600:0:PV-003397966589;76:07600:0:PV-003397967367;
CC1(O)CCC1,4839,76:07600:0:PV-003397966253;76:07600:0:PV-003397966254;76:07600:0:PV-003397966847;
C1COCCO1,6792,76:07600:0:PV-003397966253;76:07600:0:PV-003397966254;76:07600:0:PV-003397968769;
CC1(C)CNCCN1,804,76:07600:0:PV-003397966297;76:07600:0:PV-005198327412;76:07600:0:PV-005198327413;
Cc1cccc(F)c1,10627,76:07600:0:PV-003397966298;76:07600:0:PV-002845968210;76:07600:0:PV-005198290855;
FC1(F)CC12CC2,2397,76:07600:0:PV-003397966298;76:07600:0:PV-005198255465;76:07600:1:PV-002845984969;
C1CC2(CN1)CNC2,10176,76:07600:0:PV-000276713040;76:07600:0:PV-002845967423;76:07600:0:PV-000278323215;
c1cn[nH]c1,168982,76:07600:0:PV-000276713040;76:07600:0:PV-002845967266;76:07600:0:PV-003397966832;
C1NCC2CC1C2,2319,76:07600:0:PV-003397966320;76:07600:2:PV-003398030356;76:07600:2:PV-003398062328;
Fc1ccc(Cl)cc1,4200,76:07600:0:PV-003397966320;76:07600:0:PV-002845968571;76:07600:0:PV-003397970433;
OC1CCC1,46741,76:07600:0:PV-003397966324;76:07600:0:PV-003397967255;76:07600:0:PV-001467710048;
C1CC2CC2C1,33623,76:07600:0:PV-003397966324;76:07600:0:PV-003397966517;76:07600:0:PV-003397969058;
Cn1cccc1,22007,76:07600:0:PV-002845967226;76:07600:0:PV-002845968379;76:07600:0:PV-005198271720;
c1nn[nH]n1,16122,76:07600:0:PV-002845967226;76:07600:0:PV-003397966452;76:07600:0:PV-002313099777;
CN1CCNC1=O,3699,76:07600:0:PV-002845967228;76:07600:0:PV-003397968592;76:07600:0:PV-003397970290;
c1cnc2c(c1)OCCO2,425,76:07600:0:PV-002157851019;76:07600:3:PV-005198598406;76:07600:7:PV-003398208823;
Cn1ccnn1,15917,76:07600:0:PV-003397966369;76:07600:0:PV-003397971893;76:07600:0:PV-005198320526;
C1CC2CCC1CN2,2770,76:07600:0:PV-003397966369;76:07600:0:PV-003397971089;76:07600:0:PV-005198239904;
Cc1ncc[nH]1,13944,76:07600:0:PV-001629538387;76:07600:0:PV-001638238995;76:07600:0:PV-001407480936;
Cc1nccs1,21223,76:07600:0:PV-001629538387;76:07600:0:PV-001638238995;76:07600:0:PV-001407480936;
O=C1CCCN1,51662,76:07600:0:PV-003397966398;76:07600:0:PV-003397966399;76:07600:0:PV-003397966400;
C1CCSCC1,22273,76:07600:0:PV-003397966398;76:07600:0:PV-003397966399;76:07600:0:PV-003397966400;
C1=CCNCC1,1740,76:07600:0:PV-003397966452;76:07600:0:PV-002845969389;76:07600:0:PV-003397971691;
CC1CCCCC1(F)F,483,76:07600:0:PV-002845967299;76:07600:4:PV-003398104320;76:07600:5:PV-003398141527;
c1ccc2c(c1)CCO2,6296,76:07600:0:PV-001599273712;76:07600:0:PV-002845968339;76:07600:0:PV-005198337120;
CC1=NOCC1,6418,76:07600:0:PV-003397966485;76:07600:0:PV-003397976629;76:07600:0:PV-003397985935;
C1CNCCN1,87949,76:07600:0:PV-003397966485;76:07600:0:PV-003397967286;76:07600:0:PV-003397967407;
c1ccc2nsnc2c1,2204,76:07600:0:PV-002845967307;76:07600:0:PV-002845967747;76:07600:0:PV-005198252919;
C1CN2CCC1C2,3197,76:07600:0:PV-003397966502;76:07600:0:PV-000498577434;76:07600:0:PV-003397984778;
C1CC2CNCC2N1,13497,76:07600:0:PV-003397966511;76:07600:0:PV-003397966512;76:07600:0:PV-003397967996;
CC1CCNC1,122011,76:07600:0:PV-001694088243;76:07600:0:PV-003397967017;76:07600:0:PV-003397967283;
Cc1n[nH]c(C)c1Cl,295,76:07600:0:PV-001694088243;76:07601:0:PV-005199363585;76:07601:3:PV-003398406565;
CC1(C)COCCN1,497,76:07600:0:PV-002845967327;76:07600:0:PV-005198379193;76:07600:1:PV-002845980601;
Clc1ccco1,21498,76:07600:0:PV-002845967333;76:07600:0:PV-003397967210;76:07600:0:PV-003397967628;
