fragment_smiles,occurences,example_ligands
CC1CN(C)CCO1,187,76:07600:1:PV-002845979764;76:07600:1:PV-002468350474;76:07600:5:PV-005198842498;
Oc1cccc2ccccc12,481,76:07600:1:PV-003397998000;76:07600:1:PV-002845980315;76:07600:2:PV-002846005989;
Cn1ccc2sccc21,432,76:07600:1:PV-003397998028;76:07600:4:PV-003398106978;76:07601:0:PV-003398339473;
Nc1cnccn1,3183,76:07600:1:PV-003397998332;76:07600:1:PV-002845987183;76:07600:1:PV-005198407948;
Cn1cncc1N,10,76:07600:1:PV-002845979991;76:07606:1:PV-005204517588;76:07614:9:PV-005213471534;
O=c1cc[nH]cc1,458,76:07600:1:PV-002468349113;76:07600:1:PV-002209600264;76:07600:2:PV-003398025328;
CC12CNCC1CSC2,410,76:07600:1:PV-003397998548;76:07600:1:PV-005198518401;76:07600:2:PV-003398026888;
c1ccc2n[nH]cc2c1,613,76:07600:1:PV-003397998588;76:07600:1:PV-005198516296;76:07600:2:PV-003398041975;
CC1(C)CC(N)CCO1,113,76:07600:1:PV-003397998680;76:07600:3:PV-005198591413;76:07600:5:PV-003398133055;
O=S1(=O)Cc2ccccc2C1,124,76:07600:1:PV-003397998707;76:07601:3:PV-002846147635;76:07602:0:PV-002846232581;
Cc1ccc2[nH]ncc2c1,609,76:07600:1:PV-003397998794;76:07600:1:PV-002845986030;76:07600:2:PV-003398036622;
O=c1[nH]nc2ccccn12,743,76:07600:1:PV-002845980124;76:07600:1:PV-002845984882;76:07600:1:PV-003398013281;
c1cc2scnc2cn1,544,76:07600:1:PV-000490277890;76:07600:2:PV-002261355604;76:07600:3:PV-002846009676;
CC1CNC(=O)C1,2024,76:07600:1:PV-002845980207;76:07600:1:PV-001733917230;76:07600:1:PV-003398001346;
Cc1ccc(O)cc1,2256,76:07600:1:PV-003397999232;76:07600:2:PV-002520098975;76:07600:3:PV-002846008311;
C1CNC2CCOCC2C1,139,76:07600:1:PV-003397999232;76:07600:8:PV-003398271415;76:07600:9:PV-003398278231;
Cc1cccn2cnnc12,90,76:07600:1:PV-002845980280;76:07600:9:PV-003398291161;76:07601:9:PV-003398635258;
CN1C(=O)CCOc2ccccc21,47,76:07600:1:PV-003397999341;76:07606:2:PV-003400098287;76:07606:2:PV-003400098288;
O=C1CNc2ccccc2N1,180,76:07600:1:PV-002845980327;76:07600:2:PV-002846000247;76:07600:6:PV-003398194409;
Fc1ccc2c(c1)CCC2,796,76:07600:1:PV-003397999465;76:07600:8:PV-002416617805;76:07600:8:PV-002468364052;
c1cc2c(o1)CCCC2,1041,76:07600:1:PV-001499255158;76:07600:2:PV-001997683481;76:07600:3:PV-005198565451;
c1cc2cscc2s1,632,76:07600:1:PV-002845980516;76:07600:1:PV-002106105892;76:07600:3:PV-002364858505;
C1COC2(C1)CCOC2,113,76:07600:1:PV-003397999929;76:07602:3:PV-003398764805;76:07602:3:PV-003398764806;
FC1=CCNC1,135,76:07600:1:PV-003398000163;76:07600:9:PV-002846097946;76:07601:3:PV-002846148451;
Cc1cccnc1O,890,76:07600:1:PV-003398000271;76:07600:1:PV-003398013146;76:07600:1:PV-005198464815;
O=C1COc2ccccc2N1,1279,76:07600:1:PV-003398000289;76:07600:2:PV-002209602823;76:07600:2:PV-002364858231;
Cc1cccn2cccc12,220,76:07600:1:PV-002845980672;76:07600:2:PV-002571849346;76:07600:6:PV-003398188346;
Cc1ccc2n1CCNC2C,25,76:07600:1:PV-002845980672;76:07600:4:PV-003398128785;76:07603:6:PV-002846446606;
Cc1ccc(Cl)cc1,4385,76:07600:1:PV-003398000391;76:07600:1:PV-002845987667;76:07600:2:PV-003398038095;
CC1CCC(C)C1,583,76:07600:1:PV-002845980711;76:07600:5:PV-002846038324;76:07600:5:PV-002364864183;
Cc1csc(=O)[nH]1,687,76:07600:1:PV-001708246009;76:07600:6:PV-002846049670;76:07600:7:PV-002846061875;
Cc1ccc2ncncc2c1,108,76:07600:1:PV-002845980762;76:07601:4:PV-003398472958;76:07601:7:PV-005200037360;
CC1CCOC1C,496,76:07600:1:PV-003398000656;76:07600:1:PV-003398001343;76:07600:2:PV-001505543559;
c1cc2nc[nH]c2cn1,617,76:07600:1:PV-003398000683;76:07600:2:PV-003398038747;76:07600:2:PV-003398039476;
Fc1ccc2ncccc2c1,644,76:07600:1:PV-002845980789;76:07600:3:PV-002846011527;76:07600:4:PV-002846029829;
C1CCC2(CCC2)NC1,1134,76:07600:1:PV-002845980799;76:07600:1:PV-003398004356;76:07600:1:PV-002646439770;
C1=Cc2ccccc2CN1,3,76:07600:1:PV-002845980885;76:07603:2:PV-002364918972;76:07662:7:PV-003419452167;
Cn1ncc2c(O)cccc21,56,76:07600:1:PV-002416603193;76:07600:5:PV-002571856837;76:07606:8:PV-003400321404;
O=S1(=O)CCCNCC1,114,76:07600:1:PV-002845980946;76:07600:7:PV-005199014250;76:07601:6:PV-003398532817;
O=C1CCCCC1,927,76:07600:1:PV-002845981027;76:07600:1:PV-003398006067;76:07600:3:PV-003398069711;
O=C1CCCCCN1,1850,76:07600:1:PV-002845981102;76:07600:2:PV-000516311223;76:07600:2:PV-002845994364;
Cc1n[nH]c(C)n1,844,76:07600:1:PV-003398001369;76:07600:1:PV-003398012902;76:07600:1:PV-003398013963;
Fc1cc2cc[nH]c2cc1F,199,76:07600:1:PV-003398001501;76:07600:4:PV-003398100972;76:07600:8:PV-002846086687;
CN1CCNc2ccccc2C1,43,76:07600:1:PV-003398001613;76:07600:2:PV-002846003413;76:07600:8:PV-003398249029;
Cn1cnc2ncnc(O)c21,29,76:07600:1:PV-002845981208;76:07603:9:PV-002846485484;76:07605:4:PV-003399809903;
Clc1cccc2c1OCCO2,421,76:07600:1:PV-003398001767;76:07600:1:PV-005198498939;76:07601:4:PV-005199672458;
Cc1ncc2ccsc2n1,135,76:07600:1:PV-003398001771;76:07600:1:PV-003398001772;76:07600:3:PV-003398079942;
O=S1(=O)CCCC2CNCC21,353,76:07600:1:PV-003398001777;76:07600:4:PV-003398122439;76:07600:5:PV-003398140773;
Oc1ncnc2nccnc12,30,76:07600:1:PV-003398001884;76:07603:3:PV-003399116030;76:07607:1:PV-003400404547;
CC1CNCC(C)O1,870,76:07600:1:PV-002209599282;76:07600:2:PV-002845990186;76:07600:5:PV-003398132351;
OC1CCNCC1O,712,76:07600:1:PV-003398002067;76:07600:1:PV-005198491093;76:07600:4:PV-003398099896;
CN1CCC2NCCCC21,351,76:07600:1:PV-003398002168;76:07600:6:PV-003398179549;76:07600:8:PV-005199162242;
Cc1ccc2ncsc2c1,64,76:07600:1:PV-002468349346;76:07600:2:PV-002845993483;76:07601:6:PV-003398509510;
C1CCc2[nH]nnc2C1,717,76:07600:1:PV-000331284928;76:07600:1:PV-000333535834;76:07600:1:PV-000358647639;
Cn1ncc2cccnc21,689,76:07600:1:PV-003398002611;76:07600:1:PV-003398008588;76:07600:1:PV-005198488659;
CC1(C)CCC(=O)N1,858,76:07600:1:PV-002845981548;76:07600:1:PV-002845988079;76:07600:2:PV-002846004653;
FC1CCC2CCC1N2,836,76:07600:1:PV-003398002772;76:07600:2:PV-003398048437;76:07600:5:PV-003398159641;
Cn1nncc1N,703,76:07600:1:PV-003398002912;76:07600:2:PV-003398066537;76:07600:6:PV-003398175993;
Oc1ccn[nH]1,597,76:07600:1:PV-002845981725;76:07600:4:PV-002846019340;76:07600:4:PV-002846019341;
c1cnc2c(c1)CNC2,372,76:07600:1:PV-002845981752;76:07600:2:PV-002845992622;76:07600:3:PV-003398091357;
CC1(N)CCCCC1,75,76:07600:1:PV-003398003191;76:07601:5:PV-004004964929;76:07601:7:PV-003398550652;
Cc1ncc(C)c(O)n1,48,76:07600:1:PV-002845981787;76:07600:4:PV-005198806301;76:07603:3:PV-002846402152;
Fc1ccc2[nH]ccc2c1,1231,76:07600:1:PV-002845981787;76:07600:1:PV-002845989644;76:07600:2:PV-001588983137;
Cc1ncc2ccccn12,410,76:07600:1:PV-003398003249;76:07600:1:PV-002845986361;76:07601:0:PV-003398309127;
FC1(F)C2CCCCCC21,113,76:07600:1:PV-002845981815;76:07600:9:PV-002846097084;76:07601:1:PV-003398353897;
O=S1(=O)CCCCCC1,270,76:07600:1:PV-003398003353;76:07600:1:PV-005198467683;76:07601:4:PV-005199703115;
CC12CCC(C1)C(C)(C)NC2,55,76:07600:1:PV-003398003371;76:07601:4:PV-002520123454;76:07608:2:PV-002365020559;
c1ccc2c(c1)OCCCO2,568,76:07600:1:PV-002845981860;76:07600:5:PV-002846033239;76:07601:0:PV-002520115092;
CC1(C)CNc2cccc(Cl)c21,72,76:07600:1:PV-002106105325;76:07603:6:PV-002846449791;76:07603:9:PV-002520173938;
c1cc2c(s1)CCNC2,729,76:07600:1:PV-002416603364;76:07600:1:PV-002845986420;76:07600:3:PV-002364859125;
c1cnc2nscc2n1,39,76:07600:1:PV-002845982013;76:07603:3:PV-002846403730;76:07604:8:PV-005203131800;
OC1CC2CCCC(C2)C1O,139,76:07600:1:PV-003398003886;76:07601:1:PV-003398361111;76:07601:8:PV-003398597737;
c1cnc2c(c1)CCOC2,244,76:07600:1:PV-002845982058;76:07600:4:PV-002846019461;76:07600:4:PV-002846019462;
C1COC2(C1)CCOCC2,152,76:07600:1:PV-003398004117;76:07600:4:PV-002846021340;76:07600:7:PV-003398235713;
NC1CCCc2ccccc21,77,76:07600:1:PV-003398004198;76:07602:6:PV-003398868070;76:07605:1:PV-003399722363;
O=S1(=O)CCC(O)C1,364,76:07600:1:PV-003398004198;76:07600:1:PV-003398011634;76:07600:5:PV-003398140135;
Cc1ccnc2[nH]ccc12,157,76:07600:1:PV-002106105371;76:07601:6:PV-002846183632;76:07601:6:PV-003398534966;
c1cc2ccncn2c1,527,76:07600:1:PV-002571847774;76:07600:2:PV-002845997941;76:07600:5:PV-002520106850;
Cn1c(=N)sc2ccccc21,123,76:07600:1:PV-002416603396;76:07601:8:PV-002571882958;76:07602:4:PV-002520144804;
Oc1ccc(Cl)cn1,1134,76:07600:1:PV-003398004408;76:07600:3:PV-005198685129;76:07600:7:PV-003398204252;
Cn1ncc2c1CCNC2,211,76:07600:1:PV-003398004450;76:07600:9:PV-002846089170;76:07601:8:PV-002846209152;
CC1(C)CC1O,2414,76:07600:1:PV-003398004603;76:07600:1:PV-003398004604;76:07600:1:PV-005198501941;
CN1CCCS1(=O)=O,833,76:07600:1:PV-004004834154;76:07600:1:PV-003398013030;76:07600:3:PV-005198659963;
Cc1ccc(C)cc1,4161,76:07600:1:PV-003398004751;76:07600:1:PV-005198421770;76:07600:1:PV-005198468025;
O=c1ccn2[nH]ccc2n1,78,76:07600:1:PV-003398004819;76:07606:3:PV-003400119198;76:07606:3:PV-003400119199;
CC1OCCO1,1704,76:07600:1:PV-002845982415;76:07600:1:PV-002845982416;76:07600:1:PV-003398004950;
C1=NC2CCCCC2N1,305,76:07600:1:PV-002845982415;76:07600:1:PV-002845982416;76:07600:1:PV-003398004950;
CC1CCCC(C)O1,1122,76:07600:1:PV-002845982436;76:07600:1:PV-003398020195;76:07600:3:PV-003398077671;
CC1CC(F)(F)CN1,997,76:07600:1:PV-003398005025;76:07600:1:PV-002845988870;76:07600:2:PV-002846000519;
Cc1c(Cl)cc2c(c1Cl)CCCN2,21,76:07600:1:PV-002845982483;76:07605:9:PV-002157971291;76:07617:3:PV-002848267067;
CN1CCCCC1=O,1852,76:07600:1:PV-002845982483;76:07600:2:PV-003398028927;76:07600:4:PV-002157859083;
c1nc2c([nH]1)CCCC2,904,76:07600:1:PV-003398005491;76:07600:1:PV-003398005842;76:07600:1:PV-000355858480;
O=C1CCOc2ccccc2N1,170,76:07600:1:PV-003398005773;76:07600:1:PV-002845982700;76:07601:3:PV-002846141470;
Cc1ccc2c(c1)CNCCO2,69,76:07600:1:PV-002364854822;76:07600:8:PV-002846085225;76:07601:3:PV-002846144635;
Clc1cnc2ncccc2c1,96,76:07600:1:PV-001909249906;76:07600:9:PV-002846095281;76:07601:1:PV-001909252364;
O=C1CCCC2(CCC2)N1,49,76:07600:1:PV-003398005923;76:07601:0:PV-003398330701;76:07602:6:PV-003398862129;
NC1CCCNC1,615,76:07600:1:PV-003398006029;76:07600:1:PV-003398020807;76:07600:1:PV-003398020808;
c1cc2c(o1)CCNC2,65,76:07600:1:PV-003398006098;76:07600:3:PV-005198608369;76:07601:0:PV-005199336450;
Oc1ccnc2c1CNCC2,100,76:07600:1:PV-003398006517;76:07600:1:PV-003398006518;76:07600:6:PV-003398197328;
c1cnc2ncoc2c1,317,76:07600:1:PV-003398006708;76:07600:2:PV-003398037345;76:07600:3:PV-003398078420;
OC1CC2CCCC12,226,76:07600:1:PV-003398006942;76:07600:4:PV-005198774319;76:07601:0:PV-003398321756;
c1cc2n(c1)CCCC2,785,76:07600:1:PV-002845983156;76:07600:2:PV-002845991853;76:07600:2:PV-002364856424;
c1ccc2ncncc2c1,1360,76:07600:1:PV-003398007068;76:07600:1:PV-002157853893;76:07600:1:PV-005198526441;
CC12CCCC(CO1)C2,245,76:07600:1:PV-002845983214;76:07600:1:PV-004004835929;76:07600:6:PV-002846055349;
CC1CCc2n[nH]cc2C1,229,76:07600:1:PV-002364854923;76:07600:1:PV-001883248796;76:07600:1:PV-002416603573;
Cc1ccc(=O)[nH]c1,365,76:07600:1:PV-003398007587;76:07601:0:PV-002209619227;76:07601:7:PV-005199988798;
Cc1ccc(Cl)c2cccnc12,51,76:07600:1:PV-002845983444;76:07601:0:PV-003398310973;76:07603:9:PV-002364932745;
O=C1NCCC2CCCNC12,24,76:07600:1:PV-002845983444;76:07600:7:PV-002846071017;76:07607:5:PV-002158005534;
c1cc2occc2[nH]1,1003,76:07600:1:PV-002845983494;76:07600:2:PV-001997370482;76:07600:5:PV-002846032478;
CC1(C)CCCC(C)(C)O1,268,76:07600:1:PV-002157853547;76:07600:6:PV-005198948976;76:07601:1:PV-002520118370;
CN1CCC2(CC1)CC(O)CN2,19,76:07600:1:PV-003398007928;76:07601:1:PV-002846114313;76:07601:8:PV-003398583340;
Cc1c[nH]c(=O)[nH]1,2509,76:07600:1:PV-003398007929;76:07600:1:PV-003398022571;76:07600:1:PV-003398022572;
C1CCN2CCNCC2C1,111,76:07600:1:PV-002313101944;76:07600:3:PV-003398086017;76:07601:9:PV-003398632310;
Clc1cccc2c1CCCC2,41,76:07600:1:PV-003398008157;76:07602:9:PV-003398958839;76:07605:9:PV-002846751958;
NC1CCC2CC12,182,76:07600:1:PV-003398008352;76:07600:7:PV-003398234805;76:07602:1:PV-003398702382;
FC1CCCCCC1,122,76:07600:1:PV-002845983741;76:07600:8:PV-005199114173;76:07602:7:PV-003398913158;
c1[nH]nc2c1COCC2,74,76:07600:1:PV-002261352255;76:07601:7:PV-002520130603;76:07605:4:PV-002364963758;
Cc1ccc2cnccc2c1,293,76:07600:1:PV-002364854968;76:07600:2:PV-002416605819;76:07600:6:PV-002846056722;
O=C1NCCc2ccccc21,963,76:07600:1:PV-001553227617;76:07600:1:PV-003398008484;76:07600:1:PV-003398008485;
Cc1csc2cncnc12,377,76:07600:1:PV-002845983807;76:07600:1:PV-002845983808;76:07600:1:PV-002845983809;
CC1(C)CCNC(=O)C1,296,76:07600:1:PV-003398008691;76:07600:2:PV-003398064140;76:07600:2:PV-003398064141;
CN1C=NCC1,454,76:07600:1:PV-003398008792;76:07600:6:PV-002846049925;76:07601:0:PV-002846104514;
CC1(C)NC(=O)C2(CCNCC2)O1,18,76:07600:1:PV-003398008861;76:07603:8:PV-002846469940;76:07618:0:PV-002848366859;
Clc1ccnc2ncccc12,94,76:07600:1:PV-003398008930;76:07602:4:PV-005200764375;76:07602:4:PV-005200764376;
Cc1ccc(=O)n(C)c1,74,76:07600:1:PV-004004835309;76:07600:2:PV-002520099735;76:07604:0:PV-002571927359;
CN1CCn2cnnc2C1=O,59,76:07600:1:PV-003398009097;76:07602:5:PV-005200854975;76:07604:8:PV-002571943659;
Nc1nnc[nH]1,785,76:07600:1:PV-003398009100;76:07600:4:PV-003398108603;76:07600:8:PV-003398242186;
Cc1cccc2c1OCCC2,240,76:07600:1:PV-002364855007;76:07601:0:PV-001804059180;76:07601:0:PV-001804056463;
Nc1ncccn1,2003,76:07600:1:PV-003398009221;76:07600:1:PV-005198416934;76:07600:1:PV-005198418028;
c1ccc2c(c1)CCS2,785,76:07600:1:PV-003398009221;76:07600:3:PV-003398074894;76:07600:3:PV-002846010456;
C1CC2CNC1CN2,1393,76:07600:1:PV-000244895433;76:07600:1:PV-002845984927;76:07600:1:PV-002845988947;
Cc1cc(=O)n2nccc2[nH]1,51,76:07600:1:PV-003398009414;76:07600:3:PV-003398083240;76:07604:0:PV-003399340342;
C1CCC2OCNCC2C1,55,76:07600:1:PV-002845984175;76:07600:3:PV-004004853786;76:07607:7:PV-002520253003;
c1cc2c(s1)CCCC2,1603,76:07600:1:PV-002845984197;76:07600:1:PV-002845984198;76:07600:1:PV-002845984199;
C1CNCC2(C1)CCNC2,1191,76:07600:1:PV-002845984214;76:07600:1:PV-000583205528;76:07600:4:PV-002846020554;
c1cnc2nn[nH]c2c1,581,76:07600:1:PV-002313102036;76:07600:2:PV-002571849924;76:07600:3:PV-002468353951;
Nc1cnon1,979,76:07600:1:PV-003398009788;76:07600:1:PV-002845986628;76:07600:1:PV-003398024897;
CN1CC(=O)Nc2ccccc21,82,76:07600:1:PV-004004835509;76:07600:8:PV-003398251773;76:07600:8:PV-003398272020;
FC1CC2CNC1C2,157,76:07600:1:PV-004004835522;76:07600:8:PV-003398262902;76:07601:0:PV-003398331425;
CC1CCNC(C)C1,240,76:07600:1:PV-003398010103;76:07600:6:PV-003398185526;76:07600:7:PV-003398219252;
CC1CCCS1(=O)=O,620,76:07600:1:PV-003398010227;76:07600:1:PV-005198408303;76:07600:3:PV-001606141047;
C1=NCCCN1,607,76:07600:1:PV-003398010258;76:07600:2:PV-002846001183;76:07600:4:PV-003398105605;
Clc1ccc2cccnc2c1,600,76:07600:1:PV-002209599764;76:07600:2:PV-002845993695;76:07600:2:PV-003398038512;
c1cc2n(n1)CCCNC2,343,76:07600:1:PV-003398010310;76:07600:1:PV-003398010312;76:07601:0:PV-003398335269;
CC1CCOC12CC2(F)F,40,76:07600:1:PV-002209599771;76:07602:0:PV-002571886750;76:07605:2:PV-003399743364;
Cn1ccncc1=O,911,76:07600:1:PV-003398010635;76:07600:1:PV-002845984979;76:07600:2:PV-001393245296;
O=c1ccoc2cc(O)ccc12,5,76:07600:1:PV-003398010824;76:07600:1:PV-005198496016;76:07629:4:PV-003408051515;
Cn1ccc(O)n1,1867,76:07600:1:PV-003398010825;76:07600:1:PV-002845984699;76:07600:2:PV-003398031642;
c1nnc2n1CCCC2,1420,76:07600:1:PV-003398010889;76:07600:1:PV-003398013120;76:07600:1:PV-003398024368;
OC1CNCC12CCC2,94,76:07600:1:PV-003398010964;76:07600:6:PV-005198991901;76:07601:0:PV-002846103151;
C1CCC2OCCC2C1,706,76:07600:1:PV-003398011531;76:07600:1:PV-005198413684;76:07600:4:PV-003398123839;
Cc1ccc2c(c1)CCO2,393,76:07600:1:PV-002845984965;76:07600:9:PV-005199308495;76:07602:0:PV-002313140640;
C1CSCS1,9015,76:07600:1:PV-002845984968;76:07600:1:PV-003398016499;76:07600:1:PV-003398019658;
C1CC2CNCCC2CN1,261,76:07600:1:PV-003398011675;76:07602:4:PV-003398781174;76:07602:9:PV-003398979280;
c1cnc2c(c1)OCO2,213,76:07600:1:PV-002845985013;76:07601:0:PV-003398317868;76:07601:1:PV-005199401373;
Nc1cc2ccccn2n1,151,76:07600:1:PV-002364855179;76:07602:5:PV-002520145983;76:07602:8:PV-002520153388;
c1cc2n(n1)CCCO2,685,76:07600:1:PV-003398011871;76:07600:1:PV-005198500041;76:07600:4:PV-002846028918;
Nc1ncc2c(n1)CCCC2,121,76:07600:1:PV-002845985092;76:07600:8:PV-005199153769;76:07601:1:PV-003398370406;
Clc1ccnc2c1CNC2,143,76:07600:1:PV-003398012019;76:07601:1:PV-002846123145;76:07602:4:PV-002846289046;
O=C1CCNCC1,147,76:07600:1:PV-003398012029;76:07600:2:PV-002106106665;76:07601:5:PV-003398496496;
OC1CCCCC1O,387,76:07600:1:PV-002845985235;76:07600:2:PV-003398036309;76:07600:5:PV-003398162172;
NC1CCCCC1,1951,76:07600:1:PV-003398012510;76:07600:1:PV-003398013335;76:07600:3:PV-003398085007;
C1CCC2NCCC2C1,1083,76:07600:1:PV-003398012523;76:07600:2:PV-003398030191;76:07600:2:PV-003398037423;
Cc1cc(F)c2nc(O)ccc2c1,32,76:07600:1:PV-003398012529;76:07601:4:PV-003398464986;76:07606:7:PV-003400289629;
CC1=CCCCC1,2812,76:07600:1:PV-002845985358;76:07600:1:PV-002845985359;76:07600:1:PV-002845985360;
c1ncc2c(n1)CNC2,153,76:07600:1:PV-003398012655;76:07600:6:PV-002209610351;76:07601:1:PV-002209619784;
C1CNCC2(C1)CCOCC2,160,76:07600:1:PV-002845985402;76:07600:1:PV-002845985403;76:07600:1:PV-002845989580;
Cc1nc2ccccn2n1,698,76:07600:1:PV-003398012959;76:07600:2:PV-003398064267;76:07600:4:PV-003398118329;
Fc1ccc2c(c1)OCCN2,115,76:07600:1:PV-003398013009;76:07600:1:PV-003398015982;76:07601:0:PV-003398312731;
c1cc2c(cn1)OCCO2,360,76:07600:1:PV-003398013171;76:07600:3:PV-003398094047;76:07600:3:PV-003398094048;
Fc1ccc2c(c1)NCC2,221,76:07600:1:PV-002845985596;76:07600:3:PV-002846015630;76:07601:3:PV-002157879065;
Cc1n[nH]c2ccncc12,250,76:07600:1:PV-003398013469;76:07600:3:PV-003398086295;76:07600:4:PV-002846019737;
C1CC2CCC(CN1)S2,27,76:07600:1:PV-003398013472;76:07602:9:PV-002157911244;76:07604:1:PV-002846509903;
O=S1CCCC1,21,76:07600:1:PV-002845985729;76:07605:3:PV-002468456318;76:07609:3:PV-002847202071;
CN1CCC2CNCC21,285,76:07600:1:PV-003398013577;76:07600:1:PV-003398013578;76:07600:1:PV-003398013579;
C1=NCC2CCCCC2N1,48,76:07600:1:PV-002845985771;76:07600:4:PV-002846018266;76:07601:0:PV-002846102563;
O=S1(=O)CCNCC1,1031,76:07600:1:PV-002157853923;76:07600:1:PV-002845986207;76:07600:1:PV-005198484550;
Clc1ccc[nH]1,274,76:07600:1:PV-002646440604;76:07600:9:PV-002261369385;76:07601:0:PV-003398319240;
Cc1nnc2n1CCCC2,893,76:07600:1:PV-003398013841;76:07600:1:PV-003398014900;76:07600:3:PV-005198589589;
C1CC2NC1CC1CC12,618,76:07600:1:PV-003398014086;76:07600:7:PV-003398228749;76:07600:9:PV-003398297987;
C1CC2COCC2O1,143,76:07600:1:PV-003398014180;76:07600:1:PV-005198382836;76:07600:7:PV-003398205210;
C1CCC2CCNC2CC1,205,76:07600:1:PV-003398014212;76:07600:7:PV-005199028969;76:07601:2:PV-005199598855;
Clc1ccc2cc[nH]c2c1,793,76:07600:1:PV-003398014329;76:07600:2:PV-003398025667;76:07600:2:PV-002364858278;
Fc1ccc2ncoc2c1,87,76:07600:1:PV-002261352654;76:07600:9:PV-002157870822;76:07601:6:PV-002520128105;
Clc1cnc2ccccn12,165,76:07600:1:PV-002845986086;76:07601:6:PV-002571879013;76:07601:8:PV-003398598267;
Clc1ccc2sccc2c1,534,76:07600:1:PV-003398014707;76:07600:5:PV-002846043377;76:07600:5:PV-003398171233;
Cc1cc(O)no1,1032,76:07600:1:PV-003398014858;76:07600:1:PV-003398024945;76:07600:2:PV-003398056747;
CC1CCS(=O)(=O)CC1,321,76:07600:1:PV-003398014900;76:07600:4:PV-002846027387;76:07600:5:PV-003398145179;
Clc1ccc2c(c1)CCN2,124,76:07600:1:PV-003398014905;76:07600:1:PV-003398014906;76:07601:4:PV-003398474657;
C1CCC2(CC1)CCCC2,874,76:07600:1:PV-002468350096;76:07600:2:PV-002845993863;76:07600:2:PV-003398060234;
CC1NCCC1O,382,76:07600:1:PV-003398015062;76:07600:1:PV-003398018640;76:07600:1:PV-003398018641;
O=C1CCCc2ccccc2N1,243,76:07600:1:PV-003398015062;76:07600:6:PV-002571857973;76:07600:6:PV-003398188669;
O=c1nccc[nH]1,962,76:07600:1:PV-003398015162;76:07600:1:PV-003398015163;76:07600:1:PV-003398017040;
Cn1cc(F)cn1,435,76:07600:1:PV-002845986366;76:07600:6:PV-005198893904;76:07600:6:PV-003398185249;
C1CC2COCC2N1,156,76:07600:1:PV-003398015350;76:07601:8:PV-003398602936;76:07602:0:PV-005200263724;
Cc1ccc2ccsc2c1,168,76:07600:1:PV-003398015350;76:07600:4:PV-001473776512;76:07601:0:PV-002846111305;
Cc1ccc(C)c(F)c1,64,76:07600:1:PV-003398015377;76:07600:8:PV-003398246609;76:07601:1:PV-002468370654;
Cc1cccc2ccnn12,478,76:07600:1:PV-003398015377;76:07600:2:PV-002845991804;76:07600:8:PV-003398270865;
Cc1nnco1,2649,76:07600:1:PV-002571848450;76:07600:1:PV-003398015762;76:07600:1:PV-002845986717;
O=C1NCCOc2ccccc21,201,76:07600:1:PV-002845986439;76:07600:3:PV-003398081925;76:07600:8:PV-002846080027;
Cc1cccnc1N,222,76:07600:1:PV-002416604054;76:07600:3:PV-005198571829;76:07601:4:PV-005199674594;
CC1CCCNCC1,224,76:07600:1:PV-002416604054;76:07600:2:PV-003398035392;76:07600:8:PV-002846077691;
FC1CNCC12COC2,41,76:07600:1:PV-002845986468;76:07604:1:PV-003399369591;76:07608:2:PV-003400802589;
Fc1ccc2c(c1)OCCNC2,111,76:07600:1:PV-002157854033;76:07600:4:PV-002313109179;76:07600:6:PV-002520107147;
FC1(F)CCCCCCC1,146,76:07600:1:PV-002571848468;76:07600:9:PV-002313118955;76:07601:6:PV-003398507041;
O=c1cnc2ccccc2[nH]1,389,76:07600:1:PV-002468350143;76:07600:2:PV-002846002334;76:07600:8:PV-003398241098;
CC12CC(C1)C2,2636,76:07600:1:PV-003398015704;76:07600:3:PV-003398072250;76:07600:3:PV-003398073052;
FC1(F)C2CCCCC21,448,76:07600:1:PV-003398015716;76:07600:2:PV-003398034311;76:07600:2:PV-003398039841;
C1CNCC2CC2C1,877,76:07600:1:PV-003398015794;76:07600:2:PV-003398034903;76:07600:2:PV-003398059827;
C1CC2(CCNC2)CN1,1667,76:07600:1:PV-000543702240;76:07600:1:PV-005198502167;76:07600:1:PV-005198502168;
N=S1(=O)CC2CC1C2,20,76:07600:1:PV-003398015945;76:07604:2:PV-002846523600;76:07604:7:PV-002846585798;
Cc1csc(C)c1C,837,76:07600:1:PV-003398016075;76:07600:1:PV-003398016076;76:07600:1:PV-003398016077;
c1n[nH]c2c1CCNC2,296,76:07600:1:PV-003398016149;76:07600:6:PV-003398177729;76:07600:9:PV-003398283837;
Nc1ccc2c(n1)CCCC2,85,76:07600:1:PV-002845986717;76:07603:8:PV-002846473574;76:07603:8:PV-005202163020;
CC1CCC(F)CC1,516,76:07600:1:PV-003398016223;76:07601:0:PV-003398304750;76:07601:0:PV-003398319855;
CC1CCC(=O)CN1,56,76:07600:1:PV-002845986745;76:07601:7:PV-002520131227;76:07602:5:PV-005200879728;
C1CCC2(CC1)CCCCC2,500,76:07600:1:PV-002845986745;76:07600:4:PV-003398112256;76:07600:8:PV-002846081362;
Cc1ccc2cccnc2n1,158,76:07600:1:PV-002845986807;76:07601:3:PV-002846139293;76:07601:5:PV-005199923312;
Cc1ccc(F)c2c1CCNC2,115,76:07600:1:PV-002845986807;76:07600:2:PV-002846000992;76:07602:3:PV-004005041837;
CC1CCCC1C,647,76:07600:1:PV-002157854089;76:07600:2:PV-003398052781;76:07600:3:PV-001488167769;
