fragment_smiles,occurences,example_ligands
C1CCNCC1,186227,35:03500:0:PV-005095069090;35:03500:0:PV-005095091811;35:03500:0:PV-005095099619;
CC1CCOC1,10783,35:03500:0:PV-005095069090;35:03500:0:PV-002832482636;35:03500:0:PV-002832484768;
C1CCOC1,106393,35:03500:0:PV-005095069556;35:03500:0:PV-003363198412;35:03500:0:PV-003363203098;
C1COCCN1,32455,35:03500:0:PV-005095070149;35:03500:0:PV-005095070150;35:03500:0:PV-005095080880;
c1ccccc1,334413,35:03500:0:PV-005095070149;35:03500:0:PV-005095070150;35:03500:0:PV-005095081193;
C1CNCCOC1,8435,35:03500:0:PV-005095070671;35:03500:0:PV-002832485316;35:03500:0:PV-002832487745;
c1ccnnc1,23645,35:03500:0:PV-005095071782;35:03500:0:PV-003363220847;35:03500:0:PV-003363230277;
FC1CCNC1,29461,35:03500:0:PV-005095071782;35:03500:0:PV-002832480940;35:03500:0:PV-003363202622;
Cc1ccccc1,84581,35:03500:0:PV-005095071972;35:03500:0:PV-003363195947;35:03500:0:PV-002569764745;
c1ncon1,54892,35:03500:0:PV-005095071972;35:03500:0:PV-005095103751;35:03500:0:PV-003363197627;
CC1(C)CC1,26525,35:03500:0:PV-005095071972;35:03500:0:PV-005095075410;35:03500:0:PV-005095085011;
c1ncc2ccsc2n1,1086,35:03500:0:PV-005095072609;35:03500:0:PV-002311019344;35:03500:2:PV-005095723687;
Clc1ccccc1,93515,35:03500:0:PV-005095072962;35:03500:0:PV-002207516822;35:03500:0:PV-002518014570;
NC1CCNC12CCC2,892,35:03500:0:PV-005095072962;35:03500:0:PV-005095110166;35:03500:0:PV-005095169417;
Fc1ccccc1,117165,35:03500:0:PV-005095073004;35:03500:0:PV-005095084913;35:03500:0:PV-005095101713;
NC1CCCCC1,7331,35:03500:0:PV-005095073004;35:03500:0:PV-005095103251;35:03500:0:PV-003363195665;
c1cscn1,108116,35:03500:0:PV-005095073445;35:03500:0:PV-005095075490;35:03500:0:PV-005095078205;
Cc1csc(C)c1,3855,35:03500:0:PV-005095073878;35:03500:0:PV-005095073879;35:03500:0:PV-005095125621;
NC1CCCC1,6795,35:03500:0:PV-005095073878;35:03500:0:PV-005095073879;35:03500:0:PV-003363201990;
c1ccsc1,118780,35:03500:0:PV-005095073929;35:03500:0:PV-005095075456;35:03500:0:PV-005095097288;
c1cocn1,54764,35:03500:0:PV-005095073929;35:03500:0:PV-002832480591;35:03500:0:PV-002207517088;
Cc1ccnc(C)n1,2032,35:03500:0:PV-005095074392;35:03500:0:PV-003363201262;35:03500:0:PV-005095118350;
Cc1cccnc1,22216,35:03500:0:PV-005095074392;35:03500:0:PV-002832480169;35:03500:0:PV-002832480349;
C1CN2CCC1C2,1418,35:03500:0:PV-005095075410;35:03500:0:PV-000487292452;35:03500:0:PV-000586110435;
C1CCNC1,283740,35:03500:0:PV-005095075553;35:03500:0:PV-005095078539;35:03500:0:PV-005095081014;
CC1CCNCCN1,2451,35:03500:0:PV-005095075582;35:03500:0:PV-002832481823;35:03500:0:PV-002832491175;
Clc1cnn[nH]1,2865,35:03500:0:PV-005095075928;35:03500:1:PV-003363292036;35:03500:1:PV-003363327254;
CC12CCC(C1)C2(C)C,946,35:03500:0:PV-005095076175;35:03500:0:PV-005095160775;35:03500:0:PV-005095170916;
C1COCCNN1,74,35:03500:0:PV-005095076175;35:03501:9:PV-002833119590;35:03502:9:PV-003365717630;
FC1(F)CC12CCCC2,190,35:03500:0:PV-005095076497;35:03501:1:PV-002832862839;35:03501:2:PV-002311080642;
c1nn[nH]n1,23233,35:03500:0:PV-005095076668;35:03500:0:PV-002832479833;35:03500:0:PV-002832483518;
C1CCCCC1,109278,35:03500:0:PV-005095076770;35:03500:0:PV-003363194295;35:03500:0:PV-000557114768;
Cc1ccsc1C,3930,35:03500:0:PV-005095076836;35:03500:0:PV-002832499016;35:03500:0:PV-005095141889;
CC1(C)COCCO1,3158,35:03500:0:PV-005095076836;35:03500:0:PV-005095078539;35:03500:0:PV-005095241425;
Cc1cncnc1,2356,35:03500:0:PV-005095077256;35:03500:0:PV-002518015975;35:03500:1:PV-002207525797;
CC1CCC(O)CC1,803,35:03500:0:PV-005095077256;35:03500:0:PV-002832506437;35:03500:1:PV-002518020355;
CC1(C)CCCCO1,3250,35:03500:0:PV-005095077446;35:03500:0:PV-005095077447;35:03500:0:PV-003363207255;
c1nnc[nH]1,24265,35:03500:0:PV-005095077446;35:03500:0:PV-005095077447;35:03500:0:PV-005095095146;
Nc1cc(Cl)ccn1,526,35:03500:0:PV-005095078956;35:03500:1:PV-005095263569;35:03500:1:PV-005095452555;
C1COCCOC1,1764,35:03500:0:PV-005095079169;35:03500:0:PV-002832481909;35:03500:0:PV-002832494344;
Cn1nccc1Cl,5462,35:03500:0:PV-005095079275;35:03500:1:PV-001981857559;35:03500:1:PV-001297808699;
Oc1cccc(F)c1,2644,35:03500:0:PV-005095079294;35:03500:0:PV-005095079295;35:03500:1:PV-003363289908;
Fc1cccn2ccnc12,891,35:03500:0:PV-005095079741;35:03500:0:PV-003363280153;35:03500:3:PV-003363516530;
C1CC2CNCC(C1)C2,749,35:03500:0:PV-005095080386;35:03500:0:PV-003363219245;35:03500:2:PV-002832575561;
CC1CCC(C)NC1,1385,35:03500:0:PV-005095080872;35:03500:0:PV-003363266992;35:03500:1:PV-003363312833;
FC1CC2CC12,1939,35:03500:0:PV-005095081193;35:03500:2:PV-003363443325;35:03500:4:PV-003363598174;
CC1=CCCO1,2914,35:03500:0:PV-005095081392;35:03500:0:PV-002832487155;35:03500:0:PV-002832487156;
c1csnn1,24571,35:03500:0:PV-005095081645;35:03500:0:PV-002832479808;35:03500:0:PV-003363203120;
CC1CNC1,33889,35:03500:0:PV-005095081921;35:03500:0:PV-002832479820;35:03500:0:PV-003363198043;
Cc1nccs1,13185,35:03500:0:PV-005095081921;35:03500:0:PV-003363208421;35:03500:0:PV-003363208422;
O=c1nn[nH][nH]1,581,35:03500:0:PV-005095082511;35:03501:1:PV-003364195881;35:03501:2:PV-003364217825;
c1ccncc1,199959,35:03500:0:PV-005095082511;35:03500:0:PV-005095100789;35:03500:0:PV-002832479808;
O=c1nccc(Cl)[nH]1,351,35:03500:0:PV-005095082545;35:03500:0:PV-002466270368;35:03500:0:PV-002207522146;
Cc1ccon1,14800,35:03500:0:PV-005095082733;35:03500:0:PV-005095082734;35:03500:0:PV-005095103044;
CC1CCNC1,61664,35:03500:0:PV-005095082733;35:03500:0:PV-005095082734;35:03500:0:PV-002832480996;
C1CC2CC1CO2,2801,35:03500:0:PV-005095083088;35:03500:1:PV-003363287731;35:03500:1:PV-003363332367;
C1NCC2CC12,43689,35:03500:0:PV-005095083442;35:03500:0:PV-003363197438;35:03500:0:PV-003363205535;
Cc1cc[nH]c1,8334,35:03500:0:PV-005095084233;35:03500:0:PV-003363194850;35:03500:0:PV-003363195288;
Cn1ccccc1=O,4813,35:03500:0:PV-005095084233;35:03500:0:PV-003363203742;35:03500:0:PV-002832489104;
Cc1ccc[nH]1,6021,35:03500:0:PV-005095085011;35:03500:0:PV-005095085012;35:03500:0:PV-003363215809;
Nc1cccnc1,7088,35:03500:0:PV-005095085288;35:03500:0:PV-002832482852;35:03500:0:PV-003363216010;
c1cnc2nccn2c1,3250,35:03500:0:PV-005095085288;35:03500:0:PV-003363196071;35:03500:0:PV-003363196072;
CC1=CCCCC1,1268,35:03500:0:PV-005095085435;35:03500:1:PV-005095308800;35:03500:1:PV-005095437184;
CC1(C)CNCCO1,2866,35:03500:0:PV-005095085435;35:03500:1:PV-005095413360;35:03500:1:PV-003363323170;
Cc1ccsc1,21004,35:03500:0:PV-005095086094;35:03500:0:PV-005095086095;35:03500:0:PV-003363194278;
c1ccc2c(c1)CCN2,6205,35:03500:0:PV-005095086094;35:03500:0:PV-005095086095;35:03500:0:PV-003363204141;
Oc1cccnc1,8406,35:03500:0:PV-005095086295;35:03500:0:PV-002414521579;35:03500:0:PV-005095175236;
CC1CCCN1,43344,35:03500:0:PV-005095087933;35:03500:0:PV-002832480430;35:03500:0:PV-003363197532;
C1CCC2(CC1)COC2,134,35:03500:0:PV-005095088514;35:03500:6:PV-005096793382;35:03501:2:PV-003364276832;
Clc1ccsn1,6196,35:03500:0:PV-005095088748;35:03500:0:PV-003363198047;35:03500:0:PV-003363198936;
OC1CCC1,31455,35:03500:0:PV-005095088748;35:03500:0:PV-002832481933;35:03500:0:PV-002832481934;
c1cnoc1,67066,35:03500:0:PV-005095090621;35:03500:0:PV-003363193991;35:03500:0:PV-003363196596;
c1cn[nH]c1,152761,35:03500:0:PV-005095090986;35:03500:0:PV-002832480387;35:03500:0:PV-002832480430;
C1COCO1,7802,35:03500:0:PV-005095091760;35:03500:0:PV-003363223072;35:03500:0:PV-005095139959;
Clc1ncco1,3416,35:03500:0:PV-005095091760;35:03500:0:PV-003363217910;35:03500:0:PV-003363224401;
CC1CCCC(C)C1,2212,35:03500:0:PV-005095092255;35:03500:0:PV-002832507475;35:03500:1:PV-002414527629;
c1ccc2n[nH]cc2c1,660,35:03500:0:PV-005095092569;35:03500:0:PV-003363256694;35:03500:0:PV-002832504954;
Cc1ccc(C)s1,3433,35:03500:0:PV-005095093115;35:03500:0:PV-003363249973;35:03500:0:PV-002832506002;
O=S1(=O)CC2CNCC21,1407,35:03500:0:PV-005095093115;35:03500:0:PV-005095230775;35:03500:1:PV-005095284644;
Nc1nc2cncnc2s1,155,35:03500:0:PV-005095093818;35:03501:1:PV-002832858521;35:03501:2:PV-002832897294;
Cc1cn(C)cn1,1507,35:03500:0:PV-005095094745;35:03500:0:PV-001612476540;35:03500:1:PV-001474791352;
Cc1ccc2c(c1)CCS2,108,35:03500:0:PV-005095095904;35:03503:0:PV-002833462901;35:03503:2:PV-002104184964;
C1CC12CNC2,1289,35:03500:0:PV-005095095904;35:03500:2:PV-005095719599;35:03500:2:PV-005095719600;
C1CC2CCC(C1)N2,4707,35:03500:0:PV-005095096033;35:03500:0:PV-005095096034;35:03500:0:PV-005095200583;
Fc1cncnc1Cl,425,35:03500:0:PV-005095096925;35:03500:0:PV-005095099431;35:03500:4:PV-005096126774;
CC1CCCCNC1,385,35:03500:0:PV-005095096925;35:03500:1:PV-002832531166;35:03500:1:PV-003363327177;
c1c[nH]cn1,58020,35:03500:0:PV-005095097411;35:03500:0:PV-002569764706;35:03500:0:PV-002832480612;
